Cluster,Parent,Group,NumPhrases,Key-phrases,NumDocs,DocIds,score,dimension,min_samples,min_cluster_size
0,root_-1,-1,50,"['LULC change detection', 'composite change detection', 'change detection analysis', 'change detection algorithm', 'area change detection', 'weighted regression', 'use change modeling', 'unchanged data', 'support vector regression', 'regression tree', 'regression domain', 'change modeling', 'boosted regression tree', 'XGBoost algorithm', 'urban land prediction', 'urban expansion trend', 'training dataset', 'test dataset', 'system adaptation planning', 'SVM technique', 'SVM modeling', 'support vector machine', 'spatial trend', 'site transformation', 'rotation forest', 'RF classifier', 'Random Forests classification', 'Random Forest machine', 'Random Forest algorithm', 'random forest', 'predicted urban expansion', 'neural network method', 'integrated model', 'ge classifier', 'fuzzy inference system', 'future urban extent', 'fish swarm algorithm', 'ensemble classifier', 'deep learning method', 'deep learning', 'decision tree', 'data weighting', 'combinatory trend', 'classification tree', 'cellular automaton model', 'cellular automaton', 'cellular automata', 'basis function network', 'artificial neural network', 'adversarial network']",42,"[6, 72, 78, 90, 100, 114, 120, 130, 167, 171, 175, 182, 225, 230, 245, 251, 288, 303, 310, 317, 320, 331, 344, 347, 352, 374, 391, 420, 436, 458, 475, 494, 497, 524, 551, 553, 565, 570, 576, 578, 582, 589]",0.9955,100,15,19
0,root_-1,0,38,"['spatial data quality', 'spatial data', 'satellite big data', 'urban data', 'spatial transformation rule', 'spatial pattern', 'spatial heterogeneity', 'spatial distribution', 'spatial characteristic', 'spatial attribute', 'spatial', 'sensed activity data', 'satellite imagery', 'satellite image fusion', 'satellite image', 'resolution satellite image', 'Population spatialization', 'multivariate municipality data', 'multispectral satellite image', 'Landsat data stack', 'Landsat data', 'IKONOS satellite imagery', 'census data', 'volunteered geographic information', 'Various graph measure', 'unmanned aerial vehicle', 'Sentinel image', 'remote sensing', 'population forecasting', 'population density', 'multispectral image', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image', 'geographic information', 'cluster mean', 'census tract', 'census population']",36,"[6, 59, 72, 100, 114, 120, 167, 171, 175, 190, 230, 245, 251, 303, 310, 316, 317, 347, 361, 368, 374, 391, 458, 464, 475, 497, 524, 554, 565, 569, 572, 578, 582, 590, 593, 594]",0.9955,100,15,19
0,root_-1,1,19,"['land use mapping', 'land use map', 'landcover map', 'land use dynamic', 'land use datasets', 'land use data', 'land cover mapping', 'land cover map', 'dynamic land use', 'sensed land cover', 'map', 'land boundary data', 'hierarchical farmland', 'croplands', 'complex map production', 'automatic mapping', 'green space analysis', 'Earth Observation datasets', 'Earth Engine platform']",21,"[78, 90, 135, 208, 245, 288, 302, 316, 317, 320, 331, 347, 348, 426, 458, 515, 524, 551, 570, 576, 588]",0.9955,100,15,19
0,root_0,0,28,"['urban growth planning', 'urban planning sector', 'urban planning model', 'urban planning decision', 'urban planning', 'urban growth simulation', 'urban growth map', 'urban growth', 'smart urban planning', 'Rapid urban growth', 'use planning', 'urbanization rate', 'urbanization', 'urban transition rule', 'urban sprawl', 'urban development', 'smart city growth', 'regional planning relies', 'growth simulation', 'growth modeling', 'effective urban policy', 'annual urbanization', 'Urbanization process', 'socioeconomic inequality', 'smart city', 'monetary poverty', 'Interregional comparison', 'grey development']",36,"[6, 59, 100, 114, 119, 130, 135, 175, 182, 190, 213, 225, 245, 251, 256, 288, 293, 299, 302, 310, 317, 348, 352, 368, 391, 426, 436, 458, 464, 494, 497, 509, 572, 582, 593, 594]",0.989,15,25,28
0,root_0,1,34,"['urban water infrastructure', 'urban slum area', 'urban area', 'OSM urban area', 'complex urban area', 'water demand modeling', 'water consumption data', 'urban structure type', 'urban hydrologic modelling', 'urban environment', 'surface urban heat', 'stream water quality', 'storm water management', 'slum area', 'populated urban region', 'planning coastal area', 'planned urban zone', 'catchment area', 'binary urban footprint', 'Athens area', 'Taliban regime', 'small polish city', 'slum mapping', 'road system', 'pollutant concentration data', 'perennial drainage', 'Lahore city', 'intermediate city', 'hydrologic risk', 'development zone construction', 'conflict zone', 'city worldwide', 'building height', 'annual air pollution']",28,"[6, 42, 119, 175, 190, 208, 213, 230, 293, 299, 302, 303, 310, 344, 348, 361, 368, 420, 464, 515, 565, 569, 570, 572, 578, 582, 588, 590]",0.989,15,25,28
0,root_1,-1,5,"['RMSE value', 'prediction error', 'model prediction', 'accurate prediction', 'overestimation']",5,"[299, 331, 420, 553, 594]",0.9827,50,20,24
0,root_1,0,30,"['supervised image classification', 'OLI image classification', 'image classification approach', 'image classification', 'image analysis', 'texture analysis', 'spatial classification', 'Logistic regression analysis', 'intensity analysis', 'classification map', 'urban feature extraction', 'transition rule mining', 'transition map', 'time series', 'Systematic data mining', 'spatiotemporal uncertainty', 'spatiotemporal neighborhood feature', 'Spatiotemporal modeling', 'spatial modeling', 'spatial logistic regression', 'semantic inpainting algorithm', 'recognition system', 'GIS modelling', 'GIS functionality', 'GIS approach', 'geospatial variable', 'geospatial application', 'feature importance', 'elevation model', 'contextual feature']",28,"[42, 59, 72, 100, 171, 182, 208, 213, 225, 230, 245, 293, 299, 320, 331, 436, 458, 475, 509, 515, 524, 554, 570, 572, 576, 588, 590, 594]",0.9827,50,20,24
0,root_1,1,24,"['machine learning algorithms', 'inductive learning algorithms', 'classification algorithms', 'machine learning technique', 'machine learning', 'learning model', 'high classification', 'classification strategy', 'classification rule', 'classification model', 'classification method', 'classification', 'advanced mathematical algorithms', 'semantic net', 'novel method', 'ML concept', 'logic', 'information entropy', 'extracted knowledge', 'explorative model', 'endogenous optimization method', 'data mining tool', 'big data', 'adoption strategy']",30,"[78, 90, 100, 119, 190, 208, 256, 288, 293, 302, 320, 331, 344, 368, 374, 420, 464, 475, 494, 509, 551, 554, 569, 572, 576, 578, 588, 589, 593, 594]",0.9827,50,20,24
0,root_2,-1,10,"['land use classification', 'landcover classification', 'land use master', 'land use class', 'land cover classification', 'land owner', 'land cover class', 'land cover', 'industrial land recognition', 'difference vegetation index']",14,"[72, 78, 167, 256, 302, 303, 344, 361, 391, 426, 509, 515, 565, 588]",0.8866,5,10,16
0,root_2,0,22,"['urban land use', 'urban land market', 'urban land cover', 'sustainable urban land', 'optimal urban land', 'land use policy', 'land use', 'urban forest cover', 'sustainable urbanization', 'shrubland coverage', 'residential land growth', 'residential land', 'land price prediction', 'land consumption', 'inefficient industrial land', 'settlement pattern', 'sand consumption', 'residential low impact', 'material consumption analysis', 'housing dispersal', 'green infrastructure', 'forest']",25,"[6, 42, 78, 90, 114, 119, 130, 135, 167, 171, 213, 256, 316, 344, 347, 348, 352, 374, 475, 509, 551, 554, 576, 589, 590]",0.8866,5,10,16
