Cluster,DocId,Cited by,Title,Author Keywords,Abstract,Year,Source title,Authors,DOI,Document Type,x,y
6,1,,Reconciling data-driven crime analysis with human-centered algorithms,Crime analysis; Machine learning; Social disorganization,"This study combines traditional statistical methods with machine learning to better understand locally relevant, contextual models for analyzing crime in two urban American cities. Using census tracts as the units of analysis and controlling for several structural characteristics associated with crime, we find that in Milwaukee, Wisconsin, violent crime is associated with concentrated disadvantage, residential stability, ethnic heterogeneity, total population, and spatial lag of violent crime. Yet, the most important variable is the spatial lag of violent crime, followed by residential stability, ethnic heterogeneity, total population, and concentrated disadvantage. In addition, we find that in Chicago, Illinois, violent crime is associated with immigration, owner-occupied housing, proportion in professional occupations, and proportion population with college degree or higher, as well as ethnic heterogeneity, total population, and the spatial lag for violent crime. Machine learning models suggest that for Chicago's violent crime, the most important variable is the spatial lag term for violent crime, followed by total population, immigration, college education or beyond, owner occupancy, ethnic heterogeneity, and employment in professional occupations. The findings for property crime are similar: in Milwaukee, we find that disadvantage, residential stability, ethnic heterogeneity, total population and spatial lag for property crime are significant predictors in the traditional regression models. However, the most important variable for property crime in Milwaukee is the spatial lag term, followed by total population, ethnic heterogeneity, residential stability and disadvantage. The statistically significant predictors of property crime in Chicago include immigration, owner-occupied housing units, living in the same house, proportion of workforce in professional occupations, college education and beyond, total population, and the spatial lag for property crime. In Chicago, the most important variable for property crime is the spatial lag term, then the total population, the proportion of individuals in professional occupations, concentrated immigration, college education and beyond, living in the same house, and the proportion of owner-occupied housing units. Urban planners must consider policies that can effectively reduce nearby crime and violence in all cities that experience high crime levels, but also design locally responsive policies that make sense within a local context: in Milwaukee, residential stability matters more for violent crime than for property crime, while in Chicago, total population is similarly important for both violent crime and property crime. In Milwaukee, ethnic heterogeneity is similarly important for violent and property crime, while in Chicago, ethnic heterogeneity is not a very important variable for violent crime and it is not a significant predictor of property crime. Therefore, urban policy must differently approach social disorganization indicators and support the nuances of the local context for urban planning and policy. © 2022 Elsevier Ltd",2022,Cities,"Clancy K., Chudzik J., Snowden A.J., Guha S.",10.1016/j.cities.2022.103604,Article,8.333032608,6.7936382294
6,2,,"Subjective or objective measures of street environment, which are more effective in explaining housing prices?",Human Perception; Property value; Street design qualities; Street view imagery; Subjective measures,"Houses with better street design are found to relate to a price premium. Prior studies mainly present the street quality using objective indicators like tree counts and distance to parks with land use data, or most recently using the greenery view index extracted from street view imagery (SVI). We argue objective indicators cannot completely describe people's sense of a place, as perception is a highly subjective process. We hypothesize that subjective measures using visual surveys could capture more subtle human perceptions, thus providing stronger predictive power to housing prices. However, the role of subjectively measured street design qualities is less known due to the lack of large-scale perception data. To test our hypothesis, we first collected designers’ perceptions on five urban design qualities from pairwise SVIs rankings in Shanghai with an online visual survey. Unlike the mainstream of using generic image features, we followed urban design theory and used rule-based features, i.e., about thirty streetscape elements extracted from SVIs to train machine learning (ML) models to predict subjective perceptions. The predictive power of five qualities versus ten selected individual streetscapes on housing price were compared using the hedonic price model. Besides the standard ordinary least squares (OLS), spatial regression and geographical weighted regression (GWR) were also developed to account for the spatial dependence and heterogeneity effects. We found both subjectively measured design qualities and objective indicators outperformed housing structural attributes in explaining housing price. While the objective view indexes collectively explained more price variances, the five perceptions individually exhibited stronger strength. Third, less-studied perceptions like “human scale” showed stronger strength than commonly studied “safety” and “enclosure”. Fourth, less-studied view indexes like “person” and “fence” outperformed ubiquitous features like trees and buildings. Lastly, prior studies might have resulted in biased estimations due to ignoring the multicollinear issues between the sky, tree and building views. Our study addressed the effectiveness of incorporating subjective perceptions at a micro level to infer housing prices. correlations between subjective perceptions were strong while that of objective indicators were negligible, therefore subjective perceptions can complement the objective indicators. The findings provide important reference to decision makers when selecting street quality indicators to infer urban design, city planning and community and housing development plans. © 2022 Elsevier B.V.",2022,Landscape and Urban Planning,"Qiu W., Zhang Z., Liu X., Li W., Li X., Xu X., Huang X.",10.1016/j.landurbplan.2022.104358,Article,7.9411735535,6.5460190773
5,3,,Spatiotemporal patterns and mechanisms of street vending from the social sensing perspective: A comparison between law-enforcement reported and residents complain events,High-frequency; Perception bias; Smart urban governance; Social sensing; Spatiotemporal big data; Street vending,"Street vending is an important part of the urban informal economy, especially in developing countries. How to control its negative externalities while augmenting its positive roles in the urban socio-economic system poses challenges to urban planning and governance. Existing studies have insufficiently addressed the issue largely due to the lack of high-frequent observation data for street vending events. By introducing socially sensed big data from the smart urban governance platform, as well as records from the “12345” urban problem complaint hotline of Jiangbei District, Ningbo, China, this paper examines and compares the spatiotemporal patterns and occurrence mechanisms of street vending events from both the urban managers' “top-down” and the urban residents' “bottom-up” points of view. Statistical and machine learning models show that the distribution of street vending activities as sensed by the two subjects does not overlap. The former concentrates in central urban areas and work times, while the latter is scattered distributed in everyday life-related places and times. The findings reaffirm the existence of perception bias in social sensing data and show the potential for utilizing such bias to nudge better urban governance practices. Theoretically and empirically, this research has contributed to promoting the people-oriented transformation of urban governance. © 2022",2022,Cities,"Li C., Huang Y., Shen Y., Xu L.",10.1016/j.cities.2022.103597,Article,7.8279137611,6.41264534
6,5,,A comprehensive study of the COVID-19 impact on PM2.5 levels over the contiguous United States: A deep learning approach,Community multiscale air quality (CMAQ) model; COVID-19; Deep convolutional neural network; Google mobility reports; PM2.5 estimation; United States,"We investigate the impact of the COVID-19 outbreak on PM2.5 levels in eleven urban environments across the United States: Washington DC, New York, Boston, Chicago, Los Angeles, Houston, Dallas, Philadelphia, Detroit, Phoenix, and Seattle. We estimate daily PM2.5 levels over the contiguous U.S. in March–May 2019 and 2020, and leveraging a deep convolutional neural network, we find a correlation coefficient, an index of agreement, a mean absolute bias, and a root mean square error of 0.90 (0.90), 0.95 (0.95), 1.34 (1.24) μg/m3, and 2.04 (1.87) μg/m3, respectively. Results from Google Community Mobility Reports and estimated PM2.5 concentrations show a greater reduction of PM2.5 in regions with larger decreases in human mobility and those in which individuals remain in their residential areas longer. The relationship between vehicular PM2.5 (i.e., the ratio of vehicular PM2.5 to other sources of PM2.5) emissions and PM2.5 reductions (R = 0.77) in various regions indicates that regions with higher emissions of vehicular PM2.5 generally experience greater decreases in PM2.5. While most of the urban environments ⸺ Washington DC, New York, Boston, Chicago, Los Angeles, Houston, Dallas, Philadelphia, Detroit, and Seattle ⸺ show a decrease in PM2.5 levels by 21.1%, 20.7%, 18.5%, 8.05%, 3.29%, 3.63%, 6.71%, 4.82%, 13.5%, and 7.73%, respectively, between March–May of 2020 and 2019, Phoenix shows a 5.5% increase during the same period. Similar to their PM2.5 reductions, Washington DC, New York, and Boston, compared to other cities, exhibit the highest reductions in human mobility and the highest vehicular PM2.5 emissions, highlighting the great impact of human activity on PM2.5 changes in eleven regions. Moreover, compared to changes in meteorological factors, changes in pollutant concentrations, including those of black carbon, organic carbon, SO2, SO4, and especially NO2, appear to have had a significantly greater impact on PM2.5 changes during the study period. © 2022 Elsevier Ltd",2022,Atmospheric Environment,"Ghahremanloo M., Lops Y., Choi Y., Jung J., Mousavinezhad S., Hammond D.",10.1016/j.atmosenv.2022.118944,Article,8.242058754,6.5853934288
6,6,,Generative Adversarial Network Approach to Future Sermonizing of Housing Dispersal in Emerging Cities,Emerging cities; Generative adversarial network; Housing dispersal; Machine learning; Urban growth,"This study aims to visualize the future housing dispersal of expatriates, based on the predicted urban growth in emerging cities. Generalized adversarial networks (GANs) will be utilized to predict the future urban growth of Doha Metropolitan emerging city. The housing dispersal of expatriates will be visualized on the predicted urban growth map to investigate housing preferences, which will be based on Gordon's theory. This study will prove the feasibility of a process approach when practicing the management of urban growth in emerging cities worldwide. It could be a robust solution for the worsening imbalance in the urban morphology of metropolitan cities. The findings of the broad-spectrum housing dispersal guidelines could benefit the policymakers and planners for the realities of spatial patterns and future urban growth. © 2021 American Society of Civil Engineers.",2022,Journal of Urban Planning and Development,"Ibrahim H., Khattab Z., Khattab T., Abraham R.",10.1061/(ASCE)UP.1943-5444.0000783,Article,8.2984437943,6.5137915611
6,7,,Supervised Machine Learning Approaches to Modeling Residential Infill Development in the City of Los Angeles,,"While infill development is widely accepted by cities as an alternative to urban sprawl, a very dearth of research has attempted to measure infill development and identify contributing factors to infill development. Filling this research gap, this paper models residential infill development in the City of Los Angeles by employing five machine learning (ML) algorithms. This paper attempts to identify the best-performing ML algorithms by comparing the performance of the ML algorithms. Of the five ML algorithms tested, the random forest (RF) and k-nearest neighbor (kNN) algorithms are selected as the best-performing algorithms. The RF algorithm ranks independent variables from most to least important. Overall, the ranks suggested that residential infill development in the City of Los Angeles is significantly influenced by the physical conditions of property and neighborhood rather than socioeconomic characteristics. Diverse land uses, good housing mixes, and rail transit accessibility also, importantly, contributed to the infill development. This finding suggests that the city's planning efforts, such as the promotion of accessory dwelling unit (ADU) development and the expansion of rail transit, can create a virtuous circle for sustainable urban development. © 2021 American Society of Civil Engineers.",2022,Journal of Urban Planning and Development,"Kim D., Shim J., Park J., Cho J., Kumar S.",10.1061/(ASCE)UP.1943-5444.0000787,Article,8.2530450821,6.6843438148
6,10,,Reconceptualizing urban heat island: Beyond the urban-rural dichotomy,Complex urban system; Environmental sustainability; Mitigation and adaptation; Networks; Urban heat island,"Past decades have seen drastically increasing research effort and progress on the study of the phenomenon of urban heat island (UHI). Despite its simplicity, this convenient concept has promoted significant advances in scientific research and policy making processes in the urban environmental community. Nevertheless, the oversimplification and inadequacy of the urban-rural dichotomy, inherited in the UHI concept, is increasingly manifest today in the continuously urbanized world. In this study, we conduct a holistic and in-depth survey of the inadequacy of the urban-rural dichotomy intrinsic to the definition of UHI, from theoretical, technical, and practical perspectives. In addition, in the light of recent research advances, we urge to radically reconceptualize UHI by proposing a novel paradigm by treating the total urban environment as a complex dynamic system. The new framework broadens the frontier of conventional urban environmental study by utilizing advanced techniques of complex systems and data sciences, including complex network theory, machine learning techniques, causal inference, etc. The reconceptualization of UHI is also expected to foster decision making and urban planning, and to avoid the one-sidedness of the singular and often too exclusive aim of heat mitigation. © 2021 Elsevier Ltd",2022,Sustainable Cities and Society,Wang Z.-H.,10.1016/j.scs.2021.103581,Review,8.1856327057,6.5660939217
6,11,,Urban Catchment-Scale Blue-Green-Gray Infrastructure Classification with Unmanned Aerial Vehicle Images and Machine Learning Algorithms,blue infrastructure; classification; green infrastructure; machine learning; unmanned aerial vehicle images,"Green infrastructure (GI), such as green roofs, is now widely used in sustainable urban development. An accurate mapping of GI is important to provide surface parameterization for model development. However, the accuracy and precision of mapping GI is still a challenge in identifying GI at the small catchment scale. We proposed a framework for blue-green-gray infrastructure classification using machine learning algorithms and unmanned aerial vehicle (UAV) images that contained digital surface model (DSM) information. We used the campus of the Southern University of Science and Technology in Shenzhen, China, as a study case for our classification method. The UAV was a DJI Phantom 4 Multispectral, which measures the blue, green, red, red-edge, and near-infrared bands and DSM information. Six machine learning algorithms, i.e., fuzzy classifier, k-nearest neighbor classifier, Bayes classifier, classification and regression tree, support vector machine (SVM), and random forest (RF), were used to classify blue (including water), green (including green roofs, grass, trees (shrubs), bare land), and gray (including buildings, roads) infrastructure. The highest kappa coefficient was observed for RF and the lowest was observed for SVM, with coefficients of 0.807 and 0.381, respectively. We optimized the sampling method based on a chessboard grid and got the optimal sampling interval of 11.6 m to increase the classification efficiency. We also analyzed the effects of weather conditions, seasons, and different image layers, and found that images in overcast days or winter days could improve the classification accuracy. In particular, the DSM layer was crucial for distinguishing green roofs and grass, and buildings and roads. Our study demonstrates the feasibility of using UAV images in urban blue-green-gray infrastructure classification, and our infrastructure classification framework based on machine learning algorithms is effective. Our results could provide the basis for the future urban stormwater management model development and aid sustainable urban planning. Copyright © 2022 Jia, Cui and Liu.",2022,Frontiers in Environmental Science,"Jia J., Cui W., Liu J.",10.3389/fenvs.2021.778598,Article,7.8019218445,6.4405164719
6,12,,Investigation of Airflow around Buildings using Large-Eddy Simulations for Unmanned Aircraft Systems Applications,,"The ever-increasing demand for Unmanned Aircraft Systems (UAS) has led to the desire for integrating them into spaces in close proximity of humans like dense urban spaces, a reality previously thought of as inconceivable. One of the main concerns to be addressed before its widespread adoption is safety, especially in areas of operation adjacent to structures like buildings. This work investigates the effect of building geometries on the flow field in a simplified urban setup consisting of an isolated building to predict their potential impacts on UAS operations. Unanticipated wind gusts or turbulent flow conditions prevalent around various structures constitute a significant challenge for UAS operations in urban environments. We use Large-Eddy Simulation to better understand the unsteady and highly coherent turbulent flow structures produced by buildings in neutral atmospheric boundary layer flow. Furthermore, we also demonstrate a non-intrusive machine learning methodology to predict flow fields to augment safe wind-aware navigation systems for Unmanned Aerial Vehicles as a first step towards safely integrating UAS into existing aerial infrastructure. © 2022, American Institute of Aeronautics and Astronautics Inc.. All rights reserved.",2022,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2022","Landua T.R., Vuppala R.K.S.S., Kara K.",10.2514/6.2022-1688,Conference Paper,8.2652893066,6.6529912949
3,13,,Designing Data Validation Framework for Crowd-Sourced Road Monitoring Applications,Crowd sourcing; Data validation; Machine learning; Naive Bayes,"With the wide availability of smartphone sensing and the Internet connections, mobile crowd sourcing (MCS) has become a promising paradigm for collecting opinions and providing services to the citizens. In the smart city context, crowd data, both in the form of their opinions and in the form of sensing data from their smartphones are very useful for scalable monitoring of resource demand and planning. Since these devices are portable, it is carried by almost every citizen, thus making them ubiquitous. However, the main bottleneck of such crowd intelligence-based services is data validation as opinions can be biased, influenced by some factors not relevant to the problem in focus. So, in this paper, a data validation framework utilizing machine learning techniques for mobile crowdsourcing applications is proposed. It is focused on MCS-based road monitoring applications. The idea of crowdsourced urban area road monitoring application(CURMA) presented in the paper is implemented and results show the crucial need for such data validation frameworks. © 2022, The Institution of Engineers (India).",2022,Journal of The Institution of Engineers (India): Series B,"Saha J., Roy S., Das T.K., Purkait K., Chowdhury C.",10.1007/s40031-022-00713-x,Article,8.1749849319,6.6116085051999995
