Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
3,-1,0,"['data', 'energy', 'spatial']",22,"['spatial vector data', 'spatial data', 'energy benchmarking data', 'urban data source', 'spatial statistic', 'spatial modeling approach', 'massive urban data', 'hyperlocal data', 'environmental data', 'energy performance', 'energy modelling', 'energy engineering modeling', 'diffusion data', 'data envelopment analysis', 'consumption data', 'citizen science data', 'urban sensing', 'remote sensing', 'nighttime LST image', 'Landsat imagery', 'Energy Information', 'emission modelling']",18,"[8, 22, 45, 46, 101, 119, 138, 169, 185, 199, 201, 286, 356, 421, 424, 452, 526, 573]"
3,-1,1,"['air', 'heat', 'island']",18,"['urban heat island', 'heat island phenomenon', 'heat island', 'turbulent air', 'influence air', 'air quality prediction', 'air pollutant prediction', 'topographic wind index', 'smart city development', 'smart city', 'pollution quality prediction', 'pollutant concentration data', 'particle concentration downwind', 'outdoor wind environment', 'Korean smart city', 'health hazard forecasting', 'different wind direction', 'atmospheric variable field']",23,"[45, 46, 86, 95, 114, 185, 206, 213, 255, 330, 348, 349, 414, 415, 420, 421, 424, 435, 440, 493, 526, 527, 572]"
3,-1,2,"['ventilation', 'air', 'temperature']",18,"['air temperature resolution', 'air temperature estimation', 'air temperature data', 'ventilation index', 'urban natural ventilation', 'indoor ventilation potential', 'indoor building ventilation', 'indoor air speed', 'Effective urban ventilation', 'cross ventilation potential', 'susceptibility index', 'Iran meteorology organization', 'Iran arid area', 'dynamic heat monitoring', 'complex terrain basin', 'compatible aridity index', 'aridity trend', 'arid region']",9,"[45, 114, 151, 165, 199, 213, 416, 425, 493]"
3,-1,3,"['urban', 'area', 'city']",14,"['urban green area', 'urban area exerts', 'urban area', 'urban vegetation configuration', 'urban tree specie', 'urban ecosystem', 'regional urbanization', 'predict urban scale', 'low carbon city', 'city', 'African city', 'vegetation information', 'tree management decision', 'roadside green infrastructure']",38,"[8, 22, 28, 39, 45, 46, 83, 89, 98, 101, 114, 138, 151, 169, 179, 185, 199, 201, 213, 255, 257, 286, 330, 349, 356, 414, 415, 416, 420, 421, 424, 435, 440, 446, 499, 526, 527, 572]"
3,0,0,"['learning', 'machine', 'algorithm']",26,"['machine learning algorithms', 'supervised machine learning', 'machine learning method', 'machine learning', 'extreme learning machine', 'whale optimization algorithm', 'random forest machine', 'neural network algorithm', 'hierarchical clustering algorithm', 'Forest algorithm', 'distance metric learning', 'deep learning', 'algorithm', 'stacking ensemble model', 'reviewed ML method', 'regression tree', 'Random Forest regression', 'random forest', 'neural network', 'mining raw microblogging', 'Machine Learning approach', 'imbalanced datasets', 'empirical mode decomposition', 'cluster analysis', 'boosted regression tree', 'big data']",41,"[8, 22, 28, 45, 46, 83, 86, 89, 95, 101, 114, 119, 138, 151, 169, 179, 185, 199, 213, 255, 257, 286, 330, 348, 356, 414, 415, 420, 421, 424, 425, 435, 440, 446, 452, 479, 493, 499, 527, 572, 573]"
3,0,1,"['model', 'prediction', 'regression']",15,"['prediction model', 'concentration prediction model', 'CIOI prediction model', 'support vector regression', 'statistical model', 'regression', 'reduced order modelling', 'promising model', 'prediction importance level', 'metamodels', 'meta model', 'linear regression', 'spectral explanatory variable', 'causal inference', 'base regressors']",25,"[8, 39, 45, 83, 86, 89, 95, 101, 114, 151, 185, 199, 213, 255, 257, 348, 356, 420, 425, 435, 479, 493, 499, 526, 573]"
3,1,0,"['urban', 'planning', 'building']",22,"['urban planning scheme', 'urban planning', 'urban building', 'urbanization process monitoring', 'urban spatial structure', 'urban morphology feature', 'urban landscape', 'urban geometric form', 'urban design', 'environment mitigation planning', 'environment design planning', 'building', 'Urban architecture', 'sustainable architecture', 'mean architecture height', 'geometric indicator', 'floor area ratio', 'Cities Study protocol', 'built environment factor', 'built area', 'Building age', 'architectural pattern influence']",35,"[8, 22, 28, 39, 89, 95, 98, 101, 114, 119, 138, 165, 169, 179, 185, 199, 201, 206, 213, 255, 257, 286, 330, 348, 414, 415, 416, 421, 424, 440, 446, 479, 499, 526, 572]"
3,1,1,"['energy', 'building', 'simulation']",11,"['building energy simulation', 'urban building energy', 'building simulation', 'strategic sustainable energy', 'energy prediction', 'energy efficiency market', 'energy consumption prediction', 'CFD simulation', 'Building energy consumption', 'Gaussian plume model', 'CFD model']",9,"[8, 22, 86, 114, 119, 185, 213, 420, 572]"
3,1,2,"['vegetation', 'index', 'structure']",10,"['vegetation structure', 'vegetation index', 'difference vegetation index', 'vegetation greenness', 'vegetation distribution', 'vegetation cover', 'vegetation barrier design', 'classification index map', 'leaf area density', 'Information System mapping']",10,"[28, 39, 119, 257, 330, 349, 414, 424, 425, 435]"
3,2,0,"['urban', 'temperature', 'thermal']",28,"['urban thermal landscape', 'urban thermal exposure', 'urban thermal environment', 'urban thermal condition', 'urban surface temperature', 'influence urban temperature', 'urban heat hazard', 'Urban air temperature', 'thermal pollution source', 'thermal load', 'thermal comfort prediction', 'surface urban heat', 'summer surface temperature', 'skin temperature', 'land surface temperature', 'daytime average temperature', 'city temperature prediction', 'alleviate urban heat', 'scale surface climate', 'progressively hot city', 'park cooling efficiency', 'heat hazard risk', 'downscaling', 'Climatic variable', 'climatic parameter', 'airborne particulate matter', 'air quality', 'air pollution']",30,"[28, 39, 45, 83, 89, 95, 98, 151, 165, 179, 199, 206, 257, 286, 330, 349, 356, 414, 415, 416, 421, 424, 425, 435, 440, 479, 493, 499, 526, 527]"
