Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
-1,-1,0,"['data', 'analysis', 'big']",25,"['big data analysis', 'big data revolution', 'big data', 'social network analysis', 'social metadata', 'regression analysis', 'hot spot analysis', 'height data', 'GIS hotspot analysis', 'data interpretation', 'data', 'comparative analysis', 'Big data analytics', 'zone classification approach', 'visualization technique', 'visual analytics', 'various regressors', 'typical source', 'spatial design network', 'Predictive analytics', 'multivariate regression technique', 'empirical examination', 'building height', 'body mass index', 'area intelligent classification']",50,"[5, 14, 27, 36, 38, 52, 66, 73, 85, 91, 103, 128, 134, 136, 140, 142, 149, 153, 157, 167, 174, 184, 188, 198, 209, 246, 247, 251, 252, 253, 254, 263, 285, 287, 318, 323, 326, 343, 380, 383, 391, 394, 399, 432, 466, 472, 484, 516, 565, 571]"
-1,-1,1,"['urban', 'planning', 'carbon']",23,"['urban planning', 'urban growth planning', 'experimental urban planning', 'urban resilience', 'urban management', 'urban development', 'travel carbon emission', 'regional planning', 'environmental planning', 'environment planning', 'efficient environmental planning', 'effective urban policy', 'carbon sequestration potential', 'carbon emission', 'artificial urban modeling', 'sustainable travel', 'spatial environment concern', 'spatial cognition', 'smart city management', 'municipality', 'geometry', 'environment determinant', 'city development']",48,"[14, 27, 35, 42, 51, 73, 85, 140, 145, 153, 157, 167, 173, 174, 184, 188, 196, 198, 227, 246, 247, 253, 254, 263, 277, 278, 307, 308, 318, 338, 343, 383, 386, 391, 394, 395, 399, 432, 438, 462, 466, 467, 472, 473, 484, 560, 565, 571]"
-1,-1,2,"['design', 'planning', 'development']",20,"['system adaptation planning', 'optimized design recommendation', 'international development', 'innovative development', 'grey development', 'generative design approach', 'Generative design', 'design process', 'complex planning', 'appropriate planning response', 'systematization', 'sociotechnical system', 'sociality', 'individual assessment', 'exploration strategy', 'economic assessment', 'economic agenda', 'detail composition', 'case study method', 'affective quality']",20,"[52, 128, 136, 142, 146, 149, 173, 188, 254, 318, 320, 338, 355, 380, 386, 391, 432, 434, 466, 467]"
-1,-1,3,"['urban', 'data', 'information']",20,"['urban data science', 'thematic urban information', 'open urban data', 'new urban data', 'urban economy', 'spatial information system', 'Paris dataset', 'multivariate municipality data', 'geospatial datasets', 'spatial agent', 'space ontology', 'silk road commerce', 'satellite remote sensing', 'satellite imagery', 'remote sensing', 'LiDAR resource', 'eastern civilization', 'downstream space activity', 'Corinthian order capital', 'ancient business town']",21,"[27, 52, 91, 134, 140, 174, 196, 251, 252, 263, 308, 383, 391, 395, 399, 438, 472, 484, 516, 565, 588]"
-1,-1,4,"['personality', 'unmanned', 'flight']",20,"['unmanned aircraft flight', 'unmanned aerial vehicle', 'player personality behavior', 'personality classification task', 'personality classification method', 'intelligent unmanned technology', 'flight', 'dynamic flight plan', 'different personality', 'UAVs device', 'rating', 'prediction', 'predicted ridership', 'player act', 'overestimation', 'overall accuracy', 'military operation', 'mentor', 'fleet', 'accurate prediction']",22,"[51, 103, 136, 153, 184, 209, 247, 277, 278, 285, 287, 308, 320, 326, 380, 383, 386, 394, 434, 438, 516, 579]"
-1,-1,5,"['decision', 'tree', 'classification']",19,"['decision tree model', 'Decision tree classification', 'decision tree algorithm', 'decision tree', 'XGBoost classification', 'automatic classification', 'user input', 'syntactic blueprint', 'speech recognition', 'random forest', 'online educational game', 'Online citizen participation', 'nested logit model', 'natural language processing', 'multiple classifier', 'latent Dirichlet allocation', 'educational game', 'computational linguistics', 'adaptive boosting']",19,"[36, 38, 51, 69, 73, 103, 153, 174, 184, 198, 227, 246, 277, 278, 323, 343, 394, 462, 579]"
-1,-1,6,"['landscape', 'cover', 'data']",15,"['data rich landscape', 'vegetation cover', 'landscape ecology', 'land cover pattern', 'watershed soil erosion', 'scenic beauty', 'nearby floral resource', 'nature photographs', 'grass root survey', 'geomorphological process', 'ecological civilisation', 'dominate habitat selection', 'desertification', 'cultural ecosystem service', 'common wild bee']",9,"[5, 14, 24, 36, 66, 103, 140, 338, 383]"
-1,-1,7,"['energy', 'consumption', 'forecasting']",12,"['geospatial energy consumption', 'ensemble energy consumption', 'Energy consumption forecasting', 'temporal ensemble forecasting', 'residential electric consumption', 'energy performance', 'energy demand estimation', 'electricity consumption data', 'electric load forecasting', 'power market design', 'electricity theft', 'demand response initiative']",6,"[146, 149, 209, 323, 326, 571]"
-1,-1,8,"['urban', 'design', 'flickr']",12,"['urban design theory', 'urban design research', 'urban design parameter', 'urban design decision', 'Transit urban design', 'transportation problem', 'public transport use', 'Flickr image', 'city image dimension', 'bus station coverage', 'automobile choice', 'Analysing Flickr photos']",10,"[38, 51, 85, 146, 149, 227, 252, 355, 383, 466]"
-1,-1,9,"['water', 'urban', 'governance']",12,"['urban water infrastructure', 'water resource management', 'water', 'Urban water', 'stream water quality', 'nexus governance debate', 'basin governance', 'walkable catchment', 'pollution problem', 'pollutant concentration data', 'hydrological modeling', 'environmental monitoring task']",9,"[5, 35, 103, 128, 157, 247, 355, 380, 516]"
-1,-1,10,"['soundscape', 'urban', 'sound']",10,"['urban soundscape evaluation', 'urban sound recognition', 'soundscape recognition', 'soundscape classification model', 'soundscape assessment', 'automatic sound recognizer', 'audio event', 'audio data corpus', 'acoustic environment', 'acoustic data']",4,"[69, 136, 181, 246]"
-1,-1,11,"['tool', 'neural', 'network']",10,"['neural network method', 'neural network learns', 'artificial neural network', 'powerful workshop tool', 'numeric AI tool', 'engineering AI tool', 'long data', 'large data set', 'high dimensional data', 'fractal dimension index']",13,"[35, 38, 42, 134, 167, 173, 318, 343, 380, 391, 394, 434, 565]"
-1,-1,12,"['climate', 'risk', 'regional']",9,"['climate risk', 'regional characteristic', 'italian regional science', 'disaster risk', 'climate resilience', 'climate', 'Risk management system', 'morphological characteristic', 'historical flood hazard']",12,"[36, 52, 247, 254, 287, 320, 462, 467, 473, 484, 560, 588]"
-1,-1,13,"['climate', 'particulate', 'urban']",8,"['urban climate solution', 'urban climate mitigation', 'particulate matter', 'particulate', 'global climate solution', 'fine particulate matter', 'regional dust', 'dust storm intensity']",5,"[24, 42, 52, 157, 254]"
-1,0,0,"['learning', 'machine', 'data']",27,"['machine learning method', 'machine learning approach', 'machine learning algorithms', 'machine learning', 'training data', 'Systematic data mining', 'novel data mining', 'deep learning', 'data mining', 'threshold effect', 'swarm intelligence', 'particle swarm optimization', 'modeling technique', 'knowledge spillover', 'knowledge discovery technique', 'image processing technique', 'Hough transform', 'fuzzy inference system', 'explorative model', 'digital touch table', 'cooperative conceptualization', 'convolutional neural network', 'computer vision', 'collective effect', 'collaborative chat', 'cellular automata', 'adaptive intelligent approach']",45,"[35, 38, 52, 66, 69, 73, 85, 128, 134, 140, 142, 145, 149, 153, 167, 173, 196, 198, 209, 246, 247, 251, 252, 253, 263, 277, 278, 285, 287, 307, 308, 326, 343, 380, 386, 391, 394, 399, 432, 438, 472, 473, 484, 560, 565]"
-1,0,1,"['classification', 'various', 'synthetic']",12,"['various classification', 'synthetic minority', 'manual classification', 'classification rule', 'SVM model', 'quaternary representation', 'Positive deviance', 'heterogeneity', 'descriptor', 'classifier', 'categorical variable', 'automated detection student']",14,"[14, 38, 69, 153, 174, 181, 184, 188, 277, 320, 323, 399, 473, 560]"
-1,1,0,"['urban', 'area', 'street']",42,"['urban street network', 'urban commercial street', 'urban area', 'global urban area', 'complex urban area', 'visible street greenery', 'usable floor area', 'urban space', 'urban simulation', 'urban road traffic', 'urban phenomenon', 'urban park access', 'urban future scenario', 'urban functional zone', 'urban form indicator', 'urban form classification', 'urban form', 'urban environment', 'upscale urban climate', 'street view', 'street', 'slum area', 'open space area', 'metropolitan area', 'accessed street', 'Starbucks coffee shop', 'smartphone', 'road traffic noise', 'pedestrian reaction', 'pedestrian landscape', 'peculiar spacescape quality', 'optimal zoning', 'noise annoyance assessment', 'neighborhood', 'industrial waterfront', 'frequency domain', 'FAUAV routing technique', 'dense road', 'collision avoidance', 'city activity', 'city', 'Chinese city']",54,"[24, 27, 35, 36, 42, 51, 52, 66, 69, 73, 85, 91, 103, 134, 142, 145, 146, 149, 157, 167, 174, 181, 184, 196, 198, 209, 227, 246, 251, 252, 253, 254, 263, 285, 287, 307, 308, 320, 326, 338, 355, 383, 386, 394, 395, 432, 434, 438, 462, 484, 516, 560, 571, 579]"
