Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
3,7,"['residential infill development', 'ML algorithms', 'city', 'sustainable urban development', 'urban sprawl']",62,"['residential infill development', 'residential infill', 'model residential infill', 'urban sprawl', 'urban development', 'sustainable urban development', 'ML algorithms', 'machine learning', 'good housing mix', 'housing mix', 'good housing', 'sprawl', 'housing', 'infill development', 'neighborhood', 'city', 'land', 'neighbor', 'infill', 'algorithms', 'learning', 'property', 'Diverse land', 'algorithm', 'RF algorithm rank', 'RF algorithm', 'planning', 'rail', 'planning effort', 'kNN', 'development', 'rail transit', 'algorithm rank', 'independent variable', 'model', 'rank independent variable', 'research', 'research gap', 'random', 'expansion', 'promotion', 'machine', 'transit accessibility', 'finding', 'transit', 'variable', 'mix', 'unit', 'rank', 'paper model', 'virtuous circle', 'circle', 'performance', 'accessibility', 'effort', 'paper', 'gap', 'dearth', 'alternative', 'physical condition', 'factor', 'condition']"
3,15,"['address record', 'Automatic identification', 'urban planning', 'geocoding', 'Chinese author']",77,"['address record', 'geocoding', 'incomplete address record', 'incomplete address', 'address', 'Automatic identification', 'urban planning', 'data integration', 'census', 'privacy', 'census operation', 'architecture', 'database', 'Chinese author', 'data', 'complex language', 'attention', 'automated approach', 'move', 'entity', 'spatial constraint', 'identification', 'systematic literature', 'construction', 'systematic literature review', 'research', 'finding', 'attention mechanism', 'author', 'planning', 'view', 'majority', 'future study', 'language', 'study', 'challenge', 'task', 'several challenge', 'paper', 'great majority', 'semantics', 'evolution', 'service', 'literature', 'use', 'way', 'different source', 'constraint', 'main finding', 'literature review', 'hybrid approach', 'method', 'operation', 'limitation', 'guideline', 'role', 'level', 'various level', 'traditional approach', 'integration', 'stand', 'order', 'consistent move', 'approach', 'recent adoption', 'source', 'record', 'activity', 'adoption', 'central role', 'current limitation', 'review', 'time', 'method stand', 'mechanism', 'set', 'final set']"
3,34,"['maternal mental health', 'urban design', 'Electronic health', 'built environment factor', 'neighborhood average education']",129,"['maternal mental health', 'postpartum depression', 'pregnancy care', 'prenatal care', 'prenatal care variation', 'prenatal care pattern', 'built environment factor', 'urban design', 'neighborhood', 'healthy pregnancy', 'prenatal care event', 'urban setting', 'pregnant woman', 'built environment', 'neighborhood average education', 'urban design policy', 'walkability', 'Electronic health', 'mental health', 'pregnancy outcome', 'pregnancy', 'mental health outcome', 'environment factor', 'walkable community', 'health', 'childbirth', 'environment', 'observational study', 'Structural equation modeling', 'health outcome', 'environment experience', 'health record', 'Electronic health record', 'depression', 'preventive care', 'land use', 'retrospective observational', 'medical center', 'retail floor', 'retrospective observational study', 'retail floor ratio', 'observational', 'air pollutant concentration', 'clinical problem', 'care provider', 'homogeneous land use', 'machine learning', 'floor ratio', 'care variation', 'care pattern', 'modeling', 'diagnosis', 'marital status', 'Risk factor', 'community', 'data', 'pollutant concentration', 'medication', 'academic medical center', 'Structural equation', 'floor', 'clinical event', 'patient', 'pattern detection', 'homogeneous land', 'woman', 'land', 'equation modeling', 'design', 'detection', 'medication prescription', 'delivery', 'association', 'live delivery', 'experience different pattern', 'income inequality', 'care event', 'awareness', 'prescription', 'pattern', 'adverse outcome', 'education', 'design policy', 'Conclusion', 'average education level', 'income', 'Background', 'air', 'provider', 'inequality', 'concentration', 'risk', 'problem', 'education level', 'exposure', 'average education', 'learning', 'use', 'comparison', 'factor', 'variability', 'frequency', 'rate', 'care', 'different pattern', 'experience', 'setting', 'study', 'machine', 'variation', 'quality', 'ratio', 'type', 'status', 'main outcome', 'equation', 'encounter type', 'policy', 'level', 'Method', 'outcome', 'event', 'age', 'common type', 'record', 'year', 'encounter', 'Result', 'center']"
3,43,"['taxonomy mapping', 'urban planning', 'POI conflation', 'data quality', 'schema standardisation']",78,"['taxonomy mapping', 'POI conflation framework', 'many geospatial application', 'POI unification', 'schema standardisation', 'urban planning', 'unified POI dataset', 'dense urban contexts', 'POI matching', 'POI conflation', 'mapping', 'POI data source', 'POI dataset', 'POI data', 'geospatial application', 'urban contexts', 'semantic information', 'unified dataset', 'data quality', 'conflation framework', 'data procurement', 'different data source', 'taxonomy', 'data serf', 'standardisation', 'data verification', 'different data', 'unification', 'conflation', 'data source', 'data', 'dataset', 'transportation', 'large scale implementation', 'information', 'place', 'planning', 'POI match', 'scale implementation', 'contexts', 'estate', 'multiple source', 'region', 'matching', 'procurement', 'accuracy', 'implementation', 'scalability', 'real estate', 'framework', 'valuable source', 'quality', 'eastern region', 'case study', 'coverage', 'point', 'verification', 'availability', 'match', 'application', 'feasibility', 'serf', 'study', 'source', 'step', 'interest', 'evaluation', 'approach', 'time', 'min', 'case', 'baseline', 'run', 'valuable technique', 'average run time', 'technique', 'run time', 'average run']"
3,65,"['spatial justice', 'random forest', 'urban planning', 'economic mobility', 'shap tree explainer']",89,"['spatial justice', 'urban planning', 'spatial injustice', 'census tract', 'economic mobility', 'spatial inequality', 'local geography', 'spatial variable', 'random forest', 'individual census tract', 'geography', 'upward mobility', 'census', 'machine learning', 'individual census', 'machine learning technique', 'tree explainer', 'influential feature', 'forest', 'shap tree explainer', 'justice', 'shap tree', 'inequality', 'area', 'injustice', 'mobility', 'analysis', 'explainer', 'important keystone', 'comparative analysis', 'planning', 'accuracy', 'tree', 'keystone', 'individual measure', 'community', 'methodology relies', 'Application', 'measure', 'power', 'influence', 'research', 'methodology', 'density', 'learning', 'facility', 'feature', 'underground storage', 'performing model', 'shap', 'job', 'medical facility', 'variable', 'importance', 'presence', 'storage', 'impact', 'learning technique', 'scholar', 'tract', 'underground storage tank', 'others', 'overall quest', 'result', 'storage tank', 'model', 'concept', 'machine', 'Recent research', 'result show', 'relies', 'light', 'effort', 'technique', 'issue', 'quest', 'event', 'global event', 'tank', 'show', 'multitude', 'availability', 'compactness', 'paper', 'end', 'decade', 'performing', 'powerful lens', 'lens']"
3,91,"['urban planning', 'Sustainable development scale', 'housing supply', 'machine learning', 'economic assessment']",94,"['urban planning', 'housing supply', 'Urban planner need', 'housing estate', 'Economic sustainability', 'housing', 'Sustainable development scale', 'residential unit', 'Sustainable development', 'Urban planner', 'economic assessment', 'condos', 'human settlement', 'sustainability', 'machine learning', 'household concentration', 'population density', 'per household share', 'per household', 'economic growth', 'property', 'neighborhood', 'economic relationship', 'household share', 'project level', 'nonlinear economic relationship', 'threshold scale', 'city', 'estate', 'tipping point', 'planner need', 'development scale', 'property transaction', 'local project level', 'household', 'learning', 'settlement', 'property transaction data', 'growth', 'population', 'policy implication', 'development bulk', 'local project', 'planning', 'development', 'amenity', 'provision', 'data', 'project', 'facility', 'value', 'common facility', 'high level', 'planner', 'national level', 'scale', 'critical limit', 'relationship', 'theory suggest', 'policy', 'suggest', 'perspective', 'unit', 'dispersal', 'density', 'number', 'bottleneck', 'limit', 'level', 'assessment', 'supply', 'concentration', 'contrast', 'study', 'machine', 'implication', 'research', 'question', 'transaction data', 'decade', 'balance', 'possible bottleneck', 'tipping', 'point', 'attention', 'need', 'share', 'theory', 'evidence', 'approach', 'per', 'technique', 'transaction', 'bulk']"
3,95,"['Urban morphological feature', 'deep learning approach', 'similarity analysis', 'residential plot', 'infrastructure information']",95,"['Urban morphological feature', 'urban morphology contributes', 'urban morphology', 'urban design', 'morphological feature', 'quantitative morphological description', 'morphological description', 'morphological feature extraction', 'convolutional neural network', 'deep learning', 'deep learning approach', 'deep learning method', 'similarity analysis', 'morphology contributes', 'feature extraction', 'morphology', 'neural network', 'feature vector', 'residential plot', 'infrastructure information', 'similarity', 'related infrastructure information', 'urban consequence', 'built environment', 'current built environment', 'building', 'city', 'shape', 'dataset', 'plot shape', 'related infrastructure', 'infrastructure situation', 'information abundance', 'social infrastructure situation', 'design', 'qualitative description', 'overall characteristic', 'learning', 'infrastructure', 'novel design', 'symbolical interpretation', 'Euclidean distance', 'characteristic', 'sustainable development', 'learning method', 'comparison study', 'image', 'learning approach', 'decision', 'social infrastructure', 'comparison', 'vector', 'environment', 'network', 'description', 'extraction', 'analysis', 'generalizability', 'association', 'association study', 'feature', 'subjective bias', 'information', 'development', 'decision making', 'built', 'many study', 'evolution', 'abundance', 'distance', 'plot', 'study', 'bias', 'economic study', 'interpretation', 'case', 'basis', 'indicator', 'making', 'reference', 'practical framework', 'custom', 'adequate reference', 'framework', 'current built', 'contributes', 'situation', 'work', 'feasibility', 'potential', 'method', 'consequence', 'approach', 'conventional method', 'aid']"
3,99,"['urban poverty', 'machine learning approach', 'satellite imagery', 'Hough transform', 'housing inequality']",93,"['urban poverty', 'housing inequality', 'housing affordability', 'urban planning', 'satellite imagery', 'poverty level', 'different poverty level', 'different poverty', 'machine learning approach', 'machine learning', 'poverty', 'image feature', 'housing', 'histogram', 'neighborhood', 'Hough transform', 'sustainable society', 'segment detector', 'imagery', 'line segment detector', 'affordability', 'satellite', 'wealth', 'satisfactory prediction result', 'image', 'prediction result', 'rapid identification', 'prediction', 'area', 'learning approach', 'income', 'local binary pattern', 'Asian perspective', 'learning', 'important variable', 'perspective', 'line segment', 'inequality', 'gradient', 'society', 'detector', 'satisfactory prediction', 'binary pattern', 'local binary', 'potential application', 'feature', 'community level', 'binary', 'community', 'utility', 'application', 'Implication', 'identification', 'model performance', 'matrix', 'transform', 'Policy maker', 'result show', 'cooccurrence matrix', 'importance', 'obvious difference', 'pattern', 'perimeter', 'social group', 'empirical evidence', 'segment', 'level', 'coefficient', 'model', 'finding', 'cooccurrence', 'evidence', 'planning', 'machine', 'group', 'rationality', 'Policy', 'variable differs', 'line', 'show', 'important manifestation', 'response', 'result', 'variable', 'case', 'difference', 'approach', 'performance', 'maker', 'determination', 'paper', 'differs', 'manifestation']"
3,107,"['geodemographic classification development', 'urban decision making', 'machine learning', 'variable selection procedure', 'local classification']",68,"['geodemographic classification development', 'geodemographic classification', 'urban decision making', 'urban planning', 'local classification', 'geodemographics', 'classification development', 'urban decision', 'classification', 'supervised machine learning', 'city', 'Feature Selection method', 'machine learning', 'variable selection', 'machine learning technique', 'traditional variable selection', 'policy decision making', 'variable selection procedure', 'public policy decision', 'supervised machine', 'selection procedure', 'Selection method', 'relevant input variable', 'selection', 'Library use', 'UK city', 'discriminatory power', 'policy decision', 'decision making', 'utility', 'public policy', 'learning', 'variable selection phase', 'selection phase', 'planning', 'development', 'decision', 'learning technique', 'increased discriminatory power', 'use', 'variable', 'relevant input', 'propensity', 'context', 'input variable', 'application', 'power', 'relevant result', 'input', 'policy', 'capacity', 'machine', 'technique', 'method', 'framework', 'work', 'traditional approach', 'underpins', 'scepticism', 'improvement', 'procedure', 'approach', 'phase', 'result', 'making', 'proposal', 'recent scepticism', 'order']"
3,122,"['global urban data', 'cluster dynamic analysis', 'Safe city', 'machine learning', 'urban development potential']",75,"['global urban data', 'cluster dynamic analysis', 'urban development potential', 'urban development', 'Safe city', 'urban data', 'overall urban performance', 'urban data base', 'comparative cluster', 'relevant cluster', 'new urban world', 'city', 'cluster', 'sequential cluster', 'many world city', 'urban world', 'global city', 'advanced sequential cluster', 'machine learning', 'urban performance', 'world city', 'empirical data', 'new analytical framework', 'safety', 'quantitative characteristic feature', 'dynamic analysis', 'data', 'security', 'comparative analysis', 'analytical framework', 'development potential', 'performance data', 'important predictor', 'analysis', 'learning', 'data base', 'magnetism achievement', 'predictor', 'characteristic feature', 'magnetism', 'policy lesson', 'development', 'growth', 'security condition', 'relevant policy lesson', 'study', 'framework', 'software', 'Python software', 'lesson', 'performance', 'wealth', 'machine', 'comprehensive relevant', 'novel machine', 'diversity', 'awareness', 'potential', 'feature', 'policy', 'use', 'relevant policy', 'many world', 'enormous diversity', 'appearance', 'approach', 'variability', 'world', 'aim', 'achievement', 'relevant', 'condition', 'base', 'way', 'paper']"
