HDBSCAN_Cluster,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y
-1,5,126.0,2013,Article,Partial least-squares regression for linking land-cover patterns to soil erosion and sediment yield in watersheds,"There are strong ties between land cover patterns and soil erosion and sediment yield in watersheds. The spatial configuration of land cover has recently become an important aspect of the study of geomorphological processes related to erosion within watersheds. Many studies have used multivariate regression techniques to explore the response of soil erosion and sediment yield to land cover patterns in watersheds. However, many landscape metrics are highly correlated and may result in redundancy, which violates the assumptions of a traditional least-squares approach, thus leading to singular solutions or otherwise biased parameter estimates and confidence intervals. Here, we investigated the landscape patterns within watersheds in the Upper Du River watershed (8973km2) in China and examined how the spatial patterns of land cover are related to the soil erosion and sediment yield of watersheds using hydrological modeling and partial least-squares regression (PLSR). The results indicate that the watershed soil erosion and sediment yield are closely associated with the land cover patterns. At the landscape level, landscape characteristics, such as Shannon's diversity index (SHDI), aggregation index (AI), largest patch index (LPI), contagion (CONTAG), and patch cohesion index (COHESION), were identified as the primary metrics controlling the watershed soil erosion and sediment yield. The landscape characteristics in watersheds could account for as much as 65% and 74% of the variation in soil erosion and sediment yield, respectively. Greater interspersion and an increased number of patch land cover types may significantly accelerate soilerosion and increase sediment export. PLSR can be used to simply determine the relationships between land-cover patterns and watershed soil erosion and sediment yield, providing quantitative information to allow decision makers to make better choices regarding landscape planning. With readily available remote sensing data and rapid developments in geographic information system (GIS) technology, this practical and simple PLSR approach could be applied to a variety of other watersheds. © 2013 Elsevier B.V.",Co-dependent data; Landscape metrics; Sediment delivery ratio; Sediment yield; Soil erosion,"Shi Z.H., Ai L., Li X., Huang X.D., Wu G.L., Liao W.",10.1016/j.jhydrol.2013.06.031,4.67,1.16
-1,8,101.0,2017,Article,A data-driven predictive model of city-scale energy use in buildings,"Many cities across the United States have turned to building energy disclosure (or benchmarking) laws to encourage transparency in energy efficiency markets and to support sustainability and carbon reduction plans. In addition to direct peer-to-peer comparisons, the benchmarking data published under these laws have been used as a tool by researchers and policy-makers to study the distribution and determinants of energy use in large buildings. However, these policies only cover a small subset of the building stock in a given city, and thus capture only a fraction of energy use at the urban scale. To overcome this limitation, we develop a predictive model of energy use at the building, district, and city scales using training data from energy disclosure policies and predictors from widely-available property and zoning information. We use statistical models to predict the energy use of 1.1 million buildings in New York City using the physical, spatial, and energy use attributes of a subset derived from 23,000 buildings required to report energy use data each year. Linear regression (OLS), random forest, and support vector regression (SVM) algorithms are fit to the city's energy benchmarking data and then used to predict electricity and natural gas use for every property in the city. Model accuracy is assessed and validated at the building level and zip code level using actual consumption data from calendar year 2014. We find the OLS model performs best when generalizing to the City as a whole, and SVM results in the lowest mean absolute error for predicting energy use within the LL84 sample. Our median predicted electric energy use intensity for office buildings is 71.2 kbtu/sf and for residential buildings is 31.2 kbtu/sf with mean absolute log accuracy ratio of 0.17. Building age is found to be a significant predictor of energy use, with newer buildings (particularly those built since 1991) found to have higher consumption levels than those constructed before 1930. We also find higher electric consumption in office and retail buildings, although the sign is reversed for natural gas. In general, larger buildings use less energy per square foot, while taller buildings with more stories, controlling for floor area, use more energy per square foot. Attached buildings – those with adjacent buildings and a shared party wall – are found to have lower natural gas use intensity. The results demonstrate that electricity consumption can be reliably predicted using actual data from a relatively small subset of buildings, while natural gas use presents a more complicated problem given the bimodal distribution of consumption and infrastructure availability. © 2017 Elsevier Ltd",Building energy; Energy efficiency; Energy prediction; Machine learning; Urban dynamics,"Kontokosta C.E., Tull C.",10.1016/j.apenergy.2017.04.005,6.7,1.22
3,9,95.0,2010,Article,Simulating land-use dynamics under planning policies by integrating artificial immune systems with cellular automata,"Cellular automata (CA) have been increasingly used in simulating urban expansion and land-use dynamics. However, most urban CA models rely on empirical data for deriving transition rules, assuming that the historical trend will continue into the future. Such inertia CA models do not take into account possible external interventions, particularly planning policies, and thus have rarely been used in urban and land-use planning. This paper proposes to use artificial immune systems (AIS) as a technique for incorporating external interventions and generating alternatives in urban simulation. Inspired by biological immune systems, the primary process of AIS is the evolution of a set of 'antibodies' that are capable of learning through interactions with a set of sample 'antigens'. These 'antibodies' finally get 'matured' and can be used to identify/classify other 'antigens'. An AIS-based CA model incorporates planning policies by altering the evolution mechanism of the 'antibodies'. Such a model is capable of generating different scenarios of urban development under different land-use policies, with which the planners will be able to answer 'what if' questions and to evaluate different options. We applied an AIS-based CA model to the simulation of urban agglomeration development in the Pearl River Delta in southern China. Our experiments demonstrate that the proposed model can be very useful in exploring various planning scenarios of urban development. © 2010 Taylor & Francis.",Artificial immune system; Cellular automata; Urban planning; Urban simulation,"Liu X., Li X., Shi X., Zhang X., Chen Y.",10.1080/13658810903270551,4.12,0.02
-1,10,94.0,2017,Article,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective","The temporal and spatial characteristics of landscape pattern change can reflect the spatial impact of urbanization on the ecological environment. Studying the relationship between urbanization and landscape patterns can provide supports for urban ecological management. Previous studies have examined the quantitative relationship between the social economy and landscape patterns of an entire region, but have not considered the spatial non-stability of this relationship. In this study, we characterized the landscape patterns in Beijing City, China during 2000 and 2010 using four landscape metrics, i.e. patch density (PD), edge density (ED), Shannon's diversity index (SHDI) and the aggregation index (AI). Geographically weighted regression (GWR) was employed to identify the spatial heterogeneity and evolution characteristics of the relationship between the urbanization of population density (POP), gross domestic production (GDP) and nighttime lighting (NTL), and landscape patterns. The evolution of urban landscape patterns indicated a decentralized, aggregated, and fragmented change from the downtown to the suburb and outer suburb. During the 10-year period, the average PD in the downtown increased by 100.6%, and the increase of AI in the suburb was the largest. The PD, ED and SHDI increased by different degrees in the outer suburb. The influences of different urbanization modes on landscape patterns were also different. Infilling mode made the landscape patterns more regular and integrated. The landscape was more broken and complicated under the edge-expanding mode, and the leapfrog mode made PD and SHDI increase slightly. In the relationship interpretation, GWR effectively identified the spatial heterogeneity, and improved the explanatory ability compared to ordinary least squares (OLS). The most intense response to urbanization was the forest landscape and the forest-cultivated land ecotone in the northwest of Beijing City, indicating that this region was ecologically fragile. The population density in the urbanization index had a direct effect on landscape patterns, while the PD affected by urbanization was greater than the shape, aggregation and diversity index. Affected by development policy, urban planning and other factors, the explanation degree of social economy to landscape patterns decreased in 2010. GWR is an effective method for quantifying the spatial differentiation characteristics of urbanization impacts on landscape patterns, which can provide more spatial information and decision criteria for the green development of a compact city. © 2017 Elsevier Ltd","Compact green city Beijing City, China; GWR; Landscape metrics;Urbanization mode","Huilei L., Jian P., Yanxu L., Yi'na H.",10.1016/j.ecolind.2017.06.032,4.74,0.82
-1,14,86.0,2018,Article,Using image recognition to automate assessment of cultural ecosystem services from social media photographs,"Quantifying and mapping cultural ecosystem services is complex because of their intangibility. Data from social media, such as geo-tagged photographs, have been proposed for mapping cultural use or appreciation of ecosystems. However, manual content analysis and classification of large numbers of photographs is time consuming. This study develops a novel method for automating content analysis of social media photographs for ecosystem services assessment. The approach applies an online machine learning algorithm – Google Cloud Vision – to analyse over 20,000 photographs from Singapore, and uses hierarchical clustering to group these photographs. The accuracy of the classification was assessed by comparison with manual classification. Over 20% of photographs were taken of nature, being of animals or plants. The distribution of nature photographs was concentrated around particular natural attractions, and nature photographs were more likely to occur in parks and areas of high vegetation cover. The approach developed for clustering photographs was accurate and saved approximately 170 h of manual work. The method provides an indicator of cultural ecosystem services that can be applied rapidly over large areas. Automated assessment and mapping of cultural ecosystem services could be used to inform urban planning. © 2017 Elsevier B.V.",Machine learning; Recreation; Recreational ecosystem services; Singapore; Urban ecology,"Richards D.R., Tunçer B., Tunçer B.",10.1016/j.ecoser.2017.09.004,6.98,-1.16
3,29,46.0,2017,Article,Integrating the multi-label land-use concept and cellular automata with the artificial neural network-based Land Transformation Model: an integrated ML-CA-LTM modeling framework,"Cellular automata (CA) and artificial neural networks (ANNs) have been used by researchers over the last three decades to simulate land-use change (LUC). While conventional CA and ANN models assign a cell to only one land-use class, in reality, a cell may belong to several land-use classes simultaneously. The recently developed multi-label (ML) concept overcomes this limitation in land change science. Although the ML concept is a new paradigm with nonexclusive classes and has shown considerable merit in several applications, few studies in land change science have applied it. In addition, determining transition rules in conventional CA is difficult when the number of drivers is large. Since CA has been shown as a potential model to consider neighborhood effects and ANN has been shown effective in determining CA transition rules, we integrated both CA with an ANN model to overcome limitations of each tool. In this study, we specifically extended the ANN-based Land Transformation Model (LTM) with both a CA-based model and the ML concept to create an integrated ML-CA-LTM modeling framework. We also compared, using standard evaluation measures, differences between the proposed integrated model with a conventional CA-based LTM model (called the ml-CA-LTM). Parameterization was made using a learning and testing procedure common in machine learning. Results showed that the modified LUC model, ML-CA-LTM, produced consistently better goodness of fit calibration values compared to the ml-CA-LTM. The outcome of this modified model can be used by managers and decision makers for improved urban planning. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",artiﬁcial neural networks; cellular automata; land-use change; mono-label class; multi-label classes,"Omrani H., Tayyebi A., Pijanowski B.",10.1080/15481603.2016.1265706,4.29,0.04
0,34,41.0,1996,Article,Artificial intelligence technologies for robot assisted urban search and rescue,"Structural collapse disasters routinely inspire sympathy not only for victims and their families, but also for heroic rescue personnel who are faced with a tremendously complex, hazardous and often frustrating task environment. Military operations and rescue activities in the aftermath of recent earthquakes and bombings indicate a tremendous need for greater access to denied areas within any crisis site involving collapsed structures. Recent developments in the remote inspection industry show great potential for employment of small robotic micro-rover systems in expanded roles for Urban Search and Rescue. This paper discusses key issues in the application of robotic systems to Urban Search and Rescue (USAR) activities and discusses ongoing development of a knowledge-based system for efficient management of automated search assets. USAR modeling and ""micro-bot"" employment advantages are addressed first, followed by a discussion of numerical method shortcomings in the context of search asset allocation. KNOBSAR is then proposed as an initial expert system prototype designed to interact with various structural collapse simulation packages and provide advice on search asset allocation to specific entry points within a crisis site. KNOBSAR structure and design is then illustrated in terms of micro-bot allocation scenarios to various collapsed structure entry points. The conclusion drawn from literature review, experimentation and personal experience is that AI technologies in the form of robotic platforms and decision support tools can have a tremendous impact on overall search efficiency for the USAR community, and represent an important field of study for related military applications.",,Blitch J.G.,10.1016/0957-4174(96)00038-3,5.73,-2.18
-1,35,40.0,2021,Article,Urban water resource management for sustainable environment planning using artificial intelligence techniques,"In the current era, water is a significant resource for socio-economic growth and the protection of healthy environments. Properly controlled water resources are considered a vital part of development, which reduces poverty and equity. Conventional Water system Management maximizes the existing water flows available to satisfy all competing demands, including on-site water and groundwater. Therefore, Climatic change would intensify the specific challenges in water resource management by contributing to uncertainty. Sustainable water resources management is an essential process for ensuring the earth's life and the future. Nonlinear effects, stochastic dynamics, and hydraulic constraints are challenging in ecological planning for sustainable water development. In this paper, Adaptive Intelligent Dynamic Water Resource Planning (AIDWRP) has been proposed to sustain the urban areas' water environment. Here, an adaptive intelligent approach is a subset of the Artificial Intelligence (AI) technique in which environmental planning for sustainable water development has been modeled effectively. Artificial intelligence modeling improves water efficiency by transforming information into a leaner process, improving decision-making based on data-driven by combining numeric AI tools and human intellectual skills. In AIDWRP, Markov Decision Process (MDP) discusses the dynamic water resource management issue with annual use and released locational constraints that develop sensitivity-driven methods to optimize several efficient environmental planning and management policies. Consequently, there is a specific relief from the engagement of supply and demand for water resources, and substantial improvements in local economic efficiency have been simulated with numerical outcomes. © 2020 Elsevier Inc.",Artificial intelligence Markov process; Ecology; Environment management; Environment planning; Water,"Xiang X., Li Q., Khan S., Khalaf O.I.",10.1016/j.eiar.2020.106515,6.05,2.07
-1,36,39.0,2017,Article,Mapping urban form and function at city block level using spatial metrics,"This paper focuses on the potential of urban metrics describing the presence and the configuration of built-up and open space areas for mapping distinct types of urban form and function at city block level. Next to traditional, patch-based metrics used in landscape ecology, alternative metrics are proposed, measuring the presence and the spatial arrangement of built-up and open space areas along a set of radial transects, along contours parallel to the urban block boundary and along the block's perimeter, as well as metrics describing the internal composition of the built-up area. Use of the proposed metrics for identifying different types of urban form and function was tested on the Brussels Capital Region. Large-scale vector data was used to define built-up structures and to analyse the morphological properties of the built-up area at block level. Decision tree classification was applied in conjunction with bootstrap aggregation to gain insight in the distinctive character of the defined metrics, and the robustness of land use and urban form classification based on these metrics. Our study points out the shortcomings of traditional landscape ecological metrics for mapping urban form and emphasizes the need for alternative approaches for analysing urban landscapes, more explicitly describing the morphological characteristics of the urban fabric. © 2017 Elsevier B.V.",Brussels Capital Region; Land use; Machine learning; Spatial metrics; Urban form; Urban function,"Vanderhaegen S., Canters F.",10.1016/j.landurbplan.2017.05.023,5.45,-0.34
4,39,38.0,2019,Article,Turning down the heat: An enhanced understanding of the relationship between urban vegetation and surface temperature at the city scale,"Guiding urban planners on the cooling returns of different configurations of urban vegetation is important to protect urban dwellers from adverse heat impacts. To this end, we estimated statistical models that fused multi-temporal very fine spatial (20 cm) and vertical (1 mm) resolution imagery, that captures the complexity of urban vegetation, with remotely sensed temperature data to assess how urban vegetation configuration influences urban temperatures. Perth, Western Australia, was used as a case-study for this analysis. Panel regression models showed that within a location an increase in tree and shrub cover has a larger cooling effect than grass coverage. On average, holding all else equal, an approximate 1 km 2 increase in shrub (tree) cover within a location reduces surface temperatures by 12 °C (5 °C). We included a range of robustness checks for the observed relationships between urban vegetation type and temperature. Geographically weighted regression models showed spatial variation in the cooling effect of different vegetation types; this indicates that i) unobserved factors moderate temperature-vegetation relationships across urban landscapes, and ii) that urban vegetation type and temperature relationships are complex. Machine learning models (Random Forests) were used to further explore complex and non-linear relationships between different urban vegetation configurations and temperature. The Random Forests showed that vegetation type explained 31.84% of the out-of-bag variance in summer surface temperatures, that increased cover of large vegetation within a location increases cooling, and that different configurations of urban vegetation structure can lead to cooling gains. The models in this study were trained with vegetation data capturing local detail, multiple time-periods, and entire city coverage. Thus, these models illustrate the potential to develop locally-detailed and spatially explicit tools to guide planning of vegetation configuration to optimise cooling at local- and city-scales. © 2018",Geographically weighted regression (GWR); Land surface temperature (LST); Machine learning; Urban heat island (UHI); Urban vegetation,"Duncan J.M.A., Boruff B., Saunders A., Sun Q., Hurley J., Amati M.",10.1016/j.scitotenv.2018.11.223,5.62,1.27
