No,DocId,key-phrases
1,8,"['energy efficiency market', 'electricity consumption', 'energy use', 'energy efficiency', 'support vector regression']"
2,24,"['dust storm intensity', 'regional dust event', 'urban arid environment', 'regional dust', 'particulate matter']"
3,28,"['Urban air temperature', 'land surface temperature', 'different climate characteristic', 'random forest', 'random forest machine']"
4,39,"['influence urban temperature', 'urban vegetation configuration', 'different urban vegetation', 'urban vegetation structure', 'urban vegetation type']"
5,45,"['urban thermal condition', 'Urban heat island', 'urban area', 'different urban geometry', 'regression tree']"
6,83,"['air quality monitoring', 'aerosol monitor', 'air quality monitor', 'Air quality', 'meteorological data']"
7,86,"['turbulent air flow', 'reduced order modelling', 'turbulent flow', 'Gaussian plume model', 'turbulent air']"
8,89,"['urban thermal environment', 'physical urban form', 'urban spatial structure', 'urban ecological infrastructure', 'Urban green space']"
9,95,"['urban surface temperature', 'Urban architecture', 'mean architecture height', 'architecture height', 'building height']"
10,98,"['urban thermal landscape', 'urban ecosystem', 'urban climate', 'thermal landscape', 'thermal landscape pattern']"
11,101,"['urban geometric form', 'urban geometric type', 'urban geometry', 'urban planning', 'building geometry']"
12,114,"['Effective urban ventilation', 'urban ventilation', 'building ventilation potential', 'building ventilation', 'indoor building ventilation']"
13,119,"['urban building', 'spatial modeling approach', 'building energy performance', 'urban building stock', 'spatial modeling']"
14,138,"['climate solution research', 'climate solution', 'climate change mitigation', 'machine learning', 'machine learning study']"
15,151,"['city temperature prediction', 'temperature prediction model', 'temperature forecast system', 'temperature prediction', 'air temperature forecast']"
16,179,"['thermal comfort prediction', 'Thermal sensation prediction', 'comfort prediction', 'Thermal comfort', 'suitable thermal comfort']"
17,199,"['urban heat hazard', 'Urban ambient air', 'heat hazard mapping', 'air temperature estimation', 'temperature data']"
18,206,"['urban environmental problem', 'important urban characteristic', 'urban characteristic', 'heat island study', 'urban phenomenon']"
19,213,"['urban natural ventilation', 'indoor ventilation potential', 'indoor ventilation', 'indoor natural ventilation', 'natural ventilation potential']"
20,253,"['geographic information system', 'GIS map', 'sustainable urban management', 'geospatial technology', 'geographic data']"
21,255,"['boosted regression tree', 'boosted regression', 'colder air mass', 'colder air', 'wind index']"
22,257,"['air pollution', 'pollution control', 'regression model', 'statistical model', 'vegetation distribution']"
23,286,"['outdoor thermal comfort', 'sustainable architecture', 'sustainable architecture strategy', 'thermal comfort improvement', 'engineering energy modeling']"
24,348,"['air pollutant prediction', 'pollutant prediction model', 'pollutant prediction', 'pollutant concentration prediction', 'extreme learning machine']"
25,349,"['urban tree specie', 'different urban tree', 'tree management', 'tree management decision', 'tree management practitioner']"
26,356,"['nighttime land surface', 'infrared image', 'nighttime LST image', 'daytime LST image', 'nighttime LST downscalingwas']"
27,414,"['surface urban heat', 'urban environment', 'urban fabric component', 'urban fabric', 'vegetation index']"
28,421,"['urban development', 'urbanization indicator', 'urbanization', 'land use cover', 'rapid urban expansion']"
29,424,"['park cooling efficiency', 'inefficient park', 'city microclimate', 'park cooling', 'cooling efficiency']"
30,435,"['vegetation barrier design', 'roadside vegetation barrier', 'roadside vegetation', 'roadside green infrastructure', 'vegetation design']"
31,440,"['low carbon city', 'alleviate urban heat', 'urban block carbon', 'carbon emission map', 'urban planning scheme']"
32,446,"['climate prediction', 'urban area exerts', 'neural network algorithm', 'recurrent neural network', 'climate']"
33,479,"['urban design', 'urban design process', 'urban configuration', 'early urban design', 'Mediterranean climate']"
34,493,"['scale surface climate', 'surface climate information', 'surface climate', 'climate information', 'scale atmospheric condition']"
35,499,"['microclimate simulation program', 'microclimate simulation', 'daytime temperature', 'CityGML file', 'outdoor air temperature']"
36,526,"['air quality prediction', 'air quality varies', 'spatial data', 'quality sensor data', 'open spatial data']"
37,527,"['pollutant concentration data', 'climate change problem', 'big data', 'Machine Learning approach', 'pollutant concentration']"
38,572,"['building simulation', 'predicted microclimate', 'CFD simulation', 'wind direction', 'CFD model']"
