group,count,key-phrases,NumDocs,DocIds
-1,3,"['tourism destination', 'tourist destination', 'tourism']",1,[271]
0,5,"['long beach', 'wide beach', 'Angeles basin', 'Los Angeles basin', 'beach']",1,[387]
1,5,"['Indigenous knowledge refers', 'different indigenous knowledge', 'indigenous knowledge', 'source Indigenous knowledge', 'indigenous knowledge feature']",1,[373]
2,5,"['sustainable urban design', 'sustainable design assessment', 'design sustainable assessment', 'sustainable urban environment', 'sustainable environment']",2,"[308, 334]"
3,5,"['Change management project', 'project management', 'management project', 'project manager', 'Change management']",1,[380]
4,5,"['earthquake disaster prevention', 'disaster prevention awareness', 'disaster prevention', 'earthquake disaster', 'seismic culture']",1,[306]
5,7,"['urbanised space', 'urbanised environment', 'Adaptable city', 'urban public space', 'urban environment', 'human environment', 'urban environment']",3,"[237, 334, 393]"
6,6,"['urban governance', 'urban design', 'proposed urban design', 'urban transformation', 'urban design', 'landscape design']",4,"[151, 271, 308, 334]"
7,12,"['city culture', 'urban study', 'city', 'cultural interaction', 'Russian student', 'social relation', 'cultural system', 'inter cultural dialogue', 'contemporary city', 'cultural urban study', 'cultural urban', 'city']",5,"[151, 236, 237, 328, 393]"
8,7,"['Everyday milieux', 'urbanity understood', 'new urbanity', 'everyday urbanism', 'Tokyo life', 'contemporary urban life', 'urban life']",3,"[151, 328, 393]"
