group,count,key-phrases,NumDocs,DocIds
-1,22,"['urban blight determinant', 'urban blight expert', 'urban blight', 'Urban blight reduces', 'Chinese rural design', 'rural design', 'rural construction', 'wangjiang avenue', 'Beijing city', 'modern Zhengzhou city', 'healthy city issue', 'healthy city', 'Healthy City project', 'cultural heritage protection', 'traditional culture protection', 'heritage protection', 'Qijiang ancient town', 'culture protection measure', 'urban space axis', 'traditional urban axis', 'urban axis', 'livable city']",9,"[118, 210, 253, 259, 276, 359, 360, 366, 378]"
0,5,"['urban road', 'traffic environmental problem', 'urban traffic environment', 'urban traffic culture', 'traffic environment improvement']",2,"[253, 376]"
1,7,"['green ecological planning', 'ecological planning', 'green ecological economy', 'green ecological civilization', 'Ecological greenway planning', 'Ecological greenway', 'greenway planning']",2,"[214, 252]"
2,5,"['characteristic dwelling protection', 'nationality characteristic dwelling', 'traditional folk residence', 'characteristic dwelling', 'traditional residential architecture']",1,[364]
3,8,"['cultural landscape', 'ancient landscape', 'ancient city', 'ancient capital city', 'natural scenery city', 'natural scenery resort', 'scenery city', 'scenery resort']",3,"[252, 276, 391]"
4,7,"['urban public space', 'urban area', 'urban space', 'public space environment', 'city urban environment', 'new urban space', 'urban space']",4,"[106, 253, 359, 366]"
5,7,"['ecological city', 'environmental health management', 'environmental health', 'environmental pollution effect', 'heavy metal pollution', 'Urban environmental management', 'urban ecosystem']",4,"[214, 354, 376, 391]"
6,7,"['Residential environment evaluation', 'sustainable residential environment', 'Residential environment quality', 'residential environmental satisfaction', 'residential environmental quality', 'livable environmental evaluation', 'environmental evaluation']",2,"[256, 378]"
7,5,"['intensive urban building', 'new city planning', 'city planning', 'urban development', 'urban planning']",4,"[252, 259, 359, 378]"
8,7,"['fuzzy cognitive mapping', 'spatial analysis method', 'spatial analysis', 'urban spatial structure', 'urban spatial configuration', 'urban spatial integration', 'urban morphology']",3,"[118, 259, 273]"
9,10,"['urban design theory', 'urban design', 'resilience', 'city design', 'Urban design', 'urban design', 'urban functionality index', 'geomorphology', 'urban environment design', 'urban science']",7,"[106, 210, 253, 273, 276, 354, 378]"
