group,count,key-phrases,NumDocs,DocIds
-1,15,"['urban smart furniture', 'smart urban furniture', 'innovative urban furniture', 'smart furniture', 'urban furniture', 'digital information technology', 'public art', 'total country population', 'total country', 'country population', 'contemporary information technology', 'social interaction technology', 'main urban area', 'residential commercial district', 'major urban plaza']",6,"[179, 270, 312, 343, 352, 388]"
0,8,"['building spare space', 'spare space', 'emotional response', 'silent study hall', 'silent study', 'little bathroom space', 'simple short calm', 'quiet indifferent way']",5,"[82, 261, 326, 346, 375]"
1,12,"['different feasible manner', 'comparative study', 'classifies different approach', 'different approach', 'illustrative case example', 'illustrative case', 'flattened Brazilian disc', 'static diametral compression', 'time space continuum', 'time space', 'space continuum', 'novel form']",6,"[82, 222, 243, 279, 352, 358]"
2,11,"['inclusive urban design', 'urban interior design', 'Product Urban design', 'Urban design', 'interior design', 'urban material structure', 'designer personal perception', 'contemporary urban design', 'urban design contribute', 'Urban design', 'design contribute']",6,"[76, 122, 279, 288, 299, 370]"
3,9,"['different commenrcial signage', 'commenrcial signage approach', 'commercial signage control', 'important role', 'interactive role', 'unified warning system', 'unified warning', 'brings important concern', 'important concern']",4,"[90, 222, 312, 343]"
4,6,"['social development goal', 'life social dimension', 'human physical characteristic', 'different social group', 'social group', 'lead many people']",5,"[288, 295, 336, 338, 346]"
5,11,"['many design policy', 'improved building plan', 'improved building', 'new architectural solution', 'main design strategy', 'high unpleasant humidity', 'universal design principal', 'combined aggregate concrete', 'autoclaved aerated concrete', 'outstanding building project', 'outstanding building']",7,"[76, 82, 243, 336, 346, 352, 370]"
6,11,"['regional cultural expression', 'cultural expression', 'cultural reference point', 'cultural reference', 'reference point', 'powerful starting point', 'first section outline', 'starting point', 'Contemporary library', 'home culture research', 'whole moral decline']",6,"[222, 261, 299, 326, 346, 375]"
7,23,"['sustainable urban area', 'commensurate transport policy', 'urban land use', 'middle income people', 'urban land', 'urban space organization', 'regional planning consideration', 'modern city development', 'sustainable urban planning', 'urban planning', 'Modern urban life', 'city planning process', 'urban planning', 'urban life', 'city planning', 'urban population', 'urban planning process', 'urban planning', 'planning process', 'Urban planner', 'urban planning', 'modern urban people', 'accelerated urbanization process']",10,"[76, 246, 272, 288, 295, 318, 338, 340, 358, 375]"
8,13,"['representative public area', 'urban public art', 'Public open space', 'open space availability', 'quality urban space', 'public space', 'public space', 'quality public space', 'public space creation', 'public space help', 'public space activization', 'Greater Amman area', 'various area public']",8,"[243, 270, 272, 295, 326, 338, 355, 388]"
9,17,"['safe pedestrian routeways', 'emergent practice', 'colorful city life', 'colorful city', 'human situated experience', 'situated experience', 'designed space relies', 'urban space', 'contemporary public space', 'urban open space', 'urban public space', 'urban public space', 'urban landscape', 'Today architectural space', 'cross disciplinary field', 'attractive public space', 'designed space relies']",14,"[76, 261, 270, 279, 288, 295, 326, 336, 338, 340, 343, 346, 355, 388]"
10,9,"['different historic city', 'different urban context', 'different urban imaginary', 'old city center', 'old city', 'Francisco City case', 'Irbid city downtown', 'place genius loci', 'different urban space']",7,"[90, 122, 246, 272, 288, 299, 336]"
