group,count,key-phrases,NumDocs,DocIds
-1,18,"['healthy life expectancy', 'geriatric care', 'frailty prevention', 'frailty prevention measure', 'Cubic stone street', 'stone pavement', 'cubic stone pavement', 'city identity', 'urban cultural identity', 'city identity', 'stone masonry', 'Wind flow prediction', 'Wind flow', 'wind field', 'urban identity', 'Housing provision', 'Housing provision mechanism', 'housing']",9,"[226, 238, 244, 268, 294, 302, 330, 362, 395]"
0,5,"['material culture', 'recognizable material culture', 'Japanese medicine', 'people culture', 'culture']",4,"[68, 226, 349, 365]"
1,15,"['Arab culture', 'historic Islamic city', 'Islamic city', 'modern city centre', 'modern city', 'Kurdish city', 'city', 'Persian community', 'Islamic world', 'Iranian nation', 'Arabian Gulf city', 'Gulf city', 'Bahrain', 'modern city', 'ismailia project']",9,"[103, 121, 201, 298, 349, 350, 362, 371, 395]"
2,14,"['heritage building', 'heritage', 'genealogical tree', 'genealogy', 'Elisabetin neighbourhood monument', 'neighbourhood monument area', 'cultural heritage district', 'heritage district', 'Architectural conservation', 'architectural heritage', 'local architectural heritage', 'heritage', 'Modern Movement heritage', 'old structure']",6,"[91, 103, 238, 269, 319, 347]"
3,7,"['urban transformation', 'implemented urban transformation', 'urban transformation implementation', 'urban transformation project', 'urban transformation policy', 'urban healing agenda', 'urban renewal']",3,"[361, 362, 371]"
4,8,"['urban design', 'urban design process', 'urban space', 'urban design', 'urban design enhancement', 'urban design', 'urban design', 'geomatics technology']",5,"[268, 269, 294, 371, 384]"
5,8,"['traditional rural home', 'large house', 'Modern house type', 'traditional house type', 'house improvement', 'traditional house', 'house improvement process', 'housing pattern']",3,"[302, 344, 395]"
6,11,"['national geography', 'national integration', 'urban cultural landscape', 'cultural landscape', 'typological analysis method', 'Typology method', 'typology', 'Typological Analysis', 'cartographic information', 'satellite image processing', 'cartographic data']",4,"[68, 201, 244, 384]"
7,8,"['architecture', 'architecture', 'architecture', 'Architecture', 'architecture', 'architectural work', 'architecture', 'Australian architecture']",7,"[129, 319, 347, 349, 350, 365, 371]"
8,12,"['traditional architecture', 'traditional Anatolian citadel', 'Anatolian citadel', 'architectural form', 'Balinese architecture', 'architectural identity', 'vernacular architecture', 'modern architecture', 'architectural form', 'architectural style', 'architectural difference', 'architecture object']",8,"[129, 264, 268, 294, 302, 347, 349, 365]"
9,12,"['walled city', 'building', 'urban sustainable structure', 'sustainable vernacular city', 'urban structure', 'new housing development', 'urban structure', 'urban morphology', 'building material', 'urban building complex', 'urban building', 'city shape']",8,"[91, 121, 129, 264, 269, 302, 330, 365]"
10,9,"['sustainable traditional market', 'cultural sustainable market', 'sustainable market', 'Traditional market', 'Jagalchi Market building', 'Market building', 'historic seafood market', 'Market Modernization project', 'Market modernization']",2,"[205, 324]"
11,9,"['traditional settlement', 'traditional community', 'traditional urban settlement', 'urban settlement', 'traditional urban form', 'traditional city', 'urban form configuration', 'urban form', 'traditional urban scene']",5,"[103, 129, 264, 298, 371]"
12,9,"['urban plan', 'local economy', 'urban planning', 'Nowadays sustainable development', 'urban development', 'downtown urban development', 'urban planning', 'urban planning', 'urban planning']",8,"[68, 91, 201, 205, 294, 349, 350, 384]"
