group,count,key-phrases,NumDocs,DocIds
-1,80,"['modern civil society', 'civil society', 'Zurich investigated leisure', 'investigated leisure activity', 'Guangzhou case study', 'Social impact assessment', 'Social impact', 'problematic street culture', 'recent development appear', 'problematic street', 'recent development', 'street culture', 'many different dimension', 'different dimension', 'topical issue', 'urban study site', 'study site', 'provincial western city', 'pursue outdoor recreation', 'contemporary public policy', 'behaviour change policy', 'public policy', 'change policy', 'behaviour change', 'British imperial culture', 'British African colony', 'imperial culture', 'African colony', 'various governmental body', 'Bai architecture revitalization', 'governmental body', 'Bai architecture', 'social medium behavior', 'Old Beijing neighborhood', 'regarding urban design', 'viiacknowledgements viiiIntroduction ixAuthenticity', 'Jacque WoolleyMarketing manager', 'Author viiacknowledgements viiiIntroduction', 'Martine JonsrudProduction editor', 'new Canadian immigrant', 'Canadian immigrant', 'account geographical scale', 'geographical scale', 'complex account', 'Radical voice aim', 'address visible homelessness', 'Official rhetoric address', 'Radical voice', 'North American city', 'present paper', 'emergent combination', 'successful Lean implementation', 'satisfy project requirement', 'affect project performance', 'top management support', 'construction industry practitioner', 'East German protest', 'Karl Marx square', 'sham democracy awash', 'Australian urban water', 'sustainable urban water', 'basic social element', 'water professional grasp', 'urban water strategy', 'urban English pub', 'responsible social interaction', 'English public house', 'various urban resource', 'urban resource', 'major economic return', 'economic return', 'contradictory nature', 'Urban architecture project', 'use central coordinator', 'initial experimental result', 'experimental result', 'central coordinator', 'deep implication', 'Chiang Mai construct', 'African mobility']",28,"[1, 11, 13, 17, 18, 27, 29, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 157, 161, 228, 235, 289]"
0,5,"['foreign resident youth', 'immigrant young people', 'urban young people', 'youth drinking culture', 'contemporary Thai youth']",4,"[11, 27, 135, 235]"
1,7,"['local general public', 'local ethnic community', 'similar ethnic background', 'particular ethnic group', 'host community respond', 'common condition', 'Third World country']",5,"[56, 73, 157, 161, 194]"
2,5,"['traditional Chinese culture', 'featuring traditional recipe', 'Taiwan Indigenous TV', 'mainstream Taiwanese society', 'first TV station']",2,"[13, 382]"
3,6,"['public green space', 'expansive green space', 'unpopular outdoor place', 'potential recreational area', 'ordinary public space', 'outdoor social activity']",4,"[11, 29, 60, 84]"
4,8,"['numerous social conflict', 'societal debate begin', 'contemporary social change', 'social change', 'essential turning point', 'social practice', 'dramatic social change', 'inadequate health care']",7,"[13, 61, 92, 110, 137, 235, 382]"
5,5,"['public online discussion', 'digital political discussion', 'digital social movement', 'Digital platform support', 'political action online']",1,[283]
6,7,"['urban study area', 'urban area', 'study area', 'urban area', 'extent certain area', 'certain area', 'rural urban distinction']",4,"[4, 27, 137, 235]"
7,9,"['Urban social life', 'exemplary American metropolis', 'contemporary urban street', 'main street reveals', 'main type', 'new town way', 'anonymous urban environment', 'urban life', 'new question']",7,"[1, 29, 84, 146, 194, 235, 289]"
8,5,"['typhoid fever case', 'urban study', 'urban study', 'urban study', 'case study city']",4,"[4, 27, 146, 157]"
9,5,"['urban suburban dweller', 'suburban dweller', 'suburban definition', 'African urban resident', 'urban resident']",3,"[1, 18, 289]"
10,5,"['Gramscian conception', 'Modernist high rise', 'high rise housing', 'development board housing', 'modernist counterpart']",3,"[49, 194, 228]"
11,6,"['disaster first hand', 'first hand', 'Natural disaster', 'formidable disaster', 'nuclear crisis', 'intimate local trauma']",2,"[32, 110]"
12,8,"['physical appearance', 'expressive order', 'allow structural coordination', 'latent structural mechanism', 'pattern language formation', 'structural beauty arises', 'Structural beauty', 'beauty arises']",5,"[18, 92, 153, 157, 228]"
13,9,"['cooperative urban planning', 'urban regime theory', 'regime theory literature', 'voluntary agency resort', 'UK planning system', 'urban governance study', 'domestic city organisation', 'domestic organisation employ', 'urban planning policy']",6,"[29, 78, 83, 135, 153, 157]"
