term,score,freq,doc_ids
article,0.059205558087721426,2,[277]
citizen,0.049543555088454164,3,"[157, 277, 376, 474]"
context,0.046117297406678776,2,"[277, 376]"
environment,0.041782845764265365,6,"[49, 51, 52, 86, 206, 268, 277, 367, 376, 477, 595]"
habitat,0.029602779043860713,1,[277]
depends,0.029602779043860713,1,[277]
parameter,0.029602779043860713,1,[277]
author,0.029602779043860713,1,[277]
petersburg,0.029602779043860713,1,[277]
russia,0.029602779043860713,1,[277]
perception,0.026575129994234867,3,"[2, 35, 52, 154, 206, 277, 367, 376, 595]"
characteristic,0.023058648703339388,1,"[277, 287]"
group,0.023058648703339388,1,"[277, 595]"
source,0.019230577854302836,1,"[51, 86, 277]"
time,0.019230577854302836,1,"[52, 277, 287]"
method,0.017716753329489913,2,"[35, 157, 268, 277, 367, 376, 474, 477, 523]"
survey,0.016514518362818056,1,"[2, 206, 277, 595]"
point,0.016514518362818056,1,"[35, 86, 277, 367]"
evaluation,0.016514518362818056,1,"[35, 154, 206, 277]"
application,0.016514518362818056,1,"[51, 268, 277, 477]"
use,0.014407778949599437,1,"[2, 86, 277, 376, 595]"
system,0.014407778949599437,1,"[154, 277, 411, 477, 534]"
case,0.014407778949599437,1,"[51, 277, 367, 474, 477]"
model,0.014060856543870967,3,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
feature,0.013927615254755122,2,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
research,0.007863648609078105,1,"[48, 49, 51, 52, 86, 268, 277, 287, 367, 523]"
analysis,0.007863648609078105,1,"[86, 154, 206, 277, 287, 325, 474, 477, 523, 595]"
learning,0.005386619211103393,1,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
view,0.005386619211103393,1,"[2, 35, 48, 49, 51, 52, 86, 268, 277, 325, 411, 477, 523]"
data,0.004035577760041558,1,"[2, 49, 51, 52, 86, 157, 206, 268, 277, 287, 367, 411, 523, 529, 595]"
machine,0.002314246324223625,1,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
