term,score,freq,doc_ids
layout,0.08691879804367614,3,[474]
criterion,0.04513607831291965,2,"[154, 474]"
analysis,0.038481684682722644,5,"[86, 154, 206, 277, 287, 325, 474, 477, 523, 595]"
tool,0.03724956929578399,3,"[287, 325, 376, 411, 474, 595]"
proposal,0.028972932681225378,1,[474]
quick,0.028972932681225378,1,[474]
kit,0.028972932681225378,1,[474]
counting,0.028972932681225378,1,[474]
buffer,0.028972932681225378,1,[474]
autocorrelation,0.028972932681225378,1,[474]
test,0.028972932681225378,1,[474]
size,0.028972932681225378,1,[474]
frequency,0.028972932681225378,1,[474]
object,0.028972932681225378,1,[474]
case,0.028202460922620173,2,"[51, 277, 367, 474, 477]"
urban,0.022568039156459826,1,"[154, 474]"
plot,0.022568039156459826,1,"[474, 477]"
configuration,0.022568039156459826,1,"[287, 474]"
range,0.022568039156459826,1,"[48, 474]"
type,0.022568039156459826,1,"[367, 474]"
clustering,0.022568039156459826,1,"[367, 474]"
calculation,0.022568039156459826,1,"[474, 523]"
platform,0.01882141662336022,1,"[51, 86, 474]"
assessment,0.01882141662336022,1,"[411, 474, 529]"
citizen,0.016163145631694267,1,"[157, 277, 376, 474]"
subject,0.016163145631694267,1,"[206, 268, 376, 474]"
area,0.013631283015292248,2,"[35, 49, 86, 154, 206, 268, 325, 474, 477, 523, 595]"
design,0.012023259147658215,2,"[2, 35, 49, 52, 268, 287, 325, 367, 474, 477, 523, 595]"
paper,0.00975825210692871,1,"[48, 51, 86, 157, 376, 474, 523, 534]"
technique,0.00975825210692871,1,"[48, 86, 157, 367, 376, 474, 477, 534]"
method,0.008669900565495063,1,"[35, 157, 268, 277, 367, 376, 474, 477, 523]"
study,0.007899428806889857,2,"[2, 35, 48, 49, 51, 52, 154, 206, 367, 411, 474, 477, 523, 529, 595]"
planning,0.006815641507646124,1,"[2, 35, 49, 52, 154, 157, 325, 367, 376, 474, 477]"
machine,0.0022650070407295056,1,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
