term,score,freq,doc_ids
safety,0.06029109878489131,5,"[2, 86, 154, 376]"
perception,0.025872084227191616,4,"[2, 35, 52, 154, 206, 277, 367, 376, 595]"
relevance,0.021614727555834806,1,[376]
topic,0.021614727555834806,1,[376]
belief,0.021614727555834806,1,[376]
processing,0.021614727555834806,1,[376]
bogotá,0.021614727555834806,1,[376]
judgment,0.021614727555834806,1,[376]
appearance,0.021614727555834806,1,[376]
regard,0.021614727555834806,1,[376]
public,0.021614727555834806,1,[376]
memory,0.021614727555834806,1,[376]
activity,0.021039931164494416,2,"[268, 367, 376, 523, 595]"
city,0.020338739737102717,4,"[2, 48, 52, 86, 154, 157, 287, 325, 376, 411, 477]"
image,0.019404063170393712,3,"[2, 35, 52, 268, 287, 367, 376, 411, 477]"
interest,0.016836473656406534,1,"[367, 376]"
world,0.016836473656406534,1,"[376, 523]"
context,0.016836473656406534,1,"[277, 376]"
influence,0.016836473656406534,1,"[154, 376]"
policy,0.016836473656406534,1,"[376, 411]"
people,0.014559931715099977,2,"[2, 49, 52, 206, 367, 376, 411, 595]"
maker,0.014041374306316357,1,"[2, 376, 411]"
subject,0.012058219756978262,1,"[206, 268, 376, 474]"
citizen,0.012058219756978262,1,"[157, 277, 376, 474]"
condition,0.012058219756978262,1,"[48, 268, 287, 376]"
effect,0.010519965582247208,1,"[2, 35, 52, 376, 411]"
use,0.010519965582247208,1,"[2, 86, 277, 376, 595]"
information,0.010519965582247208,1,"[35, 86, 376, 411, 529]"
decision,0.010519965582247208,1,"[2, 51, 376, 411, 595]"
feature,0.010169369868551359,2,"[2, 52, 157, 206, 277, 287, 367, 376, 411, 523, 529]"
tool,0.009263120406888082,1,"[287, 325, 376, 411, 474, 595]"
street,0.008335169183448824,4,"[2, 35, 48, 49, 51, 52, 86, 154, 206, 325, 367, 376, 411, 477, 523, 534, 595]"
measurement,0.008200472952433905,1,"[52, 157, 325, 367, 376, 477, 523]"
health,0.008200472952433905,1,"[35, 49, 51, 86, 367, 376, 595]"
paper,0.007279965857549989,1,"[48, 51, 86, 157, 376, 474, 523, 534]"
technique,0.007279965857549989,1,"[48, 86, 157, 367, 376, 474, 477, 534]"
model,0.0068444381060112644,2,"[2, 35, 49, 52, 157, 206, 268, 277, 287, 376, 411, 477, 529, 595]"
method,0.006468021056797904,1,"[35, 157, 268, 277, 367, 376, 474, 477, 523]"
planning,0.005084684934275679,1,"[2, 35, 49, 52, 154, 157, 325, 367, 376, 474, 477]"
environment,0.005084684934275679,1,"[49, 51, 52, 86, 206, 268, 277, 367, 376, 477, 595]"
result,0.00448486650745981,1,"[35, 48, 49, 154, 206, 268, 287, 376, 411, 523, 529, 595]"
approach,0.003933087043027874,1,"[35, 48, 49, 157, 268, 325, 367, 376, 477, 523, 529, 534, 595]"
learning,0.003933087043027874,1,"[2, 51, 52, 86, 154, 157, 206, 268, 277, 287, 367, 376, 534]"
machine,0.0016897671573696312,1,"[2, 49, 51, 86, 154, 157, 206, 268, 277, 287, 325, 367, 376, 474, 477, 523, 534, 595]"
