DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI
1,,2022,Article,Reconciling data-driven crime analysis with human-centered algorithms,"This study combines traditional statistical methods with machine learning to better understand locally relevant, contextual models for analyzing crime in two urban American cities. Using census tracts as the units of analysis and controlling for several structural characteristics associated with crime, we find that in Milwaukee, Wisconsin, violent crime is associated with concentrated disadvantage, residential stability, ethnic heterogeneity, total population, and spatial lag of violent crime. Yet, the most important variable is the spatial lag of violent crime, followed by residential stability, ethnic heterogeneity, total population, and concentrated disadvantage. In addition, we find that in Chicago, Illinois, violent crime is associated with immigration, owner-occupied housing, proportion in professional occupations, and proportion population with college degree or higher, as well as ethnic heterogeneity, total population, and the spatial lag for violent crime. Machine learning models suggest that for Chicago's violent crime, the most important variable is the spatial lag term for violent crime, followed by total population, immigration, college education or beyond, owner occupancy, ethnic heterogeneity, and employment in professional occupations. The findings for property crime are similar: in Milwaukee, we find that disadvantage, residential stability, ethnic heterogeneity, total population and spatial lag for property crime are significant predictors in the traditional regression models. However, the most important variable for property crime in Milwaukee is the spatial lag term, followed by total population, ethnic heterogeneity, residential stability and disadvantage. The statistically significant predictors of property crime in Chicago include immigration, owner-occupied housing units, living in the same house, proportion of workforce in professional occupations, college education and beyond, total population, and the spatial lag for property crime. In Chicago, the most important variable for property crime is the spatial lag term, then the total population, the proportion of individuals in professional occupations, concentrated immigration, college education and beyond, living in the same house, and the proportion of owner-occupied housing units. Urban planners must consider policies that can effectively reduce nearby crime and violence in all cities that experience high crime levels, but also design locally responsive policies that make sense within a local context: in Milwaukee, residential stability matters more for violent crime than for property crime, while in Chicago, total population is similarly important for both violent crime and property crime. In Milwaukee, ethnic heterogeneity is similarly important for violent and property crime, while in Chicago, ethnic heterogeneity is not a very important variable for violent crime and it is not a significant predictor of property crime. Therefore, urban policy must differently approach social disorganization indicators and support the nuances of the local context for urban planning and policy. © 2022 Elsevier Ltd",Crime analysis; Machine learning; Social disorganization,"Clancy K., Chudzik J., Snowden A.J., Guha S.",10.1016/j.cities.2022.103604
5,,2022,Article,A comprehensive study of the COVID-19 impact on PM2.5 levels over the contiguous United States: A deep learning approach,"We investigate the impact of the COVID-19 outbreak on PM2.5 levels in eleven urban environments across the United States: Washington DC, New York, Boston, Chicago, Los Angeles, Houston, Dallas, Philadelphia, Detroit, Phoenix, and Seattle. We estimate daily PM2.5 levels over the contiguous U.S. in March–May 2019 and 2020, and leveraging a deep convolutional neural network, we find a correlation coefficient, an index of agreement, a mean absolute bias, and a root mean square error of 0.90 (0.90), 0.95 (0.95), 1.34 (1.24) μg/m3, and 2.04 (1.87) μg/m3, respectively. Results from Google Community Mobility Reports and estimated PM2.5 concentrations show a greater reduction of PM2.5 in regions with larger decreases in human mobility and those in which individuals remain in their residential areas longer. The relationship between vehicular PM2.5 (i.e., the ratio of vehicular PM2.5 to other sources of PM2.5) emissions and PM2.5 reductions (R = 0.77) in various regions indicates that regions with higher emissions of vehicular PM2.5 generally experience greater decreases in PM2.5. While most of the urban environments ⸺ Washington DC, New York, Boston, Chicago, Los Angeles, Houston, Dallas, Philadelphia, Detroit, and Seattle ⸺ show a decrease in PM2.5 levels by 21.1%, 20.7%, 18.5%, 8.05%, 3.29%, 3.63%, 6.71%, 4.82%, 13.5%, and 7.73%, respectively, between March–May of 2020 and 2019, Phoenix shows a 5.5% increase during the same period. Similar to their PM2.5 reductions, Washington DC, New York, and Boston, compared to other cities, exhibit the highest reductions in human mobility and the highest vehicular PM2.5 emissions, highlighting the great impact of human activity on PM2.5 changes in eleven regions. Moreover, compared to changes in meteorological factors, changes in pollutant concentrations, including those of black carbon, organic carbon, SO2, SO4, and especially NO2, appear to have had a significantly greater impact on PM2.5 changes during the study period. © 2022 Elsevier Ltd",Community multiscale air quality (CMAQ) model; COVID-19; Deep convolutional neural network; Google mobility reports; PM2.5 estimation; United States,"Ghahremanloo M., Lops Y., Choi Y., Jung J., Mousavinezhad S., Hammond D.",10.1016/j.atmosenv.2022.118944
7,,2022,Article,Supervised Machine Learning Approaches to Modeling Residential Infill Development in the City of Los Angeles,"While infill development is widely accepted by cities as an alternative to urban sprawl, a very dearth of research has attempted to measure infill development and identify contributing factors to infill development. Filling this research gap, this paper models residential infill development in the City of Los Angeles by employing five machine learning (ML) algorithms. This paper attempts to identify the best-performing ML algorithms by comparing the performance of the ML algorithms. Of the five ML algorithms tested, the random forest (RF) and k-nearest neighbor (kNN) algorithms are selected as the best-performing algorithms. The RF algorithm ranks independent variables from most to least important. Overall, the ranks suggested that residential infill development in the City of Los Angeles is significantly influenced by the physical conditions of property and neighborhood rather than socioeconomic characteristics. Diverse land uses, good housing mixes, and rail transit accessibility also, importantly, contributed to the infill development. This finding suggests that the city's planning efforts, such as the promotion of accessory dwelling unit (ADU) development and the expansion of rail transit, can create a virtuous circle for sustainable urban development. © 2021 American Society of Civil Engineers.",,"Kim D., Shim J., Park J., Cho J., Kumar S.",10.1061/(ASCE)UP.1943-5444.0000787
10,,2022,Review,Reconceptualizing urban heat island: Beyond the urban-rural dichotomy,"Past decades have seen drastically increasing research effort and progress on the study of the phenomenon of urban heat island (UHI). Despite its simplicity, this convenient concept has promoted significant advances in scientific research and policy making processes in the urban environmental community. Nevertheless, the oversimplification and inadequacy of the urban-rural dichotomy, inherited in the UHI concept, is increasingly manifest today in the continuously urbanized world. In this study, we conduct a holistic and in-depth survey of the inadequacy of the urban-rural dichotomy intrinsic to the definition of UHI, from theoretical, technical, and practical perspectives. In addition, in the light of recent research advances, we urge to radically reconceptualize UHI by proposing a novel paradigm by treating the total urban environment as a complex dynamic system. The new framework broadens the frontier of conventional urban environmental study by utilizing advanced techniques of complex systems and data sciences, including complex network theory, machine learning techniques, causal inference, etc. The reconceptualization of UHI is also expected to foster decision making and urban planning, and to avoid the one-sidedness of the singular and often too exclusive aim of heat mitigation. © 2021 Elsevier Ltd",Complex urban system; Environmental sustainability; Mitigation and adaptation; Networks; Urban heat island,Wang Z.-H.,10.1016/j.scs.2021.103581
12,,2022,Conference Paper,Investigation of Airflow around Buildings using Large-Eddy Simulations for Unmanned Aircraft Systems Applications,"The ever-increasing demand for Unmanned Aircraft Systems (UAS) has led to the desire for integrating them into spaces in close proximity of humans like dense urban spaces, a reality previously thought of as inconceivable. One of the main concerns to be addressed before its widespread adoption is safety, especially in areas of operation adjacent to structures like buildings. This work investigates the effect of building geometries on the flow field in a simplified urban setup consisting of an isolated building to predict their potential impacts on UAS operations. Unanticipated wind gusts or turbulent flow conditions prevalent around various structures constitute a significant challenge for UAS operations in urban environments. We use Large-Eddy Simulation to better understand the unsteady and highly coherent turbulent flow structures produced by buildings in neutral atmospheric boundary layer flow. Furthermore, we also demonstrate a non-intrusive machine learning methodology to predict flow fields to augment safe wind-aware navigation systems for Unmanned Aerial Vehicles as a first step towards safely integrating UAS into existing aerial infrastructure. © 2022, American Institute of Aeronautics and Astronautics Inc.. All rights reserved.",,"Landua T.R., Vuppala R.K.S.S., Kara K.",10.2514/6.2022-1688
14,,2022,Article,"A hybrid Daily PM2.5 concentration prediction model based on secondary decomposition algorithm, mode recombination technique and deep learning","Accurate and effective PM2.5 concentration prediction has important implications for public health and the ecological environment. To provide more accurate early warnings for haze prevention, urban planning, and people's travel planning, this paper proposes a new combined PM2.5 concentration prediction model. Firstly, the original sequence is decomposed by complete ensemble empirical mode decomposition with adaptive noise (CEEMDAN), followed by decomposition and reconstruction of the data by adaptive variational mode decomposition (AVMD) and sample entropy (SE), and then the reconstructed subseries are predicted by long and short-term memory networks (LSTM). The empirical analysis was carried out with three datasets from Beijing, Tianjin, and Baoding, and the following conclusions can be drawn: (1) The validity and robustness of the proposed model were verified, with R2 (0.982), RMSE (2.792), and MAPE (9.088%) being optimal in all comparison experiments. (2) The incorporation of secondary decomposition and pattern reorganization algorithms can effectively handle data with high volatility and non-linearity. (3) Compared with traditional machine learning models, the long and short-term memory network is more suitable for time series prediction. The model provides a novel and effective PM2.5 concentration prediction tool for the government and the public. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Adaptive variational mode decomposition; Complete ensemble empirical mode decomposition with adaptive noise; Long short-term memory network; PM2.5 concentration prediction; Sample entropy,"Sun W., Xu Z.",10.1007/s00477-021-02100-2
15,,2022,Review,Automatic identification of addresses: A systematic literature review,"Address matching continues to play a central role at various levels, through geocoding and data integration from different sources, with a view to promote activities such as urban planning, location-based services, and the construction of databases like those used in census operations. However, the task of address matching continues to face several challenges, such as non-standard or incomplete address records or addresses written in more complex languages. In order to better understand how current limitations can be overcome, this paper conducted a systematic literature review focused on automated approaches to address matching and their evolution across time. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines were followed, resulting in a final set of 41 papers published between 2002 and 2021, the great majority of which are after 2017, with Chinese authors leading the way. The main findings revealed a consistent move from more traditional approaches to deep learning methods based on semantics, encoder-decoder architectures, and attention mechanisms, as well as the very recent adoption of hybrid approaches making an increased use of spatial constraints and entities. The adoption of evolutionary-based approaches and privacy preserving methods stand as some of the research gaps to address in future studies. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Address geocoding; Address matching; Address parsing; Deep learning; Machine learning; Natural language processing,"Cruz P., Vanneschi L., Painho M., Rita P.",10.3390/ijgi11010011
17,,2022,Article,Spatio-temporal prediction and factor identification of urban air quality using support vector machine,"Accurate air quality prediction can provide better supervision and reference for management policies. Due to difficulties in data acquisition, combined spatio-temporal prediction is still inconclusive. This study utilizes the support vector machine (SVM) method to predict air quality of unknown space and time. Extracted from a geographic information system (GIS), geographic features such as population, land use, economy, pollution sources, and terrain parameters were added to a time series. Temporal prediction was first executed in the reference stations, and the predicted air quality index (AQI) was then used to spatially infer the future AQI of unknown locations. Verification indicated high accuracy for short-term temporal prediction. Various meteorological and climatic effects were observed to be influential in seasonal difference. In the spatial inference stage, urbanization and city types were spatial features that appeared to impact air quality. Agriculture and forest use, transportation use, residential use, and economic factors were clearly correlated to AQIs, whereas population and labor force were not. This study establishes a prediction framework in northern Taipei based on SVM. Other locations can build their own models based on local actual data to achieve better decision-making, urban planning, or other applications. © 2021 Elsevier B.V.",Air quality prediction; Geographic information system; Machine learning; Spatio-temporal features; Support vector machine,"Liu C.-C., Lin T.-C., Yuan K.-Y., Chiueh P.-T.",10.1016/j.uclim.2021.101055
18,,2022,Book Chapter,Towards a Multi-agents Model for Automatic Big Data Processing to Support Urban Planning,"The objective of this paper was to propose a multi-agents model for automating big data processing, to improve the process of decision-making and urban planning. The huge amounts of collected data from different domains, such as urban management and remote sensing, are characterized as big data with a spatial component. Smart data is the approach to deal with big data characteristics and challenges by focusing on the Value aspect. The focus on smart data on the relevant data and the mechanism of automation and collaboration of the agents, will contribute to the efficient automating for big data analytics and processing. The proposed approach is based on a collection of agents, and adopt the concept of smart data, this paradigm focus on the aspect value from the big data and help to retrieve the useful information from the large volumes of data by intelligent processing. The proposed model describes the functionalities of the agents. The agents receive data in real time, perform the operations of storing data, pre-processing, streaming processing and batch processing and finally transfer the results of analysis to the services and applications. Machine learning techniques can be used to enhance the aspect of cognition of the agents; through a case study, we used supervised learning methods to build a classification model to support the process of urban planning by predicting the type of habitat adequate for the population based on their demographic and socio-economic characteristics. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Automation; Big data; Big data analytics; Decision-making; Machine learning; Multi-agent system; Smart data; Urban planning,"Sassite F., Addou M., Barramou F.",10.1007/978-3-030-80458-9_1
19,,2022,Article,Predicting citywide distribution of air pollution using mobile monitoring and three-dimensional urban structure,"Understanding relationships between urban structure patterns and air pollutants is key to sustainable urban planning. In this study, we employ a mobile monitoring method to collect PM2.5 and BC data in the city of Philadelphia, PA during the summer of 2019 and apply the Structure of Urban Landscapes (STURLA) methodology to examine relationships between urban structure and atmospheric pollution. We find that PM2.5 and BC vary by STURLA class, and some classes exhibit significant difference in pollution concentrations. We also find that the proportions in which STURLA components are present throughout the urban landscape can be used to predict the spatial distribution of urban air pollution. Among frequently sampled STURLA classes, gpl (grass, pavement, and low-rise buildings) hosted the highest PM2.5 concentrations on average (16.60 ± 4.29 µg/m3), while tgbwp (trees, grass, bare soil, water, pavement) hosted the highest BC concentrations (2.31 ± 1.94 µg/m3). Furthermore, STURLA combined with machine learning modeling was able to correlate PM2.5 (R2= 0.68, RMSE 2.82 µg/m3) and BC (R2 = 0.64, RMSE 0.75 µg/m3) concentrations with urban landscape composition and interpolate concentrations throughout the city. These results demonstrate the efficacy of the STURLA methodology in modeling relationships between air pollution and urban structure patterns. © 2021 Elsevier Ltd",Air pollution; Mobile monitoring; Spatial prediction; STURLA; Urban structure,"Cummings L.E., Stewart J.D., Kremer P., Shakya K.M.",10.1016/j.scs.2021.103510
