Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
0,-1,0,"['traffic', 'urban', 'light']",28,"['urban traffic gravity', 'urban traffic flow', 'traffic light status', 'traffic light', 'lighter traffic', 'Urban traffic', 'urban driving', 'truck traffic', 'traffic violation', 'traffic path', 'traffic congestion', 'traffic', 'light control system', 'light assignment scenario', 'depict traffic', 'Crosstown traffic', 'vehicle selection problem', 'street sign', 'roundabout', 'highway', 'graffiti', 'driver car', 'deep learning car', 'brain', 'Autonomous Vehicle', 'autonomous driving', 'automatic object', 'automated vehicle']",28,"[38, 55, 146, 209, 257, 261, 304, 307, 309, 346, 356, 363, 370, 382, 384, 394, 407, 410, 422, 432, 439, 450, 459, 461, 519, 526, 530, 587]"
0,-1,1,"['smart', 'data', 'sensor']",24,"['sensor data fusion', 'sensor data', 'real sensor data', 'smartification', 'smart urban governance', 'smart meter', 'smart home', 'smart community', 'smart city planning', 'smart city', 'IoT sensor', 'IoT data', 'city smarter', 'barometric data', 'stack resnet', 'sociotechnical system', 'Mind', 'MetaStore', 'intelligent city', 'intelligent', 'intelligence analyst work', 'governance intelligence framework', 'ambient intelligence', 'accelerometer']",27,"[3, 13, 97, 117, 184, 194, 211, 240, 243, 272, 291, 295, 309, 359, 387, 392, 394, 432, 434, 451, 466, 502, 527, 550, 555, 561, 562]"
0,-1,2,"['model', 'algorithm', 'knowledge']",24,"['speed model', 'safe RL algorithm', 'QA algorithm', 'model stacking', 'local knowledge', 'knowledge discovery', 'Kadaster knowledge', 'GBDT model', 'algorithm', 'summarization', 'SMDA method', 'semantic decomposition', 'scene decomposition', 'reasoning layer', 'pattern discovery', 'overview', 'math programming', 'intelligence identification layer', 'input representation', 'individual vehicle speed', 'hierarchical clustering', 'fuzzy reasoning', 'data mining', 'clustering']",22,"[22, 84, 110, 117, 127, 209, 257, 264, 324, 336, 356, 395, 422, 433, 450, 485, 504, 510, 530, 560, 561, 571]"
0,-1,3,"['spatiotemporal', 'positioning', 'blockchain']",19,"['WiFi positioning', 'spatiotemporal pattern mining', 'spatiotemporal granularity', 'spatiotemporal dynamism', 'spatiotemporal data', 'smartphone global positioning', 'mobile phone positioning', 'massive spatiotemporal data', 'Hyperledger Fabric blockchain', 'blockchain', 'smartphones locational request', 'pollution detection', 'mobile phone trajectory', 'Location tracking', 'location trace', 'cryptography', 'Blockchain intervenes', 'air quality monitoring', 'air quality evaluator']",16,"[4, 124, 139, 291, 300, 309, 319, 358, 373, 394, 410, 412, 433, 503, 522, 527]"
0,-1,4,"['traffic', 'prediction', 'volume']",16,"['traffic volume prediction', 'traffic volume', 'traffic speed prediction', 'traffic prediction', 'traffic flow prediction', 'traffic accident prediction', 'road traffic prediction', 'trip generation prediction', 'Traffic volume estimation', 'traffic forecasting', 'traffic forecast feature', 'traffic flow forecasting', 'destination prediction', 'demand prediction', 'crowd flow prediction', 'predict hazard']",20,"[30, 63, 84, 138, 155, 220, 304, 307, 319, 321, 334, 343, 359, 422, 499, 519, 526, 536, 543, 584]"
0,-1,5,"['intelligent', 'transportation', 'taxi']",15,"['intelligent transportation system', 'intelligent transportation', 'intelligent taxi', 'taxis', 'taxi demand', 'taxi', 'smarter transportation system', 'smart city transportation', 'electric taxi', 'Beijing taxis', 'smart mobility', 'parking availability information', 'parking', 'navigation system', 'Intelligent driver assist']",16,"[134, 145, 155, 209, 220, 240, 298, 311, 423, 433, 468, 499, 510, 516, 519, 526]"
0,-1,6,"['topic', 'similarity', 'measure']",14,"['similarity measure', 'new similarity measure', 'topic modeling', 'topic identification', 'topic hierarchy', 'similarity index', 'semantic topic model', 'probabilistic topic model', 'probabilistic topic', 'relatedness', 'latent semantic relationship', 'latent Dirichlet allocation', 'graph attention network', 'conjunction']",17,"[30, 210, 244, 249, 257, 258, 273, 311, 324, 345, 375, 384, 417, 438, 511, 560, 571]"
0,-1,7,"['phone', 'pattern', 'data']",14,"['phone usage pattern', 'phone datasets', 'phone dataset', 'phone data', 'telecom data', 'phone record', 'mobile phone activity', 'human behavioral pattern', 'distinctive activity pattern', 'design pattern', 'mobile network', 'game abstraction', 'Call Detail', 'aggregated human behavior']",13,"[38, 258, 337, 345, 358, 388, 425, 516, 537, 542, 573, 574, 584]"
0,-1,8,"['sustainable', 'clustering', 'urban']",11,"['sustainable urban transportation', 'sustainable urban system', 'sustainable urban planning', 'traditional clustering algorithm', 'sustainable city', 'clustering process', 'clustering algorithm', 'available clustering protocol', 'sustainability scope', 'cluster analysis', 'cluster']",11,"[69, 139, 200, 209, 211, 235, 346, 438, 459, 491, 543]"
0,-1,9,"['planning', 'route', 'transportation']",11,"['transportation route planning', 'state transportation planning', 'bus route planning', 'route recommendation', 'motion planning', 'effective digital planning', 'dynamic route', 'vehicular traffic modelling', 'traffic simulation', 'road network', 'path']",11,"[38, 83, 110, 125, 127, 138, 233, 363, 370, 545, 587]"
0,-1,10,"['traffic', 'management', 'urban']",10,"['urban traffic management', 'traffic management', 'road traffic management', 'traffic system', 'massive traffic sensor', 'interactive traffic control', 'intelligent traffic scheduling', 'Automated urban travel', 'navigate intersection', 'intersection agent']",9,"[145, 155, 300, 319, 356, 384, 451, 461, 522]"
0,-1,11,"['framework', 'semantic', 'validation']",4,"['validation framework', 'Semantic framework', 'semantic database', 'ontological framework']",4,"[13, 117, 467, 527]"
