NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics
7,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-9.362303749017384,"[{'topic': ['case', 'authority', 'implementation', 'government', 'conflict', 'case study', 'study', 'decade', 'core', 'problem'], 'score': -1.0222911039312519}, {'topic': ['people', 'city', 'study', 'culture', 'group', 'planning', 'youth', 'place', 'mobility', 'life'], 'score': -3.5010314393545388}, {'topic': ['article', 'language', 'aborigine', 'TV', 'issue', 'structure', 'people', 'culture', 'show', 'health'], 'score': -5.066326751142918}, {'topic': ['event', 'festival', 'tourism', 'literature', 'work', 'understanding', 'concept', 'construction', 'town', 'relationship'], 'score': -5.089426919371204}, {'topic': ['interest', 'architecture', 'identity', 'culture', 'drug', 'knowledge', 'book', 'practice', 'design', 'drug use'], 'score': -6.00303268268507}, {'topic': ['year', 'fever', 'discussion', 'typhoid fever', 'age', 'child', 'incidence', 'action', 'online', 'organizationality'], 'score': -13.411373025483615}, {'topic': ['coordination', 'beauty', 'organisation', 'new town', 'mechanism', 'water', 'system', 'approach', 'view', 'line'], 'score': -14.831040661715118}]"
7,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-5.063084727365674,"[{'topic': ['community', 'history', 'movement', 'art', 'work', 'study', 'people', 'city', 'place', 'culture'], 'score': -0.47877106349133897}, {'topic': ['city', 'people', 'process', 'way', 'culture', 'development', 'community', 'identity', 'music', 'globalization'], 'score': -1.780007444677676}, {'topic': ['nationalism', 'meaning', 'identity', 'nation', 'capital', 'city', 'map', 'temptation', 'word', 'conflict'], 'score': -2.5861555193385413}, {'topic': ['city', 'space', 'people', 'culture', 'time', 'paper', 'world', 'article', 'transformation', 'planning'], 'score': -2.890305135863663}, {'topic': ['project', 'hop', 'hip hop', 'hip', 'politics', 'place', 'youth', 'people', 'study', 'young people'], 'score': -4.966980260995054}, {'topic': ['tourism', 'area', 'quarter', 'district', 'poverty', 'tourist', 'margin', 'context', 'ethnic quarter', 'community member'], 'score': -7.927260774781138}, {'topic': ['downtown', 'practice', 'ethnography', 'dance', 'research', 'imagery', 'barrio', 'day', 'museum', 'revitalization'], 'score': -8.998899208685131}]"
7,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-4.839380897323695,"[{'topic': ['identity', 'city', 'building', 'design', 'architecture', 'style', 'culture', 'space', 'research', 'process'], 'score': -0.7984853560279679}, {'topic': ['change', 'transformation', 'city', 'architecture', 'heritage', 'market', 'study', 'value', 'building', 'culture'], 'score': -0.8190443749167731}, {'topic': ['city', 'space', 'area', 'environment', 'time', 'study', 'form', 'planning', 'history', 'culture'], 'score': -0.8584732008120198}, {'topic': ['people', 'care', 'older people', 'society', 'life', 'medical care', 'community', 'system', 'development', 'frailty'], 'score': -0.9939561624154637}, {'topic': ['city', 'street', 'stone', 'market', 'area', 'place', 'nature', 'modernization', 'urban form', 'people'], 'score': -4.374165499543323}, {'topic': ['factor', 'effect', 'new development', 'subject', 'concept', 'site', 'renewal', 'life', 'activity', 'order'], 'score': -4.780229583063881}, {'topic': ['project', 'culture', 'work', 'urban transformation', 'people', 'life', 'book', 'paper', 'satellite image', 'kind'], 'score': -4.933417240802555}]"
7,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-8.56348355924297,"[{'topic': ['city', 'environment', 'development', 'space', 'people', 'culture', 'evaluation', 'paper', 'research', 'index'], 'score': -0.8457273369026282}, {'topic': ['information', 'area', 'city', 'suggestion', 'government', 'land', 'questionnaire', 'core', 'culture', 'spot'], 'score': -1.9528394935037172}, {'topic': ['city', 'protection', 'culture', 'design', 'area', 'construction', 'blight', 'environment', 'people', 'problem'], 'score': -4.774327911377498}, {'topic': ['traffic', 'space', 'people', 'research', 'indicator', 'risk', 'resilience', 'activity', 'functionality', 'kind'], 'score': -6.591497580984837}, {'topic': ['core', 'town', 'traffic', 'effect', 'impact', 'living', 'region', 'suggestion', 'expansion', 'urban environment'], 'score': -16.753097442492862}, {'topic': ['axis', 'space axis', 'urban space axis', 'traditional culture', 'management', 'urban traffic', 'environmental management', 'architect', 'planner', 'traditional culture protection'], 'score': -17.151381341392895}, {'topic': ['livable city', 'nationality characteristic dwelling', 'characteristic dwelling', 'dwelling', 'scenery', 'natural scenery', 'scenery city', 'healthy city', 'sensing data', 'model'], 'score': -19.792519486422304}]"
7,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-3.9308688762279798,"[{'topic': ['knowledge', 'entrepreneurship', 'spillover', 'knowledge spillover', 'capacity', 'economic development', 'development', 'literature', 'mechanism', 'study'], 'score': -0.4148384178567674}, {'topic': ['city', 'place', 'regeneration', 'culture', 'product', 'design', 'quality', 'process', 'development', 'identity'], 'score': -0.6259033013669152}, {'topic': ['place', 'branding', 'culture', 'paper', 'activity', 'element', 'place branding', 'cultural planning', 'practice', 'question'], 'score': -1.0001458229227704}, {'topic': ['art', 'community', 'research', 'participation', 'cultural participation', 'sector', 'activity', 'organization', 'society', 'aspect'], 'score': -1.0088087386357236}, {'topic': ['culture', 'planning', 'development', 'art', 'city', 'experience', 'economy', 'economic development', 'people', 'paper'], 'score': -1.9252529185720844}, {'topic': ['cluster', 'book', 'creative cluster', 'cultural regeneration', 'geography', 'investment', 'range', 'study', 'heritage', 'development'], 'score': -6.607466833542511}, {'topic': ['space', 'town', 'placemaking', 'notion', 'use', 'quality product', 'creative activity', 'issue', 'need', 'vision'], 'score': -9.35411160660733}]"
7,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-5.839255219297384,"[{'topic': ['city', 'town', 'culture', 'building', 'identity', 'people', 'development', 'way', 'inhabitant', 'space'], 'score': -0.6527940366110973}, {'topic': ['market', 'country', 'process', 'labour market', 'system', 'labour', 'level', 'integration', 'transformation', 'evolution'], 'score': -0.6720716458602137}, {'topic': ['model', 'city', 'resident', 'investor', 'case', 'system', 'form', 'desire', 'living', 'production'], 'score': -0.9071672162519386}, {'topic': ['place', 'building', 'music', 'number', 'function', 'element', 'architecture', 'concept', 'author', 'example'], 'score': -0.9581730407141966}, {'topic': ['city', 'culture', 'bridge', 'space', 'process', 'study', 'people', 'area', 'war', 'article'], 'score': -2.0327125652568068}, {'topic': ['practice', 'country', 'centre', 'production', 'rule', 'government', 'case', 'model', 'place', 'transformation'], 'score': -11.28148226764207}, {'topic': ['church', 'small town', 'bank', 'location', 'monasticism', 'branch office', 'branch', 'office', 'nature', 'continent'], 'score': -17.895023133234826}]"
7,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-3.848810713871856,"[{'topic': ['city', 'analysis', 'space', 'dystopian city', 'discourse', 'urban conglomeration', 'conglomeration', 'relationship', 'rapid urbanisation', 'urbanisation'], 'score': -0.5405737411974212}, {'topic': ['survey', 'study', 'space', 'people', 'method', 'urban space', 'architect', 'idea', 'research', 'aspect'], 'score': -0.6563529038377579}, {'topic': ['city', 'Indian city', 'space', 'governance', 'policy', 'development', 'development policy', 'growth', 'liberalisation', 'economic liberalisation'], 'score': -0.6972238487804621}, {'topic': ['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation'], 'score': -2.476900828611915}, {'topic': ['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation'], 'score': -2.476900828611915}, {'topic': ['culture', 'space', 'people', 'urbanisation', 'idea', 'city', 'relationship', 'state', 'change', 'contestation'], 'score': -2.476900828611915}, {'topic': ['planning', 'city', 'culture', 'model', 'urban planning', 'informality', 'development', 'planning model', 'urban planning model', 'challenge'], 'score': -5.940934398159076}]"
7,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-5.641046838938429,"[{'topic': ['climate', 'scale', 'behavior', 'open space', 'mountainous climate', 'criterion', 'wind', 'humid climate', 'season', 'different scale'], 'score': -0.5187775355520495}, {'topic': ['space', 'people', 'city', 'public space', 'role', 'culture', 'design', 'study', 'urban space', 'life'], 'score': -0.7630845706156857}, {'topic': ['art', 'city', 'technology', 'information', 'life', 'culture', 'system', 'idea', 'people', 'public art'], 'score': -1.0090454759427478}, {'topic': ['research', 'design', 'environment', 'space', 'architecture', 'planning', 'people', 'property', 'development', 'material'], 'score': -1.0162162968348518}, {'topic': ['city', 'life', 'design', 'people', 'open space', 'planning', 'public open space', 'need', 'process', 'policy'], 'score': -3.4054198530933757}, {'topic': ['study', 'design', 'concrete', 'building', 'bathroom', 'system', 'region', 'experimental study', 'water', 'strength'], 'score': -5.086154435464164}, {'topic': ['pattern', 'urban planning', 'person', 'vision', 'understanding', 'disability', 'behavior', 'young people', 'child', 'behavioral pattern'], 'score': -16.036545137036605}]"
7,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.341649236788727,"[{'topic': ['transportation', 'sustainable transportation', 'study', 'edition', 'case study', 'case', 'mobility', 'service', 'globe', 'chapter'], 'score': -0.9407741529646404}, {'topic': ['road', 'urban environment', 'commuter', 'design', 'traffic', 'safety', 'street', 'infrastructure', 'people', 'culture'], 'score': -1.001785635124581}, {'topic': ['space', 'neighborhood', 'concept', 'place', 'design', 'life', 'capital', 'neighborhood design', 'social capital', 'city'], 'score': -2.29172595423968}, {'topic': ['city', 'study', 'density', 'culture', 'mobility', 'community', 'people', 'governance', 'model', 'urban planning'], 'score': -3.3422374950090306}, {'topic': ['environment', 'development', 'city', 'rail', 'vehicle', 'smart city', 'transit', 'culture', 'use', 'corridor'], 'score': -4.909901042269306}, {'topic': ['service', 'factor', 'transport', 'paper', 'life', 'level', 'interaction', 'part', 'company', 'public life'], 'score': -5.126747725341279}, {'topic': ['city', 'mobility', 'landscape', 'way', 'model', 'planning', 'strategy', 'mindset', 'Smart city', 'parameter'], 'score': -9.438697282213472}]"
7,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.842110568041071,"[{'topic': ['space', 'study', 'open space', 'context', 'public open space', 'culture', 'city', 'public space', 'people', 'social interaction'], 'score': -0.6068524441292935}, {'topic': ['setting', 'design', 'term', 'environment', 'community', 'role', 'important role', 'basis', 'place', 'nature'], 'score': -0.7013005170018344}, {'topic': ['landscape', 'paper', 'concept', 'point', 'discipline', 'research', 'approach', 'model', 'focal point', 'landscape concept'], 'score': -1.0971530212215015}, {'topic': ['landscape', 'people', 'dimension', 'space', 'green space', 'nature', 'type', 'sensory dimension', 'perception', 'health'], 'score': -2.2277293209182347}, {'topic': ['landscape', 'sustainability', 'paper', 'people', 'area', 'towards', 'goal', 'review', 'understanding', 'diversity'], 'score': -2.7141115507213636}, {'topic': ['century', 'work', 'possibility', 'call', 'examination', 'model', 'focal point', 'discipline', 'aim', 'paper'], 'score': -4.994278465030875}, {'topic': ['square', 'symbol', 'tourist', 'fMRI', 'brain', 'meaning', 'behaviour', 'method', 'attraction', 'site'], 'score': -18.892302218359337}]"
