NumTopics,Cluster,NumDocs,Percent,DocId,Score,LDATopics#0,LDATopics#1,LDATopics#2,LDATopics#3,LDATopics#4,LDATopics#5,LDATopics#6,LDATopics#7
8,-1,34,0.086,"[1, 4, 11, 13, 17, 18, 27, 29, 32, 39, 49, 56, 60, 61, 73, 78, 83, 84, 92, 105, 110, 125, 135, 137, 146, 153, 157, 161, 194, 228, 235, 283, 289, 382]",-7.714646245375608,"['aborigine', 'TV', 'health', 'indigenous people', 'station', 'voice', 'task', 'isolation', 'distinguished aborigine', 'educating child']","['culture', 'youth', 'practice', 'research', 'interest', 'people', 'book', 'activity', 'policy', 'architecture']","['people', 'mobility', 'study', 'city', 'article', 'issue', 'paper', 'approach', 'image', 'structure']","['group', 'planning', 'politics', 'urban planning', 'state', 'culture', 'interaction', 'policy', 'language', 'study']","['event', 'festival', 'tourism', 'literature', 'theory', 'relationship', 'work', 'action', 'understanding', 'concept']","['time', 'discussion', 'form', 'life', 'society', 'organizationality', 'organizational interaction', 'online', 'way', 'people']","['city', 'year', 'place', 'study', 'use', 'people', 'management', 'fever', 'history', 'street']","['coordination', 'beauty', 'organisation', 'new town', 'mechanism', 'case', 'water', 'line', 'simulation', 'view']"
8,0,39,0.099,"[14, 20, 43, 54, 66, 86, 94, 98, 109, 113, 123, 124, 128, 131, 133, 141, 142, 154, 155, 165, 166, 167, 171, 175, 176, 190, 191, 192, 193, 213, 218, 280, 286, 292, 315, 321, 327, 337, 368]",-7.588167385932554,"['city', 'people', 'culture', 'space', 'place', 'study', 'process', 'way', 'tourism', 'planning']","['paper', 'life', 'material', 'space', 'urban space', 'city', 'night', 'neighbourhood', 'spectacle', 'global city']","['community', 'movement', 'work', 'history', 'art', 'district', 'understanding', 'city', 'group', 'design']","['artist', 'century', 'actor', 'theory', 'variety', 'country', 'flow', 'hand', 'others', 'range']","['downtown', 'cosmopolitanism', 'example', 'volume', 'analysis', 'public space', 'power', 'decade', 'imagery', 'effort']","['nationalism', 'relation', 'nation', 'capital', 'discourse', 'identity', 'quarter', 'term', 'planner', 'map']","['hop', 'hip hop', 'hip', 'subway', 'politics', 'memory', 'symbol', 'immigration', 'empowerment', 'value']","['practice', 'young people', 'colonialism', 'business', 'connection', 'year', 'situation', 'research', 'opening', 'struggle']"
8,1,29,0.074,"[68, 91, 103, 121, 129, 201, 205, 226, 238, 244, 264, 268, 269, 294, 298, 302, 319, 324, 330, 344, 347, 349, 350, 361, 362, 365, 371, 384, 395]",-6.926268382191349,"['form', 'relationship', 'influence', 'built form', 'planner', 'conception', 'interaction', 'paper', 'environment', 'community']","['city', 'architecture', 'culture', 'identity', 'space', 'building', 'area', 'transformation', 'design', 'process']","['change', 'market', 'place', 'study', 'traditional market', 'group', 'culture', 'city', 'capital', 'aspect']","['people', 'city', 'factor', 'society', 'life', 'care', 'research', 'development', 'older people', 'identity']","['urban transformation', 'conservation', 'city', 'heritage', 'income', 'education', 'action', 'effort', 'present time', 'transformation project']","['hybridization', 'architectural style', 'hybridization process', 'new development', 'tool', 'corridor', 'modifier', 'designer', 'urban design', 'site']","['project', 'culture', 'work', 'book', 'life', 'satellite image', 'application', 'th', 'literary work', 'orient']","['nature', 'kind', 'floor', 'urban form', 'emigration', 'vernacular architecture', 'religion', 'traditional city', 'urban design', 'many different civilization']"
8,2,18,0.046,"[106, 118, 210, 214, 252, 253, 256, 259, 273, 276, 354, 359, 360, 364, 366, 376, 378, 391]",-7.093258200111317,"['scenery', 'scenery city', 'natural scenery', 'natural scenery city', 'resort', 'growth', 'rapid growth', 'tourism', 'scenery resort', 'introduction']","['data', 'city', 'activity', 'research', 'process', 'relationship', 'space', 'functionality', 'environment', 'culture']","['city', 'development', 'culture', 'area', 'protection', 'people', 'design', 'planning', 'construction', 'pollution']","['environment', 'evaluation', 'traffic', 'index', 'residential environment', 'paper', 'quality', 'health', 'part', 'improvement']","['space', 'urban space', 'city', 'people', 'public space', 'indicator', 'risk', 'resilience', 'design', 'urban design']","['important part', 'region', 'principle', 'process', 'case', 'case study', 'change', 'destruction', 'impact', 'integration']","['traditional culture', 'healthy city', 'culture protection', 'protection measure', 'inheritance', 'traditional culture protection', 'Tripoli city', 'disease', 'hazard', 'environmental pollution']","['axis', 'livable city', 'space axis', 'urban space axis', 'dwelling', 'characteristic dwelling', 'nationality characteristic dwelling', 'management', 'urban traffic', 'sensing data']"
8,3,18,0.046,"[15, 22, 24, 33, 48, 59, 79, 81, 96, 149, 184, 200, 211, 223, 281, 339, 342, 377]",-6.821256502825278,"['cluster', 'book', 'creative cluster', 'contribution', 'study', 'interest', 'driving force', 'new creative cluster', 'force', 'model']","['city', 'place', 'culture', 'planning', 'process', 'development', 'product', 'experience', 'economy', 'people']","['art', 'community', 'city', 'activity', 'development', 'culture', 'creative city', 'project', 'condition', 'sector']","['culture', 'place', 'development', 'art', 'branding', 'paper', 'system', 'urban design', 'people', 'regeneration']","['geography', 'investment', 'range', 'creative industry', 'growth', 'business growth', 'cultural heritage', 'significant contemporary development', 'contemporary development', 'Culture project']","['space', 'town', 'placemaking', 'notion', 'use', 'creative activity', 'quality product', 'issue', 'need', 'vision']","['chance', 'contribution', 'material', 'premise', 'Capital', 'interest', 'creative industry', 'pride', 'European Capital', 'element']","['chance', 'contribution', 'material', 'premise', 'Capital', 'interest', 'creative industry', 'pride', 'European Capital', 'element']"
8,4,18,0.046,"[71, 75, 160, 172, 215, 239, 242, 284, 296, 297, 301, 303, 311, 313, 314, 345, 385, 394]",-5.364619807978343,"['town', 'empire', 'end', 'religion', 'part', 'feature', 'culture', 'attention', 'Russian empire', 'system']","['country', 'condition', 'market', 'field', 'system', 'time', 'labour market', 'contribution', 'labour', 'form']","['model', 'system', 'city', 'time', 'resident', 'case', 'investor', 'principle', 'form', 'desire']","['city', 'building', 'place', 'identity', 'people', 'space', 'culture', 'music', 'way', 'inhabitant']","['culture', 'result', 'structure', 'research', 'study', 'art', 'development', 'theatre', 'war', 'technology']","['community', 'problem', 'heritage', 'study', 'people', 'stage', 'urban development', 'decade', 'evolution', 'society']","['ambition', 'country', 'practice', 'time', 'violence', 'Seven day', 'difference', 'quality', 'life', 'beauty']","['church', 'small town', 'bank', 'location', 'monasticism', 'branch office', 'branch', 'office', 'nature', 'continent']"
8,5,6,0.015,"[173, 185, 232, 285, 329, 348]",-4.282521160335063,"['city', 'Indian city', 'development', 'space', 'growth', 'liberalisation', 'economic liberalisation', 'development policy', 'governance', 'policy']","['survey', 'study', 'space', 'people', 'urban space', 'method', 'architect', 'idea', 'research', 'urban study']","['city', 'planning', 'policy', 'elasticity', 'challenge', 'hence', 'governance', 'contestation', 'year', 'transformation']","['culture', 'city', 'model', 'urban planning', 'planning', 'informality', 'development', 'urban planning model', 'planning model', 'research']","['transformation', 'relationship', 'urbanisation', 'contestation', 'power', 'relevance', 'paper', 'culture', 'idea', 'study']","['transformation', 'relationship', 'urbanisation', 'contestation', 'power', 'relevance', 'paper', 'culture', 'idea', 'study']","['relevance', 'transformation', 'space', 'contestation', 'urbanisation', 'power', 'paper', 'study', 'role', 'idea']","['relevance', 'transformation', 'space', 'contestation', 'urbanisation', 'power', 'paper', 'study', 'role', 'idea']"
8,6,29,0.074,"[76, 82, 90, 122, 179, 222, 243, 246, 261, 270, 272, 279, 288, 295, 299, 312, 318, 326, 336, 338, 340, 343, 346, 352, 355, 358, 370, 375, 388]",-4.541349798020082,"['concrete', 'region', 'experimental study', 'strength', 'water', 'residential building', 'measure', 'china', 'application', 'cold region']","['bathroom', 'small bathroom', 'room', 'product', 'universal design', 'today', 'home', 'transformation', 'product design', 'small space']","['city', 'planning', 'policy', 'designer', 'population', 'sustainability', 'design', 'planner', 'need', 'people']","['study', 'design', 'research', 'building', 'planning', 'architecture', 'property', 'environment', 'area', 'material']","['environment', 'effect', 'model', 'relationship', 'city', 'analysis', 'building', 'design', 'land', 'value']","['space', 'people', 'city', 'design', 'culture', 'life', 'public space', 'role', 'system', 'art']","['climate', 'open space', 'behavior', 'pattern', 'scale', 'public open space', 'discussion', 'comfort', 'criterion', 'mountainous climate']","['scale', 'emotion', 'turn', 'affordances', 'conceptualization', 'behavior', 'library', 'technological development', 'evolution', 'Change']"
8,7,24,0.061,"[37, 42, 55, 70, 119, 139, 145, 158, 168, 178, 189, 196, 207, 230, 241, 247, 255, 266, 277, 322, 323, 331, 356, 390]",-4.0893611471551425,"['urban environment', 'rail system', 'rail corridor', 'cost', 'technology', 'experience', 'market', 'capacity', 'monorail', 'market share']","['city', 'space', 'density', 'culture', 'woman', 'public space', 'development', 'people', 'center', 'urban life']","['life', 'interaction', 'part', 'public life', 'location', 'place', 'paper', 'today', 'design', 'identity']","['environment', 'city', 'rail', 'smart city', 'transit', 'development', 'use', 'culture', 'system', 'accessibility']","['city', 'neighborhood', 'concept', 'place', 'space', 'design', 'capital', 'neighborhood design', 'social capital', 'quality']","['transport', 'service', 'factor', 'level', 'road', 'development', 'public transport', 'analysis', 'infrastructure', 'example']","['model', 'way', 'mobility', 'landscape', 'city', 'strategy', 'mindset', 'urban landscape', 'community', 'learning']","['vehicle', 'transportation', 'city', 'study', 'mobility', 'corridor', 'governance', 'planning', 'policy', 'type']"
8,8,15,0.038,"[2, 3, 8, 9, 12, 40, 53, 58, 63, 87, 95, 180, 203, 250, 310]",-5.172797052356904,"['dimension', 'space', 'green space', 'sensory dimension', 'people', 'health', 'urban green space', 'planning', 'perceived sensory dimension', 'result']","['design', 'community', 'setting', 'environment', 'way', 'term', 'role', 'nature', 'finding', 'important role']","['space', 'service', 'green space', 'ecosystem', 'study', 'ecosystem service', 'cultural ecosystem', 'cultural service', 'cultural ecosystem service', 'area']","['space', 'open space', 'culture', 'context', 'study', 'interaction', 'public space', 'public open space', 'method', 'social interaction']","['landscape', 'symbol', 'people', 'meaning', 'type', 'experience', 'landscape symbol', 'relationship', 'audience', 'significance']","['nature', 'landscape', 'type', 'people', 'tree', 'preference', 'image', 'landscape type', 'Type', 'factor']","['landscape', 'paper', 'perception', 'park', 'space', 'concept', 'culture', 'point', 'designing', 'century']","['square', 'tourist', 'brain', 'fMRI', 'behaviour', 'site', 'landscape park', 'attraction', 'effort', 'neuroscience method']"
