Cluster,NumDocs,DocIds,TopWords
0,23,"[1, 28, 31, 71, 87, 95, 127, 139, 142, 145, 148, 170, 171, 186, 202, 314, 330, 346, 375, 388, 447, 450, 588]","['closely packed', 'building heights', 'packed buildings', 'performance criteria', 'computer vision', 'cooperative design', 'multiple performance', 'ml ca', 'ca ltm', 'urban design', 'design alternatives', 'planned settlements', 'radiation energy', 'urban morphology', 'input representations', 'solar radiation', 'design parameters', 'land use', 'generative design', 'relationships urban']"
1,64,"[3, 21, 34, 43, 46, 50, 51, 67, 82, 93, 118, 136, 169, 176, 178, 184, 207, 208, 217, 221, 231, 233, 240, 249, 252, 260, 281, 282, 285, 288, 300, 305, 311, 325, 336, 348, 376, 383, 387, 404, 409, 419, 421, 423, 455, 461, 471, 475, 476, 479, 482, 495, 500, 513, 514, 515, 526, 528, 546, 550, 570, 573, 593, 594]","['smart cities', 'thermal comfort', 'electric consumption', 'urbanization process', 'energy consumption', 'ca model', 'building energy', 'smart city', 'big data', 'lucc analog', 'decision making', 'socio economic', 'intelligent computation', 'complexity science', 'planning support', 'artificial intelligence', 'data analysis', 'urban growth', 'sustainable development', 'science research']"
2,22,"[465, 472, 481, 486, 518, 524, 532, 533, 548, 555, 558, 562, 572, 576, 580, 583, 584, 585, 586, 589, 590, 598]","['proceedings contain', 'focus conference', 'papers special', 'topics include', 'special focus', 'international workshop', 'topics discussed', 'discussed include', 'visual analytics', 'papers topics', 'international conference', '2019 proceedings', 'urban data', 'big data', 'ambient intelligence', 'smart city', 'urban computing', 'urban design', 'smart cities', 'air quality']"
3,50,"[25, 26, 40, 47, 73, 77, 81, 84, 92, 114, 126, 135, 168, 195, 204, 213, 218, 251, 253, 257, 269, 273, 295, 313, 323, 339, 356, 362, 371, 372, 385, 389, 394, 416, 417, 431, 440, 452, 473, 484, 488, 489, 501, 507, 511, 541, 545, 566, 575, 591]","['urban data', 'non work', 'low carbon', 'human scale', 'urban land', 'built environment', 'gsv images', 'street quality', 'work activity', 'large scale', 'data driven', 'street greenery', 'residential areas', 'carbon travel', 'multi sourced', 'block level', 'small cities', 'sourced urban', 'urban change', 'rights reserved']"
4,72,"[13, 14, 15, 18, 23, 44, 49, 56, 74, 80, 86, 90, 115, 116, 117, 123, 151, 154, 157, 160, 174, 185, 193, 194, 198, 209, 224, 234, 239, 254, 255, 258, 259, 264, 270, 279, 286, 287, 294, 297, 298, 302, 310, 317, 319, 338, 340, 351, 355, 357, 358, 370, 393, 414, 428, 434, 442, 457, 460, 462, 467, 491, 497, 509, 516, 525, 534, 542, 543, 564, 595, 596]","['ca mc', 'road traffic', 'positioning accuracy', 'urban environments', 'traffic flow', 'travel patterns', 'nlos multipath', 'nlos signals', 'short term', 'large scale', 'shared bus', 'traffic congestion', 'urban planners', 'data urban', 'cold air', 'smart card', 'neural network', 'transportation mode', 'street greenery', 'urban areas']"
5,58,"[29, 35, 68, 76, 78, 79, 100, 101, 152, 163, 180, 182, 183, 188, 191, 196, 201, 215, 216, 229, 274, 276, 277, 283, 289, 290, 293, 316, 318, 321, 349, 354, 361, 366, 379, 380, 382, 390, 391, 396, 401, 407, 418, 433, 444, 478, 498, 508, 517, 522, 553, 554, 556, 561, 569, 571, 578, 581]","['urban design', 'urban environment', 'path loss', 'data weighting', 'traffic safety', 'transit mobility', 'expert systems', 'mobility structure', 'goal reasoning', 'planning design', 'weighting method', 'urban aesthetics', 'planning reform', 'using machine', 'support vector', 'ai agent', 'los mp', 'truck drivers', 'western cape', 'correlator level']"
6,33,"[7, 10, 11, 19, 27, 38, 65, 72, 88, 94, 112, 131, 150, 158, 164, 166, 205, 328, 329, 359, 398, 411, 413, 432, 435, 438, 469, 492, 521, 529, 536, 538, 577]","['energy use', 'urban heat', 'air temperature', 'heat islands', 'surface temperature', 'urban vegetation', 'regional population', 'land surface', 'use land', 'urban landscape', 'cover mapping', 'address matching', 'similarity analysis', 'urban region', 'built environment', 'learning approach', 'tmax tmin', '3d architectural', 'street vitality', 'land price']"
7,28,"[5, 24, 52, 62, 89, 102, 130, 144, 159, 165, 200, 225, 230, 246, 262, 296, 303, 337, 344, 436, 437, 474, 490, 496, 502, 530, 587, 597]","['water quality', 'park accessibility', 'urban greenness', 'stream water', 'urban poverty', 'land cover', 'residential land', 'flood risk', 'lulc change', 'greenness space', 'health purposes', 'development pattern', 'optical data', 'urban flood', 'noise pollution', 'land use', 'image features', 'time series', 'green urban', 'coastal area']"
8,32,"[2, 4, 33, 54, 55, 63, 70, 99, 110, 124, 147, 155, 177, 210, 219, 237, 241, 243, 291, 292, 381, 384, 400, 427, 429, 449, 456, 459, 503, 504, 551, 582]","['remote sensing', 'change detection', 'high resolution', 'object detection', 'sensing images', 'erosion sediment', 'sediment yield', 'soil erosion', 'building extraction', 'point cloud', 'proposed method', 'road centerlines', 'glgod net', 'resolution remote', 'semantic segmentation', 'building footprints', 'land cover', 'deep learning', 'based change', 'overhead imageries']"
9,28,"[17, 57, 59, 85, 105, 121, 122, 128, 132, 140, 149, 214, 242, 261, 263, 272, 306, 308, 309, 333, 343, 350, 392, 399, 453, 560, 563, 599]","['self driving', 'driving cars', 'reinforcement learning', 'colour infrared', 'traffic volume', 'aerial images', 'application areas', 'ai technologies', 'vehicle detection', 'traffic management', 'urban sprawl', 'planning development', 'mobility patterns', 'traffic flow', 'ultra light', 'proposed paradigm', 'hyperspectral colour', 'reduced order', 'image retrieval', 'light aircraft']"
