term,score,freq,num_docs,doc_ids,tf-score,idf-score
street quality,0.3708037046550422,6,2,"[2, 367]",0.15,2.4720246977002813
urban data,0.13647668199858443,5,48,"[22, 30, 69, 86, 97, 114, 122, 160, 163, 165, 179, 202, 205, 210, 224, 235, 242, 297, 298, 323, 324, 326, 359, 364, 365, 366, 367, 382, 394, 406, 407, 411, 428, 432, 460, 462, 487, 493, 498, 501, 502, 503, 510, 527, 543, 550, 571, 592]",0.125,1.0918134559886754
physical activity,0.11479667193223,2,3,"[98, 367, 595]",0.05,2.2959334386446
street,0.1060824384225426,8,50,"[2, 3, 26, 35, 41, 48, 49, 50, 51, 52, 67, 78, 98, 116, 154, 170, 183, 185, 192, 193, 203, 205, 206, 215, 240, 241, 269, 280, 314, 315, 325, 340, 367, 369, 376, 387, 411, 429, 432, 445, 477, 482, 489, 513, 523, 534, 575, 579, 583, 595]",0.09876543209876543,1.0740846890282438
public health,0.09349823531861595,2,8,"[14, 35, 251, 367, 415, 428, 498, 595]",0.05,1.869964706372319
quality,0.07565423721625615,7,79,"[2, 17, 24, 28, 34, 35, 43, 58, 61, 64, 75, 77, 84, 86, 106, 119, 164, 170, 175, 177, 194, 195, 201, 205, 230, 235, 238, 259, 269, 276, 280, 283, 289, 291, 292, 294, 301, 312, 321, 340, 345, 346, 347, 367, 380, 384, 387, 393, 394, 401, 408, 411, 417, 421, 428, 439, 443, 445, 447, 459, 469, 470, 472, 489, 502, 505, 508, 522, 523, 525, 529, 544, 548, 575, 582, 584, 586, 590, 593]",0.08641975308641975,0.8754276020738212
systematic measurement,0.06932636733410656,1,1,[367],0.025,2.7730546933642626
holistic perception,0.06932636733410656,1,1,[367],0.025,2.7730546933642626
quantitative approach,0.06932636733410656,1,1,[367],0.025,2.7730546933642626
holistic approach,0.06932636733410656,1,1,[367],0.025,2.7730546933642626
