term,freq,range,score,doc_ids
machine learning,9,6,15,"[54, 108, 132, 179, 266, 308]"
building energy,6,3,9,"[40, 207, 308]"
neural network,7,2,9,"[54, 108]"
urban area,5,3,8,"[40, 108, 442]"
smart city,6,2,8,"[70, 308]"
urban planning,4,4,8,"[108, 266, 308, 408]"
urban environment,6,2,8,"[275, 357]"
energy consumption,4,3,7,"[70, 207, 308]"
energy demand,4,2,6,"[40, 308]"
urban study,3,3,6,"[70, 108, 132]"
urban modeling,5,1,6,[357]
modeling technique,5,1,6,[357]
urban morphology,5,1,6,[408]
energy performance,3,2,5,"[40, 207]"
urban form,3,2,5,"[179, 408]"
urban model,4,1,5,[357]
load prediction,4,1,5,[442]
energy planning,2,2,4,"[40, 207]"
design method,2,2,4,"[54, 179]"
feature parameter,3,1,4,[54]
case study,2,2,4,"[70, 408]"
energy efficiency,2,2,4,"[70, 207]"
ensemble model,3,1,4,[70]
several machine,2,2,4,"[70, 132]"
climate change,3,1,4,[108]
significant advantage,2,2,4,"[108, 179]"
data availability,2,2,4,"[132, 207]"
sustainable development,2,2,4,"[179, 275]"
electrical load,3,1,4,[442]
load forecasting,3,1,4,[442]
