term,freq,range,score,doc_ids
deep learning,32,20,52,"[16, 37, 46, 73, 87, 128, 141, 165, 169, 188, 226, 237, 254, 259, 330, 398, 418, 462, 469, 547]"
urban planning,25,24,49,"[16, 23, 37, 66, 73, 87, 118, 128, 141, 161, 169, 183, 188, 226, 231, 237, 259, 330, 389, 398, 463, 525, 547, 548]"
neural network,24,15,39,"[9, 46, 66, 73, 87, 161, 234, 237, 254, 314, 418, 473, 490, 547, 548]"
semantic segmentation,25,7,32,"[16, 66, 93, 141, 183, 389, 473]"
object detection,13,6,19,"[46, 226, 237, 259, 314, 547]"
machine learning,10,8,18,"[9, 66, 87, 118, 128, 226, 314, 460]"
aerial image,11,4,15,"[128, 237, 525, 548]"
experimental result,7,7,14,"[9, 16, 37, 226, 231, 473, 547]"
image classification,8,6,14,"[16, 37, 398, 462, 490, 548]"
building footprint,10,4,14,"[66, 87, 161, 259]"
urban environment,9,5,14,"[93, 118, 254, 314, 490]"
change detection,9,3,12,"[23, 93, 473]"
remote sensing,6,6,12,"[46, 66, 73, 231, 398, 525]"
computer vision,7,5,12,"[128, 314, 398, 460, 490]"
data set,9,3,12,"[231, 418, 462]"
building detection,7,5,12,"[418, 463, 469, 525, 547]"
building extraction,6,5,11,"[87, 141, 161, 188, 547]"
scene classification,7,3,10,"[37, 231, 254]"
study area,5,5,10,"[118, 234, 254, 418, 469]"
spatial resolution,5,4,9,"[66, 226, 254, 259]"
learning technique,5,4,9,"[87, 259, 389, 460]"
urban area,5,4,9,"[87, 234, 254, 259]"
high resolution,5,4,9,"[231, 469, 547, 548]"
impervious surface,7,1,8,[73]
challenging task,4,4,8,"[161, 314, 389, 547]"
satellite imagery,5,3,8,"[169, 234, 490]"
disaster management,4,4,8,"[183, 188, 234, 330]"
experiment show,4,4,8,"[188, 259, 463, 548]"
many application,4,4,8,"[389, 418, 460, 525]"
deep supervision,4,3,7,"[16, 23, 161]"
