term,freq,range,score,doc_ids
urban environment,20,10,30,"[12, 33, 53, 58, 121, 246, 386, 399, 558, 564]"
machine learning,16,13,29,"[21, 33, 36, 53, 58, 112, 121, 199, 205, 332, 386, 564, 580]"
urban planning,16,12,28,"[1, 21, 88, 148, 166, 250, 332, 414, 566, 568, 580, 581]"
violent crime,10,1,11,[1]
property crime,10,1,11,[1]
total population,9,1,10,[1]
learning technique,5,5,10,"[58, 121, 386, 564, 580]"
ethnic heterogeneity,8,1,9,[1]
spatial lag,8,1,9,[1]
smart city,7,2,9,"[61, 150]"
urban form,6,2,8,"[21, 53]"
residential area,6,2,8,"[21, 68]"
urban design,5,2,7,"[33, 205]"
artificial intelligence,4,3,7,"[58, 250, 399]"
big data,4,3,7,"[64, 109, 150]"
natural language,4,3,7,"[566, 580, 581]"
residential stability,5,1,6,[1]
important variable,5,1,6,[1]
navigation system,4,2,6,"[12, 246]"
first step,3,3,6,"[12, 558, 564]"
land policy,5,1,6,[21]
random forest,3,3,6,"[21, 56, 369]"
learning algorithms,3,3,6,"[33, 199, 205]"
support vector,3,3,6,"[36, 112, 369]"
mosquito occurrence,5,1,6,[56]
decision tree,3,3,6,"[64, 112, 369]"
decision making,4,2,6,"[88, 399]"
mosquito control,5,1,6,[121]
educational game,4,2,6,"[566, 581]"
planning firm,3,3,6,"[566, 580, 581]"
professional occupation,4,1,5,[1]
data mining,3,2,5,"[33, 566]"
feature selection,4,1,5,[36]
neural network,3,2,5,"[36, 112]"
previous study,3,2,5,"[56, 332]"
dengue incidence,4,1,5,[56]
city pattern,4,1,5,[58]
densification potential,4,1,5,[68]
support system,3,2,5,"[88, 414]"
literature review,3,2,5,"[121, 199]"
urban data,4,1,5,[205]
coverage condition,4,1,5,[246]
iot system,4,1,5,[332]
lag term,3,1,4,[1]
college education,3,1,4,[1]
significant predictor,3,1,4,[1]
urban planner,2,2,4,"[1, 88]"
turbulent flow,2,2,4,"[12, 386]"
visuospatial configuration,3,1,4,[33]
hot spot,2,2,4,"[33, 369]"
spot analysis,2,2,4,"[33, 369]"
case study,2,2,4,"[36, 205]"
experimental result,2,2,4,"[36, 112]"
result show,2,2,4,"[36, 246]"
traditional method,2,2,4,"[36, 250]"
building structure,3,1,4,[53]
classification method,2,2,4,"[53, 566]"
combined influence,3,1,4,[56]
climate factor,3,1,4,[56]
government agency,2,2,4,"[56, 61]"
many application,2,2,4,"[58, 568]"
air quality,3,1,4,[61]
air pollution,3,1,4,[61]
data analytics,2,2,4,"[64, 150]"
feature extraction,2,2,4,"[64, 580]"
synthetic minority,2,2,4,"[64, 332]"
challenging task,2,2,4,"[64, 581]"
urban area,2,2,4,"[68, 564]"
intelligent decision,3,1,4,[88]
new technique,2,2,4,"[88, 205]"
regional planning,2,2,4,"[109, 173]"
climate change,2,2,4,"[112, 166]"
vector machine,2,2,4,"[112, 369]"
classification task,2,2,4,"[121, 580]"
urban governance,2,2,4,"[150, 199]"
sustainable city,3,1,4,[150]
things system,3,1,4,[150]
nexus governance,3,1,4,[199]
positioning performance,3,1,4,[246]
pdop value,3,1,4,[246]
