term,freq,range,score,doc_ids
urban expansion,12,3,15,"[225, 265, 328]"
urban growth,5,4,9,"[213, 225, 328, 553]"
land use,6,3,9,"[524, 553, 589]"
case study,4,4,8,"[213, 420, 553, 589]"
neural network,4,4,8,"[265, 328, 420, 494]"
machine learning,4,4,8,"[420, 494, 524, 553]"
urban area,4,3,7,"[328, 553, 594]"
urban change,5,1,6,[553]
land change,3,2,5,"[225, 494]"
modeling framework,3,2,5,"[494, 589]"
use change,3,2,5,"[524, 553]"
urban development,2,2,4,"[213, 594]"
local authority,2,2,4,"[213, 225]"
urban planning,2,2,4,"[213, 494]"
unplanned settlement,3,1,4,[213]
change modeling,2,2,4,"[225, 553]"
accurate prediction,2,2,4,"[225, 553]"
kappa simulation,2,2,4,"[328, 524]"
decision maker,2,2,4,"[494, 553]"
eastern part,2,1,3,[213]
urban water,2,1,3,[420]
water system,2,1,3,[420]
cellular automata,2,1,3,[494]
change science,2,1,3,[494]
ml concept,2,1,3,[494]
transition rule,2,1,3,[494]
radial basis,2,1,3,[553]
basis function,2,1,3,[553]
function network,2,1,3,[553]
ml technique,2,1,3,[553]
development pattern,1,1,2,[213]
conflict zone,1,1,2,[213]
large part,1,1,2,[213]
many city,1,1,2,[213]
state show,1,1,2,[213]
high growth,1,1,2,[213]
taliban regime,1,1,2,[213]
scale displacement,1,1,2,[213]
neighboring country,1,1,2,[213]
us invasion,1,1,2,[213]
major city,1,1,2,[213]
significant population,1,1,2,[213]
population growth,1,1,2,[213]
maximum pressure,1,1,2,[213]
capital city,1,1,2,[213]
rapid urbanization,1,1,2,[213]
limited capacity,1,1,2,[213]
unplanned urbanization,1,1,2,[213]
logistic regression,1,1,2,[213]
regression modelling,1,1,2,[213]
settlement pattern,1,1,2,[213]
image feature,1,1,2,[213]
aerial photographs,1,1,2,[213]
terrain feature,1,1,2,[213]
random forest,1,1,2,[213]
forest classifier,1,1,2,[213]
ikonos image,1,1,2,[213]
population density,1,1,2,[213]
military base,1,1,2,[213]
important factor,1,1,2,[213]
steeper slope,1,1,2,[213]
gentle slope,1,1,2,[213]
institutional area,1,1,2,[213]
main driver,1,1,2,[213]
poor infrastructure,1,1,2,[213]
chain model,1,1,2,[225]
future city,1,1,2,[225]
precise simulation,1,1,2,[225]
future land,1,1,2,[225]
challenging process,1,1,2,[225]
spatial modeling,1,1,2,[225]
recent study,1,1,2,[225]
expansion pattern,1,1,2,[225]
simulation capability,1,1,2,[225]
environmental variable,1,1,2,[225]
urban center,1,1,2,[225]
potential transition,1,1,2,[225]
transition map,1,1,2,[225]
additional input,1,1,2,[225]
actual map,1,1,2,[225]
irbid city,1,1,2,[225]
kappa index,1,1,2,[225]
improved model,1,1,2,[225]
model prediction,1,1,2,[225]
predicted map,1,1,2,[225]
management strategy,1,1,2,[225]
agricultural region,1,1,2,[225]
vital role,1,1,2,[225]
food security,1,1,2,[225]
unprecedented rate,1,1,2,[265]
forested land,1,1,2,[265]
negative implication,1,1,2,[265]
environmental sustainability,1,1,2,[265]
demographic growth,1,1,2,[265]
planning combine,1,1,2,[265]
sustainable outcome,1,1,2,[265]
populous area,1,1,2,[265]
landsat satellite,1,1,2,[265]
satellite imagery,1,1,2,[265]
markov chain,1,1,2,[265]
spatial model,1,1,2,[265]
historical trend,1,1,2,[265]
urban cover,1,1,2,[265]
agricultural conversion,1,1,2,[265]
agricultural cover,1,1,2,[265]
unplanned loss,1,1,2,[265]
agricultural land,1,1,2,[265]
tarai region,1,1,2,[265]
serious concern,1,1,2,[265]
accurate simulation,1,1,2,[328]
spatiotemporal trend,1,1,2,[328]
urban suitability,1,1,2,[328]
suitability index,1,1,2,[328]
human bias,1,1,2,[328]
nonlinear relation,1,1,2,[328]
usi map,1,1,2,[328]
expansion cell,1,1,2,[328]
validated result,1,1,2,[328]
fuzzy kappa,1,1,2,[328]
future expansion,1,1,2,[328]
growth zone,1,1,2,[328]
water infrastructure,1,1,2,[420]
network method,1,1,2,[420]
explorative model,1,1,2,[420]
exploration time,1,1,2,[420]
system adaptation,1,1,2,[420]
adaptation planning,1,1,2,[420]
specific network,1,1,2,[420]
network structure,1,1,2,[420]
training pattern,1,1,2,[420]
exploration data,1,1,2,[420]
validation result,1,1,2,[420]
good performance,1,1,2,[420]
spatial randomness,1,1,2,[420]
safety coefficient,1,1,2,[420]
observed data,1,1,2,[420]
