term,freq,range,score,doc_ids
smart city,18,8,26,"[13, 76, 145, 150, 151, 360, 451, 468]"
machine learning,14,12,26,"[13, 117, 145, 177, 319, 360, 384, 404, 412, 451, 468, 545]"
urban planning,14,11,25,"[76, 145, 264, 295, 319, 360, 384, 404, 485, 545, 546]"
urban area,4,4,8,"[13, 76, 177, 468]"
urban environment,6,2,8,"[117, 466]"
things system,6,2,8,"[150, 151]"
traffic incident,6,2,8,"[295, 319]"
social medium,6,2,8,"[295, 485]"
medium data,6,2,8,"[295, 485]"
sensor network,4,3,7,"[76, 150, 468]"
learning technique,3,3,6,"[13, 412, 545]"
urban technology,4,2,6,"[150, 151]"
big data,4,2,6,"[150, 360]"
sensor data,3,3,6,"[319, 417, 466]"
data mining,4,2,6,"[384, 468]"
case study,3,3,6,"[404, 485, 545]"
historical data,3,2,5,"[117, 319]"
intelligent transportation,3,2,5,"[145, 319]"
urban governance,3,2,5,"[150, 151]"
governance network,3,2,5,"[150, 151]"
data analysis,3,2,5,"[319, 485]"
mining technique,3,2,5,"[384, 468]"
anomaly detection,4,1,5,[466]
person detection,4,1,5,[466]
detection method,4,1,5,[466]
public transportation,3,2,5,"[545, 546]"
city context,2,2,4,"[13, 177]"
data validation,3,1,4,[13]
digital technology,2,2,4,"[76, 412]"
large amount,2,2,4,"[76, 295]"
research work,2,2,4,"[76, 468]"
traffic management,2,2,4,"[145, 384]"
integral part,2,2,4,"[145, 177]"
sustainable city,3,1,4,[150]
massive volume,2,2,4,"[150, 151]"
data analytics,2,2,4,"[150, 319]"
descriptive statistic,2,2,4,"[150, 151]"
transportation data,2,2,4,"[319, 546]"
urban planner,2,2,4,"[360, 546]"
green space,3,1,4,[412]
leisure activity,3,1,4,[417]
web data,3,1,4,[417]
urban space,3,1,4,[417]
traffic control,3,1,4,[451]
smart mobility,3,1,4,[468]
validation framework,2,1,3,[13]
road monitoring,2,1,3,[13]
monitoring application,2,1,3,[13]
urban issue,2,1,3,[55]
report category,2,1,3,[55]
healthcare sector,2,1,3,[76]
perception system,2,1,3,[117]
information perception,2,1,3,[117]
early warning,2,1,3,[117]
transportation system,2,1,3,[145]
ml technology,2,1,3,[145]
urban development,2,1,3,[150]
