term,freq,range,score,doc_ids
urban form,13,4,17,"[21, 203, 408, 483]"
machine learning,7,6,13,"[21, 203, 336, 413, 554, 585]"
urban area,7,4,11,"[68, 195, 582, 585]"
urban planning,4,4,8,"[21, 286, 336, 408]"
residential area,6,2,8,"[21, 68]"
urban morphology,6,2,8,"[408, 413]"
land policy,5,1,6,[21]
spatial pattern,5,1,6,[195]
urban structure,3,2,5,"[21, 413]"
densification potential,4,1,5,[68]
land use,3,2,5,"[413, 483]"
building stock,2,2,4,"[21, 203]"
building height,3,1,4,[203]
urban fabric,2,2,4,"[203, 483]"
open government,2,2,4,"[203, 336]"
geographic information,2,2,4,"[203, 582]"
study area,2,2,4,"[408, 413]"
case study,2,2,4,"[408, 585]"
block level,3,1,4,[483]
microsite condition,3,1,4,[585]
red mason,3,1,4,[585]
mason bee,3,1,4,[585]
sun exposure,3,1,4,[585]
land readjustment,2,1,3,[21]
readjustment policy,2,1,3,[21]
causal relation,2,1,3,[21]
policy favour,2,1,3,[21]
geospatial simulation,2,1,3,[68]
neighbourhood densification,2,1,3,[68]
densification strategy,2,1,3,[68]
spatial structure,2,1,3,[195]
use case,2,1,3,[286]
knowledge graph,2,1,3,[336]
knowledge graphs,2,1,3,[336]
city block,2,1,3,[483]
open space,2,1,3,[483]
space area,2,1,3,[483]
data mining,2,1,3,[554]
land consumption,2,1,3,[554]
neural network,2,1,3,[582]
urban environment,2,1,3,[585]
wild bee,2,1,3,[585]
landscape factor,2,1,3,[585]
floral resource,2,1,3,[585]
many country,1,1,2,[21]
obstacle remain,1,1,2,[21]
geoinformation technology,1,1,2,[21]
wide range,1,1,2,[21]
spatial analysis,1,1,2,[21]
policy perspective,1,1,2,[21]
spatial level,1,1,2,[21]
formulate hypothesis,1,1,2,[21]
next step,1,1,2,[21]
random forest,1,1,2,[21]
variable importance,1,1,2,[21]
importance measure,1,1,2,[21]
morphological difference,1,1,2,[21]
openstreetmap data,1,1,2,[21]
significant difference,1,1,2,[21]
building coverage,1,1,2,[21]
coverage ratio,1,1,2,[21]
french policy,1,1,2,[21]
strong actor,1,1,2,[21]
applied algorithm,1,1,2,[21]
data heterogeneity,1,1,2,[21]
high level,1,1,2,[21]
sustainable urbanisation,1,1,2,[68]
urbanisation strategy,1,1,2,[68]
simulation framework,1,1,2,[68]
neighbourhood level,1,1,2,[68]
sustainable densification,1,1,2,[68]
geospatial analysis,1,1,2,[68]
architectural design,1,1,2,[68]
different neighbourhood,1,1,2,[68]
neighbourhood archetype,1,1,2,[68]
national scale,1,1,2,[68]
archetype classification,1,1,2,[68]
current mobility,1,1,2,[68]
mobility infrastructure,1,1,2,[68]
developed framework,1,1,2,[68]
additional inhabitant,1,1,2,[68]
urban neighbourhood,1,1,2,[68]
neighbourhood range,1,1,2,[68]
current population,1,1,2,[68]
central area,1,1,2,[68]
public transportation,1,1,2,[68]
presented approach,1,1,2,[68]
explicit densification,1,1,2,[68]
densification location,1,1,2,[68]
high number,1,1,2,[68]
considerable densification,1,1,2,[68]
densification opportunity,1,1,2,[68]
life dimension,1,1,2,[195]
major role,1,1,2,[195]
daily life,1,1,2,[195]
current policy,1,1,2,[195]
policy framework,1,1,2,[195]
one behind,1,1,2,[195]
sustainable planning,1,1,2,[195]
crucial relevance,1,1,2,[195]
zone classification,1,1,2,[195]
remote sensing,1,1,2,[195]
gis data,1,1,2,[195]
linear regression,1,1,2,[195]
regression model,1,1,2,[195]
satellite data,1,1,2,[195]
derived product,1,1,2,[195]
complex system,1,1,2,[203]
retrofit policy,1,1,2,[203]
significant challenge,1,1,2,[203]
european population,1,1,2,[203]
new method,1,1,2,[203]
stock characteristic,1,1,2,[203]
geospatial data,1,1,2,[203]
building footprint,1,1,2,[203]
street network,1,1,2,[203]
model exist,1,1,2,[203]
european country,1,1,2,[203]
german state,1,1,2,[203]
average error,1,1,2,[203]
typical floor,1,1,2,[203]
floor height,1,1,2,[203]
small amount,1,1,2,[203]
local height,1,1,2,[203]
height data,1,1,2,[203]
prediction accuracy,1,1,2,[203]
urban infrastructure,1,1,2,[203]
government data,1,1,2,[203]
scientific application,1,1,2,[203]
scalable strategy,1,1,2,[203]
climate change,1,1,2,[203]
open access,1,1,2,[203]
access article,1,1,2,[203]
unrestricted use,1,1,2,[203]
original author,1,1,2,[203]
many application,1,1,2,[286]
social study,1,1,2,[286]
cultural heritage,1,1,2,[286]
heritage management,1,1,2,[286]
environment impact,1,1,2,[286]
main challenge,1,1,2,[286]
challenge deal,1,1,2,[286]
spatial concept,1,1,2,[286]
descriptive data,1,1,2,[286]
large area,1,1,2,[286]
real estate,1,1,2,[286]
estate search,1,1,2,[286]
french neighbourhood,1,1,2,[286]
uniform manner,1,1,2,[286]
environment variable,1,1,2,[286]
social class,1,1,2,[286]
new information,1,1,2,[286]
kadaster knowledge,1,1,2,[336]
fifth star,1,1,2,[336]
open data,1,1,2,[336]
data silo,1,1,2,[336]
administrative level,1,1,2,[336]
several datasets,1,1,2,[336]
proprietary incompany,1,1,2,[336]
incompany data,1,1,2,[336]
store data,1,1,2,[336]
data lake,1,1,2,[336]
integrated view,1,1,2,[336]
common belief,1,1,2,[336]
government information,1,1,2,[336]
virtual assistant,1,1,2,[336]
government knowledge,1,1,2,[336]
developed demonstrator,1,1,2,[336]
data browsing,1,1,2,[336]
multicriteria analysis,1,1,2,[336]
multiscale clustering,1,1,2,[408]
quantitative model,1,1,2,[408]
last decade,1,1,2,[408]
new opportunity,1,1,2,[408]
spatial environment,1,1,2,[408]
objective way,1,1,2,[408]
various study,1,1,2,[408]
spatial behavior,1,1,2,[408]
spatial model,1,1,2,[408]
hedonic price,1,1,2,[408]
price model,1,1,2,[408]
location choice,1,1,2,[408]
choice model,1,1,2,[408]
limited knowledge,1,1,2,[408]
quantitative mean,1,1,2,[408]
different scale,1,1,2,[408]
data model,1,1,2,[408]
urban typology,1,1,2,[408]
various field,1,1,2,[413]
energy provision,1,1,2,[413]
use planning,1,1,2,[413]
risk assessment,1,1,2,[413]
disaster management,1,1,2,[413]
current distribution,1,1,2,[413]
past dynamic,1,1,2,[413]
urban process,1,1,2,[413]
article therefore,1,1,2,[413]
historical distribution,1,1,2,[413]
available geodata,1,1,2,[413]
national mapping,1,1,2,[413]
cadastral agency,1,1,2,[413]
automatic derivation,1,1,2,[413]
data basis,1,1,2,[413]
digital landscape,1,1,2,[413]
landscape model,1,1,2,[413]
building model,1,1,2,[413]
historical land,1,1,2,[413]
use information,1,1,2,[413]
topographic map,1,1,2,[413]
image processing,1,1,2,[413]
change detection,1,1,2,[413]
dasymetric mapping,1,1,2,[413]
historical pattern,1,1,2,[413]
slight underestimation,1,1,2,[413]
acceptable standard,1,1,2,[413]
standard deviation,1,1,2,[413]
differentiated analysis,1,1,2,[413]
structure type,1,1,2,[413]
distinct type,1,1,2,[483]
landscape ecology,1,1,2,[483]
spatial arrangement,1,1,2,[483]
radial transects,1,1,2,[483]
contour parallel,1,1,2,[483]
urban block,1,1,2,[483]
block boundary,1,1,2,[483]
internal composition,1,1,2,[483]
different type,1,1,2,[483]
vector data,1,1,2,[483]
morphological property,1,1,2,[483]
tree classification,1,1,2,[483]
bootstrap aggregation,1,1,2,[483]
distinctive character,1,1,2,[483]
form classification,1,1,2,[483]
study point,1,1,2,[483]
traditional landscape,1,1,2,[483]
alternative approach,1,1,2,[483]
urban landscape,1,1,2,[483]
morphological characteristic,1,1,2,[483]
systematic data,1,1,2,[554]
systematic approach,1,1,2,[554]
useful structure,1,1,2,[554]
multivariate municipality,1,1,2,[554]
municipality data,1,1,2,[554]
consecutive step,1,1,2,[554]
important result,1,1,2,[554]
cluster mean,1,1,2,[554]
symbolic machine,1,1,2,[554]
learning method,1,1,2,[554]
understandable description,1,1,2,[554]
classification rule,1,1,2,[554]
data set,1,1,2,[554]
genetic algorithm,1,1,2,[582]
spatial data,1,1,2,[582]
data quality,1,1,2,[582]
particular completeness,1,1,2,[582]
essential aspect,1,1,2,[582]
specific application,1,1,2,[582]
completeness error,1,1,2,[582]
methodological framework,1,1,2,[582]
approach consisting,1,1,2,[582]
genetic algorithms,1,1,2,[582]
osm data,1,1,2,[582]
squared correlation,1,1,2,[582]
correlation coefficient,1,1,2,[582]
interregional comparison,1,1,2,[582]
european region,1,1,2,[582]
spatial heterogeneity,1,1,2,[582]
model performance,1,1,2,[582]
result show,1,1,2,[582]
presented methodology,1,1,2,[582]
condition dominate,1,1,2,[585]
habitat selection,1,1,2,[585]
osmia bicornis,1,1,2,[585]
city responds,1,1,2,[585]
landscape structure,1,1,2,[585]
urban habitat,1,1,2,[585]
citizen science,1,1,2,[585]
science approach,1,1,2,[585]
spatial distribution,1,1,2,[585]
solitary bee,1,1,2,[585]
urban region,1,1,2,[585]
volunteer hung,1,1,2,[585]
hung trap,1,1,2,[585]
different location,1,1,2,[585]
attachment position,1,1,2,[585]
local flower,1,1,2,[585]
flower availability,1,1,2,[585]
gis biotope,1,1,2,[585]
biotope data,1,1,2,[585]
data map,1,1,2,[585]
urban matrix,1,1,2,[585]
matrix property,1,1,2,[585]
edge length,1,1,2,[585]
balanced influence,1,1,2,[585]
hang location,1,1,2,[585]
private garden,1,1,2,[585]
open housing,1,1,2,[585]
housing structure,1,1,2,[585]
good environment,1,1,2,[585]
nesting opportunity,1,1,2,[585]
