term,freq,range,score,doc_ids
transportation mode,12,3,15,"[134, 298, 392]"
machine learning,5,5,10,"[110, 138, 304, 425, 555]"
urban planning,5,5,10,"[143, 273, 321, 392, 433]"
route planning,6,2,8,"[134, 138]"
urban area,4,4,8,"[134, 138, 298, 425]"
transport mode,5,3,8,"[138, 433, 555]"
mode recognition,7,1,8,[392]
truck driver,5,1,6,[425]
mode detection,4,2,6,"[433, 555]"
input representation,4,1,5,[110]
travel behavior,3,2,5,"[134, 138]"
classification algorithms,3,2,5,"[321, 555]"
urban network,3,1,4,[110]
network path,3,1,4,[110]
road network,2,2,4,"[110, 304]"
traffic congestion,2,2,4,"[138, 304]"
public transportation,2,2,4,"[138, 298]"
flow prediction,3,1,4,[273]
spatial correlation,3,1,4,[273]
contextual information,3,1,4,[273]
experimental result,2,2,4,"[273, 304]"
taxi service,3,1,4,[298]
urban data,2,2,4,"[298, 407]"
learning method,2,2,4,"[304, 392]"
traffic management,2,2,4,"[304, 392]"
next destination,3,1,4,[321]
delivery fleet,3,1,4,[321]
data collection,2,2,4,"[321, 407]"
global positioning,2,2,4,"[321, 433]"
positioning system,2,2,4,"[321, 433]"
system trajectory,2,2,4,"[321, 433]"
neural network,2,2,4,"[321, 392]"
mobile crowdsensing,2,2,4,"[355, 407]"
deep reinforcement,3,1,4,[407]
urban environment,2,2,4,"[407, 433]"
vehicle selection,3,1,4,[407]
graph input,2,1,3,[110]
big data,2,1,3,[134]
traditional taxi,2,1,3,[134]
user experience,2,1,3,[138]
dynamic routing,2,1,3,[138]
bus data,2,1,3,[138]
travel demand,2,1,3,[138]
dynamic route,2,1,3,[138]
last mile,2,1,3,[138]
spatiotemporal variation,2,1,3,[298]
eta improvement,2,1,3,[321]
urbanization issue,2,1,3,[355]
handcrafted feature,2,1,3,[392]
recognition algorithm,2,1,3,[392]
dimensionality reduction,2,1,3,[425]
driver survey,2,1,3,[425]
expert system,2,1,3,[433]
various classification,2,1,3,[555]
travel mode,2,1,3,[555]
decision tree,2,1,3,[555]
random forest,2,1,3,[555]
network analysis,1,1,2,[110]
particular interest,1,1,2,[110]
successful application,1,1,2,[110]
analysis becomes,1,1,2,[110]
learning technique,1,1,2,[110]
hidden pattern,1,1,2,[110]
predictive model,1,1,2,[110]
different input,1,1,2,[110]
different graph,1,1,2,[110]
temporal characteristic,1,1,2,[110]
taxi journey,1,1,2,[110]
journey dataset,1,1,2,[110]
result demonstrate,1,1,2,[110]
temporal information,1,1,2,[110]
information help,1,1,2,[110]
systematic review,1,1,2,[134]
quick overview,1,1,2,[134]
unprecedented opportunity,1,1,2,[134]
current research,1,1,2,[134]
research status,1,1,2,[134]
hot topic,1,1,2,[134]
ridership factor,1,1,2,[134]
passenger service,1,1,2,[134]
service market,1,1,2,[134]
market partition,1,1,2,[134]
transportation emission,1,1,2,[134]
extensional application,1,1,2,[134]
abundant study,1,1,2,[134]
determinant analysis,1,1,2,[134]
ridership pattern,1,1,2,[134]
multiple aspect,1,1,2,[134]
wide time,1,1,2,[134]
time span,1,1,2,[134]
behavior research,1,1,2,[134]
commuting trip,1,1,2,[134]
distribution pattern,1,1,2,[134]
various travel,1,1,2,[134]
travel index,1,1,2,[134]
autopsychic cruising,1,1,2,[134]
system dispatching,1,1,2,[134]
distribution character,1,1,2,[134]
fuel consumption,1,1,2,[134]
greenhouse gas,1,1,2,[134]
electric taxi,1,1,2,[134]
urban city,1,1,2,[134]
transportation congestion,1,1,2,[134]
many machine,1,1,2,[134]
travel condition,1,1,2,[134]
condition index,1,1,2,[134]
land use,1,1,2,[134]
main bottleneck,1,1,2,[134]
research direction,1,1,2,[134]
fundamental aspect,1,1,2,[134]
optimal logistics,1,1,2,[138]
logistics transportation,1,1,2,[138]
fpga processor,1,1,2,[138]
development requirement,1,1,2,[138]
improved utilization,1,1,2,[138]
road resource,1,1,2,[138]
excellent user,1,1,2,[138]
experience neotype,1,1,2,[138]
precise travel,1,1,2,[138]
travel need,1,1,2,[138]
bus implementation,1,1,2,[138]
high volatility,1,1,2,[138]
high number,1,1,2,[138]
optimization goal,1,1,2,[138]
bus route,1,1,2,[138]
different audience,1,1,2,[138]
audience source,1,1,2,[138]
demand prediction,1,1,2,[138]
prediction function,1,1,2,[138]
multiple operation,1,1,2,[138]
operation bus,1,1,2,[138]
optimal routing,1,1,2,[138]
bus destination,1,1,2,[138]
