term,freq,range,score,doc_ids
land use,47,13,60,"[17, 90, 130, 212, 239, 245, 256, 260, 293, 348, 426, 521, 570]"
urban planning,32,25,57,"[17, 57, 99, 100, 102, 114, 123, 182, 186, 212, 238, 239, 245, 251, 260, 293, 310, 339, 350, 383, 421, 426, 436, 521, 570]"
urban land,32,10,42,"[90, 114, 130, 182, 239, 256, 260, 348, 426, 570]"
machine learning,11,11,22,"[90, 99, 100, 102, 114, 251, 260, 339, 350, 421, 570]"
urban expansion,14,3,17,"[426, 436, 570]"
urban development,9,6,15,"[90, 310, 347, 350, 436, 570]"
urban growth,11,4,15,"[130, 182, 256, 293]"
neural network,8,6,14,"[186, 239, 245, 310, 426, 436]"
study area,7,6,13,"[57, 212, 245, 251, 436, 570]"
carbon emission,11,2,13,"[102, 350]"
urban area,7,5,12,"[57, 90, 310, 348, 570]"
spatial distribution,7,5,12,"[251, 293, 347, 350, 426]"
residential land,8,3,11,"[90, 114, 256]"
land growth,9,2,11,"[130, 256]"
result show,5,5,10,"[99, 114, 212, 348, 350]"
cellular automaton,6,4,10,"[130, 182, 245, 436]"
use change,7,3,10,"[239, 245, 348]"
air quality,7,2,9,"[17, 238]"
support vector,5,4,9,"[17, 114, 186, 245]"
building height,8,1,9,[310]
park accessibility,8,1,9,[339]
carbon sequestration,8,1,9,[421]
sequestration potential,8,1,9,[421]
urban poverty,7,1,8,[99]
linear regression,5,3,8,"[186, 212, 238]"
overall accuracy,4,4,8,"[212, 245, 260, 347]"
case study,5,3,8,"[256, 310, 383]"
food productivity,7,1,8,[421]
vector machine,4,3,7,"[17, 186, 245]"
land resource,4,3,7,"[114, 426, 570]"
smart city,4,3,7,"[114, 130, 421]"
cellular automata,4,3,7,"[130, 239, 245]"
spatial heterogeneity,4,3,7,"[186, 245, 421]"
neighborhood effect,4,3,7,"[239, 245, 436]"
simulation accuracy,4,3,7,"[239, 256, 436]"
logistic regression,5,2,7,"[245, 570]"
use policy,5,2,7,"[348, 426]"
functional zone,6,1,7,[383]
information system,3,3,6,"[17, 182, 426]"
rapid urbanization,3,3,6,"[57, 310, 426]"
public service,3,3,6,"[90, 256, 350]"
big data,3,3,6,"[90, 109, 350]"
driving force,4,2,6,"[90, 570]"
land price,5,1,6,[114]
public transportation,3,3,6,"[114, 350, 521]"
urban planner,3,3,6,"[123, 130, 182]"
growth simulation,4,2,6,"[130, 256]"
random forest,3,3,6,"[186, 212, 251]"
geospatial data,4,2,6,"[212, 383]"
regression model,4,2,6,"[212, 238]"
decision support,3,3,6,"[239, 245, 260]"
previous study,3,3,6,"[251, 310, 436]"
great importance,3,3,6,"[260, 347, 436]"
urban forest,5,1,6,[347]
agricultural afforestation,5,1,6,[421]
economic factor,3,2,5,"[17, 570]"
heat island,3,2,5,"[57, 102]"
land expansion,4,1,5,[90]
social group,3,2,5,"[99, 123]"
regional planning,3,2,5,"[100, 109]"
population growth,4,1,5,[100]
built environment,3,2,5,"[102, 350]"
small city,3,2,5,"[102, 350]"
relative importance,3,2,5,"[114, 123]"
growth model,3,2,5,"[130, 182]"
population distribution,4,1,5,[212]
regression tree,3,2,5,"[238, 570]"
driving factor,3,2,5,"[239, 436]"
multiple land,3,2,5,"[239, 426]"
transition rule,3,2,5,"[245, 436]"
population spatialization,4,1,5,[251]
population density,3,2,5,"[251, 570]"
important factor,3,2,5,"[310, 570]"
use type,3,2,5,"[426, 570]"
relative influence,4,1,5,[570]
geographic information,2,2,4,"[17, 426]"
time series,2,2,4,"[17, 293]"
high accuracy,2,2,4,"[17, 212]"
urban surface,3,1,4,[57]
thermal environment,3,1,4,[57]
urban heat,2,2,4,"[57, 102]"
heat source,3,1,4,[57]
economic development,2,2,4,"[90, 130]"
recent decade,2,2,4,"[90, 245]"
commercial land,2,2,4,"[90, 310]"
housing inequality,3,1,4,[99]
image feature,3,1,4,[99]
prediction result,2,2,4,"[99, 102]"
policy maker,2,2,4,"[99, 182]"
regional population,3,1,4,[100]
population forecast,3,1,4,[100]
learning method,2,2,4,"[102, 436]"
urban block,3,1,4,[102]
different function,3,1,4,[102]
mean absolute,2,2,4,"[102, 251]"
nighttime light,2,2,4,"[114, 186]"
decision tree,2,2,4,"[123, 521]"
new town,2,2,4,"[130, 182]"
spatiotemporal uncertainty,3,1,4,[182]
automaton model,2,2,4,"[182, 245]"
growth rate,2,2,4,"[182, 245]"
city scale,2,2,4,"[186, 260]"
distribution map,2,2,4,"[186, 212]"
validation result,2,2,4,"[186, 251]"
urban population,2,2,4,"[212, 347]"
gridded population,2,2,4,"[212, 251]"
use data,2,2,4,"[212, 245]"
population mapping,2,2,4,"[212, 251]"
influencing factor,2,2,4,"[238, 570]"
boosted regression,2,2,4,"[238, 570]"
change simulation,2,2,4,"[239, 245]"
urbanization process,2,2,4,"[245, 436]"
spatiotemporal neighborhood,3,1,4,[245]
neighborhood feature,3,1,4,[245]
spatial resolution,2,2,4,"[251, 293]"
service facility,2,2,4,"[256, 350]"
multiple feature,2,2,4,"[260, 293]"
learning algorithm,2,2,4,"[260, 339]"
recent year,2,2,4,"[293, 570]"
community deprivation,3,1,4,[339]
national policy,3,1,4,[348]
land management,2,2,4,"[348, 426]"
travel carbon,3,1,4,[350]
zone classification,3,1,4,[383]
use map,2,2,4,"[426, 570]"
ca model,3,1,4,[436]
transit ridership,3,1,4,[521]
distance factor,3,1,4,[570]
development zone,3,1,4,[570]
temporal prediction,2,1,3,[17]
dynamic characteristic,2,1,3,[57]
uhi volume,2,1,3,[57]
development stage,2,1,3,[90]
satellite imagery,2,1,3,[99]
