term,freq,range,score,doc_ids
urban planning,24,24,48,"[8, 73, 92, 96, 106, 118, 129, 144, 153, 169, 204, 237, 312, 318, 320, 398, 405, 427, 443, 452, 479, 557, 559, 567]"
deep learning,26,10,36,"[8, 73, 92, 96, 144, 169, 237, 398, 479, 559]"
neural network,21,11,32,"[8, 73, 92, 153, 237, 314, 318, 427, 452, 490, 559]"
land cover,21,10,31,"[92, 96, 237, 312, 320, 452, 476, 479, 531, 559]"
machine learning,14,12,26,"[96, 118, 144, 162, 204, 252, 314, 318, 320, 427, 452, 531]"
image classification,13,9,22,"[92, 144, 312, 320, 398, 427, 437, 479, 490]"
satellite image,12,7,19,"[8, 106, 153, 204, 318, 405, 531]"
satellite imagery,12,6,18,"[8, 92, 169, 405, 490, 531]"
overall accuracy,10,7,17,"[92, 96, 153, 252, 312, 320, 567]"
object detection,12,4,16,"[8, 153, 237, 314]"
remote sensing,8,8,16,"[73, 96, 106, 144, 398, 437, 479, 559]"
land use,11,5,16,"[96, 237, 320, 490, 559]"
classification accuracy,10,6,16,"[129, 162, 405, 427, 437, 444]"
urban environment,9,5,14,"[118, 162, 314, 437, 490]"
computer vision,8,5,13,"[8, 314, 398, 479, 490]"
support vector,7,6,13,"[106, 153, 252, 427, 476, 559]"
vector machine,7,6,13,"[106, 153, 252, 427, 476, 559]"
lidar data,6,6,12,"[118, 129, 312, 443, 557, 567]"
urban area,8,4,12,"[129, 252, 405, 559]"
cover classification,6,4,10,"[92, 96, 476, 559]"
study area,5,5,10,"[92, 118, 162, 312, 437]"
aerial image,7,3,10,"[129, 237, 443]"
training sample,6,4,10,"[162, 312, 444, 452]"
urban land,6,4,10,"[312, 476, 531, 559]"
image analysis,5,4,9,"[92, 252, 312, 427]"
cover mapping,5,4,9,"[92, 237, 320, 476]"
sar data,6,3,9,"[252, 476, 559]"
impervious surface,7,1,8,[73]
learning technique,5,3,8,"[96, 318, 320]"
classification method,4,4,8,"[153, 437, 444, 557]"
tree specie,6,2,8,"[162, 437]"
challenging task,4,4,8,"[162, 312, 314, 531]"
synthetic aperture,4,4,8,"[252, 476, 479, 559]"
aperture radar,4,4,8,"[252, 476, 479, 559]"
deprivation pocket,7,1,8,[318]
training data,5,3,8,"[318, 398, 479]"
experimental result,4,4,8,"[427, 476, 531, 559]"
data fusion,5,2,7,"[118, 162]"
spectral feature,4,3,7,"[162, 437, 531]"
type classification,5,2,7,"[479, 567]"
large scale,3,3,6,"[8, 318, 490]"
climate change,3,3,6,"[92, 320, 398]"
environmental monitoring,3,3,6,"[96, 320, 452]"
classification task,3,3,6,"[96, 398, 427]"
different machine,4,2,6,"[118, 557]"
result show,3,3,6,"[118, 443, 559]"
overall classification,3,3,6,"[129, 162, 437]"
maximum likelihood,4,2,6,"[153, 476]"
random forest,3,3,6,"[153, 443, 476]"
specie classification,4,2,6,"[162, 437]"
aerial vehicle,3,3,6,"[162, 437, 444]"
limited training,3,3,6,"[162, 318, 479]"
large number,3,3,6,"[312, 318, 405]"
wide range,3,3,6,"[427, 476, 479]"
road network,5,1,6,[443]
optical data,5,1,6,[476]
sar image,5,1,6,[479]
learning algorithms,3,2,5,"[8, 118]"
cover map,3,2,5,"[92, 531]"
use land,3,2,5,"[96, 320]"
satellite data,3,2,5,"[96, 252]"
case study,3,2,5,"[106, 320]"
building extraction,3,2,5,"[106, 557]"
urban mapping,3,2,5,"[118, 129]"
