term,freq,range,score,doc_ids
urban planning,11,11,22,"[14, 19, 26, 50, 218, 255, 292, 322, 486, 500, 512]"
machine learning,11,9,20,"[34, 94, 191, 255, 322, 323, 386, 447, 500]"
urban environment,11,4,15,"[5, 322, 386, 447]"
pollutant concentration,8,6,14,"[5, 26, 34, 50, 94, 218]"
air quality,12,2,14,"[292, 447]"
air pollution,8,5,13,"[19, 50, 94, 142, 447]"
regression model,9,4,13,"[26, 292, 322, 512]"
linear regression,6,6,12,"[50, 94, 292, 322, 447, 512]"
neural network,7,4,11,"[5, 94, 142, 500]"
cfd simulation,7,3,10,"[322, 500, 512]"
natural ventilation,7,2,9,"[322, 512]"
prediction model,5,3,8,"[14, 218, 512]"
vehicle ownership,7,1,8,[255]
ventilation potential,6,2,8,"[322, 512]"
concentration prediction,5,2,7,"[14, 218]"
health outcome,5,2,7,"[34, 191]"
prenatal care,6,1,7,[34]
urban form,6,1,7,[50]
mode decomposition,4,2,6,"[14, 218]"
meteorological data,3,3,6,"[50, 142, 447]"
urban planner,3,3,6,"[94, 323, 512]"
urban area,4,2,6,"[292, 500]"
cfd model,3,3,6,"[322, 500, 512]"
learning technique,3,3,6,"[323, 386, 447]"
secondary decomposition,3,2,5,"[14, 218]"
mobile monitoring,3,2,5,"[19, 50]"
urban structure,4,1,5,[19]
result show,3,2,5,"[142, 500]"
wind speed,3,2,5,"[322, 500]"
early design,3,2,5,"[322, 512]"
deep learning,2,2,4,"[5, 14]"
learning approach,2,2,4,"[5, 255]"
mean absolute,2,2,4,"[5, 322]"
root mean,2,2,4,"[5, 94]"
square error,2,2,4,"[5, 94]"
meteorological factor,2,2,4,"[5, 142]"
decomposition algorithm,2,2,4,"[14, 218]"
early warning,2,2,4,"[14, 218]"
travel planning,2,2,4,"[14, 218]"
empirical mode,2,2,4,"[14, 218]"
adaptive noise,2,2,4,"[14, 218]"
variational mode,2,2,4,"[14, 218]"
sample entropy,2,2,4,"[14, 218]"
empirical analysis,2,2,4,"[14, 218]"
comparison experiment,2,2,4,"[14, 218]"
air pollutant,2,2,4,"[19, 218]"
feature selection,2,2,4,"[26, 94]"
environment factor,3,1,4,[34]
