term,freq,range,score,doc_ids
urban planning,16,16,32,"[27, 81, 131, 136, 167, 190, 248, 253, 258, 263, 311, 329, 351, 482, 514, 552]"
landslide susceptibility,24,6,30,"[27, 81, 131, 248, 329, 514]"
urban area,16,11,27,"[3, 20, 69, 159, 176, 217, 254, 274, 335, 351, 552]"
land use,22,5,27,"[45, 81, 258, 311, 514]"
machine learning,13,11,24,"[20, 22, 53, 112, 131, 136, 159, 190, 217, 248, 274]"
urban land,14,3,17,"[45, 167, 258]"
neural network,8,6,14,"[27, 112, 176, 190, 253, 254]"
susceptibility map,8,6,14,"[27, 81, 131, 176, 248, 514]"
susceptibility mapping,8,6,14,"[131, 159, 176, 248, 329, 514]"
study area,7,5,12,"[248, 253, 254, 274, 351]"
big data,6,5,11,"[3, 20, 45, 335, 353]"
support vector,6,5,11,"[112, 167, 253, 482, 514]"
vector machine,6,5,11,"[112, 167, 253, 482, 514]"
experimental result,5,5,10,"[45, 69, 112, 167, 552]"
urban study,5,5,10,"[45, 53, 124, 185, 482]"
case study,6,4,10,"[217, 254, 262, 364]"
transit mobility,8,1,9,[69]
urban data,5,3,8,"[22, 69, 364]"
mobility structure,7,1,8,[69]
life circle,7,1,8,[136]
land cover,6,2,8,"[167, 361]"
overall accuracy,4,4,8,"[167, 254, 311, 361]"
rf model,6,2,8,"[248, 329]"
conditioning factor,4,3,7,"[27, 248, 253]"
learning technique,4,3,7,"[131, 136, 248]"
random forest,4,3,7,"[159, 176, 329]"
spatial resolution,4,3,7,"[167, 254, 353]"
view image,5,2,7,"[185, 482]"
deep learning,4,3,7,"[185, 254, 263]"
rockfall hazard,6,1,7,[253]
block level,5,2,7,"[311, 482]"
heritage area,5,1,6,[20]
susceptibility evaluation,3,3,6,"[27, 248, 329]"
urban environment,4,2,6,"[53, 254]"
mobility pattern,5,1,6,[69]
model performance,3,3,6,"[81, 176, 248]"
landslide inventory,3,3,6,"[81, 248, 329]"
susceptibility model,3,3,6,"[81, 131, 514]"
human activity,3,3,6,"[81, 124, 258]"
landslide risk,3,3,6,"[81, 131, 329]"
climate change,3,3,6,"[112, 159, 351]"
shallow landslide,5,1,6,[131]
street view,5,1,6,[185]
pluvial flooding,4,2,6,"[217, 351]"
result show,3,3,6,"[253, 482, 552]"
scene classification,4,2,6,"[254, 482]"
commercial district,4,1,5,[22]
historical landslide,3,2,5,"[27, 248]"
susceptibility modeling,3,2,5,"[27, 81]"
use classification,3,2,5,"[45, 311]"
urban function,3,2,5,"[53, 69]"
ml algorithms,3,2,5,"[53, 159]"
urban flood,3,2,5,"[112, 176]"
estimation model,4,1,5,[136]
area change,4,1,5,[167]
socioeconomic data,3,2,5,"[185, 353]"
pluvial flood,3,2,5,"[217, 351]"
frequency ratio,3,2,5,"[248, 329]"
hazard assessment,4,1,5,[253]
spatial information,3,2,5,"[254, 258]"
data source,3,2,5,"[258, 364]"
address record,4,1,5,[263]
lst image,4,1,5,[274]
express service,4,1,5,[335]
emergency response,4,1,5,[351]
retail store,4,1,5,[364]
gsv image,4,1,5,[482]
water type,4,1,5,[552]
urban governance,3,1,4,[3]
historical heritage,3,1,4,[20]
spatial distribution,2,2,4,"[20, 248]"
chinese city,2,2,4,"[20, 353]"
rapid development,2,2,4,"[22, 254]"
district discovery,3,1,4,[22]
graph convolution,3,1,4,[22]
convolution network,3,1,4,[22]
natural disaster,2,2,4,"[27, 248]"
spatial database,2,2,4,"[27, 514]"
training phase,2,2,4,"[27, 514]"
hybrid model,2,2,4,"[27, 253]"
ensemble learning,2,2,4,"[45, 136]"
use mix,3,1,4,[45]
land parcel,2,2,4,"[45, 185]"
linear regression,2,2,4,"[45, 335]"
classification accuracy,2,2,4,"[45, 361]"
parcel scale,2,2,4,"[45, 185]"
generated land,2,2,4,"[45, 361]"
building structure,3,1,4,[53]
vector representation,2,2,4,"[69, 263]"
metropolitan area,2,2,4,"[69, 159]"
decision maker,2,2,4,"[69, 131]"
inventory map,2,2,4,"[81, 329]"
training dataset,2,2,4,"[81, 248]"
low susceptibility,2,2,4,"[81, 248]"
high landslide,2,2,4,"[81, 159]"
global climate,2,2,4,"[112, 351]"
rapid urbanization,2,2,4,"[112, 552]"
decision tree,2,2,4,"[112, 136]"
community life,3,1,4,[136]
gps data,3,1,4,[136]
internal structure,3,1,4,[136]
behavioral demand,3,1,4,[136]
logistic regression,2,2,4,"[136, 253]"
environmental planning,2,2,4,"[159, 274]"
spatial prediction,2,2,4,"[176, 329]"
predictive performance,2,2,4,"[176, 514]"
hydraulic model,2,2,4,"[176, 217]"
water demand,3,1,4,[190]
predictive model,3,1,4,[190]
spatial scale,2,2,4,"[190, 311]"
urban water,2,2,4,"[217, 552]"
flood event,2,2,4,"[217, 351]"
different combination,2,2,4,"[217, 329]"
urban catchment,2,2,4,"[217, 361]"
satellite image,2,2,4,"[248, 361]"
field survey,2,2,4,"[248, 329]"
test dataset,2,2,4,"[248, 353]"
model training,2,2,4,"[248, 329]"
fr model,3,1,4,[248]
kinematic model,3,1,4,[253]
use type,2,2,4,"[258, 311]"
crucial step,2,2,4,"[263, 351]"
important role,2,2,4,"[263, 552]"
unstructured address,3,1,4,[263]
address data,3,1,4,[263]
automatic identification,2,2,4,"[311, 552]"
social function,3,1,4,[311]
image interpretation,2,2,4,"[311, 552]"
statistical model,3,1,4,[329]
roc curve,2,2,4,"[329, 514]"
quantitative relationship,3,1,4,[335]
service network,3,1,4,[335]
demand point,3,1,4,[351]
residential building,2,2,4,"[351, 482]"
human life,2,2,4,"[351, 514]"
catchment scale,3,1,4,[361]
cover classification,3,1,4,[361]
store placement,3,1,4,[364]
geographic feature,3,1,4,[364]
building block,3,1,4,[482]
spatiotemporal pattern,2,1,3,[3]
social sensing,2,1,3,[3]
area vitality,2,1,3,[20]
urban morphology,2,1,3,[20]
economic development,2,1,3,[20]
heritage conservation,2,1,3,[20]
morphological element,2,1,3,[20]
geospatial data,2,1,3,[20]
human mobility,2,1,3,[22]
use composition,2,1,3,[45]
urban mobility,2,1,3,[69]
transit data,2,1,3,[69]
attributed feature,2,1,3,[69]
auc value,2,1,3,[81]
susceptibility zone,2,1,3,[81]
flood disaster,2,1,3,[112]
urban waterlogging,2,1,3,[112]
rnn model,2,1,3,[112]
human presence,2,1,3,[124]
commercial establishment,2,1,3,[124]
circle planning,2,1,3,[136]
environmental contexts,2,1,3,[136]
delineation method,2,1,3,[136]
behavioral data,2,1,3,[136]
demand estimation,2,1,3,[136]
landslide prediction,2,1,3,[159]
regional climate,2,1,3,[159]
climate model,2,1,3,[159]
flood susceptibility,2,1,3,[176]
neighborhood information,2,1,3,[185]
neighborhood method,2,1,3,[185]
fine scale,2,1,3,[190]
census block,2,1,3,[190]
coarse scale,2,1,3,[190]
shenzhen city,2,1,3,[217]
rainfall threshold,2,1,3,[217]
ml model,2,1,3,[217]
rockfall trajectory,2,1,3,[253]
local climate,2,1,3,[254]
climate zone,2,1,3,[254]
wudapt method,2,1,3,[254]
lcz mapping,2,1,3,[254]
mobile phone,2,1,3,[258]
phone data,2,1,3,[258]
historical preservation,2,1,3,[262]
policy making,2,1,3,[262]
historical site,2,1,3,[262]
address matching,2,1,3,[263]
nighttime land,2,1,3,[274]
land surface,2,1,3,[274]
surface temperature,2,1,3,[274]
explanatory variable,2,1,3,[274]
functional zoning,2,1,3,[311]
aoi sample,2,1,3,[311]
causal factor,2,1,3,[329]
landslide location,2,1,3,[329]
relationship model,2,1,3,[335]
service facility,2,1,3,[335]
service point,2,1,3,[335]
response centre,2,1,3,[351]
multiple layer,2,1,3,[351]
layer perceptron,2,1,3,[351]
maximum coverage,2,1,3,[351]
coverage location,2,1,3,[351]
location problem,2,1,3,[351]
problem model,2,1,3,[351]
pf probability,2,1,3,[351]
location allocation,2,1,3,[351]
socioeconomic attribute,2,1,3,[353]
restaurant data,2,1,3,[353]
hydrologic modelling,2,1,3,[361]
satellite imagery,2,1,3,[361]
classification result,2,1,3,[361]
supplementary data,2,1,3,[361]
placement problem,2,1,3,[364]
consumer study,2,1,3,[364]
classification algorithms,2,1,3,[482]
image feature,2,1,3,[482]
feature descriptor,2,1,3,[482]
stable area,2,1,3,[514]
radial basis,2,1,3,[514]
basis function,2,1,3,[514]
function kernel,2,1,3,[514]
water body,2,1,3,[552]
sensing perspective,1,1,2,[3]
resident complain,1,1,2,[3]
complain event,1,1,2,[3]
street vending,1,1,2,[3]
important part,1,1,2,[3]
informal economy,1,1,2,[3]
negative externality,1,1,2,[3]
positive role,1,1,2,[3]
observation data,1,1,2,[3]
vending event,1,1,2,[3]
governance platform,1,1,2,[3]
urban problem,1,1,2,[3]
problem complaint,1,1,2,[3]
complaint hotline,1,1,2,[3]
occurrence mechanism,1,1,2,[3]
urban manager,1,1,2,[3]
urban resident,1,1,2,[3]
model show,1,1,2,[3]
former concentrate,1,1,2,[3]
work time,1,1,2,[3]
finding reaffirm,1,1,2,[3]
perception bias,1,1,2,[3]
sensing data,1,1,2,[3]
governance practice,1,1,2,[3]
morphology approach,1,1,2,[20]
social benefit,1,1,2,[20]
societal creativity,1,1,2,[20]
early stage,1,1,2,[20]
individual structure,1,1,2,[20]
general conservation,1,1,2,[20]
conservation method,1,1,2,[20]
element suitable,1,1,2,[20]
big geospatial,1,1,2,[20]
daily variation,1,1,2,[20]
following result,1,1,2,[20]
urban vitality,1,1,2,[20]
diurnal variation,1,1,2,[20]
replicable framework,1,1,2,[20]
heritage adaptation,1,1,2,[20]
vitality measure,1,1,2,[20]
theoretical support,1,1,2,[20]
urban construction,1,1,2,[20]
much attention,1,1,2,[22]
commercial location,1,1,2,[22]
discovery framework,1,1,2,[22]
