term,freq,range,score,doc_ids
machine learning,19,17,36,"[2, 7, 36, 47, 65, 67, 91, 103, 107, 122, 219, 365, 377, 467, 472, 508, 562]"
urban planning,14,12,26,"[1, 43, 65, 91, 107, 164, 175, 210, 241, 365, 484, 508]"
urban planner,9,8,17,"[1, 91, 103, 164, 242, 411, 467, 472]"
housing price,13,4,17,"[2, 174, 411, 472]"
result show,7,7,14,"[36, 65, 67, 338, 411, 467, 480]"
urban data,8,6,14,"[122, 210, 242, 324, 365, 411]"
learning technique,6,6,12,"[65, 107, 219, 365, 467, 472]"
violent crime,10,1,11,[1]
property crime,10,1,11,[1]
land use,7,4,11,"[2, 241, 338, 513]"
total population,9,1,10,[1]
urban area,5,5,10,"[219, 241, 470, 472, 508]"
ethnic heterogeneity,8,1,9,[1]
spatial lag,8,1,9,[1]
neural network,5,4,9,"[36, 47, 377, 508]"
case study,5,3,8,"[36, 43, 467]"
data source,6,2,8,"[43, 67]"
urban environment,5,3,8,"[67, 470, 472]"
street greenery,7,1,8,[411]
road traffic,7,1,8,[508]
urban development,4,3,7,"[7, 122, 164]"
input variable,4,3,7,"[107, 480, 508]"
urban form,5,2,7,"[219, 508]"
urban street,5,2,7,"[241, 513]"
traffic noise,6,1,7,[508]
residential stability,5,1,6,[1]
important variable,5,1,6,[1]
objective indicator,5,1,6,[2]
urban design,4,2,6,"[2, 467]"
urban growth,5,1,6,[6]
infill development,5,1,6,[7]
real estate,3,3,6,"[43, 103, 411]"
spatial justice,5,1,6,[65]
housing estate,5,1,6,[91]
geodemographic classification,5,1,6,[107]
residential segregation,4,2,6,"[219, 484]"
built environment,3,3,6,"[219, 338, 472]"
street network,4,2,6,"[241, 513]"
decision tree,3,3,6,"[338, 480, 508]"
census tract,3,2,5,"[1, 65]"
professional occupation,4,1,5,[1]
subjective perception,4,1,5,[2]
weighted regression,3,2,5,"[2, 175]"
feature selection,4,1,5,[36]
selection procedure,3,2,5,"[36, 107]"
economic mobility,4,1,5,[65]
crime pattern,4,1,5,[67]
classification model,3,2,5,"[164, 472]"
visual data,4,1,5,[472]
form indicator,4,1,5,[508]
lag term,3,1,4,[1]
college education,3,1,4,[1]
significant predictor,3,1,4,[1]
view index,3,1,4,[2]
street view,2,2,4,"[2, 411]"
design quality,3,1,4,[2]
decision maker,2,2,4,"[2, 411]"
housing dispersal,3,1,4,[6]
metropolitan city,2,2,4,"[6, 467]"
spatial pattern,2,2,4,"[6, 103]"
ml algorithms,3,1,4,[7]
urban mobility,2,2,4,"[36, 242]"
semantic information,2,2,4,"[43, 365]"
poi data,3,1,4,[43]
crime rate,3,1,4,[47]
crime distribution,3,1,4,[47]
prediction model,2,2,4,"[47, 508]"
concentration area,3,1,4,[47]
comparative analysis,2,2,4,"[65, 122]"
street segment,2,2,4,"[67, 241]"
spatial data,2,2,4,"[67, 164]"
open data,2,2,4,"[67, 174]"
economic growth,2,2,4,"[91, 324]"
population density,2,2,4,"[91, 175]"
metropolitan area,2,2,4,"[103, 338]"
estate market,2,2,4,"[103, 411]"
contextual information,2,2,4,"[103, 467]"
public policy,2,2,4,"[107, 210]"
deep learning,2,2,4,"[175, 241]"
small city,3,1,4,[175]
urban road,2,2,4,"[241, 508]"
spatial structure,2,2,4,"[241, 484]"
open source,2,2,4,"[242, 484]"
data mining,2,2,4,"[324, 562]"
threshold effect,3,1,4,[338]
different source,2,2,4,"[365, 472]"
tender procedure,3,1,4,[377]
visible street,3,1,4,[411]
space syntax,2,2,4,"[411, 513]"
coffee shop,2,2,4,"[467, 513]"
cross validation,2,2,4,"[472, 508]"
new company,3,1,4,[480]
predictive analytics,3,1,4,[562]
concentrated disadvantage,2,1,3,[1]
housing unit,2,1,3,[1]
local context,2,1,3,[1]
street design,2,1,3,[2]
street quality,2,1,3,[2]
visual survey,2,1,3,[2]
predictive power,2,1,3,[2]
residential infill,2,1,3,[7]
transport planning,2,1,3,[36]
od matrix,2,1,3,[36]
socioeconomic variable,2,1,3,[36]
combined model,2,1,3,[36]
conflation framework,2,1,3,[43]
different data,2,1,3,[43]
poi conflation,2,1,3,[43]
floor plan,2,1,3,[47]
distribution map,2,1,3,[47]
crime concentration,2,1,3,[47]
spatial inequality,2,1,3,[65]
individual measure,2,1,3,[65]
crime simulation,2,1,3,[67]
crime reduction,2,1,3,[67]
data layer,2,1,3,[67]
development scale,2,1,3,[91]
economic assessment,2,1,3,[91]
economic sustainability,2,1,3,[91]
residential unit,2,1,3,[91]
rental market,2,1,3,[103]
rental price,2,1,3,[103]
previous model,2,1,3,[103]
saliency map,2,1,3,[103]
textual information,2,1,3,[103]
decision making,2,1,3,[107]
variable selection,2,1,3,[107]
discriminatory power,2,1,3,[107]
dynamic analysis,2,1,3,[122]
geographical measure,2,1,3,[126]
cluster fit,2,1,3,[126]
place detection,2,1,3,[126]
automation tool,2,1,3,[164]
big city,2,1,3,[164]
exogenous feature,2,1,3,[174]
polish city,2,1,3,[175]
large city,2,1,3,[175]
economic development,2,1,3,[175]
social interaction,2,1,3,[219]
street functionality,2,1,3,[241]
centrality measure,2,1,3,[241]
arterial road,2,1,3,[241]
objective function,2,1,3,[242]
intervention strategy,2,1,3,[242]
thematic structure,2,1,3,[324]
adaptive reuse,2,1,3,[324]
knowledge discovery,2,1,3,[324]
discovery process,2,1,3,[324]
environment element,2,1,3,[338]
road construction,2,1,3,[377]
high value,2,1,3,[377]
collusion appearance,2,1,3,[377]
urban placeness,2,1,3,[467]
instagram post,2,1,3,[467]
service industry,2,1,3,[470]
path dependency,2,1,3,[480]
localization decision,2,1,3,[480]
new entity,2,1,3,[480]
service sector,2,1,3,[480]
spatial scale,2,1,3,[484]
learning method,2,1,3,[508]
urban resident,2,1,3,[508]
syntactic signature,2,1,3,[513]
business type,2,1,3,[513]
prediction ability,2,1,3,[513]
crime analysis,1,1,2,[1]
statistical method,1,1,2,[1]
contextual model,1,1,2,[1]
american city,1,1,2,[1]
structural characteristic,1,1,2,[1]
proportion population,1,1,2,[1]
college degree,1,1,2,[1]
owner occupancy,1,1,2,[1]
traditional regression,1,1,2,[1]
regression model,1,1,2,[1]
concentrated immigration,1,1,2,[1]
nearby crime,1,1,2,[1]
high crime,1,1,2,[1]
crime level,1,1,2,[1]
responsive policy,1,1,2,[1]
stability matter,1,1,2,[1]
urban policy,1,1,2,[1]
social disorganization,1,1,2,[1]
disorganization indicator,1,1,2,[1]
objective measure,1,1,2,[2]
street environment,1,1,2,[2]
price premium,1,1,2,[2]
prior study,1,1,2,[2]
tree count,1,1,2,[2]
use data,1,1,2,[2]
greenery view,1,1,2,[2]
view imagery,1,1,2,[2]
describe people,1,1,2,[2]
subjective process,1,1,2,[2]
subjective measure,1,1,2,[2]
human perception,1,1,2,[2]
perception data,1,1,2,[2]
svis ranking,1,1,2,[2]
generic image,1,1,2,[2]
image feature,1,1,2,[2]
design theory,1,1,2,[2]
thirty streetscape,1,1,2,[2]
streetscape element,1,1,2,[2]
quality versus,1,1,2,[2]
individual streetscapes,1,1,2,[2]
hedonic price,1,1,2,[2]
price model,1,1,2,[2]
spatial regression,1,1,2,[2]
spatial dependence,1,1,2,[2]
heterogeneity effect,1,1,2,[2]
structural attribute,1,1,2,[2]
objective view,1,1,2,[2]
price variance,1,1,2,[2]
human scale,1,1,2,[2]
ubiquitous feature,1,1,2,[2]
biased estimation,1,1,2,[2]
multicollinear issue,1,1,2,[2]
building view,1,1,2,[2]
micro level,1,1,2,[2]
finding provide,1,1,2,[2]
important reference,1,1,2,[2]
quality indicator,1,1,2,[2]
city planning,1,1,2,[2]
housing development,1,1,2,[2]
development plan,1,1,2,[2]
future housing,1,1,2,[6]
adversarial network,1,1,2,[6]
growth map,1,1,2,[6]
housing preference,1,1,2,[6]
process approach,1,1,2,[6]
city worldwide,1,1,2,[6]
robust solution,1,1,2,[6]
urban morphology,1,1,2,[6]
dispersal guideline,1,1,2,[6]
urban sprawl,1,1,2,[7]
research gap,1,1,2,[7]
paper model,1,1,2,[7]
rf algorithm,1,1,2,[7]
algorithm rank,1,1,2,[7]
independent variable,1,1,2,[7]
physical condition,1,1,2,[7]
diverse land,1,1,2,[7]
good housing,1,1,2,[7]
housing mix,1,1,2,[7]
transit accessibility,1,1,2,[7]
planning effort,1,1,2,[7]
rail transit,1,1,2,[7]
virtuous circle,1,1,2,[7]
demand matrix,1,1,2,[36]
essential role,1,1,2,[36]
travel modeling,1,1,2,[36]
laborious traffic,1,1,2,[36]
traffic count,1,1,2,[36]
combined methodology,1,1,2,[36]
málaga region,1,1,2,[36]
automatic feature,1,1,2,[36]
irrelevant one,1,1,2,[36]
several feature,1,1,2,[36]
selection technique,1,1,2,[36]
support vector,1,1,2,[36]
vector regression,1,1,2,[36]
relevant variable,1,1,2,[36]
experimental result,1,1,2,[36]
traditional method,1,1,2,[36]
ml model,1,1,2,[36]
alternative method,1,1,2,[36]
lead time,1,1,2,[36]
urban transport,1,1,2,[36]
data serf,1,1,2,[43]
valuable source,1,1,2,[43]
geospatial application,1,1,2,[43]
valuable technique,1,1,2,[43]
data quality,1,1,2,[43]
multiple source,1,1,2,[43]
data procurement,1,1,2,[43]
schema standardisation,1,1,2,[43]
taxonomy mapping,1,1,2,[43]
poi matching,1,1,2,[43]
poi unification,1,1,2,[43]
data verification,1,1,2,[43]
eastern region,1,1,2,[43]
poi dataset,1,1,2,[43]
unified dataset,1,1,2,[43]
poi match,1,1,2,[43]
average run,1,1,2,[43]
run time,1,1,2,[43]
scale implementation,1,1,2,[43]
urban contexts,1,1,2,[43]
urban neighborhood,1,1,2,[47]
single factor,1,1,2,[47]
different neighborhood,1,1,2,[47]
security planning,1,1,2,[47]
city floor,1,1,2,[47]
corresponding crime,1,1,2,[47]
research sample,1,1,2,[47]
crime information,1,1,2,[47]
crime hotspot,1,1,2,[47]
hotspot distribution,1,1,2,[47]
corresponding map,1,1,2,[47]
corresponding image,1,1,2,[47]
training set,1,1,2,[47]
hotspot map,1,1,2,[47]
philadelphia data,1,1,2,[47]
test set,1,1,2,[47]
previous study,1,1,2,[47]
city layout,1,1,2,[47]
simulated city,1,1,2,[47]
city planner,1,1,2,[47]
planner tune,1,1,2,[47]
city plan,1,1,2,[47]
characteristic parameter,1,1,2,[47]
random forest,1,1,2,[65]
shap tree,1,1,2,[65]
tree explainer,1,1,2,[65]
global event,1,1,2,[65]
powerful lens,1,1,2,[65]
spatial injustice,1,1,2,[65]
recent research,1,1,2,[65]
local geography,1,1,2,[65]
upward mobility,1,1,2,[65]
important keystone,1,1,2,[65]
individual census,1,1,2,[65]
methodology relies,1,1,2,[65]
performing model,1,1,2,[65]
spatial variable,1,1,2,[65]
medical facility,1,1,2,[65]
underground storage,1,1,2,[65]
storage tank,1,1,2,[65]
influential feature,1,1,2,[65]
overall quest,1,1,2,[65]
spatial crime,1,1,2,[67]
simulation contribute,1,1,2,[67]
drive crime,1,1,2,[67]
effective crime,1,1,2,[67]
reduction strategy,1,1,2,[67]
geographical environment,1,1,2,[67]
recent year,1,1,2,[67]
important driver,1,1,2,[67]
collect relevant,1,1,2,[67]
available data,1,1,2,[67]
temporal feature,1,1,2,[67]
feature relevant,1,1,2,[67]
individual offender,1,1,2,[67]
offender agent,1,1,2,[67]
agent navigate,1,1,2,[67]
criminal activity,1,1,2,[67]
individual agent,1,1,2,[67]
agent level,1,1,2,[67]
high resolution,1,1,2,[67]
interaction layer,1,1,2,[67]
top street,1,1,2,[67]
spatial layer,1,1,2,[67]
predictive performance,1,1,2,[67]
crime prediction,1,1,2,[67]
predictive tool,1,1,2,[67]
test platform,1,1,2,[67]
sustainable development,1,1,2,[91]
national level,1,1,2,[91]
human settlement,1,1,2,[91]
local project,1,1,2,[91]
project level,1,1,2,[91]
planner need,1,1,2,[91]
theory suggest,1,1,2,[91]
high level,1,1,2,[91]
household concentration,1,1,2,[91]
threshold scale,1,1,2,[91]
property transaction,1,1,2,[91]
transaction data,1,1,2,[91]
tipping point,1,1,2,[91]
critical limit,1,1,2,[91]
economic relationship,1,1,2,[91]
per household,1,1,2,[91]
household share,1,1,2,[91]
common facility,1,1,2,[91]
policy implication,1,1,2,[91]
housing supply,1,1,2,[91]
development bulk,1,1,2,[91]
possible bottleneck,1,1,2,[91]
spatial dynamic,1,1,2,[103]
rental housing,1,1,2,[103]
housing market,1,1,2,[103]
critical role,1,1,2,[103]
various approach,1,1,2,[103]
housing rent,1,1,2,[103]
hedonic modeling,1,1,2,[103]
textual data,1,1,2,[103]
rental property,1,1,2,[103]
many model,1,1,2,[103]
black box,1,1,2,[103]
decision process,1,1,2,[103]
driving factor,1,1,2,[103]
previous work,1,1,2,[103]
dynamic model,1,1,2,[103]
generated model,1,1,2,[103]
map technique,1,1,2,[103]
different part,1,1,2,[103]
predicted result,1,1,2,[103]
spatial variation,1,1,2,[103]
practical pricing,1,1,2,[103]
pricing reference,1,1,2,[103]
urban decision,1,1,2,[107]
traditional approach,1,1,2,[107]
recent scepticism,1,1,2,[107]
supervised machine,1,1,2,[107]
relevant input,1,1,2,[107]
selection phase,1,1,2,[107]
classification development,1,1,2,[107]
library use,1,1,2,[107]
uk city,1,1,2,[107]
local classification,1,1,2,[107]
selection method,1,1,2,[107]
relevant result,1,1,2,[107]
policy decision,1,1,2,[107]
safe city,1,1,2,[122]
urban world,1,1,2,[122]
comparative cluster,1,1,2,[122]
enormous diversity,1,1,2,[122]
development potential,1,1,2,[122]
security condition,1,1,2,[122]
analytical framework,1,1,2,[122]
empirical data,1,1,2,[122]
magnetism achievement,1,1,2,[122]
many world,1,1,2,[122]
world city,1,1,2,[122]
