term,freq,range,score,doc_ids
urban environment,25,12,37,"[111, 149, 221, 246, 278, 279, 284, 400, 448, 471, 506, 518]"
nlos signal,10,4,14,"[111, 278, 279, 506]"
path loss,11,3,14,"[221, 284, 471]"
machine learning,7,6,13,"[111, 279, 446, 448, 471, 506]"
gnss signal,5,4,9,"[246, 278, 279, 506]"
neural network,5,3,8,"[149, 278, 448]"
nlos multipath,6,2,8,"[278, 506]"
rf signature,7,1,8,[446]
gnss positioning,4,3,7,"[278, 279, 506]"
signal reception,4,2,6,"[111, 400]"
signal strength,3,3,6,"[111, 400, 448]"
urban area,3,3,6,"[221, 400, 446]"
empirical model,3,3,6,"[221, 284, 471]"
navigation system,4,2,6,"[246, 279]"
multipath detection,4,2,6,"[278, 506]"
direct signal,4,2,6,"[278, 506]"
signal correlation,4,2,6,"[278, 506]"
support vector,3,3,6,"[279, 400, 506]"
vector machine,3,3,6,"[279, 400, 506]"
location information,3,2,5,"[111, 446]"
position solution,3,2,5,"[111, 246]"
real time,4,1,5,[149]
localization problem,3,2,5,"[149, 518]"
coverage condition,4,1,5,[246]
multipath signal,3,2,5,"[278, 506]"
signal correlators,3,2,5,"[278, 506]"
gnss receiver,3,2,5,"[278, 506]"
correlation function,3,2,5,"[278, 506]"
level observation,4,1,5,[279]
global positioning,2,2,4,"[111, 400]"
positioning system,2,2,4,"[111, 400]"
decision tree,2,2,4,"[111, 279]"
pseudorange error,3,1,4,[111]
satellite elevation,2,2,4,"[111, 400]"
elevation angle,2,2,4,"[111, 400]"
positioning accuracy,2,2,4,"[111, 278]"
root mean,2,2,4,"[111, 471]"
mean square,2,2,4,"[111, 471]"
square error,2,2,4,"[111, 471]"
aerial vehicle,2,2,4,"[149, 471]"
cellular network,2,2,4,"[149, 221]"
cellular base,2,2,4,"[149, 448]"
base station,2,2,4,"[149, 446]"
lte network,2,2,4,"[221, 446]"
loss model,2,2,4,"[221, 471]"
result reveal,2,2,4,"[221, 279]"
positioning performance,3,1,4,[246]
pdop value,3,1,4,[246]
global navigation,2,2,4,"[278, 506]"
navigation satellite,2,2,4,"[278, 506]"
satellite system,2,2,4,"[278, 506]"
gnss satellite,2,2,4,"[278, 506]"
detection technique,2,2,4,"[278, 506]"
key idea,2,2,4,"[278, 506]"
low power,2,2,4,"[278, 506]"
nlos classification,2,2,4,"[278, 506]"
classification experiment,2,2,4,"[278, 506]"
correlation data,2,2,4,"[278, 506]"
different location,2,2,4,"[278, 506]"
shinjuku area,2,2,4,"[278, 506]"
received signal,2,2,4,"[279, 518]"
los signal,2,2,4,"[279, 506]"
signal propagation,2,2,4,"[279, 400]"
double difference,2,2,4,"[279, 400]"
svm model,3,1,4,[284]
measurement data,2,2,4,"[284, 446]"
prediction error,2,2,4,"[284, 471]"
training data,2,2,4,"[400, 471]"
practical application,2,2,4,"[400, 518]"
