term,freq,range,score,doc_ids
human mobility,27,7,34,"[62, 127, 326, 373, 459, 491, 536]"
urban planning,17,16,33,"[62, 104, 127, 233, 249, 281, 358, 395, 410, 423, 459, 491, 522, 536, 542, 574]"
mobility data,13,6,19,"[62, 233, 373, 491, 536, 571]"
mobile phone,11,5,16,"[358, 536, 541, 542, 574]"
mobility pattern,11,4,15,"[62, 127, 326, 373]"
trajectory data,10,5,15,"[127, 249, 326, 395, 423]"
travel behavior,8,5,13,"[104, 296, 326, 423, 522]"
machine learning,6,6,12,"[104, 281, 337, 373, 491, 542]"
human movement,7,3,10,"[62, 326, 358]"
gps trajectory,7,3,10,"[104, 127, 423]"
phone data,7,3,10,"[358, 541, 542]"
travel mode,5,3,8,"[104, 296, 522]"
geographical area,6,2,8,"[249, 542]"
travel pattern,6,2,8,"[326, 516]"
behavioral pattern,5,2,7,"[337, 542]"
urban region,5,2,7,"[459, 491]"
exposure index,5,1,6,[62]
spatiotemporal pattern,4,2,6,"[104, 410]"
land use,3,3,6,"[127, 542, 574]"
data collection,3,3,6,"[233, 337, 536]"
population distribution,5,1,6,[358]
urban environment,3,2,5,"[62, 233]"
movement pattern,3,2,5,"[62, 326]"
varying impact,4,1,5,[104]
complex network,4,1,5,[127]
statistical method,3,2,5,"[127, 249]"
positioning system,3,2,5,"[233, 373]"
urban data,3,2,5,"[326, 571]"
flow pattern,4,1,5,[395]
transportation mode,4,1,5,[423]
data mining,3,2,5,"[516, 536]"
heat exposure,3,1,4,[62]
dynamic nature,2,2,4,"[62, 358]"
heat hazard,3,1,4,[62]
multiple contexts,2,2,4,"[104, 410]"
learning technique,2,2,4,"[104, 542]"
network analysis,3,1,4,[127]
emergency management,2,2,4,"[127, 358]"
traffic forecasting,2,2,4,"[233, 536]"
global positioning,2,2,4,"[233, 373]"
transportation system,2,2,4,"[249, 516]"
geographic movement,3,1,4,[281]
pattern discovery,2,2,4,"[326, 395]"
transit travel,3,1,4,[326]
smart card,3,1,4,[326]
card data,3,1,4,[326]
clustering algorithm,2,2,4,"[326, 459]"
telecom data,3,1,4,[337]
urban feature,3,1,4,[337]
recent year,2,2,4,"[373, 395]"
bike flow,3,1,4,[395]
classification method,2,2,4,"[423, 574]"
sub trajectory,3,1,4,[423]
public record,3,1,4,[459]
sns data,3,1,4,[459]
base station,2,2,4,"[491, 574]"
mobility model,3,1,4,[536]
human behavior,3,1,4,[542]
mobility flow,3,1,4,[571]
thermal exposure,2,1,3,[62]
hazard pattern,2,1,3,[62]
explanatory tool,2,1,3,[104]
environmental factor,2,1,3,[104]
individual travel,2,1,3,[104]
generic paradigm,2,1,3,[127]
reinforcement learning,2,1,3,[233]
travel demand,2,1,3,[233]
useful application,2,1,3,[249]
semantic relationship,2,1,3,[249]
comparative analysis,2,1,3,[249]
public transit,2,1,3,[326]
transit network,2,1,3,[326]
advanced machine,2,1,3,[326]
dynamic population,2,1,3,[358]
spatiotemporal characteristic,2,1,3,[358]
trajectory log,2,1,3,[395]
smart city,2,1,3,[410]
spatiotemporal data,2,1,3,[410]
cmtf model,2,1,3,[410]
advanced feature,2,1,3,[423]
change rate,2,1,3,[423]
decision tree,2,1,3,[423]
mobility prediction,2,1,3,[459]
gravity model,2,1,3,[459]
functional distance,2,1,3,[459]
matrix factorization,2,1,3,[491]
sensor trace,2,1,3,[522]
real time,2,1,3,[522]
fall detection,2,1,3,[541]
detection system,2,1,3,[541]
temporal variation,2,1,3,[542]
communication activity,2,1,3,[542]
semantic enrichment,2,1,3,[571]
location name,2,1,3,[574]
phone user,2,1,3,[574]
extreme heat,1,1,2,[62]
climate change,1,1,2,[62]
urban resident,1,1,2,[62]
critical factor,1,1,2,[62]
mitigation measure,1,1,2,[62]
current heat,1,1,2,[62]
heat vulnerability,1,1,2,[62]
vulnerability index,1,1,2,[62]
heat sensitivity,1,1,2,[62]
different activity,1,1,2,[62]
varying heat,1,1,2,[62]
human heat,1,1,2,[62]
anonymized smartphone,1,1,2,[62]
smartphone location,1,1,2,[62]
location data,1,1,2,[62]
air temperature,1,1,2,[62]
temperature data,1,1,2,[62]
large volume,1,1,2,[62]
foot traffic,1,1,2,[62]
urban center,1,1,2,[62]
football gameday,1,1,2,[62]
football stadium,1,1,2,[62]
dynamic heat,1,1,2,[62]
heat monitoring,1,1,2,[62]
monitoring capability,1,1,2,[62]
heat mitigation,1,1,2,[62]
mitigation strategy,1,1,2,[62]
vulnerable location,1,1,2,[62]
extensive sensor,1,1,2,[62]
sensor data,1,1,2,[62]
data generates,1,1,2,[62]
rich detail,1,1,2,[62]
human congregation,1,1,2,[62]
risk communication,1,1,2,[62]
route planning,1,1,2,[62]
sustainable city,1,1,2,[62]
hazard risk,1,1,2,[62]
contextual influence,1,1,2,[104]
