term,freq,range,score,doc_ids
machine learning,24,21,45,"[33, 49, 77, 116, 154, 170, 196, 269, 313, 340, 341, 367, 376, 381, 397, 416, 429, 488, 489, 534, 575]"
urban environment,20,11,31,"[4, 33, 206, 280, 376, 381, 401, 477, 489, 534, 575]"
human perception,17,10,27,"[52, 77, 170, 206, 269, 280, 341, 429, 488, 492]"
urban planning,14,12,26,"[31, 49, 52, 116, 170, 280, 325, 367, 376, 449, 455, 477]"
street view,16,9,25,"[48, 49, 52, 206, 340, 429, 477, 489, 575]"
public space,16,6,22,"[116, 196, 341, 416, 488, 492]"
computer vision,11,8,19,"[48, 77, 170, 269, 280, 397, 489, 575]"
view image,12,7,19,"[52, 206, 340, 429, 477, 489, 575]"
urban design,9,7,16,"[33, 77, 170, 196, 269, 492, 523]"
urban planner,7,7,14,"[196, 313, 325, 429, 445, 492, 575]"
urban space,7,6,13,"[116, 280, 477, 488, 489, 492]"
urban perception,9,3,12,"[154, 313, 492]"
deep learning,6,5,11,"[31, 52, 269, 313, 429]"
neural network,7,4,11,"[77, 280, 340, 445]"
urban form,8,3,11,"[269, 477, 492]"
urban scene,6,4,10,"[31, 77, 445, 492]"
safety perception,7,3,10,"[116, 154, 376]"
visual feature,6,4,10,"[206, 280, 376, 429]"
visual quality,8,2,10,"[340, 367]"
urban landscape,6,3,9,"[31, 170, 280]"
view imagery,6,3,9,"[48, 77, 523]"
city image,6,3,9,"[244, 269, 376]"
street greenery,7,2,9,"[325, 367]"
previous study,4,4,8,"[31, 52, 170, 429]"
planning practice,5,3,8,"[280, 325, 367]"
learning technique,4,4,8,"[376, 381, 489, 534]"
spatial familiarity,6,1,7,[4]
psychological perception,6,1,7,[31]
physiological response,5,2,7,"[33, 381]"
learning algorithms,4,3,7,"[33, 340, 416]"
quantitative measurement,4,3,7,"[52, 367, 477]"
perceptual quality,5,2,7,"[170, 269]"
study area,4,3,7,"[206, 280, 595]"
street quality,6,1,7,[367]
social medium,4,2,6,"[4, 449]"
random forest,3,3,6,"[4, 49, 575]"
view index,4,2,6,"[31, 77]"
novel approach,3,3,6,"[31, 416, 534]"
visual element,3,3,6,"[33, 77, 429]"
learning model,3,3,6,"[52, 341, 429]"
streetscape feature,4,2,6,"[77, 523]"
subjective measure,4,2,6,"[77, 170]"
high accuracy,3,3,6,"[77, 381, 429]"
case study,3,3,6,"[170, 367, 477]"
spatial distribution,3,3,6,"[170, 280, 477]"
urban street,5,1,6,[280]
urban data,5,1,6,[367]
ecosystem service,5,1,6,[449]
health purpose,5,1,6,[595]
eye movement,4,1,5,[4]
movement data,4,1,5,[4]
large scale,3,2,5,"[31, 523]"
environment influence,3,2,5,"[33, 416]"
visual exposure,4,1,5,[49]
visual environment,3,2,5,"[49, 397]"
predictive model,3,2,5,"[49, 381]"
sustainable city,3,2,5,"[52, 575]"
new method,3,2,5,"[244, 269]"
physical activity,3,2,5,"[367, 595]"
public health,3,2,5,"[367, 595]"
perceptual indicator,3,2,5,"[416, 429]"
urban region,4,1,5,[429]
cultural ecosystem,4,1,5,[449]
visual enclosure,4,1,5,[523]
forest classifier,2,2,4,"[4, 575]"
perception measure,2,2,4,"[31, 170]"
quantitative analysis,2,2,4,"[31, 170]"
land use,2,2,4,"[31, 595]"
regression model,2,2,4,"[31, 52]"
visuospatial configuration,3,1,4,[33]
pedestrian emotion,3,1,4,[49]
urban area,2,2,4,"[49, 401]"
design strategy,2,2,4,"[77, 196]"
explanatory variable,2,2,4,"[77, 416]"
massive data,2,2,4,"[116, 416]"
data set,2,2,4,"[116, 269]"
new methodology,2,2,4,"[116, 488]"
scale study,2,2,4,"[116, 523]"
present study,2,2,4,"[116, 489]"
discrete choice,2,2,4,"[116, 416]"
choice model,2,2,4,"[116, 416]"
semantic segmentation,2,2,4,"[116, 416]"
result show,2,2,4,"[116, 529]"
different type,2,2,4,"[116, 280]"
decision making,2,2,4,"[116, 341]"
city street,2,2,4,"[154, 376]"
qualitative analysis,2,2,4,"[170, 488]"
vision algorithm,2,2,4,"[170, 280]"
