term,freq,range,score,doc_ids
urban planning,27,26,53,"[16, 23, 37, 66, 87, 89, 141, 161, 183, 188, 226, 231, 236, 259, 301, 327, 330, 378, 389, 463, 478, 507, 525, 547, 548, 563]"
deep learning,25,17,42,"[16, 37, 46, 87, 141, 165, 188, 226, 259, 289, 327, 330, 378, 418, 462, 469, 547]"
point cloud,26,7,33,"[89, 93, 236, 327, 478, 528, 592]"
neural network,19,13,32,"[9, 46, 66, 87, 137, 161, 234, 301, 378, 418, 473, 547, 548]"
semantic segmentation,25,7,32,"[16, 66, 93, 141, 183, 389, 473]"
machine learning,13,11,24,"[9, 66, 87, 89, 132, 226, 236, 327, 460, 496, 528]"
experimental result,8,8,16,"[9, 16, 37, 226, 231, 378, 473, 547]"
learning technique,8,7,15,"[87, 132, 236, 259, 389, 460, 528]"
urban area,9,6,15,"[87, 89, 234, 259, 289, 496]"
building footprint,10,4,14,"[66, 87, 161, 259]"
high resolution,8,6,14,"[231, 469, 496, 507, 547, 548]"
data set,10,4,14,"[231, 418, 462, 563]"
satellite image,8,5,13,"[165, 301, 496, 507, 547]"
change detection,9,3,12,"[23, 93, 473]"
many application,6,6,12,"[327, 378, 389, 418, 460, 525]"
building detection,7,5,12,"[418, 463, 469, 525, 547]"
feature extraction,6,5,11,"[23, 87, 478, 507, 592]"
object detection,7,4,11,"[46, 226, 259, 547]"
building extraction,6,5,11,"[87, 141, 161, 188, 547]"
data source,5,5,10,"[46, 234, 327, 460, 507]"
lidar data,7,3,10,"[89, 418, 563]"
disaster management,5,5,10,"[137, 183, 188, 234, 330]"
classification accuracy,6,4,10,"[231, 462, 528, 592]"
image classification,5,4,9,"[16, 37, 462, 548]"
road network,5,4,9,"[66, 289, 378, 389]"
remote sensing,4,4,8,"[46, 66, 231, 525]"
classification performance,4,4,8,"[89, 418, 462, 469]"
learning method,5,3,8,"[89, 289, 496]"
urban study,4,4,8,"[132, 418, 469, 473]"
result show,4,4,8,"[141, 231, 236, 378]"
urban data,4,4,8,"[165, 460, 462, 592]"
experiment show,4,4,8,"[188, 259, 463, 548]"
packed building,7,1,8,[236]
vehicle navigation,4,4,8,"[289, 378, 507, 525]"
deep supervision,4,3,7,"[16, 23, 161]"
different scale,4,3,7,"[16, 161, 188]"
scene classification,5,2,7,"[37, 231]"
spatial resolution,4,3,7,"[66, 226, 259]"
digital surface,4,3,7,"[87, 141, 234]"
surface model,4,3,7,"[87, 141, 234]"
lidar point,4,3,7,"[89, 236, 528]"
earth observation,4,3,7,"[161, 231, 473]"
extraction method,4,3,7,"[161, 289, 378]"
learning framework,4,3,7,"[259, 289, 462]"
road extraction,5,2,7,"[289, 378]"
overhead imagery,6,1,7,[389]
sr method,5,1,6,[9]
recent year,3,3,6,"[16, 231, 496]"
spatial pyramid,3,3,6,"[23, 188, 231]"
large number,3,3,6,"[37, 259, 289]"
natural disaster,3,3,6,"[37, 473, 496]"
environmental monitoring,3,3,6,"[37, 161, 473]"
data fusion,4,2,6,"[46, 496]"
multiple class,3,3,6,"[66, 528, 563]"
support vector,3,3,6,"[87, 418, 507]"
vector machine,3,3,6,"[87, 496, 507]"
raw data,3,3,6,"[89, 378, 548]"
aerial vehicle,3,3,6,"[141, 183, 525]"
challenging task,3,3,6,"[161, 389, 547]"
decision making,3,3,6,"[183, 330, 507]"
city model,4,2,6,"[234, 327]"
study area,3,3,6,"[234, 418, 469]"
road centerline,4,2,6,"[289, 378]"
image segmentation,4,2,6,"[301, 525]"
aerial image,3,3,6,"[301, 525, 548]"
aerial imagery,4,2,6,"[378, 469]"
input data,3,3,6,"[418, 462, 478]"
urban point,4,2,6,"[528, 592]"
cloud data,4,2,6,"[528, 592]"
