term,freq,range,score,doc_ids
big data,25,12,37,"[125, 139, 152, 160, 192, 194, 202, 294, 343, 415, 434, 504]"
machine learning,21,15,36,"[85, 125, 179, 192, 202, 266, 272, 343, 387, 434, 440, 493, 504, 550, 584]"
smart city,22,9,31,"[152, 194, 243, 272, 396, 434, 527, 550, 584]"
urban planning,14,14,28,"[85, 125, 139, 148, 192, 202, 266, 387, 415, 438, 504, 584, 591, 593]"
data mining,12,9,21,"[139, 272, 343, 387, 434, 504, 584, 591, 593]"
urban data,13,8,21,"[160, 179, 202, 487, 493, 502, 527, 550]"
social medium,12,7,19,"[85, 139, 202, 415, 438, 504, 550]"
data set,10,4,14,"[387, 434, 438, 493]"
case study,7,5,12,"[139, 434, 493, 527, 550]"
support system,9,2,11,"[125, 160]"
data analysis,6,5,11,"[194, 294, 343, 434, 493]"
positive deviance,10,1,11,[415]
urban area,5,5,10,"[139, 192, 396, 487, 556]"
urban governance,7,3,10,"[152, 243, 434]"
urban system,5,4,9,"[85, 202, 438, 502]"
learning technique,5,4,9,"[125, 139, 493, 550]"
artificial intelligence,5,3,8,"[125, 192, 487]"
urban form,6,2,8,"[160, 179]"
city planning,4,4,8,"[160, 272, 396, 438]"
data science,5,3,8,"[202, 294, 387]"
new data,5,3,8,"[202, 387, 504]"
social network,4,3,7,"[85, 438, 502]"
climate change,5,2,7,"[192, 294]"
knowledge discovery,4,3,7,"[396, 591, 593]"
neural network,4,2,6,"[85, 387]"
urban planner,3,3,6,"[139, 160, 504]"
urban infrastructure,3,3,6,"[192, 438, 584]"
iot application,4,2,6,"[387, 527]"
land use,4,2,6,"[396, 593]"
large amount,3,3,6,"[493, 502, 584]"
sustainable city,4,1,5,[152]
modern city,3,2,5,"[160, 550]"
civic query,4,1,5,[194]
analysis method,4,1,5,[202]
data source,3,2,5,"[202, 504]"
railway station,4,1,5,[343]
statistical analysis,3,2,5,"[387, 434]"
large data,3,2,5,"[387, 493]"
available data,3,2,5,"[396, 593]"
recent advance,2,2,4,"[125, 179]"
analysis technique,2,2,4,"[125, 434]"
data analytics,2,2,4,"[125, 139]"
urban dynamic,2,2,4,"[139, 202]"
empirical research,2,2,4,"[152, 272]"
deep learning,2,2,4,"[152, 160]"
information technology,2,2,4,"[160, 487]"
rapid growth,2,2,4,"[160, 487]"
decision making,2,2,4,"[160, 487]"
future research,2,2,4,"[160, 387]"
research direction,2,2,4,"[160, 387]"
rapid urbanization,2,2,4,"[179, 194]"
sustainable development,2,2,4,"[179, 194]"
change mitigation,3,1,4,[192]
remote sensing,2,2,4,"[192, 504]"
complex system,2,2,4,"[202, 272]"
geospatial data,2,2,4,"[202, 487]"
human behavior,2,2,4,"[202, 584]"
urban phenomenon,2,2,4,"[272, 591]"
urban space,2,2,4,"[272, 396]"
decision maker,2,2,4,"[272, 343]"
different domain,2,2,4,"[294, 387]"
real time,2,2,4,"[343, 504]"
potential value,2,2,4,"[434, 527]"
sentiment analysis,3,1,4,[438]
development process,2,2,4,"[440, 591]"
public administration,3,1,4,[487]
visualization technique,2,2,4,"[493, 504]"
medium user,2,1,3,[85]
network model,2,1,3,[85]
differential equation,2,1,3,[85]
planning support,2,1,3,[125]
system environment,2,1,3,[125]
participatory analytics,2,1,3,[125]
urban technology,2,1,3,[152]
decision support,2,1,3,[160]
ml method,2,1,3,[160]
computational framework,2,1,3,[179]
performance data,2,1,3,[179]
urban problem,2,1,3,[194]
novel approach,2,1,3,[194]
urban livability,2,1,3,[202]
urban scientist,2,1,3,[272]
air quality,2,1,3,[294]
railway industry,2,1,3,[343]
new technology,2,1,3,[343]
risk assessment,2,1,3,[343]
iot data,2,1,3,[387]
statistical method,2,1,3,[387]
use analysis,2,1,3,[396]
various method,2,1,3,[396]
systematic literature,2,1,3,[415]
literature review,2,1,3,[415]
positive deviant,2,1,3,[415]
governance intelligence,2,1,3,[434]
topical aspect,2,1,3,[438]
linguistic feature,2,1,3,[438]
open data,2,1,3,[493]
poor environment,2,1,3,[504]
semantic framework,2,1,3,[527]
physical aspect,2,1,3,[550]
computer science,2,1,3,[584]
evaluation procedure,2,1,3,[593]
transformation rule,2,1,3,[593]
intelligent control,1,1,2,[85]
control system,1,1,2,[85]
system management,1,1,2,[85]
instant messaging,1,1,2,[85]
video hosting,1,1,2,[85]
hosting service,1,1,2,[85]
thematic portal,1,1,2,[85]
online medium,1,1,2,[85]
print medium,1,1,2,[85]
multimodal approach,1,1,2,[85]
digital footprint,1,1,2,[85]
mathematical statistic,1,1,2,[85]
dynamic system,1,1,2,[85]
mathematical model,1,1,2,[85]
address conflict,1,1,2,[85]
developed approach,1,1,2,[85]
tense situation,1,1,2,[85]
city authority,1,1,2,[85]
propose recommendation,1,1,2,[85]
research data,1,1,2,[85]
similar problem,1,1,2,[85]
collaborative development,1,1,2,[125]
sydney example,1,1,2,[125]
computational analysis,1,1,2,[125]
effective digital,1,1,2,[125]
digital planning,1,1,2,[125]
planning tool,1,1,2,[125]
related contribution,1,1,2,[125]
participatory data,1,1,2,[125]
iterative process,1,1,2,[125]
built environment,1,1,2,[125]
environment practitioner,1,1,2,[125]
real planning,1,1,2,[125]
planning issue,1,1,2,[125]
wide array,1,1,2,[125]
task load,1,1,2,[125]
added value,1,1,2,[125]
result highlight,1,1,2,[125]
highlight recommendation,1,1,2,[125]
general attitude,1,1,2,[125]
attitude towards,1,1,2,[125]
towards machine,1,1,2,[125]
conceptual challenge,1,1,2,[125]
simultaneous need,1,1,2,[125]
concrete scenario,1,1,2,[125]
accurate prediction,1,1,2,[125]
system evaluation,1,1,2,[125]
democracy enhancement,1,1,2,[125]
efficient resource,1,1,2,[125]
resource allocation,1,1,2,[125]
analytics approach,1,1,2,[125]
last decade,1,1,2,[139]
integral part,1,1,2,[139]
daily life,1,1,2,[139]
unstructured data,1,1,2,[139]
validated result,1,1,2,[139]
high accuracy,1,1,2,[139]
spatiotemporal dynamism,1,1,2,[139]
community challenge,1,1,2,[139]
technological advance,1,1,2,[148]
reference framework,1,1,2,[148]
mobile application,1,1,2,[148]
current trend,1,1,2,[148]
new paradigm,1,1,2,[148]
cognitive city,1,1,2,[148]
exhaustive search,1,1,2,[148]
scientific library,1,1,2,[148]
informatics field,1,1,2,[148]
new framework,1,1,2,[148]
thing sensor,1,1,2,[152]
substantial body,1,1,2,[152]
things sensor,1,1,2,[152]
survey data,1,1,2,[152]
city harness,1,1,2,[152]
sensor network,1,1,2,[152]
planning technology,1,1,2,[152]
city leverage,1,1,2,[152]
data application,1,1,2,[152]
governance network,1,1,2,[152]
city governance,1,1,2,[152]
descriptive statistic,1,1,2,[152]
form indicator,1,1,2,[160]
several challenge,1,1,2,[160]
economic development,1,1,2,[160]
new communication,1,1,2,[160]
urban activity,1,1,2,[160]
large volume,1,1,2,[160]
data storage,1,1,2,[160]
storage capacity,1,1,2,[160]
computational power,1,1,2,[160]
modern machine,1,1,2,[160]
efficient treatment,1,1,2,[160]
several domain,1,1,2,[160]
ml algorithm,1,1,2,[160]
traditional method,1,1,2,[160]
comprehensive review,1,1,2,[160]
ml application,1,1,2,[160]
dl technique,1,1,2,[160]
