term,freq,range,score,doc_ids
land cover,63,18,81,"[72, 171, 208, 282, 302, 303, 316, 317, 331, 391, 464, 475, 551, 565, 569, 576, 578, 588]"
land use,36,14,50,"[72, 120, 171, 208, 282, 316, 317, 331, 380, 458, 551, 569, 588, 590]"
urban planning,17,16,33,"[59, 74, 135, 171, 230, 232, 282, 283, 302, 317, 331, 391, 458, 464, 497, 551]"
machine learning,16,15,31,"[72, 82, 208, 230, 232, 283, 302, 317, 380, 391, 393, 464, 551, 569, 576]"
overall accuracy,16,13,29,"[74, 82, 171, 302, 303, 317, 391, 393, 458, 565, 572, 578, 588]"
image classification,18,8,26,"[171, 282, 331, 374, 475, 576, 588, 590]"
urban area,14,11,25,"[72, 303, 317, 374, 464, 551, 569, 572, 576, 578, 588]"
urban land,18,7,25,"[171, 316, 458, 475, 551, 578, 588]"
cover change,12,8,20,"[171, 208, 316, 374, 464, 475, 569, 578]"
classification accuracy,11,6,17,"[72, 282, 475, 497, 551, 576]"
satellite image,8,8,16,"[72, 120, 232, 317, 391, 458, 565, 569]"
decision tree,11,5,16,"[230, 317, 497, 576, 578]"
cover classification,13,3,16,"[282, 391, 588]"
change detection,9,5,14,"[72, 374, 391, 497, 578]"
urban expansion,9,4,13,"[135, 464, 475, 578]"
learning technique,7,6,13,"[230, 232, 283, 380, 464, 569]"
study area,6,6,12,"[120, 232, 391, 572, 576, 578]"
urban growth,7,5,12,"[171, 208, 458, 475, 572]"
remote sensing,6,6,12,"[171, 283, 374, 464, 578, 590]"
cover map,7,5,12,"[171, 208, 302, 475, 576]"
classification method,8,4,12,"[282, 374, 458, 464]"
random forest,6,5,11,"[82, 303, 393, 497, 565]"
satellite imagery,5,5,10,"[59, 171, 230, 283, 391]"
use change,6,4,10,"[120, 208, 316, 569]"
lulc change,8,2,10,"[120, 374]"
detection analysis,6,3,9,"[72, 374, 391]"
contextual feature,7,1,8,[59]
spatial resolution,5,3,8,"[59, 283, 572]"
population density,5,3,8,"[59, 283, 380]"
environmental management,4,4,8,"[120, 391, 497, 590]"
water body,4,4,8,"[120, 230, 464, 475]"
population growth,4,4,8,"[135, 171, 208, 391]"
urban planner,4,4,8,"[135, 458, 565, 590]"
bare land,4,4,8,"[171, 391, 464, 576]"
high resolution,4,4,8,"[230, 282, 551, 565]"
satellite data,4,3,7,"[135, 232, 578]"
urban development,4,3,7,"[135, 283, 464]"
kappa coefficient,4,3,7,"[282, 393, 458]"
green area,6,1,7,[283]
impervious surface,4,3,7,"[316, 572, 590]"
urban sprawl,5,2,7,"[391, 464]"
classification algorithms,4,3,7,"[475, 551, 578]"
landsat imagery,4,3,7,"[475, 572, 578]"
overall classification,4,3,7,"[475, 497, 551]"
support vector,4,3,7,"[497, 551, 578]"
vector machine,4,3,7,"[497, 551, 578]"
data set,5,2,7,"[551, 576]"
important role,3,3,6,"[72, 230, 578]"
sustainable development,3,3,6,"[120, 317, 497]"
urban region,3,3,6,"[208, 316, 464]"
decision maker,3,3,6,"[230, 232, 565]"
burnt area,5,1,6,[232]
spectral index,3,3,6,"[317, 391, 393]"
cover mapping,4,2,6,"[331, 576]"
flood risk,5,1,6,[380]
image analysis,3,3,6,"[393, 458, 588]"
high classification,3,3,6,"[475, 551, 576]"
growth rate,4,2,6,"[475, 572]"
coastal area,5,1,6,[569]
novel approach,3,2,5,"[72, 230]"
classification map,3,2,5,"[72, 391]"
cloud omission,4,1,5,[74]
omission error,4,1,5,[74]
classification model,3,2,5,"[74, 302]"
lulc class,3,2,5,"[120, 393]"
slum area,4,1,5,[303]
different land,3,2,5,"[303, 551]"
landsat data,3,2,5,"[497, 578]"
data weighting,4,1,5,[551]
central tendency,4,1,5,[551]
maximum likelihood,3,2,5,"[576, 578]"
use classification,4,1,5,[588]
urban attribute,3,1,4,[59]
optical image,2,2,4,"[72, 393]"
geographical region,3,1,4,[72]
use planning,2,2,4,"[72, 208]"
classification technique,2,2,4,"[72, 576]"
environmental protection,2,2,4,"[74, 569]"
accurate model,2,2,4,"[74, 458]"
classification result,2,2,4,"[74, 565]"
confusion matrix,2,2,4,"[82, 171]"
characteristic curve,2,2,4,"[82, 380]"
economic value,3,1,4,[120]
accelerated land,2,2,4,"[120, 208]"
material consumption,3,1,4,[135]
new method,2,2,4,"[135, 458]"
hilla city,3,1,4,[171]
spatiotemporal dynamic,2,2,4,"[171, 317]"
supervised image,2,2,4,"[171, 374]"
cover class,2,2,4,"[171, 302]"
intensity analysis,3,1,4,[208]
case study,2,2,4,"[208, 316]"
environmental factor,2,2,4,"[208, 475]"
major land,2,2,4,"[208, 302]"
perennial drainage,3,1,4,[230]
water quality,2,2,4,"[230, 590]"
many part,2,2,4,"[232, 578]"
human activity,2,2,4,"[232, 497]"
thematic map,2,2,4,"[232, 475]"
landsat satellite,2,2,4,"[283, 578]"
last decade,2,2,4,"[283, 572]"
information system,2,2,4,"[283, 393]"
significant feature,2,2,4,"[283, 393]"
regression tree,2,2,4,"[302, 576]"
geographic information,2,2,4,"[316, 393]"
traditional approach,2,2,4,"[316, 475]"
time series,2,2,4,"[317, 391]"
series data,2,2,4,"[317, 391]"
urbanization rate,2,2,4,"[317, 572]"
integrated approach,2,2,4,"[374, 393]"
awash basin,3,1,4,[374]
natural resource,2,2,4,"[374, 393]"
urban flood,3,1,4,[380]
important factor,2,2,4,"[380, 391]"
textural feature,2,2,4,"[391, 393]"
rf classifier,2,2,4,"[391, 393]"
significant change,2,2,4,"[391, 497]"
feature selection,3,1,4,[393]
accurate land,2,2,4,"[393, 576]"
feature extraction,2,2,4,"[393, 572]"
use mapping,2,2,4,"[458, 551]"
time period,2,2,4,"[475, 578]"
classification approach,2,2,4,"[475, 576]"
kappa value,2,2,4,"[475, 497]"
spatial information,2,2,4,"[475, 590]"
learning algorithms,2,2,4,"[572, 576]"
data mining,2,2,4,"[576, 578]"
data gap,2,2,4,"[578, 590]"
previous research,2,1,3,[59]
input feature,2,1,3,[74]
total training,2,1,3,[74]
cloud commission,2,1,3,[74]
commission error,2,1,3,[74]
cloud classification,2,1,3,[74]
small portion,2,1,3,[74]
independent variable,2,1,3,[82]
ecosystem service,2,1,3,[120]
es value,2,1,3,[120]
landscape diversity,2,1,3,[120]
construction material,2,1,3,[135]
