Cluster,DocId,Key-phrases,Candidate-count,Phrase-candidates
8,19,"['urban air pollution', 'urban structure pattern', 'sustainable urban planning', 'spatial distribution', 'landscape']",66,"['urban air pollution', 'sustainable urban planning', 'atmospheric pollution', 'urban structure pattern', 'urban landscape', 'urban landscape composition', 'pollution concentration', 'urban structure', 'urban planning', 'air pollution', 'urban air', 'pollution', 'air pollutant', 'landscape composition', 'city', 'citywide distribution', 'spatial distribution', 'pollutant', 'air', 'landscape', 'soil', 'modeling', 'building', 'structure pattern', 'pavement', 'data', 'interpolate concentration', 'STURLA methodology', 'BC data', 'structure', 'bare soil', 'mobile monitoring', 'interpolate', 'planning', 'composition', 'grass', 'methodology', 'pattern', 'STURLA class', 'mobile monitoring method', 'study', 'STURLA component', 'proportion', 'relationship', 'significant difference', 'BC concentration', 'machine', 'monitoring', 'class', 'summer', 'monitoring method', 'distribution', 'concentration', 'component', 'exhibit significant difference', 'water', 'tgbwp', 'gpl', 'method', 'average', 'class exhibit', 'exhibit', 'difference', 'efficacy', 'result', 'bare']"
8,24,"['soil sample', 'century urban agenda', 'multivariate analysis', 'population density', 'macronutrients']",83,"['soil sample', 'urban planning', 'urban planning decision', 'soil', 'land use', 'spatial model', 'multivariate analysis', 'century urban agenda', 'urban agenda', 'population density', 'trace nutrient', 'machine learning', 'nutrient', 'spatial variation', 'city', 'multivariate', 'sustainability', 'spatial indicator', 'analyzed element', 'macronutrients', 'land', 'micronutrient', 'methodology', 'road network', 'planning decision', 'anthropogenic factor', 'analysis', 'traffic', 'data', 'enrichment', 'laboratory analysis', 'contamination', 'density', 'population', 'planning policy', 'fossil fuel', 'sample', 'field', 'road', 'element', 'model', 'fossil fuel vehicle', 'field work', 'development', 'system quality', 'study', 'system', 'network', 'use', 'distribution', 'factor', 'vehicle', 'planning', 'learning', 'indicator', 'fuel vehicle', 'concentration', 'interaction', 'trace', 'quality', 'increase', 'decision', 'design', 'method', 'fuel', 'different dimension', 'machine', 'dimension', 'percentage', 'criterion', 'transition', 'moderate percentage', 'intensity', 'agenda', 'phase', 'work', 'output', 'output show', 'variation', 'century', 'b', 'policy', 'show']"
8,45,"['land use classification', 'big data', 'holistic mapping framework', 'essential urban land', 'land use composition']",116,"['land use classification', 'land use map', 'land use composition', 'urban land use', 'urban land management', 'land use category', 'land use mix', 'essential urban land', 'urban land', 'land use attribute', 'land use', 'generated land use', 'land management', 'holistic mapping', 'holistic mapping framework', 'land parcel', 'land', 'industrial land', 'remote sensing', 'big data', 'use classification', 'urban study', 'map', 'generated land', 'future urban study', 'spatial complexity', 'classification', 'mapping', 'open big data', 'ensemble learning', 'mapping framework', 'use map', 'classification accuracy', 'landscape', 'parcel scale', 'geography', 'complicated category', 'component analysis', 'principal component analysis', 'urban setting', 'city', 'modern urban setting', 'mixture', 'data', 'use category', 'coastal city', 'ensemble', 'regression', 'mixture mode', 'mix', 'use mix', 'use composition', 'object scale', 'linear regression', 'category', 'sensing', 'learning', 'accuracy', 'parcel', 'composition', 'broad range', 'collective impact', 'nature', 'use attribute', 'scale', 'complexity', 'dominant type', 'use', 'multiple linear regression', 'attribute', 'type', 'key component', 'accessibility', 'socioeconomy', 'component', 'different end user', 'range', 'information', 'user', 'analysis', 'scheme', 'policymaking', 'essential requirement', 'machine', 'challenge', 'framework', 'advance', 'technology', 'study', 'impact', 'requirement', 'feature', 'end user', 'mode', 'distribution', 'implication', 'influencing', 'Recent advance', 'factor', 'demand', 'different end', 'management', 'multiple factor', 'approach', 'force', 'influencing factor', 'result', 'first stage', 'potential influencing factor', 'setting', 'Experimental result', 'second stage', 'end', 'potential influencing', 'monitoring', 'stage']"
8,123,"['urban planning', 'body mass index', 'decision tree', 'collective effect', 'neighborhood']",58,"['urban planning', 'body mass index', 'obesity', 'decision tree', 'urban planner', 'body mass', 'city', 'city level', 'neighborhood', 'geographic scale', 'different geographic scale', 'influential factor', 'relative importance', 'mass index', 'health', 'population size', 'body', 'environment', 'collective effect', 'multilevel', 'different social group', 'comparative role', 'tree', 'social group', 'size', 'population', 'scale', 'decision', 'importance', 'common goal', 'attribute', 'suggest', 'mass', 'index', 'planning', 'essential role', 'planner', 'vital importance', 'group', 'effect', 'relationship', 'level', 'characteristic', 'contributor', 'role', 'sample', 'gradient', 'risk', 'link', 'goal', 'result', 'Evidence', 'study', 'new evidence', 'factor', 'unified framework', 'framework', 'approach']"
8,181,"['urban future scenario', 'cellular automata', 'historical flood hazard', 'probabilistic land use', 'climate risk']",102,"['urban future scenario', 'probabilistic land use', 'complicates urban planning', 'urban planning', 'Urban Future', 'land use scenario', 'coproduced urban future', 'land use change', 'cellular automata model', 'climate risk', 'cellular automata', 'probabilistic land', 'land use development', 'cellular automaton approach', 'historical flood hazard', 'cellular automaton', 'land use', 'land cover', 'flood hazard', 'climate', 'climate change', 'local land use', 'historical land use', 'flood', 'automata', 'weather', 'intense severe weather', 'automata model', 'city', 'historical flood', 'future scenario', 'satellite imagery', 'ecosystem service', 'road system', 'automaton approach', 'automaton', 'land', 'livability', 'weather event', 'severe weather', 'severe weather event', 'urban fabric', 'historical land', 'ecosystem', 'planning', 'use scenario', 'numerical model', 'local land', 'Future', 'use change rule', 'increase resilience', 'complex system', 'data', 'stakeholder priority', 'tax assessment', 'city grapple', 'natural feature', 'model leverage', 'use change', 'data source', 'road', 'technological process', 'change rule', 'stakeholder', 'path', 'resilience', 'model', 'Scenario', 'imagery', 'cover', 'use development', 'change', 'ancillary data', 'risk', 'development', 'process', 'fabric', 'feature', 'increase', 'use', 'assessment', 'tax', 'facet', 'complicates', 'hazard', 'need', 'work', 'system', 'event', 'approach', 'array', 'rule', 'function', 'priority', 'set', 'source', 'service', 'leverage', 'expectation', 'wide array', 'grapple', 'others']"
8,195,"['urban spatial pattern', 'Climate Zone classification', 'regression', 'open GIS data', 'sustainable planning']",70,"['urban spatial pattern', 'urban area', 'GIS data', 'sustainable planning', 'Climate Zone classification', 'spatial structure', 'Zone classification', 'spatial pattern', 'remote sensing', 'city', 'open GIS data', 'linear regression', 'regression model', 'regression', 'satellite data', 'classification', 'datasets', 'multiple linear regression', 'area', 'region', 'linear regression model', 'data', 'life dimension', 'pattern', 'transport', 'dimension', 'structure', 'health', 'sensing', 'methodology', 'planning', 'quality', 'policy framework', 'dweller', 'daily life', 'relationship', 'education', 'mean', 'relevance', 'model', 'type', 'variability', 'study', 'level', 'framework', 'life', 'current policy framework', 'variable', 'purpose', 'choice', 'group', 'understanding', 'crucial relevance', 'machine', 'policy', 'availability', 'product', 'consideration', 'role', 'approach', 'behind', 'limitation', 'paper', 'major role', 'labor', 'one behind', 'one', 'condition', 'derived product', 'current policy']"
8,214,"['geographic information system', 'carbon emission', 'sustainable urban management', 'machine learning algorithms', 'hot spot analysis']",136,"['geographic information system', 'GIS map', 'sustainable urban management', 'geospatial technology', 'geographic data', 'urban management system', 'spatial relationship', 'urban planning', 'spatial statistic', 'hot spot analysis', 'geographic information', 'urban management', 'urban area', 'spatial trend', 'carbon emission', 'urban planner', 'machine learning algorithms', 'sustainable evaluation', 'map', 'mapping', 'machine learning technique', 'neural network', 'machine learning', 'backpropagation neural network', 'city gas', 'learning algorithms', 'analytics', 'digital twin', 'digital twin system', 'Jeonju city', 'data', 'spot analysis', 'visualization', 'city', 'data collection', 'carbon', 'information system', 'physical system', 'DT system', 'algorithms', 'area', 'backpropagation', 'hot spot', 'algorithm', 'twin system', 'technology', 'kernel algorithm', 'radial basis', 'radial basis function', 'study area', 'household waste', 'management system', 'analytics phase', 'data source', 'analysis', 'waste', 'learning', 'emission', 'learning technique', 'gas', 'planning', 'twin', 'electricity', 'innovative approach become', 'physical asset', 'perspective', 'vulnerable area', 'case study', 'information', 'DTs vary', 'concept', 'planner', 'innovative approach', 'network', 'structural schematic', 'vehicle', 'machine', 'project', 'insight', 'system', 'basis function', 'kernel', 'optimal strategy', 'policy maker', 'common perspective', 'uncertainty', 'spot', 'statistic', 'new insight', 'first step', 'trend', 'development', 'evaluation', 'strategy', 'basis', 'counterpart', 'study', 'relationship', 'major phase', 'household', 'management', 'high value', 'output', 'ideal counterpart', 'schematic', 'technique', 'deployment', 'step', 'improvement', 'scientific literature', 'service', 'guideline', 'value', 'early stage', 'phase', 'cost', 'function', 'factor', 'following', 'primary goal', 'case', 'policy', 'literature', 'approach', 'source', 'approach become', 'goal', 'become', 'particular', 'asset', 'failure', 'stage', 'maker', 'interest', 'vary', 'collection']"
8,223,"['urban climate mitigation', 'systematization', 'municipality', 'sustainable development goal', 'climate']",100,"['urban climate mitigation', 'urban climate change', 'urban climate assessment', 'upscaling urban climate', 'urban climate', 'climate assessment', 'urban planning', 'climate change mitigation', 'climate mitigation', 'climate mitigation solution', 'urban scale', 'urban space deserve', 'climate', 'urban space', 'climate change', 'city', 'municipality', 'sustainable development', 'systematization', 'sustainable development goal', 'policy maker', 'governance framework', 'governance', 'social science', 'leverage collective understanding', 'adaptation', 'collective understanding', 'global scale', 'change mitigation', 'rich data', 'mitigation', 'global scale remain', 'action plan', 'mitigation solution', 'area', 'planning', 'data', 'change', 'social practice relevant', 'concrete', 'coordinate mitigation', 'plan', 'conceptualization', 'case study', 'behavioral change', 'scale', 'social practice', 'explicit conceptualization', 'policy', 'framework', 'development goal', 'assessment', 'remain', 'deserve', 'solution', 'insight', 'comparative insight', 'understanding', 'scale remain', 'method', 'action', 'core area', 'coordinate', 'development', 'machine', 'practice', 'science', 'space deserve', 'study', 'scientific exercise', 'measure', 'traction', 'exercise', 'contribution', 'leverage', 'type', 'field', 'goal', 'diverse', 'single objective', 'relevant', 'ground', 'attention', 'conference', 'space', 'set', 'core', 'practice relevant', 'issue', 'objective', 'diverse set', 'case', 'question', 'maker', 'presentation', 'integration', 'academic attention', 'scarce', 'focus', 'focus issue']"
8,227,"['urban planning', 'topological connectivity', 'average shortest path', 'water distribution design', 'network analysis']",77,"['urban planning', 'network analysis', 'topological connectivity', 'connectivity cluster', 'transportation system', 'interface network consist', 'connectivity profile', 'interface network connectivity', 'Water distribution', 'interface network', 'water distribution design', 'connectivity', 'multiple city', 'geospatial morphology', 'different geospatial morphology', 'network connectivity', 'city', 'network consist', 'shortest path', 'average shortest path', 'nodal feature', 'forty interface network', 'geospatial colocation', 'major nodal feature', 'transportation', 'machine learning', 'shortest path length', 'network', 'failure propagation', 'road', 'path length', 'path', 'different city', 'connection', 'distribution design', 'node belongs', 'potential cascading failure', 'cluster', 'cascading failure', 'interface', 'node', 'potential cascading', 'pipe', 'morphology', 'cascading', 'predictive power', 'forty interface', 'propagation', 'colocation', 'planning', 'water', 'design', 'failure', 'analysis', 'distribution', 'edge', 'random', 'system', 'power', 'feature', 'learning', 'profile', 'attribute', 'consist', 'length', 'machine', 'belongs', 'study', 'implication', 'Investigation', 'purpose', 'model', 'total', 'result', 'forty', 'hold implication', 'hold']"
8,255,"['vehicle ownership', 'random forest', 'travel survey data', 'socioeconomic characteristic', 'inferential model']",70,"['vehicle ownership', 'vehicle', 'household travel survey', 'car', 'travel survey data', 'transportation', 'survey data', 'transportation system', 'random forest', 'urban planning', 'machine learning', 'travel survey', 'machine learning approach', 'household travel', 'data', 'inferential model', 'household travel record', 'national household travel', 'socioeconomic characteristic', 'household', 'ownership', 'survey', 'county', 'travel', 'correlation', 'market', 'model', 'national household', 'probability', 'environment', 'relationship', 'forest', 'service', 'variable', 'sample', 'planning', 'number', 'intuitive sense', 'learning', 'environment become', 'density', 'learning approach', 'sense', 'distance', 'habit', 'travel record', 'diversity', 'machine', 'design', 'usage', 'relative contribution', 'characteristic', 'contribution', 'negative correlation', 'become', 'method', 'design practice', 'year', 'system', 'effect', 'study', 'environment variable', 'impact', 'advanced method', 'result', 'capture', 'approach', 'first study', 'practice', 'record']"
