ArticleCluster,Article_num,ArticleCluster_Score,KeywordCluster,score,num_keywords,Keywords,NumDocs,DocIds
1,23,0.9150015773,1,0.9143045073,32,"['behavioral economics concept', 'convolutional neural network', 'data mining view', 'deep learning', 'deep learning algorithms', 'deep learning predictor', 'deep reinforcement learning', 'deep sequence learning model', 'different classification algorithm', 'dynamic spatial temporal feature optimization method', 'eXtreme Gradient Boosting', 'GCNN model', 'high level feature', 'hyperdimensional computing', 'incident detection', 'linear autoregressive neural network', 'LSTM network', 'MLP and RNN', 'Multilayer Perceptron', 'multiple machine learning model', 'Neural Network', 'novel unsupervised incremental learning approach', 'Online Sequential Extreme Learning Machine', 'predictive accuracy', 'principal component analysis', 'Random Forest', 'representation learning method', 'Selection Operator regression', 'simultaneous prediction', 'Support Vector Machine', 'Support Vector Regression model', 'unsupervised graphical model']",22,"[38, 155, 220, 240, 298, 304, 319, 321, 334, 346, 359, 392, 407, 422, 423, 439, 499, 519, 530, 536, 555, 587]"
1,23,0.9150015773,2,0.7733441074,14,"['actual traffic volume', 'citywide traffic volume estimation', 'emergency travel time', 'fine grained citywide traffic accident prediction', 'Highway traffic volume prediction', 'microscopic traffic simulation', 'next destination predictor', 'parking availability prediction', 'road traffic prediction', 'short term traffic flow prediction', 'statewide commodity flow forecast', 'Traffic flow analysis', 'traffic prediction', 'travel speed model']",14,"[38, 155, 220, 304, 321, 334, 359, 422, 439, 499, 519, 526, 530, 587]"
1,23,0.9150015773,3,0.5527462994,16,"['accelerometer and gyroscope', 'AUDI vehicle', 'available clustering protocol', 'Bluetooth identifier', 'Connected Vehicles', 'driver diagnostics part', 'Intelligent Transportation Systems', 'IoT sensor', 'journey planning service', 'Mobile crowdsensing', 'novel vehicle selection algorithm', 'smart city transportation system', 'smart navigation and parking', 'Transportation Research', 'travel mode detection', 'Vehicular Ad Hoc Networks']",11,"[38, 155, 240, 304, 334, 346, 407, 519, 526, 555, 587]"
1,23,0.9150015773,4,0.2570084006,22,"['adaptive traffic control system', 'barometric data', 'city resilience', 'different urban data source', 'domain urban data', 'Google Maps', 'GPS trajectory data', 'historical global positioning system trajectory data', 'Kobe city', ""Lisbon's fleet"", 'massive traffic sensor data', 'operational data', 'real trajectory dataset', 'realistic urban environment', 'sustainable air traffic management system development methodology', 'urban emergency police operation', 'urban environment', 'urban human mobility data', 'urban logistics system', 'urban planning', 'urban planning and traffic monitoring', 'urban traffic management']",16,"[240, 298, 319, 321, 346, 359, 392, 407, 422, 423, 519, 526, 530, 536, 555, 587]"
1,23,0.9150015773,5,-0.2262568985,28,"['air pollution problem', 'application scenario', 'big data', 'car plate', 'Clustering Adaptation Near Intersection', 'control air pollution problem', 'deadweight cost', 'DSTO GBRT method', 'Electronic registration identification', 'forecast model', 'forecasting morning', 'GPS trajectory', 'historical data analytics', 'LightGBM and XGBoost method', 'maximum spatial temporal coverage', 'mobile operator', 'profiling', 'Python language', 'rich smartphones', 'short term taxi demand', 'spatial and temporal dependency', 'specific low quality imagery', 'speed flow relationship', 'SUMO VEINS OMNeT', 'taxi demand', 'transportation mode classification method', 'transportation mode recognition', 'various weather condition']",16,"[38, 155, 220, 240, 298, 319, 334, 346, 359, 392, 407, 423, 439, 499, 536, 587]"
2,12,0.7885867554,1,0.6593651265,13,"['Ambient Intelligence', 'centric urban heat monitoring framework', 'Edge Computing platform', 'heterogeneous sensor network', 'Hyperledger Fabric blockchain', 'lora and IEEE', 'semantic framework', 'service infrastructure', 'Smart Cities', 'Smart City', 'smart IoT application', 'smart meter', 'Urban Observatory Internet']",11,"[243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]"
2,12,0.7885867554,2,0.6278618242,15,"['citizen profile', 'cooperative driving and road hazard warning', 'Intelligent transportation system', 'interactive traffic control system', 'real time traffic light detection', 'traffic system', 'Transportation and mobility', 'urban data', 'urban governance', 'urban governance decision making', 'Urban planning', 'urban planning and future', 'urban system', 'vehicle and traffic pattern detection', 'vehicular data']",10,"[145, 243, 264, 300, 387, 432, 434, 451, 502, 527]"
2,12,0.7885867554,3,0.2444342679,26,"['air quality data mining', 'air quality monitoring', 'Bayesian Net technique', 'bidirectional data sharing', 'big data', 'data dashboard', 'different machine learning approach', 'future population distribution', 'graph autoencoders', 'harvesting and preprocessing', 'ITS application', 'large data set', 'lockdown policy', 'machine learning', 'math programming', 'mathematical model', 'multimodal sensor data fusion', 'new data', 'object recognition', 'online gis and ann', 'pollution detection', 'real time insight', 'secure transaction', 'supply dynamic', 'unsupervised data mining technique', 'water and energy']",12,"[145, 243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]"
3,24,0.7639679511,1,0.8351151605,28,"['artificial fish swarm algorithm', 'aware chat bot', 'bivariate and multivariate analysis', 'clustering feature', 'collaborative heterogeneous information embedding', 'contextual attribute', 'data mining', 'distinct text datasets', 'effective data interpretation', 'embeddings', 'label affordance estimation', 'Machine Learning', 'machine learning algorithms', 'machine learning model', 'machine learning technique', 'Matrix Tensor Factorization', 'Maximum Entropy Model', 'meaningful classification', 'multicriteria analysis', 'predictive analytics', 'probabilistic topic', 'recommendation quality', 'semantic decomposition', 'semantic predicting method', 'semantic topic model', 'supervised learning framework', 'supervised machine learning', 'various machine learning model']",22,"[191, 200, 235, 258, 336, 364, 410, 412, 417, 467, 486, 493, 504, 510, 542, 544, 550, 560, 562, 571, 573, 574]"
3,24,0.7639679511,2,0.6705070384,29,"['census data', 'city activity', 'first open government knowledge graph', 'heterogeneous urban data', 'human urban behavior', 'many urban planning', 'Melbourne and Sydney', 'Mining Urban Data', 'official land use classification', 'open urban data', 'space time GIS system', 'spatiotemporal data', 'understanding and structuring mobility data', 'urban activity inference', 'urban computing', 'urban data', 'urban green space', 'urban health', 'urban human activity', 'urban land use detection', 'urban leisure and tourism research', 'urban neighborhood', 'urban placeness', 'urban planning', 'urban planning and optimization', 'urban planning data', 'Urban planning student', 'urban traffic gravity model', 'vacant property']",22,"[191, 200, 258, 336, 364, 410, 412, 417, 459, 467, 486, 493, 504, 542, 544, 550, 560, 562, 571, 573, 574, 584]"
3,24,0.7639679511,3,0.5008781762,12,"['32nd International Conference', 'data browsing', 'digital footprints', 'Foursquare user', 'international', 'Location tracking', 'mobile phone data record', 'mobile phone usage pattern', 'mobile phone user', 'social platform', 'sociotechnical system', 'starbucks']",9,"[336, 412, 467, 542, 560, 562, 573, 574, 584]"
3,24,0.7639679511,4,-0.1412984884,29,"['additional contexts', 'anomalous activity', 'candidate set', 'consumer study', 'data visualization', 'different level', 'dimension and indicator', 'economic and political decision', 'Euclidean distance', 'future vacancy risk', 'graph summarization', 'human mobility prediction model', 'human movement feature', 'Location Annotation', 'neighborhood condition', 'Nonnegative CMTF model', 'Retail store placement problem', 'simple visualization technique', 'social function vector', 'social medium data', 'sociodemographic and socioeconomic variable', 'spatial dimension', 'subjective data', 'taxi call prediction', 'top interaction area', 'traffic forecasting', 'visualization technique', 'webtexts and place tag', 'zone recommendation system']",19,"[191, 200, 235, 364, 410, 412, 417, 459, 486, 493, 504, 510, 544, 550, 562, 571, 573, 574, 584]"
3,24,0.7639679511,5,-0.1794512046,14,"['activity pattern', 'big data revolution', 'food business', 'human behavior and location context', 'Instagram post', 'mobile sensor data', 'MUD2 workshop', 'official social network profile', 'POI data', 'Service Requests data', 'Smart City', 'smart city environment', 'useful complementary data source', 'Web and Web Age Information Management']",13,"[191, 235, 258, 410, 417, 467, 486, 504, 510, 542, 544, 550, 560]"
4,16,0.7255807228000001,1,0.8774032166,22,"['based data', 'Big Data', 'big data and geo text mining technique', 'clustering process', 'Computational social medium data analysis', 'joint nonnegative matrix factorization model', 'Label detection', 'machine learning', 'machine learning model', 'natural language processing', 'Naïve Bayes classifier', 'other probabilistic topic model', ""people's opinion"", 'popular word', 'report category', 'Semantic analysis', 'textual feedback data', 'topic modeling', 'tweet', 'unstructured community input', 'unstructured data', 'VADER Sentiment Analysis']",13,"[55, 139, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]"
4,16,0.7255807228000001,2,0.8316047853,23,"['actual urban functional region', 'building permit data', 'city branding strategy', 'city image dimension', 'general urban centric feedback analysis framework', 'historical urbanization issue', 'international development', 'nighttime population number', 'participatory urban planning', 'precise geospatial information', 'restaurant data', 'simplified Place2vec model', 'smart city', 'sustainable urban system', 'urban computing', 'urban informatics', 'urban issue', 'urban neighborhood', 'urban planner', 'urban planning', 'urban redevelopment and regeneration', 'urban space', 'zurich']",16,"[55, 124, 125, 139, 194, 202, 244, 324, 353, 355, 375, 415, 438, 485, 491, 511]"
4,16,0.7255807228000001,3,-0.3437231828,30,"['additional transportation and population data', 'available smartphone data', 'business', 'civic demand', 'design process', 'different lifestyle and income group', 'diverse informal civic query data', 'Dynamic Topic Model', 'functional region identification accuracy', 'human mobility data', 'latent Dirichlet allocation', 'Local government use data', 'low income family', 'machine learning planning support system', 'mixed method approach', 'mobile crowdsensing', 'new sensor', 'participatory analytics approach', 'planner and developer', 'Positive deviance', 'region function', 'review SMDA', 'social medium big data mining', 'social medium platform', 'spatial and temporal trend', 'spatiotemporal dynamism', 'such problem', 'systematic literature review', 'timely socioeconomic data', 'work activity']",15,"[55, 124, 125, 139, 194, 202, 244, 324, 353, 355, 375, 415, 485, 491, 511]"
5,16,0.6991639521,1,0.7180766881,27,"['accurate anomaly detection', 'autonomous driving', 'aware mobile computing', 'brain', 'collective machine learning process', 'deep convolutional neural network', 'deep learning prediction', 'dynamic programming algorithm', 'extreme learning machine', 'fuzzy logic', 'fuzzy rule base', 'gated memory network', 'Gaussian combination', 'genetic algorithm', 'graph auto encoder', 'hidden Markov model', 'inverse reinforcement learning', 'knowledge learning system', 'machine learning', 'memory environment', 'particle swarm optimization', 'QOS parameter', 'Quantum Annealing', 'reinforcement learning', 'Robust prediction', 'safe RL algorithm', 'scene decomposition approach']",14,"[63, 69, 138, 209, 233, 307, 356, 370, 382, 433, 435, 450, 461, 466]"
5,16,0.6991639521,2,0.6984056937,10,"['an and Chengdu', 'intersection agent', 'large urban area', 'region agent', 'spatial area', 'survey data', 'synthetic urban dynamic', 'unlabeled customer coordinate', 'urban environment', 'urban planning']",8,"[63, 127, 209, 233, 363, 435, 461, 466]"
5,16,0.6991639521,3,0.3002867432,17,"['acceleration and velocity', ""Amsterdam's ring road"", 'bus route planning', 'global positioning system trajectory', 'human like travel activity', 'human mobility pattern', 'individual vehicle speed', 'motion planning', 'pedestrian motion', 'Reachability analysis', 'roundabout and straight road', 'route recommendation', 'routing', 'traffic participant', 'traffic path', 'violent event', 'vulnerable road users']",11,"[127, 138, 233, 307, 356, 363, 382, 433, 435, 450, 466]"
5,16,0.6991639521,4,0.2567558133,17,"['complex network analysis', 'frequent red light', 'friendly urban freight transportation system', 'intelligent and efficient transportation system', 'intelligent transportation system', 'meaningful urban mobility structure', 'nonlinear relationship', 'novel transit mobility structure detection problem', 'short period', 'short term traffic flow forecasting', 'traffic accident prediction', 'traffic forecasting', 'traffic light control system', 'transport mode', 'travel demand prediction', 'urban traffic management', 'urban traffic network']",12,"[63, 69, 127, 138, 209, 233, 307, 370, 433, 435, 450, 461]"
5,16,0.6991639521,5,-0.0851284404,8,"['excellent user experience neotype', 'GPS trajectory data', 'hierarchical structure', 'modular decision', 'person detection method', 'security camera', 'traditional clustering algorithm', 'unsupervised clustering and gap statistic']",8,"[69, 127, 138, 209, 356, 370, 382, 466]"
6,14,0.6371890009,1,0.8976057374,14,"['commuter travel pattern', 'complex public transit travel pattern', 'electric taxi', 'flexible cycling and parking', 'freight behavior', 'human mobility', 'mobility and infrastructure', 'public transportation route planning', 'ridership factor', 'signature travel activity patterns', 'spatio temporal distribution and travel behavior', 'specific travel time', 'travel mode choice', ""TTOC's fuel consumption""]",9,"[134, 261, 296, 326, 362, 395, 425, 545, 546]"
6,14,0.6371890009,2,0.2786685748,21,"['advanced urban application', 'cellular radio tower geo positioning', 'discrete urban space', 'further urban planning and POI recommendation', 'Geolocated telecom data', 'heterogeneous urban datasets', 'human mobility data', 'location category', 'pedestrian behavior modeling', 'real geo data', 'real world event data', 'recent year', 'Singapore truck driver', 'smart card transaction data', 'socioeconomic status', 'sparse mobile phone data', 'urban design and marketing strategy development', 'urban event', 'urban planner', 'urban planning', 'urban walkability']",12,"[249, 261, 296, 337, 358, 362, 373, 395, 425, 428, 545, 546]"
6,14,0.6371890009,3,0.1682154019,33,"['activity reconstruction', 'advanced machine learning method', 'analytics core', 'big data', 'bike flow pattern discovery', 'clear correlation', 'crime risk', 'deep analysis', 'graph clustering model', 'graph embedding algorithmto', 'interactive visual analytics', 'latent semantic relationship', 'local pedestrian count data', 'logistic PCA and autoencoder', 'machine learning algorithm', 'machine learning algorithms', 'machine learning component', 'machine learning method', 'main predictor', 'Mining trajectory data', 'other urban data', 'positioning', 'prediction framework', 'rapid and efficient automation population mapping method', 'social network and crowd behavior', 'spatial and temporal impact', 'spatiotemporal granularity', 'stay', 'supervised machine learning approach', 'trajectory reconstruction method', 'unique dataset', 'visual analytics', 'web service']",14,"[134, 249, 261, 296, 326, 337, 358, 362, 373, 395, 425, 428, 545, 546]"
7,37,-0.4262969418,1,0.6652651618000001,28,"['Active learning', 'Ambient Intelligent Agent System Designs', 'aware service provision', 'complex event processing system', 'confirmation and machine learning', 'data mining technique', 'data validation framework', 'decision tree', 'deep learning model', 'Deep Neural Network Classification', 'ensemble technique', 'Explainable Artificial Intelligence', 'game abstraction framework', 'important high level user context', 'intelligence inference layer', 'intelligent system', 'machine learning', 'machine learning model', 'machine learning technique', 'manual and automatic object recognition', 'near real time reasoning layer', 'novel framework', 'predictive power', 'preprocessing tool', 'random forest', 'random forest classifier', 'semantic database', 'such predictive model']",25,"[4, 13, 32, 83, 84, 110, 117, 133, 146, 156, 184, 211, 272, 273, 281, 295, 309, 345, 384, 430, 468, 503, 522, 537, 561]"
7,37,-0.4262969418,2,0.4940299422,18,"['distribution waveform', 'dynamic and spatial dependency', 'Geocontextual Multitask Embedding Learner', 'geographic information retrieval', 'GIS and machine learning technique', 'hand labeling', 'improved geoparsing algorithm', 'multimodal data distribution', 'Place2Vec model', 'similar region', 'similar target', 'spatial familiarity', 'spatio temporal feature', 'spatiotemporal distribution and dynamic', 'spatiotemporal pattern and occurrence mechanism', 'temporal information', 'temporal trend', 'uncertain geographic context problem']",15,"[3, 4, 30, 32, 97, 104, 110, 133, 210, 273, 281, 311, 345, 430, 537]"
