cluster,Term0,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10,Term11,Term12,Term13,Term14,Term15,Term16,Term17,Term18,Term19,Term20,Term21,Term22,Term23,Term24,Term25,Term26,Term27,Term28,Term29,Term30,Term31,Term32,Term33,Term34,Term35,Term36,Term37,Term38,Term39,Term40,Term41,Term42,Term43,Term44,Term45,Term46,Term47,Term48,Term49,Term50,Term51,Term52,Term53,Term54,Term55,Term56,Term57,Term58,Term59,Term60,Term61,Term62,Term63,Term64,Term65,Term66,Term67,Term68,Term69,Term70,Term71,Term72,Term73,Term74,Term75,Term76,Term77,Term78,Term79
1, machine learning, urban planning, traffic flow, transportation mode, traffic congestion, deep learning, traffic volume, big data, urban environment, intelligent transportation, transportation system, result show, traffic management, smart city, road traffic, human mobility, learning method, neural network, urban traffic, mobility data, mode recognition, urban area, urban data, trajectory data, road network, learning technique, data source, traffic prediction, data collection, feature vector, real time, citywide traffic, decision tree, travel time, travel speed, great significance, transportation infrastructure, flow prediction, classification algorithms, gps trajectory, control system, urban mobility, traffic data, experimental result, prediction model, transportation operation, urban road, result demonstrate, energy consumption, air pollution, pollution problem, taxi fleet, taxi service, public policy, traffic forecasting, next destination, delivery fleet, classic machine, temporal dependency, journey planning, deep reinforcement, vehicle selection, trajectory dataset, highway traffic, sub trajectory, time traffic, parking availability, high performance, assist system, smart navigation, mobility model, gcnn model, actual traffic, feature optimization, training data, large city, spatiotemporal variation, historical data, eta improvement, vehicular movement
2, urban planning, machine learning, urban data, social medium, land use, mobile phone, case study, learning technique, data source, smart city, medium data, human mobility, human activity, urban land, phone data, data mining, human behavior, health outcome, social network, open data, retail store, urban region, urban environment, service request, real time, temporal pattern, present paper, store placement, geographic feature, spatiotemporal pattern, digital technology, green space, leisure activity, web data, urban space, public record, sns data, open access, access article, unrestricted use, original author, urban planner, urban location, decision support, support tool, large amount, data analysis, visualization technique, geographic area, recommender system, predictive analytics, mobility flow, mobility data, base station, different city, city service, spatial information, knowledge graph, knowledge graphs, placement problem, consumer study, spatiotemporal data, cmtf model, social study, data science, subjective data, activity potential, urban leisure, mobility prediction, gravity model, functional distance, urban placeness, instagram post, urban stakeholder, urban neighborhood, data set, big data, poor environment, new data, behavioral pattern
3, smart city, urban planning, machine learning, data set, urban data, big data, air quality, data mining, case study, urban governance, proceeding contain, iot application, statistical analysis, large data, information system, autonomous vehicle, various aspect, special focus, sensor data, sustainable city, urban air, sensor network, data science, potential value, traffic control, intelligent transportation, transportation system, ml technology, service infrastructure, delivery system, traffic load, traffic system, traffic congestion, security protocol, iot data, statistical method, ambient intelligence, smart home, governance intelligence, data analysis, traffic inference, interactive design, design approach, vehicular data, semantic framework, road traffic, traffic management, traveler information, public transit, transit system, system management, integral part, traffic safety, transit efficiency, energy efficiency, environmental pollution, massive amount, significant traction, thorough survey, broad range, cooperative driving, road hazard, hazard warning, future direction, rapid development, data dashboard, analytics infrastructure, data capture, capture system, lockdown policy, physical matter, centered towards, social group, physical infrastructure, infrastructure momentum, plan management, urban scenario, urban density, balanced supply, spatial status
4, human mobility, urban planning, travel behavior, trajectory data, human movement, travel pattern, machine learning, smart card, pedestrian activity, geographical area, mobility pattern, card data, population distribution, truck driver, special event, urban data, phone data, mobile phone, socioeconomic status, flow pattern, public transportation, route planning, land use, fundamental aspect, urban area, social network, urban planner, pattern discovery, transit travel, visual analytics, behavioral pattern, telecom data, urban feature, regression model, urban design, case study, socioeconomic indicator, mobility data, many aspect, recent year, bike flow, big data, traditional taxi, useful application, semantic relationship, comparative analysis, statistical method, urban traffic, temporal impact, road traffic, public transit, transit network, advanced machine, dynamic population, spatiotemporal characteristic, positioning system, trajectory log, dimensionality reduction, driver survey, urban environment, pedestrian behavior, web solution, transportation route, city resident, public transport, transport commuter, systematic review, quick overview, unprecedented opportunity, current research, research status, hot topic, ridership factor, passenger service, service market, market partition, transportation emission, extensional application, abundant study, determinant analysis
5, big data, urban planning, social medium, machine learning, positive deviance, support system, functional region, learning technique, case study, smart city, data analysis, civic query, analysis method, literature review, medium data, urban planner, data analytics, urban dynamic, data mining, high accuracy, urban system, urban data, city worldwide, image dimension, dirichlet allocation, topic modeling, previous work, probabilistic topic, sentiment analysis, analysis result, urban issue, report category, human presence, commercial establishment, artificial intelligence, planning support, system environment, participatory analytics, urban problem, novel approach, urban livability, new data, data source, new method, city image, thematic structure, adaptive reuse, knowledge discovery, discovery process, socioeconomic attribute, restaurant data, socioeconomic data, spatial resolution, urbanization issue, systematic literature, positive deviant, social network, topical aspect, linguistic feature, matrix factorization, ground sensing, public service, several country, local government, government use, use data, reported issue, citizen report, broken streetlamps, temporal feature, feature reveal, common pattern, zurich area, promising performance, ultimate goal, platform operation, human activity, spatial granularity, current information, information technology
6, urban environment, mobility pattern, traffic flow, traffic congestion, urban area, urban planning, machine learning, traffic light, transit mobility, route planning, mobility structure, human mobility, neural network, result show, experimental result, gps trajectory, trajectory data, transport mode, dynamic routing, travel demand, transportation system, urban traffic, reinforcement learning, light control, control system, deep learning, complex network, flow forecasting, anomaly detection, person detection, detection method, traffic accident, data set, urban data, metropolitan area, network analysis, intelligent transportation, global positioning, positioning system, traffic management, case study, automated vehicle, road network, traffic network, accident risk, urban mobility, transit data, urban function, attributed feature, generic paradigm, user experience, bus data, dynamic route, last mile, nonlinear relationship, particle swarm, swarm optimization, scene decomposition, traffic participant, spatial area, traffic information, mode detection, expert system, intersection agent, movement agent, public safety, travel route, road safety, safety deployment, accident prediction, traditional machine, short period, hour level, sparse traffic, accident sample, learning prediction, prediction result, memory network, multiple input, high accident
7, machine learning, urban planning, data mining, urban data, smart city, learning technique, urban environment, social medium, urban area, flow prediction, mobile phone, human mobility, travel behavior, special focus, spatial familiarity, medium data, mobility pattern, real time, big data, urban problem, spatial correlation, recent year, trip generation, experimental result, new city, travel mode, terrorist attack, proceeding contain, urban space, traffic incident, spatiotemporal pattern, eye movement, movement data, commercial district, active learning, varying impact, input representation, terrorist action, od flow, railway station, risk assessment, mining technique, opportunistic criminal, urban governance, data validation, district discovery, graph convolution, convolution network, functional region, previous work, graph attention, attention network, attention mechanism, traffic data, previous study, deep learning, urban setting, learning strategy, neural network, first phase, low accuracy, prediction performance, optimal store, store placement, result demonstrate, gps trajectory, urban network, network path, road network, complex event, event processing, spatial clustering, twitter data, traffic violation, learning model, base station, prediction task, visual analytics, recommender system, public policy
8, deep learning, urban planning, neural network, semantic segmentation, object detection, machine learning, aerial image, experimental result, image classification, building footprint, urban environment, change detection, remote sensing, computer vision, data set, building detection, building extraction, scene classification, study area, spatial resolution, learning technique, urban area, high resolution, impervious surface, challenging task, satellite imagery, disaster management, experiment show, many application, deep supervision, different scale, digital surface, surface model, point cloud, earth observation, land use, overhead imagery, sr method, spatial pyramid, natural disaster, environmental monitoring, data fusion, geospatial data, data source, training data, lidar data, result show, aerial vehicle, overall accuracy, satellite image, urban data, classification task, learning framework, image segmentation, classification performance, urban study, segmentation model, detection method, scene image, road network, learning scheme, temporal information, vehicle detection, image data, classification accuracy, feature learning, building structure, digital elevation, elevation model, dem data, important role, image processing, recent year, multiscale feature, feature fusion, crucial role, feature extraction, image feature, pyramid pooling, building datasets
9, land cover, land use, image classification, urban land, overall accuracy, urban planning, urban area, machine learning, cover classification, classification accuracy, cover change, change detection, satellite image, decision tree, support vector, vector machine, lulc change, image analysis, detection analysis, satellite imagery, cover map, cover mapping, bare land, environmental management, study area, remote sensing, urban growth, learning technique, classification algorithms, overall classification, data set, green roofs, catchment scale, classification method, random forest, important role, water body, high resolution, satellite data, use land, urban planner, high classification, coastal area, novel approach, classification map, use change, area change, nn ge, test dataset, classification result, urban expansion, landsat data, data weighting, central tendency, maximum likelihood, use classification, infrastructure classification, study case, regression tree, kappa coefficient, different image, learning algorithms, geographical region, use planning, environmental change, classification technique, economic value, sustainable development, urbanization process, new method, change mapping, population growth, hilla city, supervised image, perennial drainage, water quality, decision maker, urban vegetation, extreme learning, learning machine
10, land use, urban planning, machine learning, urban expansion, urban area, neural network, urban growth, urban land, urban development, residential land, case study, building height, result show, land resource, use policy, land price, urban footprint, land change, transition rule, urban change, data mining, metropolitan city, population growth, radial basis, deep learning, population density, growth model, cellular automaton, land growth, cellular automata, important factor, use type, land planning, study area, urban sprawl, logistic regression, relative influence, housing dispersal, city worldwide, spatial pattern, regional population, population forecast, small city, great importance, spatiotemporal uncertainty, information system, urban planner, simulation accuracy, population distribution, urban region, correlation coefficient, rapid urbanization, previous study, commercial land, use change, national policy, land management, derelict site, geographic information, use map, policy making, learning technique, ca model, neighborhood effect, learning method, decision maker, construction land, distance factor, dependent variable, driving force, development zone, regional planning, demographic rate, price prediction, prediction model, relative importance, rlp distribution, polish city, weighted regression, large city
11, land use, urban land, machine learning, urban development, urban growth, land cover, urban area, urban planning, overall accuracy, stream water, water quality, development pattern, case study, use change, urban expansion, population growth, urban forest, land expansion, water management, cover change, cover map, slum area, impervious surface, residential land, big data, use planning, material consumption, water demand, neural network, predictive model, intensity analysis, major land, urban region, capital city, limited capacity, local authority, image feature, random forest, unplanned settlement, time series, spatial distribution, spatial resolution, decision tree, urbanization rate, storm water, western part, development stage, pattern scenario, spatial variation, satellite data, construction material, fine scale, census block, coarse scale, eastern part, population coverage, temporal length, data set, water consumption, socioeconomic function, municipal service, slum settlement, vhr imagery, initial land, effective image, training site, cover zone, land resource, different land, surface cover, change product, cropland area, low impact, impact development, land owner, adoption strategy, athens agglomeration, landsat imagery, urban feature, intermediate city
