ArticleCluster,Article_num,ArticleCluster_Score,KeywordGroups,score,num_keywords,Keywords,NumDocs,DocIds
1,23,0.9150015773,1,0.8864096128000001,30,"['Support Vector Machine', 'GCNN model', 'principal component analysis', 'deep sequence learning model', 'Neural Network', 'Support Vector Regression model', 'Multilayer Perceptron', 'Random Forest', 'deep learning', 'linear autoregressive neural network', 'novel unsupervised incremental learning approach', 'hyperdimensional computing', 'Online Sequential Extreme Learning Machine', 'deep learning algorithms', 'LSTM network', 'deep reinforcement learning', 'multiple machine learning model', 'MLP and RNN', 'predictive accuracy', 'LightGBM and XGBoost method', 'eXtreme Gradient Boosting', 'convolutional neural network', 'high level feature', 'unsupervised graphical model', 'representation learning method', 'simultaneous prediction', 'Selection Operator regression', 'deep learning predictor', 'different classification algorithm', 'behavioral economics concept']",22,"[38, 155, 220, 240, 298, 304, 319, 321, 334, 346, 359, 392, 407, 422, 423, 439, 499, 519, 530, 536, 555, 587]"
1,23,0.9150015773,2,0.6566707877,64,"['microscopic traffic simulation', 'Connected Vehicles', 'smart city transportation system', 'actual traffic volume', 'forecasting morning', 'short term traffic flow prediction', 'Electronic registration identification', 'DSTO GBRT method', 'taxi demand', 'IoT sensor', 'Google Maps', 'control air pollution problem', 'short term taxi demand', 'different urban data source', 'forecast model', ""Lisbon's fleet"", 'traffic prediction', 'Intelligent Transportation Systems', 'massive traffic sensor data', 'city resilience', 'urban logistics system', 'next destination predictor', 'historical global positioning system trajectory data', 'road traffic prediction', 'Bluetooth identifier', 'Vehicular Ad Hoc Networks', 'realistic urban environment', 'available clustering protocol', 'fine grained citywide traffic accident prediction', 'domain urban data', 'urban traffic management', 'transportation mode recognition', 'urban planning', 'Mobile crowdsensing', 'novel vehicle selection algorithm', 'real trajectory dataset', 'Highway traffic volume prediction', 'transportation mode classification method', 'GPS trajectory data', 'urban planning and traffic monitoring', 'Traffic flow analysis', 'car plate', 'citywide traffic volume estimation', 'GPS trajectory', 'speed flow relationship', 'parking availability prediction', 'adaptive traffic control system', 'journey planning service', 'smart navigation and parking', 'driver diagnostics part', 'urban environment', 'AUDI vehicle', 'urban emergency police operation', 'travel speed model', 'emergency travel time', 'urban human mobility data', 'air pollution problem', 'mobile operator', 'travel mode detection', 'Kobe city', 'accelerometer and gyroscope', 'Transportation Research', 'sustainable air traffic management system development methodology', 'statewide commodity flow forecast']",23,"[38, 155, 220, 240, 298, 304, 319, 321, 334, 346, 359, 392, 407, 422, 423, 439, 499, 519, 526, 530, 536, 555, 587]"
1,23,0.9150015773,3,-0.10628077550000001,18,"['SUMO VEINS OMNeT', 'Python language', 'big data', 'dynamic spatial temporal feature optimization method', 'application scenario', 'historical data analytics', 'incident detection', 'profiling', 'Clustering Adaptation Near Intersection', 'spatial and temporal dependency', 'barometric data', 'rich smartphones', 'maximum spatial temporal coverage', 'various weather condition', 'specific low quality imagery', 'operational data', 'data mining view', 'deadweight cost']",14,"[38, 155, 220, 319, 321, 334, 346, 359, 392, 407, 439, 530, 536, 587]"
2,24,0.7639679511,1,0.7190588171000001,28,"['machine learning model', 'supervised machine learning', 'machine learning algorithms', 'embeddings', 'clustering feature', 'aware chat bot', 'multicriteria analysis', 'various machine learning model', 'Matrix Tensor Factorization', 'machine learning technique', 'label affordance estimation', 'semantic topic model', 'social function vector', 'contextual attribute', 'meaningful classification', 'bivariate and multivariate analysis', 'data mining', 'collaborative heterogeneous information embedding', 'artificial fish swarm algorithm', 'recommendation quality', 'Machine Learning', 'predictive analytics', 'probabilistic topic', 'semantic decomposition', 'candidate set', 'supervised learning framework', 'Maximum Entropy Model', 'semantic predicting method']",23,"[191, 200, 235, 258, 336, 364, 410, 412, 417, 459, 467, 486, 493, 504, 510, 542, 544, 550, 560, 562, 571, 573, 574]"
2,24,0.7639679511,2,0.5952930961,66,"['urban health', 'useful complementary data source', 'neighborhood condition', 'social medium data', 'urban human activity', 'Melbourne and Sydney', 'Smart City', 'distinct text datasets', 'official social network profile', 'urban land use detection', 'POI data', 'first open government knowledge graph', 'data browsing', 'urban planning', 'Retail store placement problem', 'heterogeneous urban data', 'spatiotemporal data', 'smart city environment', 'urban green space', 'Location tracking', 'urban leisure and tourism research', 'webtexts and place tag', 'mobile sensor data', 'human mobility prediction model', 'urban traffic gravity model', 'urban placeness', 'Instagram post', 'starbucks', 'urban neighborhood', 'Service Requests data', 'economic and political decision', 'many urban planning', 'open urban data', 'different level', 'Urban planning student', 'big data revolution', 'census data', 'taxi call prediction', 'Web and Web Age Information Management', 'human behavior and location context', 'official land use classification', 'mobile phone data record', 'social platform', 'food business', 'urban planning data', 'urban data', 'Mining Urban Data', 'MUD2 workshop', 'international', '32nd International Conference', 'vacant property', 'sociotechnical system', 'city activity', 'understanding and structuring mobility data', 'space time GIS system', 'urban activity inference', 'Foursquare user', 'mobile phone usage pattern', 'Location Annotation', 'mobile phone user', 'urban planning and optimization', 'urban computing', 'data visualization', 'traffic forecasting', 'digital footprints', 'human urban behavior']",24,"[191, 200, 235, 258, 336, 364, 410, 412, 417, 459, 467, 486, 493, 504, 510, 542, 544, 550, 560, 562, 571, 573, 574, 584]"
2,24,0.7639679511,3,-0.039750765800000004,18,"['sociodemographic and socioeconomic variable', 'anomalous activity', 'dimension and indicator', 'activity pattern', 'human movement feature', 'consumer study', 'Nonnegative CMTF model', 'additional contexts', 'subjective data', 'top interaction area', 'Euclidean distance', 'visualization technique', 'effective data interpretation', 'simple visualization technique', 'graph summarization', 'zone recommendation system', 'spatial dimension', 'future vacancy risk']",14,"[191, 200, 235, 258, 364, 410, 412, 459, 493, 504, 510, 544, 550, 562]"
3,12,0.7885867554,1,0.6593651265,13,"['Urban Observatory Internet', 'service infrastructure', 'Smart City', 'Hyperledger Fabric blockchain', 'Edge Computing platform', 'smart IoT application', 'Ambient Intelligence', 'lora and IEEE', 'heterogeneous sensor network', 'centric urban heat monitoring framework', 'Smart Cities', 'smart meter', 'semantic framework']",11,"[243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]"
3,12,0.7885867554,2,0.6278618242,15,"['Intelligent transportation system', 'cooperative driving and road hazard warning', 'urban planning and future', 'urban governance', 'Urban planning', 'traffic system', 'urban data', 'real time traffic light detection', 'urban governance decision making', 'citizen profile', 'interactive traffic control system', 'vehicular data', 'Transportation and mobility', 'urban system', 'vehicle and traffic pattern detection']",10,"[145, 243, 264, 300, 387, 432, 434, 451, 502, 527]"
3,12,0.7885867554,3,0.2444342679,26,"['machine learning', 'ITS application', 'data dashboard', 'lockdown policy', 'real time insight', 'bidirectional data sharing', 'supply dynamic', 'math programming', 'multimodal sensor data fusion', 'air quality monitoring', 'online gis and ann', 'different machine learning approach', 'secure transaction', 'unsupervised data mining technique', 'new data', 'large data set', 'graph autoencoders', 'air quality data mining', 'object recognition', 'future population distribution', 'big data', 'Bayesian Net technique', 'harvesting and preprocessing', 'mathematical model', 'water and energy', 'pollution detection']",12,"[145, 243, 264, 291, 300, 387, 394, 432, 434, 451, 502, 527]"
4,14,0.6371890009,1,0.8909620756000001,14,"['big data', 'deep analysis', 'supervised machine learning approach', 'main predictor', 'advanced machine learning method', 'clear correlation', 'machine learning algorithms', 'prediction framework', 'machine learning method', 'logistic PCA and autoencoder', 'machine learning algorithm', 'analytics core', 'web service', 'machine learning component']",11,"[134, 249, 261, 296, 326, 337, 362, 373, 425, 545, 546]"
