DocId,Title,Abstract
55,Air-to-Air Path Loss Prediction Based on Machine Learning Methods in Urban Environments,"Recently, unmanned aerial vehicle (UAV) plays an important role in many applications because of its high flexibility and low cost. To realize reliable UAV communications, a fundamental work is to investigate the propagation characteristics of the channels. In this paper, we propose path loss models for the UAV air-to-air (AA) scenario based on machine learning. A ray-tracing software is employed to generate samples for multiple routes in a typical urban environment, and different altitudes of Tx and Rx UAVs are taken into consideration. Two machine-learning algorithms, Random Forest and KNN, are exploited to build prediction models on the basis of the training data. The prediction performance of trained models is assessed on the test set according to the metrics including the mean absolute error (MAE) and root mean square error (RMSE). Meanwhile, two empirical models are presented for comparison. It is shown that the machine-learning-based models are able to provide high prediction accuracy and acceptable computational efficiency in the AA scenario. Moreover, Random Forest outperforms other models and has the smallest prediction errors. Further investigation is made to evaluate the impacts of five different parameters on the path loss. It is demonstrated that the path visibility is crucial for the path loss. © 2018 Yan Zhang et al."
80,"Intelligent GPS L1 LOS/multipath/NLOS classifiers based on correlator-, RINEX- and NMEA-level measurements","This paper proposes to use a correlator-level global positioning system (GPS) line-of-sight/multipath/non-line-of-sight (LOS/MP/NLOS) signal reception classifier to improve positioning performance in an urban environment. Conventional LOS/MP/NLOS classifiers, referred to as national marine electronics association (NMEA)-level and receiver independent exchange format (RINEX)-level classifiers, are usually performed using attributes extracted from basic observables or measurements such as received signal strength, satellite elevation angle, code pseudorange, etc. The NMEA/RINEX-level classification rate is limited because the complex signal propagation in urban environment is not fully manifested in these end attributes. In this paper, LOS/MP/NLOS features were extracted at the baseband signal processing stage. Multicorrelator is implemented in a GPS software-defined receiver (SDR) and exploited to generate features from the autocorrelation function (ACF). A robust LOS/MP/NLOS classifier using a supervised machine learning algorithm, support vector machine (SVM), is then trained. It is also proposed that the Skymask and code pseudorange double difference observable are used to label the real signal type. Raw GPS intermediate frequency data were collected in urban areas in Hong Kong and were postprocessed using a self-developed SDR, which can easily output correlator-level LOS/MP/NLOS features. The SDR measurements were saved in the file with the format of NMEA and RINEX. A fair comparison among NMEA-, RINEX-, and correlator-level classifiers was then carried out on a common ground. Results show that the correlator-level classifier improves the metric of F1 score by about 25% over the conventional NMEA- and RINEX-level classifiers for testing data collected at different places to that of training data. In addition to this finding, correlator-level classifier is found to be more feasible in practical applications due to its less dependency on surrounding scenarios compared with theNMEA/RINEX-level classifiers. © 2019 by the authors."
152,NLOS multipath detection by using machine learning in urban environments,"In global navigation satellite system (GNSS) positioning, GNSS satellites are often obstructed by buildings, leading to reflected and diffracted signals, which are known as non-line-of-sight (NLOS) signals. These cause major positioning (also known as ""NLOS multipath"") errors in GNSS positioning. This paper proposes a novel NLOS multipath detection technique that uses a machine-learning technique to improve positioning accuracy in urban environments. The key idea behind this technique is to construct a classifier that discriminates NLOS multipath signals from the output of the multiple GNSS signal correlators of a software GNSS receiver. In the code-tracking process within GNSS receivers, the code correlation peak is determined and tracked using the outputs of the signal correlators. In the case of an NLOS signal, there are no direct signals; the first reflected signal has low power compared to the direct signal. Hence, the correlation function is expected to be more distorted in the case of NLOS signal correlation. We use this phenomenon to detect NLOS signals. For realizing machine learning, we extract the features of the NLOS signal from the shape of the NLOS correlation function, using an actual dataset, to construct an NLOS classifier. To evaluate the proposed technique, we conduct NLOS classification experiments using signal correlation data acquired at different locations in the Shinjuku area of Japan. We propose to construct an NLOS classifier based on a support vector machine. From the experiments, 87% of the LOS signals and 99% of the NLOS signals are correctly discriminated. Copyright © (2017) by Institute of Navigation All rights reserved."
163,A machine learning approach for localization in cellular environments,"A machine learning approach is developed for localization based on received signal strength (RSS) from cellular towers. The proposed approach only assumes knowledge of RSS fingerprints of the environment, and does not require knowledge of the cellular base transceiver station (BTS) locations, nor uses any RSS mathematical model. The proposed localization scheme integrates a weighted K-nearest neighbor (WKNN) and a multilayer neural network. The integration takes advantage of the robust clustering ability of WKNN and implements a neural network that could estimate the position within each cluster. Experimental results are presented to demonstrate the proposed approach in two urban environments and one rural environment, achieving a mean distance localization error of 5.9 m and 5.1 m in the urban environments and 8.7 m in the rural environment. This constitutes an improvement of 41%, 45%, and 16%, respectively, over the WKNN-only algorithm. © 2018 IEEE."
214,Machine learning for source localization in urban environments,"This paper investigates source localization in urban environments using machine learning methods. Both classification and regression schemes are examined using the random forest algorithm. In both approaches, the localization performance depends mostly on arrival time information of received signals. It is shown that the use of a relative arrival time difference rather than the direct time of arrival (TOA) also provide good performance, which is beneficial for practical application. It is found that with enough number of receivers, the signal power parameter can be omitted, which eliminates frequency dependency of developed models. It is also found that at least three receivers should be used to achieve acceptable prediction performance. Additionally, the number of training examples needed depends on the approach used as well as the desired level of accuracy. This factor is more important in the classification approach, as the amount of training data required closely relates to the number of sectors created by the localization problem. A regression scheme is more natural for predicting spatial coordinate values, and achieved higher localization accuracy with fewer training examples as compared to classification. Ultimately, the regression based localization scheme using the time difference of arrival (TDOA) parameter at three receiver locations achieved an average localization accuracy of 2.8m. © 2016 IEEE."
267,Field Experiment of Localization Based on Machine Learning in LTE Network,"In mobile communications networks, if we can estimate the location of each user equipment (UE) with high accuracy, efficient cell planning and network optimization become possible. However, it is difficult for operators to estimate the location of most commercial UEs because they cannot feedback their location information directly to their serving base stations with the exception of UEs with Minimization of Drive Test (MDT) functions specified in LTE Release 10. Radio Frequency (RF) fingerprint method is known as an effective localization method, with which we can estimate the location of UEs with only RF signature and location information beforehand. In LTE, RF fingerprint database can be collected by conducting drive tests or using measurement data from UEs compatible with MDT. Although the estimation accuracy can be better with more RF signatures, the increase in the amount of RF signatures causes the increase in the feedback, which consumes the uplink capacity and UE battery. Furthermore, keeping all RF signatures in database is inefficient because some RF signatures do not have effect on improving estimation accuracy. Hence, it is important to clarify the effect of each RF signature and use only effective ones in the localization. In this paper, we conducted a field experiment to create an RF fingerprint database in dense urban area, and evaluated the effectiveness of each RF signature by making several localization models based on machine learning. Eventually, we clarified minimum RF signatures required to operate RF fingerprint localization in LTE network. © 2018 IEEE."
280,Improving GPS Code Phase Positioning Accuracy in Urban Environments Using Machine Learning,"The accuracy of location information, mainly provided by the global positioning system (GPS) sensor, is critical for Internet-of-Things applications in smart cities. However, built environments attenuate GPS signals by reflecting or blocking them resulting in some cases multipath and non-line-of-sight (NLOS) reception. These effects cause range errors that degrade GPS positioning accuracy. Enhancements in the design of antennae and receivers deliver a level of reduction of multipath. However, NLOS signal reception and residual effects of multipath are still to be mitigated sufficiently for improvements in range errors and positioning accuracy. Recent machine learning-based methods have shown promise in improving pseudorange-based position solutions by considering multiple variables from raw GPS measurements. However, positioning accuracy is limited by low accuracy signal reception classification. Unlike the existing methods, which use machine learning to directly predict the signal reception classification, we use a gradient boosting decision tree (GBDT)-based method to predict the pseudorange errors by considering the signal strength, satellite elevation angle and pseudorange residuals. With the predicted pseudorange errors, two variations of the algorithm are proposed to improve positioning accuracy. The first corrects pseudorange errors and the other either corrects or excludes the signals determined to contain the effects of multipath and NLOS signals. The results for a challenging urban environment characterized by high-rise buildings on one side, show that the 3-D positioning accuracy of the pseudorange error correction-based positioning measured in terms of the root mean square error is 23.3 m, an improvement of more than 70% over the conventional methods. © 2014 IEEE."
291,Machine learning-based methods for path loss prediction in urban environment for LTE networks,"This paper presents prediction path loss models in an urban environment for cellular networks with the help of machine learning methods. For this goal, Support Vector Regression (SVR), Random Forest (RF) and K-Nearest Neighbor (KNN) algorithms are exploited and assessed. The training and testing procedure is carried out with the help of a path loss dataset generated by simulated results considering a Long Term Evolution (LTE) network utilizing a digital terrain model. The simulation takes into account an urban environment for both line-of-sight (LOS) and non-LOS (NLOS) propagation condition. The results reveal that all the evaluated algorithms forecast path loss with a remarkable accuracy, providing root-mean-square errors on the order of 2. 1-2.2dB for LOS and 3. 4-4.1dB for NLOS locations, respectively. Among the examined algorithms, KNN shows the best performance, thus being an appealing option to predict path loss in urban areas. For comparison purposes, the COST231 Walfisch-Ikegami empirical model was applied, which presents the worst performance, providing the highest errors under-predicting path loss, especially in NLOS locations. © 2020 IEEE."
358,NLOS multipath detection using convolutional neural network,"In global navigation satellite system (GNSS) positioning, GNSS satellites are often obstructed by buildings, leading to reflected and diffracted signals, which are known as non-line-of-sight (NLOS) signals. Such signals cause major GNSS positioning (also known as “NLOS multipath”) errors. In this paper, a novel NLOS multipath detection technique using a machine-learning approach to improve the positioning accuracy in urban environments is proposed. The key idea behind this technique is to construct a classifier that discriminates NLOS multipath signals from the output of the multiple GNSS signal correlators of a software GNSS receiver. In the case of an NLOS signal, there are no direct signals; the first reflected signal has low power compared to a direct signal. Hence, the correlation function is expected to be more distorted in the case of an NLOS signal correlation. We use this phenomenon to detect NLOS signals. To consider the change in shape of the correlation values of NLOS signals and their temporal variation, we propose a method for constructing a convolutional neural network (CNN)-based NLOS discriminator. Furthermore, we propose a method for applying the NLOS probability, which is the output of the CNN, to the positioning calculation. To evaluate the proposed technique, we conducted NLOS classification experiments using signal correlation data acquired at different locations in the Shinjuku area of Japan. We compared the proposed method with a method using a simple NN. As the experiment results indicate, the proposed method can correctly discriminate approximately 98% of NLOS multipath signals, and the discrimination rate of the proposed CNN-based method is higher than that of the simple NN-based approach. Furthermore, we improved the positioning accuracy from 34.1 to 1.6 m using the proposed method and concluded that the proposed approach can increase the positioning accuracy in urban environments. © 2020 Proceedings of the 33rd International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS+ 2020. All rights reserved."
359,A new method for non-line-of-sight GNSS signal detection for positioning accuracy improvement in urban environments,"The classification of the line-of-sight (LOS) and non-line-of-sight (NLOS) signals is one of the major problems for robust GNSS positioning and the shadow matching in urban environments. The existing techniques include the multi-sensor integration, 3D map aid, using a dual-polarized antenna, an omnidirectional camera aid are proposed to solve the classification problem. However, they all require external hardware or up-to-date map, which is expensive or impractical for mass-market applications. Consistency checking with the receiver autonomous integrity monitoring (RAIM) is widely used for the detection of NLOS signals, but it is efficient only when the majority of the received signals are LOS signals. Machine learning methods, including the decision tree, the support vector machine (SVM) have been explored to classify LOS and NLOS with good accuracy. However, all current machine learning based method only utilize information within one epoch, all the inter-epoch information and data features in time series are lost, and the information of signal propagation in the complex urban environments is not fully manifested in the Rinex level observation and NMEA level observations in one single epoch. In this paper, a multivariate Long Short Term Memory Fully Convolutional Network (MLSTM-FCN) based signal classification method is proposed. With the aid of the convolution layer and long short term memory block, this method handles the data features in both time domain and value domain. Six time series features of GNSS signal, including differenced C/N0, time differenced ambiguity, double difference phase and pseudorange, phase and pseudorange consistency are analyzed and used as the input of the MLSTM-FCN. Datasets from two locations in the urban Calgary are collected, each of which is used for training and testing purposes respectively. The results reveal that, compared to the SVM classification method, the overall testing accuracy of the newly proposed classifier is improved from 93.00% to 95.97% for the Rinex level observation, and from 92.99% to 93.83 for the NMEA level observation. This improved classification accuracy brought by the proposed classifier is encouraging since it will enhance the robustness of the conventional GNSS positioning and the shadow matching based navigation system by reducing unbounded NLOS signal errors in urban environments and result in significant improvement in positioning accuracy. Compared to the SVM classifier aided single point positioning (SPP) test, the accuracy in the form of RMS of the MLSTM-FCN aided SPP test can be improved by 24.3%, 17.8% and 24.4% in the East, North and Up directions respectively, and the rate of the valid solution can be increased from 99.02% to 99.94%. The new method has the potential to be widely applied by various receiver types with the output of the raw observation or only with the NMEA observations output. © 2020 Proceedings of the 33rd International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS+ 2020. All rights reserved."
