Group,score,NumPhrases,Key-phrases,NumDocs,DocIds
1,0.7701888338,13,"['barcelona', 'Brooklyn neighborhood', 'French neighbourhood', 'residential segregation', 'residential status', 'university campus', 'urban area', 'urban dweller', 'urban environment', 'urban job housing pattern', 'urban poverty', 'urban setting', 'walkability']",12,"[34, 99, 126, 164, 185, 197, 204, 219, 270, 286, 401, 577]"
2,0.7532709765000001,13,"['automatic algorithm', 'Automation tool use machine learning classification model', 'ensemble machine learning building classification model', 'extreme learning machine classification algorithm', 'machine learning', 'machine learning algorithm', 'machine learning approach', 'machine learning method Random Forests', 'machine learning model', 'machine learning technique', 'outlier detection problem', 'random forest', 'random forests classifier']",14,"[7, 99, 126, 163, 164, 180, 197, 204, 219, 262, 276, 365, 397, 513]"
3,0.6747318131000001,13,"['big data method', 'BUFA estimation', 'descriptive data', 'GDP contribution', 'large dataset', 'limited training data', 'methodological approach', 'mobile edge streaming medium data processing', 'stram data', 'Structural equation modeling', 'traditional survey', 'uncertainty analysis', 'various trend view']",11,"[34, 164, 197, 262, 270, 276, 286, 290, 318, 577, 591]"
4,0.6267893828000001,10,"['Belo Horizonte', 'BOSSA representation', 'central green axis', 'Figure ground', 'high resolution satellite image', 'high resolution satellite imagery', 'image interpretation', 'plot shape', 'satellite image', 'such sign']",10,"[95, 99, 147, 204, 270, 290, 318, 397, 401, 577]"
5,0.3288369787,25,"['Address matching', 'big data technology', 'centrality measure', 'city feature extraction', 'colossal migration', 'complete and detailed property information', 'dense traffic network', 'footprint and label data', 'geographical cluster', 'historical distribution', 'marital status and income inequality', 'multiple feature', 'Natural Movement postulates', 'POI data source', 'procedural logic', 'racial data', 'rail transit accessibility', 'schema standardisation', 'socioeconomic data', 'source city data', 'taxonomy mapping', 'traffic road network', 'urban data', 'Urban morphological feature extraction', 'urban place detection']",19,"[7, 15, 34, 43, 95, 126, 147, 160, 163, 164, 180, 185, 197, 204, 241, 263, 365, 413, 513]"
6,0.31980530030000004,30,"['advertising construction', 'architectural color icon creation', 'Beppu census ward', 'building level', ""city's authority"", 'current digital landscape model', 'different urban structure type', 'intelligent urban planning decision making', 'landscape architecture system', 'landscape conservation', 'local urban planning department', 'mapping rooftop footprint', 'regional and urban planning', 'residential infill development', 'sustainable urban development', 'Urban Data Mining', 'urban design', 'urban design decision making', 'urban ecosystem', ""urban form's modeling"", 'urban hotel development scale', 'urban morphological research', 'urban pattern and regularity', 'urban planning', 'urban planning and management', 'urban planning and transportation management', 'urban planning machine learning model', 'urban space generation design method', 'urban sprawl', 'virtual urban planning model']",23,"[7, 15, 43, 95, 147, 160, 163, 164, 180, 204, 219, 241, 263, 270, 276, 286, 290, 318, 397, 402, 413, 535, 591]"
7,0.2190082767,16,"['change detection', 'cognitive perception', 'convolutional autoencoder model', 'convolutional neural network', 'deep learning', 'deep learning algorithm', 'deep learning approach', 'deep learning method', 'Denoising Autoencoder', 'Neighbor and Naïve Bayes', 'Neural Networks', 'scene classification', 'sufficient neighborhood information', 'Tensorflow Segmentation', 'transfer learning technique', 'unsupervised artificial neural network']",16,"[15, 95, 147, 160, 163, 185, 241, 263, 270, 290, 318, 365, 402, 413, 535, 577]"
8,0.1947576038,15,"['criteria spatial evaluation', 'geographic information system', 'GIS visualisation', 'Google Map Platform', 'historical site', 'historical topographic map', 'land use type', 'location decision making', 'open urban area', 'protection and development', 'real estate search', 'spatial concept', 'street functionality classification', 'street view image', 'street view map']",12,"[185, 219, 241, 262, 286, 290, 397, 401, 402, 413, 513, 535]"
9,0.0984662447,9,"['air pollutant concentration', 'Chinese author', 'deprivation mapping', 'environmental evaluation', 'Jiangxia and Huangpi', 'prenatal care', 'several domain', 'Systematic Reviews and Meta Analyses', 'usable floor area']",7,"[15, 34, 99, 160, 197, 318, 401]"
10,0.08713566930000001,11,"['appropriate attribute feature', 'dimensional similarity analysis', 'gray level cooccurrence matrix', 'knowledge conversion', 'literal similarity', 'matching accuracy', 'novel semantic model', 'SAR ground object classification', 'scheme and kernel', 'space syntax Theory', 'word2vec model']",10,"[43, 95, 99, 180, 263, 365, 513, 535, 577, 591]"
