128,The conceptual basis of water-energy-food nexus governance: systematic literature review using network and discourse analysis,0.46,8,221,"Urban Water Demand Modeling Using Machine Learning Techniques: Case Study of Fortaleza, Brazil"
,,0.45,7,467,Planning Support Systems for Long-Term Climate Resilience: A Critical Review
,,0.44,14,208,Game-based crowdsourcing to support collaborative customization of the definition of sustainability
,,0.43,8,35,Urban water resource management for sustainable environment planning using artificial intelligence techniques
,,0.42,7,254,Systematizing and upscaling urban climate change mitigation
,,0.42,3,350,Water Distribution-Transportation Interface Connectivity Responding to Urban Geospatial Morphology
,,0.40,3,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.40,8,380,Accelerated exploration for long-term urban water infrastructure planning through machine learning
,,0.40,-1,466,Visual Analytics of Urban Informality and Infrastructure Planning with Tableau for Sustainable Urban Design Research Strategies in Lagos Metropolis
,,0.39,21,44,Citizen-centered big data analysis-driven governance intelligence framework for smart cities
,,0.38,20,519,IFDaD 2020 - Proceedings of the 1st International Forum on Digital and Democracy. Towards A Sustainable Evolution 2020
,,0.38,14,248,A framework to simplify pre-processing location-based social media big data for sustainable urban planning and management
,,0.38,14,170,Automated classification of social network messages into Smart Cities dimensions
,,0.37,8,160,"Machine learning-assisted evaluation of land use policies and plans in a rapidly urbanizing district in Chongqing, China"
,,0.37,7,571,Multi-scale modeling of territorial dynamics of geospatial anthropogenic energy consumption
,,0.37,7,52,Upscaling urban data science for global climate solutions
,,0.37,10,145,Impact of community deprivation on urban park access over time: Understanding the relative role of contributors for urban planning
,,0.36,4,119,"A data-driven approach for multi-scale GIS-based building energy modeling for analysis, planning and support decision making"
,,0.36,20,129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?
,,0.36,16,176,"Landscape Transformations in Rapidly Developing Peri-urban Areas of Accra, Ghana: Results of 30 years"
,,0.36,16,224,Assessing urban growth in Ghana using machine learning and intensity analysis: A case study of the New Juaben Municipality
,,0.36,-1,139,Patterns of historical and future urban expansion in Nepal
,,0.36,16,300,Spatiotemporal dynamics of urbanization and cropland in the Nile Delta of Egypt using machine learning and satellite big data: implications for sustainable development
,,0.36,8,247,Predicting stream water quality under different urban development pattern scenarios with an interpretable machine learning approach
,,0.35,8,304,Investigating adoption patterns of residential low impact development (LID) using classification trees
,,0.35,7,253,"GIS-enabled digital twin system for sustainable evaluation of carbon emissions: A case study of Jeonju city, south Korea"
,,0.35,3,399,Systematic data mining into land consumption in Germany
,,0.35,2,338,Shanghai’s regenerated industrial waterfronts: Urban lab for sustainability transitions?
,,0.35,3,473,"Frontier topics in italian regional science in its forties: The increasing role of heterogeneity in theory, policy and planning"
,,0.34,14,188,"Positive deviance, big data, and development: A systematic literature review"

478,Methods and Guidelines for Incorporating Human Factors Requirements in Automated Vehicles Development,0.54,20,581,Conference on Human Factors in Computing Systems - Proceedings
,,0.47,9,264,Unveiling Topics from Scientific Literature on the Subject of Self-driving Cars using Latent Dirichlet Allocation
,,0.47,19,240,Inference of vehicular traffic in smart cities using machine learning with the internet of things
,,0.46,-1,508,BISTRO: Berkeley Integrated System for Transportation Optimization
,,0.46,19,215,Intelligent driver assist system for urban driving
,,0.46,22,464,Smart Urban Mobility: When Mobility Systems Meet Smart Data
,,0.46,-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras
,,0.44,-1,285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework
,,0.44,21,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability"
,,0.44,13,376,Accessibility: Operationalizing a concept with relevance for planners
,,0.43,13,354,Urban Experiment: Taking Off on the Wind of Al
,,0.43,13,406,MetroPed: A tool for supporting crowds of pedestrian AI's in urban environments
,,0.42,20,433,Nordic Cities Meet Artificial Intelligence
,,0.42,11,422,Street design for hedonistic sustainability through ai and human co-operative evaluation
,,0.42,19,273,Automated planning for urban traffic control: Strategic vehicle routing to respect air quality limitations
,,0.41,21,525,"5th EAI International Smart City 360 Summit, 2019"
,,0.41,-1,516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments
,,0.40,13,192,Concept of interactive machine learning in urban design problems
,,0.40,-1,34,Artificial intelligence technologies for robot assisted urban search and rescue
,,0.40,19,543,Pedestrians Walking on Reachable Sets and Manifolds
,,0.40,13,268,Humans as avatars in smart and playable cities
,,0.40,20,129,Artificial intelligence technologies and related urban planning and development concepts: How are they perceived and utilized in Australia?
,,0.40,20,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.39,2,558,Application of AI in urban design
,,0.39,11,375,City safety perception model based on visual content of street images
,,0.39,21,549,"15th European Conference on Ambient Intelligence, AmI 2019"
,,0.39,20,489,"AI urbanism: a design framework for governance, program, and platform cognition"
,,0.39,2,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.39,22,597,The design of urban geographical information system for transportation
,,0.38,20,305,Participatory AI: Reducing AI bias and developing socially responsible AI in smart cities

272,Optimization and evaluation of the human fall detection system,0.55,-1,400,A comparison among various classification algorithms for travel mode detection using sensors' data collected by smartphones
,,0.49,-1,266,Structural health monitoring installation scheme using utility computing model
,,0.48,17,161,Toward Transportation Mode Recognition Using Deep Convolutional and Long Short-Term Memory Recurrent Neural Networks
,,0.48,-1,229,Machine learning-based and 3d kinematic models for rockfall hazard assessment using LiDAR Data and GIS
,,0.48,21,549,"15th European Conference on Ambient Intelligence, AmI 2019"
,,0.48,22,219,Effective task scheduling algorithm with deep learning for Internet of Health Things (IoHT) in sustainable smart cities
,,0.47,17,193,Characterization of behavioral patterns exploiting description of geographical areas
,,0.46,-1,189,Detecting Transportation Modes Based on LightGBM Classifier from GPS Trajectory Data
,,0.46,11,79,Machine learning approaches to understand the influence of urban environments on human's physiological response
,,0.45,-1,368,Intrusion Detection System as Audit in IoT Infrastructure using Ensemble Learning and SMOTE Method
,,0.44,11,181,Automatic sound recognition of urban environment events
,,0.44,-1,396,Applicability of support vector machines in landslide susceptibility mapping
,,0.43,17,265,Nonnegative coupled matrix tensor factorization for smart city spatiotemporal pattern mining
,,0.43,-1,325,"GIS-based comparative study of Bayes network, Hoeffding tree and logistic model tree for landslide susceptibility modeling"
,,0.43,22,387,Robust anomaly detection in urban environments using sensor and information fusion and a camera network
,,0.42,21,534,"4th Future Technologies Conference, FTC 2019"
,,0.42,17,404,Automated urban location annotation on mobile records
,,0.42,-1,207,A fuzzy logic based transport mode detection framework in urban environment
,,0.41,17,40,Analyzing large-scale human mobility data: a survey of machine learning methods and applications
,,0.41,1,184,A machine learning-based classification system for urban built-up areas using multiple classifiers and data sources
,,0.41,-1,281,Research on urban anti-terrorism intelligence perception system from the perspective of Internet of things application
,,0.41,9,270,Cell-to-cell activity prediction for smart cities
,,0.41,0,80,"Intelligent GPS L1 LOS/multipath/NLOS classifiers based on correlator-, RINEX- and NMEA-level measurements"
,,0.41,-1,545,Internet of things and statistical analysis
,,0.41,14,162,Analyzing Objective and Subjective Data in Social Sciences: Implications for Smart Cities
,,0.41,11,103,Capturing impressions of pedestrian landscapes used for healing purposes with decision tree learning
,,0.41,-1,67,"Spatial prediction of landslide susceptibility using GIS-based statistical and machine learning models in Wanzhou County, Three Gorges Reservoir, China"
,,0.41,17,13,Exploiting foursquare and cellular data to infer user activity in urban environments
,,0.40,18,512,Region2vec: An Approach for Urban Land Use Detection by Fusing multiple Features
,,0.40,20,581,Conference on Human Factors in Computing Systems - Proceedings

34,Artificial intelligence technologies for robot assisted urban search and rescue,0.59,-1,320,Risk management systems must provide automatic decisions according to crisis computable algebras
,,0.57,2,48,Can expert systems help with planning?
,,0.56,-1,552,Intelligence augmentation for urban warfare operation planning using deep reinforcement learning
,,0.55,2,183,The promise of expert systems for urban planning
,,0.55,2,322,Knowledge and reasoning in development control and urban design: an expert systems approach
,,0.53,-1,516,Intelligent Unmanned Aerial Vehicle Technology in Urban Environments
,,0.52,2,23,Artificial intelligence solutions for urban land dynamics: A review
,,0.50,2,596,A knowledge-based creation of mathematical programming for GIS problem solving
,,0.50,2,558,Application of AI in urban design
,,0.49,5,308,Rapid and automated urban modeling techniques for UAS applications
,,0.49,-1,403,A reasoning approach for modelling and predicting terroristic attacks in urban environments
,,0.49,8,121,Allocation of emergency response centres in response to pluvial flooding-prone demand points using integrated multiple layer perceptron and maximum coverage location problem models
,,0.49,-1,229,Machine learning-based and 3d kinematic models for rockfall hazard assessment using LiDAR Data and GIS
,,0.49,-1,266,Structural health monitoring installation scheme using utility computing model
,,0.48,-1,434,Neural Network Based Algorithm for Multi-UAV Coverage Path Planning
,,0.48,-1,481,Virtual design of urban planning based on GIS big data and machine learning
,,0.47,8,244,Selecting artificial intelligence urban models using waves of complexity
,,0.46,21,500,"Evaluation of Smart Infrastructure Systems and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness, and Sustainability"
,,0.46,-1,285,Planning the Future of Smart Cities with Swarms of Fully Autonomous Unmanned Aerial Vehicles Using a Novel Framework
,,0.45,-1,276,The automated vacuum waste collection optimization problem
,,0.45,13,592,Understanding townscapes through AI approaches to the study of human living in space
,,0.45,13,555,"Algorithms, AI and architecture"
,,0.45,5,538,THE POTENTIAL of BUILDING DETECTION from SAR and LIDAR USING DEEP LEARNING
,,0.45,8,306,Comparative review of methods supporting decision-making in urban development and land management
,,0.45,2,294,"Systematizing heterogeneous expert knowledge, scenarios and goals via a goal-reasoning artificial intelligence agent for democratic urban land use planning"
,,0.45,13,402,Will AI ever support design thinking?
,,0.44,20,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.44,2,429,Improving intelligent decision making in urban planning: Using machine learning algorithms
,,0.44,5,251,Remote measurement of building usable floor area – Algorithms fusion
,,0.43,2,509,Urban Planning Reform Trend Based on Artificial Intelligence

165,Studying spatial and temporal changes of aridity in Iran,0.60,4,421,"Evaluation of the environmental impacts of urbanization from the viewpoint of increased skin temperatures: a case study from Istanbul, Turkey"
,,0.58,16,471,"Object-Oriented Approach for Urbanization Growth by Using Remote Sensing and GIS Techniques: A Case Study in Hilla City, Babylon Governorate, Iraq"
,,0.58,4,45,The effect of multi-dimensional indicators on urban thermal conditions
,,0.57,4,330,Proposing an effective and inexpensive tool to detect urban surface temperature changes associated with urbanization processes in small cities
,,0.57,4,98,Analysis on spatiotemporal changes of urban thermal landscape pattern in the context of urbanisation: A case study of Xiamen City
,,0.57,12,407,"Effects of urbanization on spatiotemporal changes of land cover pattern: A case of Changsha, China"
,,0.56,16,580,Algorithm for modeling agricultural land cover classification and land surface temperature
,,0.56,16,90,"Spatiotemporal detection of land use/land cover change in the large basin using integrated approaches of remote sensing and GIS in the Upper Awash basin, Ethiopia"
,,0.55,16,521,"Remote sensing and GIS approach for environmental green areas planning using Landsat satellite imagery, Dubai-UAE"
,,0.55,16,300,Spatiotemporal dynamics of urbanization and cropland in the Nile Delta of Egypt using machine learning and satellite big data: implications for sustainable development
,,0.54,15,113,Evaluation and comparison of eight machine learning models in land use/land cover mapping using Landsat 8 OLI: a case study of the northern region of Iran
,,0.54,16,126,Semi-automatic mapping of anthropogenic impervious surfaces in an urban/suburban area using Landsat 8 satellite data
,,0.53,8,6,Urban flood risk mapping using the GARP and QUEST models: A comparative study of machine learning techniques
,,0.52,8,155,Improving land-use change modeling by integrating ANN with Cellular Automata-Markov Chain model
,,0.52,6,564,"Urban sprawl modeling of Lahore, Pakistan using machine learning techniques"
,,0.52,15,102,Automatic classification of high resolution land cover using a new data weighting procedure: The combination of k-means clustering algorithm and central tendency measures (KMC-CTM)
,,0.52,12,10,"Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective"
,,0.52,4,414,Evaluating the role of urban fabric on surface urban heat island: The case of Istanbul
,,0.51,12,345,"Exploring the dynamics of urban greenness space and their driving factors using geographically weighted regression: A case study in Wuhan Metropolis, China"
,,0.51,12,49,"The spatial characteristics and relationships between landscape pattern and ecosystem service value along an urban-rural gradient in Xi'an city, China"
,,0.50,16,182,A comparative analysis of the urban web of the greater athens agglomeration for the last 20-years period on the basis of landsat imagery
,,0.50,12,42,Scale- and region-dependence in landscape-PM2.5 correlation: Implications for urban planning
,,0.50,4,424,Assessing the cooling efficiency of urban parks using data envelopment analysis and remote sensing data
,,0.49,3,297,Sensing Mixed Urban Land-Use Patterns Using Municipal Water Consumption Time Series
,,0.49,-1,139,Patterns of historical and future urban expansion in Nepal
,,0.49,16,224,Assessing urban growth in Ghana using machine learning and intensity analysis: A case study of the New Juaben Municipality
,,0.49,8,35,Urban water resource management for sustainable environment planning using artificial intelligence techniques
,,0.49,4,499,Combining CityGML files and data-driven models for microclimate simulations in a tropical city
,,0.49,4,28,Estimation of daily maximum and minimum air temperatures in urban landscapes using MODIS time series satellite data
,,0.49,4,89,Quantifying the effects of urban form on land surface temperature in subtropical high-density urban areas using machine learning

276,The automated vacuum waste collection optimization problem,0.60,20,337,A Review of AI for Urban Planning: Towards Building Sustainable Smart Cities
,,0.60,19,273,Automated planning for urban traffic control: Strategic vehicle routing to respect air quality limitations
,,0.57,21,533,"2nd Ibero-American Congress of Smart Cities, ICSC-CITIES 2019"
,,0.57,2,558,Application of AI in urban design
,,0.56,14,289,Machine learning technologies for sustainability in smart cities in the post-covid era
,,0.55,7,571,Multi-scale modeling of territorial dynamics of geospatial anthropogenic energy consumption
