DocId,Year,KeyTerms,Title,Abstract,AuthorKeywords
1,2018,"['convolutional layer', 'residual blocks', 'hyperspectral image', 'residual network', 'learning framework', 'deep learning', 'image classification', 'abundant spectral', 'batch normalization', 'blocks connect', 'blocks consecutively', 'classification deep', 'consecutively learn', 'discriminative features', 'feature engineering', 'hyperspectral imagery', 'identity mapping', 'imagery hsi', 'impose batch', 'indian pines', 'kennedy space', 'learn discriminative', 'models quantitative', 'models specifically', 'network ssrn', 'pines kennedy', 'proposed ssrn', 'raw cubes', 'sets indian', 'space center', 'spatial contexts', 'spatial residual', 'ssrn achieved', 'supervised deep', 'takes raw', 'hsi classification', 'qualitative results', 'spectral signatures', 'trained models', 'learning process', 'classification performance', 'input data', 'results demonstrate', 'data sets', 'classification accuracy', 'learning models', 'urban data']",Spectral-Spatial Residual Network for Hyperspectral Image Classification: A 3-D Deep Learning Framework,"In this paper, we designed an end-to-end spectral-spatial residual network (SSRN) that takes raw 3-D cubes as input data without feature engineering for hyperspectral image classification. In this network, the spectral and spatial residual blocks consecutively learn discriminative features from abundant spectral signatures and spatial contexts in hyperspectral imagery (HSI). The proposed SSRN is a supervised deep learning framework that alleviates the declining-accuracy phenomenon of other deep learning models. Specifically, the residual blocks connect every other 3-D convolutional layer through identity mapping, which facilitates the backpropagation of gradients. Furthermore, we impose batch normalization on every convolutional layer to regularize the learning process and improve the classification performance of trained models. Quantitative and qualitative results demonstrate that the SSRN achieved the state-of-the-art HSI classification accuracy in agricultural, rural-urban, and urban data sets: Indian Pines, Kennedy Space Center, and University of Pavia. © 1980-2012 IEEE.",3-D deep learning; hyperspectral image classification; spectral-spatial feature extraction; spectral-spatial residual network (SSRN)
2,2012,"['decision trees', 'dense time', 'time stacks', 'missing data', 'landsat data', 'maximum likelihood', 'vector machines', 'urban expansion', 'support vector', 'adding transformed', 'algorithms maximum', 'approach given', 'areas interpreted', 'available landsat', 'band metrics', 'bare ground', 'central premise', 'change occurs', 'characteristic temporal', 'classifier overall', 'climate material', 'complex classes', 'composite change', 'core capturing', 'corrector slc', 'daily issues', 'data adding', 'data led', 'data stack', 'distinct temporal', 'distinguishing new', 'early challenges', 'ecological processes', 'exploits information', 'exploits training', 'features designed', 'five time', 'force approach', 'gaps due', 'globe urban', 'ground remain', 'handling missing', 'high temporal', 'imagery using', 'including scenes', 'increased accuracy', 'input including', 'issues ecological', 'land transformations', 'lands urban', 'likelihood boosted', 'likelihood classifier', 'line corrector', 'machines outperformed', 'material flows', 'mimic noisy', 'mining approach', 'monitor expansion', 'monitor rates', 'particularly effective', 'problem three', 'processes climate', 'proved particularly', 'reduced number', 'remain unsolved', 'scan line', 'size conditions', 'slc problem', 'spectral regions', 'stack increased', 'temporal signatures', 'temporal trajectories', 'three classification', 'three study', 'transformations remote', 'transformed features', 'using composite', 'using dense', 'village settlements', 'data gaps', 'earth images', 'method relies', 'monitoring land', 'spatial variability', 'urban core', 'detection technique', 'increasingly important', 'time periods', 'boosted decision', 'powerful tool', 'areas using', 'landsat imagery', 'presents new', 'google earth', 'classification algorithms', 'landsat satellite', 'supervised classification', 'new approach', 'study areas', 'change detection', 'cover change', 'satellite data', 'new urban', 'important role', 'training data', 'data mining', 'overall accuracy', 'paper presents', 'urban land', 'land cover', 'urban environments', 'urban areas', 'remote sensing']",Monitoring land cover change in urban and peri-urban areas using dense time stacks of Landsat satellite data and a data mining approach,"Given the pace and scale of urban expansion in many parts of the globe, urban environments are playing an increasingly important role in daily quality-of-life issues, ecological processes, climate, material flows, and land transformations. Remote sensing has emerged as a powerful tool to monitor rates and patterns of urban expansion, but many early challenges - such as distinguishing new urban land from bare ground - remain unsolved. To deal with the high temporal and spatial variability as well as complex, multi-signature classes within settlements, this paper presents a new approach that exploits multi-seasonal information in dense time stacks of Landsat imagery using a multi-date composite change detection technique. The central premise of the approach is that lands within/near urban areas have distinct temporal trajectories both before and after change occurs, and that these lead to characteristic temporal signatures in several spectral regions. The method relies on a supervised classification that exploits training data of stable/changed areas interpreted from Google Earth images, and a 'brute force' approach of providing all available Landsat data as input, including scenes with data gaps due to the Scan Line Corrector (SLC) problem. Three classification algorithms (maximum likelihood, boosted decision trees, and support vector machines) were tested for their ability to monitor expansion across five time periods (1988-1995, 1996-2000, 2001-2003, 2004-2006, 2007-2009) in three study areas that differ in size, eco-climatic conditions, and rates/patterns of development. Both the decision trees and support vector machines outperformed the maximum likelihood classifier (overall accuracy of 90-93%, compared to 65%), but the decision trees were superior at handling missing data. Adding transformed features such as band metrics to the Landsat data stack increased accuracy 1-4%, while experiments with a reduced number of features (designed to mimic noisy or missing data) led to a drop in accuracy of 1-9%. The methodology also proved particularly effective for monitoring peri-urbanization outside the urban core, capturing > 98% of village settlements. © 2012 Elsevier Inc.",Change detection; Cities; Classification; Decision trees; Environment; Land cover; Machine learning; Peri-urban; Random forests; Support vector machines; Urban areas; Urbanization
3,2015,"['building detection', 'high resolution', 'automated building', 'automated object', 'challenging tasks', 'classification procedure', 'developed approach', 'labels regarding', 'monitoring engineering', 'mrf model', 'optimal labels', 'performed quantitative', 'procedure employing', 'promising potentials', 'quantitative validation', 'quite promising', 'scene buildings', 'single satellite', 'validation indicate', 'detection framework', 'developed method', 'engineering applications', 'large training', 'learning features', 'multispectral data', 'resolution multispectral', 'resolution remote', 'various urban', 'training dataset', 'supervised classification', 'building extraction', 'data based', 'object detection', 'deep convolutional', 'sensing data', 'satellite images', 'experimental results', 'convolutional neural', 'neural networks', 'deep learning', 'remote sensing', 'urban planning']",Building detection in very high resolution multispectral data with deep learning features,"The automated man-made object detection and building extraction from single satellite images is, still, one of the most challenging tasks for various urban planning and monitoring engineering applications. To this end, in this paper we propose an automated building detection framework from very high resolution remote sensing data based on deep convolutional neural networks. The core of the developed method is based on a supervised classification procedure employing a very large training dataset. An MRF model is then responsible for obtaining the optimal labels regarding the detection of scene buildings. The experimental results and the performed quantitative validation indicate the quite promising potentials of the developed approach. © 2015 IEEE.",deep convolutional networks; extraction; ImageNet; Machine learning; man made objects
4,2019,"['smart cities', 'big data', 'urban fabric', 'artificial intelligence', 'binding ai', 'boosting economic', 'cities highly', 'culture metabolism', 'data artificial', 'data brings', 'development goal', 'ecology morphology', 'economic prospects', 'emerging concept', 'fabric sustainability', 'framework binding', 'greatly contribute', 'highly encourages', 'increasingly turning', 'key dimensions', 'liveability dimensions', 'makers data', 'society ecology', 'specialized technologies', 'successful integration', 'technological ones', 'urban agenda', 'urban potential', 'address issues', 'brings new', 'data scientists', 'new framework', 'new possibilities', 'paper reviews', 'cities cities', 'issues related', 'ai technology', 'economic growth', 'proposes new', 'things iot', 'data processing', 'policy makers', 'new urban', 'sustainable development', 'intelligence ai']","On big data, artificial intelligence and smart cities","Cities are increasingly turning towards specialized technologies to address issues related to society, ecology, morphology and many others. The emerging concept of Smart Cities highly encourages this prospect by promoting the incorporation of sensors and Big Data through the Internet of Things (IoT). This surge of data brings new possibilities in the design and management of cities just as much as economic prospects. While Big Data processing through Artificial Intelligence (AI) can greatly contribute to the urban fabric, sustainability and liveability dimensions however must not be overlooked in favour of technological ones. This paper reviews the urban potential of AI and proposes a new framework binding AI technology and cities while ensuring the integration of key dimensions of Culture, Metabolism and Governance; which are known to be primordial in the successful integration of Smart Cities for the compliance to the Sustainable Development Goal 11 and the New Urban Agenda. This paper is aimed towards Policy Makers, Data Scientists and Engineers who are looking at enhancing the integration of Artificial Intelligence and Big Data in Smart Cities with an aim to increase the liveability of the urban fabric while boosting economic growth and opportunities. © 2019 Elsevier Ltd",Artificial intelligence; Big data; Internet of things; Liveability; Smart cities; Sustainability
5,2013,"['sediment yield', 'soil erosion', 'land cover', 'watershed soil', 'cover patterns', 'landscape characteristics', 'partial regression', 'accelerate soilerosion', 'ai largest', 'allow decision', 'available remote', 'better choices', 'biased parameter', 'choices regarding', 'closely associated', 'confidence intervals', 'contagion contag', 'du river', 'export plsr', 'geomorphological processes', 'gis technology', 'greater interspersion', 'highly correlated', 'hydrological modeling', 'important aspect', 'increase sediment', 'landscape level', 'level landscape', 'linking patterns', 'lpi contagion', 'make better', 'metrics controlling', 'parameter estimates', 'patch land', 'plsr approach', 'primary metrics', 'processes related', 'providing quantitative', 'rapid developments', 'recently become', 'regarding landscape', 'regression plsr', 'respectively greater', 'river watershed', 'sediment export', 'shdi aggregation', 'significantly accelerate', 'simple plsr', 'simply determine', 'singular solutions', 'strong ties', 'upper du', 'using hydrological', 'watersheds using', 'yield providing', 'yield respectively', 'cover types', 'increased number', 'landscape planning', 'multivariate regression', 'regression techniques', 'traditional approach', 'cohesion index', 'index cohesion', 'largest patch', 'patch cohesion', 'patch index', 'quantitative information', 'index lpi', 'index shdi', 'landscape patterns', 'readily available', 'shannon diversity', 'spatial configuration', 'diversity index', 'landscape metrics', 'spatial patterns', 'aggregation index', 'index ai', 'system gis', 'decision makers', 'information system', 'sensing data', 'geographic information', 'results indicate', 'remote sensing']",Partial least-squares regression for linking land-cover patterns to soil erosion and sediment yield in watersheds,"There are strong ties between land cover patterns and soil erosion and sediment yield in watersheds. The spatial configuration of land cover has recently become an important aspect of the study of geomorphological processes related to erosion within watersheds. Many studies have used multivariate regression techniques to explore the response of soil erosion and sediment yield to land cover patterns in watersheds. However, many landscape metrics are highly correlated and may result in redundancy, which violates the assumptions of a traditional least-squares approach, thus leading to singular solutions or otherwise biased parameter estimates and confidence intervals. Here, we investigated the landscape patterns within watersheds in the Upper Du River watershed (8973km2) in China and examined how the spatial patterns of land cover are related to the soil erosion and sediment yield of watersheds using hydrological modeling and partial least-squares regression (PLSR). The results indicate that the watershed soil erosion and sediment yield are closely associated with the land cover patterns. At the landscape level, landscape characteristics, such as Shannon's diversity index (SHDI), aggregation index (AI), largest patch index (LPI), contagion (CONTAG), and patch cohesion index (COHESION), were identified as the primary metrics controlling the watershed soil erosion and sediment yield. The landscape characteristics in watersheds could account for as much as 65% and 74% of the variation in soil erosion and sediment yield, respectively. Greater interspersion and an increased number of patch land cover types may significantly accelerate soilerosion and increase sediment export. PLSR can be used to simply determine the relationships between land-cover patterns and watershed soil erosion and sediment yield, providing quantitative information to allow decision makers to make better choices regarding landscape planning. With readily available remote sensing data and rapid developments in geographic information system (GIS) technology, this practical and simple PLSR approach could be applied to a variety of other watersheds. © 2013 Elsevier B.V.",Co-dependent data; Landscape metrics; Sediment delivery ratio; Sediment yield; Soil erosion
6,2019,"['flood risk', 'risk mapping', 'urban flood', 'conditioning factors', 'density quality', 'flood hazard', 'model kappa', 'risk map', 'flood vulnerability', 'urban density', 'population density', 'learning models', 'algorithm production', 'analytical network', 'analyze flood', 'assigned value', 'available reports', 'buildings age', 'buildings population', 'channel depth', 'channel land', 'curve number', 'detailed hydraulic', 'different conditioning', 'efficient statistical', 'elevation based', 'elevation played', 'factors including', 'findings demonstrate', 'flood conditioning', 'flood damage', 'flooded areas', 'flooded zone', 'garp model', 'groundwater land', 'hazard determination', 'higher performance', 'hydraulic data', 'iran points', 'limited hydrological', 'major roles', 'mapping especially', 'models comparative', 'models genetic', 'network process', 'number distance', 'performance accuracy', 'played major', 'precipitation slope', 'prevent urban', 'process fanp', 'production garp', 'quest model', 'quest models', 'quick unbiased', 'results demonstrated', 'river distance', 'sari city', 'slope curve', 'statistical tree', 'study flood', 'techniques flood', 'tree quest', 'unbiased efficient', 'using flood', 'vulnerability maps', 'zone assigned', 'land use', 'city iran', 'determined based', 'evaluate model', 'fuzzy analytical', 'hydrological data', 'kappa statistic', 'produced using', 'field surveys', 'including urban', 'characteristic curve', 'comparative study', 'important factors', 'expert knowledge', 'genetic algorithm', 'two machine', 'using two', 'mapping using', 'model performance', 'data using', 'machine learning', 'learning techniques']",Urban flood risk mapping using the GARP and QUEST models: A comparative study of machine learning techniques,"Flood risk mapping and modeling is important to prevent urban flood damage. In this study, a flood risk map was produced with limited hydrological and hydraulic data using two state-of-the-art machine learning models: Genetic Algorithm Rule-Set Production (GARP) and Quick Unbiased Efficient Statistical Tree (QUEST). The flood conditioning factors used in modeling were: precipitation, slope, curve number, distance to river, distance to channel, depth to groundwater, land use, and elevation. Based on available reports and field surveys for Sari city (Iran), 113 points were identified as flooded areas (with each flooded zone assigned a value of 1). Different conditioning factors, including urban density, quality of buildings, age of buildings, population density, and socio-economic conditions, were taken into account to analyze flood vulnerability. In addition, the weight of these conditioning factors was determined based on expert knowledge and Fuzzy Analytical Network Process (FANP). An urban flood risk map was then produced using flood hazard and flood vulnerability maps. The area under the receiver-operator characteristic curve (AUC-ROC) and Kappa statistic were applied to evaluate model performance. The results demonstrated that the GARP model (AUC-ROC = 93.5%, Kappa = 0.86) had higher performance accuracy than the QUEST model (AUC-ROC = 89.2%, Kappa = 0.79). The results also indicated that distance to channel, land use, and elevation played major roles in flood hazard determination, whereas population density, quality of buildings, and urban density were the most important factors in terms of vulnerability. These findings demonstrate that machine learning models can help in flood risk mapping, especially in areas where detailed hydraulic and hydrological data are not available. © 2018 Elsevier B.V.",Data-mining; FANP; Flood risk management; GIS; Urban planning
7,2020,"['data sharing', 'urban health', 'smart city', 'benefiting nation', 'better global', 'china expanding', 'city concepts', 'city network', 'city networks', 'coronavirus expands', 'coronavirus outbreak', 'countries increased', 'countries leading', 'directly affects', 'disasters leading', 'economic standpoints', 'effective protocols', 'emphasised urban', 'enhancing standardization', 'gains ground', 'global collaboration', 'global health', 'global understanding', 'hand specifically', 'increased data', 'increased national', 'international measures', 'level including', 'lockdown directly', 'nation economy', 'nationalist perspective', 'network universal', 'numerous quarters', 'outbreak gains', 'outbreak surveys', 'paper written', 'perspective paper', 'political influence', 'safe city', 'sharing standards', 'solely benefiting', 'specifically relating', 'standardization protocols', 'standards coupled', 'surrounding regions', 'universal data', 'urban economies', 'urban standpoint', 'virus outbreak', 'affects urban', 'benefit urban', 'entire cities', 'health data', 'health emergency', 'health monitoring', 'intelligence ai', 'urban data', 'artificial intelligence']",On the coronavirus (Covid-19) outbreak and the smart city network: Universal data sharing standards coupled with artificial intelligence (ai) to benefit urban health monitoring and management,"As the Coronavirus (COVID-19) expands its impact from China, expanding its catchment into surrounding regions and other countries, increased national and international measures are being taken to contain the outbreak. The placing of entire cities in ‘lockdown’ directly affects urban economies on a multi-lateral level, including from social and economic standpoints. This is being emphasised as the outbreak gains ground in other countries, leading towards a global health emergency, and as global collaboration is sought in numerous quarters. However, while effective protocols in regard to the sharing of health data is emphasised, urban data, on the other hand, specifically relating to urban health and safe city concepts, is still viewed from a nationalist perspective as solely benefiting a nation’s economy and its economic and political influence. This perspective paper, written one month after detection and during the outbreak, surveys the virus outbreak from an urban standpoint and advances how smart city networks should work towards enhancing standardization protocols for increased data sharing in the event of outbreaks or disasters, leading to better global understanding and management of the same. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",2019-nCoV; Artificial intelligence; Coronavirus; COVID-19; Future cities; Internet of Things (IoT); Pandemics; Smart cities; Urban health
8,2017,"['energy use', 'natural gas', 'gas use', 'benchmarking data', 'energy disclosure', 'small subset', 'square foot', 'use intensity', 'using actual', 'predictive model', 'mean absolute', 'absolute log', 'accuracy ratio', 'actual consumption', 'actual data', 'adjacent buildings', 'attached buildings', 'benchmarking laws', 'bimodal distribution', 'building age', 'building district', 'buildings particularly', 'buildings required', 'buildings use', 'calendar year', 'carbon reduction', 'city energy', 'city using', 'code level', 'complicated problem', 'consumption levels', 'data published', 'direct comparisons', 'disclosure policies', 'efficiency markets', 'electric energy', 'encourage transparency', 'energy benchmarking', 'find higher', 'foot attached', 'general larger', 'higher consumption', 'higher electric', 'large buildings', 'larger buildings', 'log accuracy', 'lower natural', 'lowest mean', 'median predicted', 'model accuracy', 'newer buildings', 'office buildings', 'ols model', 'ols random', 'party wall', 'physical spatial', 'predict electricity', 'predicted electric', 'predicting energy', 'problem given', 'reduction plans', 'relatively small', 'reliably predicted', 'report energy', 'retail buildings', 'scales using', 'shared party', 'significant predictor', 'stories controlling', 'subset derived', 'support sustainability', 'svm algorithms', 'svm results', 'taller buildings', 'use attributes', 'use presents', 'use statistical', 'year linear', 'zip code', 'zoning information', 'area use', 'city model', 'city scales', 'cover small', 'develop predictive', 'electricity consumption', 'given city', 'infrastructure availability', 'million buildings', 'predicted using', 'regression ols', 'regression svm', 'using training', 'building level', 'electric consumption', 'building stock', 'consumption data', 'floor area', 'level using', 'model performs', 'performs best', 'residential buildings', 'building energy', 'energy efficiency', 'vector regression', 'statistical models', 'united states', 'use data', 'absolute error', 'urban scale', 'results demonstrate', 'york city', 'linear regression', 'training data', 'new york', 'support vector', 'random forest']",A data-driven predictive model of city-scale energy use in buildings,"Many cities across the United States have turned to building energy disclosure (or benchmarking) laws to encourage transparency in energy efficiency markets and to support sustainability and carbon reduction plans. In addition to direct peer-to-peer comparisons, the benchmarking data published under these laws have been used as a tool by researchers and policy-makers to study the distribution and determinants of energy use in large buildings. However, these policies only cover a small subset of the building stock in a given city, and thus capture only a fraction of energy use at the urban scale. To overcome this limitation, we develop a predictive model of energy use at the building, district, and city scales using training data from energy disclosure policies and predictors from widely-available property and zoning information. We use statistical models to predict the energy use of 1.1 million buildings in New York City using the physical, spatial, and energy use attributes of a subset derived from 23,000 buildings required to report energy use data each year. Linear regression (OLS), random forest, and support vector regression (SVM) algorithms are fit to the city's energy benchmarking data and then used to predict electricity and natural gas use for every property in the city. Model accuracy is assessed and validated at the building level and zip code level using actual consumption data from calendar year 2014. We find the OLS model performs best when generalizing to the City as a whole, and SVM results in the lowest mean absolute error for predicting energy use within the LL84 sample. Our median predicted electric energy use intensity for office buildings is 71.2 kbtu/sf and for residential buildings is 31.2 kbtu/sf with mean absolute log accuracy ratio of 0.17. Building age is found to be a significant predictor of energy use, with newer buildings (particularly those built since 1991) found to have higher consumption levels than those constructed before 1930. We also find higher electric consumption in office and retail buildings, although the sign is reversed for natural gas. In general, larger buildings use less energy per square foot, while taller buildings with more stories, controlling for floor area, use more energy per square foot. Attached buildings – those with adjacent buildings and a shared party wall – are found to have lower natural gas use intensity. The results demonstrate that electricity consumption can be reliably predicted using actual data from a relatively small subset of buildings, while natural gas use presents a more complicated problem given the bimodal distribution of consumption and infrastructure availability. © 2017 Elsevier Ltd",Building energy; Energy efficiency; Energy prediction; Machine learning; Urban dynamics
9,2010,"['immune systems', 'planning policies', 'artificial immune', 'external interventions', 'ca models', 'ca model', 'cellular automata', 'urban development', 'account possible', 'agglomeration development', 'biological immune', 'deriving transition', 'different options', 'evaluate different', 'evolution mechanism', 'exploring various', 'finally get', 'generating alternatives', 'generating different', 'historical trend', 'incorporates planning', 'incorporating external', 'inertia ca', 'interventions particularly', 'model incorporates', 'models rely', 'particularly planning', 'possible external', 'primary process', 'rules assuming', 'simulating dynamics', 'simulation inspired', 'systems ais', 'urban ca', 'urban simulation', 'various planning', 'automata cellular', 'different policies', 'experiments demonstrate', 'integrating artificial', 'planning scenarios', 'southern china', 'use artificial', 'different scenarios', 'empirical data', 'urban agglomeration', 'automata ca', 'pearl river', 'river delta', 'transition rules', 'simulating urban', 'paper proposes', 'proposed model', 'urban expansion']",Simulating land-use dynamics under planning policies by integrating artificial immune systems with cellular automata,"Cellular automata (CA) have been increasingly used in simulating urban expansion and land-use dynamics. However, most urban CA models rely on empirical data for deriving transition rules, assuming that the historical trend will continue into the future. Such inertia CA models do not take into account possible external interventions, particularly planning policies, and thus have rarely been used in urban and land-use planning. This paper proposes to use artificial immune systems (AIS) as a technique for incorporating external interventions and generating alternatives in urban simulation. Inspired by biological immune systems, the primary process of AIS is the evolution of a set of 'antibodies' that are capable of learning through interactions with a set of sample 'antigens'. These 'antibodies' finally get 'matured' and can be used to identify/classify other 'antigens'. An AIS-based CA model incorporates planning policies by altering the evolution mechanism of the 'antibodies'. Such a model is capable of generating different scenarios of urban development under different land-use policies, with which the planners will be able to answer 'what if' questions and to evaluate different options. We applied an AIS-based CA model to the simulation of urban agglomeration development in the Pearl River Delta in southern China. Our experiments demonstrate that the proposed model can be very useful in exploring various planning scenarios of urban development. © 2010 Taylor & Francis.",Artificial immune system; Cellular automata; Urban planning; Urban simulation
10,2017,"['landscape patterns', 'beijing city', 'spatial heterogeneity', 'mode made', 'outer suburb', 'social economy', 'diversity index', 'city china', 'population density', 'ability compared', 'ai geographically', 'average pd', 'china spatial', 'city indicating', 'compact city', 'decentralized aggregated', 'decision criteria', 'density pop', 'development policy', 'different degrees', 'different infilling', 'different urbanization', 'differentiation characteristics', 'direct effect', 'domestic production', 'downtown increased', 'ecologically fragile', 'effectively identified', 'entire region', 'environment studying', 'evolution characteristics', 'explanation degree', 'explanatory ability', 'forest landscape', 'fragmented change', 'green development', 'gwr effectively', 'heterogeneity perspective', 'increase slightly', 'index affected', 'indicated decentralized', 'infilling mode', 'intense response', 'interpretation gwr', 'land ecotone', 'leapfrog mode', 'lighting ntl', 'made pd', 'management previous', 'metrics patch', 'nighttime lighting', 'patterns decreased', 'patterns indicated', 'pd affected', 'pd ed', 'policy urban', 'pop gross', 'production gdp', 'provide supports', 'relationship interpretation', 'shape aggregation', 'shdi increase', 'shdi increased', 'spatial differentiation', 'spatial impact', 'squares ols', 'urbanization impact', 'urbanization impacts', 'urbanization index', 'urbanization modes', 'density pd', 'ecological management', 'ed shannon', 'gross domestic', 'patch density', 'pattern change', 'pd edge', 'quantitative relationship', 'using four', 'density ed', 'edge density', 'four landscape', 'urban ecological', 'effective method', 'index shdi', 'shannon diversity', 'spatial characteristics', 'ecological environment', 'landscape metrics', 'landscape pattern', 'regression gwr', 'geographically weighted', 'urban landscape', 'weighted regression', 'aggregation index', 'index ai', 'spatial information', 'previous studies', 'urban planning']","Urbanization impact on landscape patterns in Beijing City, China: A spatial heterogeneity perspective","The temporal and spatial characteristics of landscape pattern change can reflect the spatial impact of urbanization on the ecological environment. Studying the relationship between urbanization and landscape patterns can provide supports for urban ecological management. Previous studies have examined the quantitative relationship between the social economy and landscape patterns of an entire region, but have not considered the spatial non-stability of this relationship. In this study, we characterized the landscape patterns in Beijing City, China during 2000 and 2010 using four landscape metrics, i.e. patch density (PD), edge density (ED), Shannon's diversity index (SHDI) and the aggregation index (AI). Geographically weighted regression (GWR) was employed to identify the spatial heterogeneity and evolution characteristics of the relationship between the urbanization of population density (POP), gross domestic production (GDP) and nighttime lighting (NTL), and landscape patterns. The evolution of urban landscape patterns indicated a decentralized, aggregated, and fragmented change from the downtown to the suburb and outer suburb. During the 10-year period, the average PD in the downtown increased by 100.6%, and the increase of AI in the suburb was the largest. The PD, ED and SHDI increased by different degrees in the outer suburb. The influences of different urbanization modes on landscape patterns were also different. Infilling mode made the landscape patterns more regular and integrated. The landscape was more broken and complicated under the edge-expanding mode, and the leapfrog mode made PD and SHDI increase slightly. In the relationship interpretation, GWR effectively identified the spatial heterogeneity, and improved the explanatory ability compared to ordinary least squares (OLS). The most intense response to urbanization was the forest landscape and the forest-cultivated land ecotone in the northwest of Beijing City, indicating that this region was ecologically fragile. The population density in the urbanization index had a direct effect on landscape patterns, while the PD affected by urbanization was greater than the shape, aggregation and diversity index. Affected by development policy, urban planning and other factors, the explanation degree of social economy to landscape patterns decreased in 2010. GWR is an effective method for quantifying the spatial differentiation characteristics of urbanization impacts on landscape patterns, which can provide more spatial information and decision criteria for the green development of a compact city. © 2017 Elsevier Ltd","Compact green city Beijing City, China; GWR; Landscape metrics;Urbanization mode"
