Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
-1,-1,0,"['image', 'satellite', 'classification']",33,"['satellite imagery', 'satellite image need', 'satellite image', 'SAR image classification', 'resolution satellite image', 'Pléiades satellite image', 'Landsat satellite imagery', 'image classification task', 'street view image', 'single satellite', 'satellite data', 'SAR image', 'object classification result', 'infrared imagery', 'image segmentation optimization', 'image interpretation', 'high classification accuracy', 'Copernicus mission satellite', 'classification accuracy', 'aerial imagery', 'training pixel', 'synthetic aperture radar', 'Sentinel datasets', 'segmentation approach', 'scene object', 'SAR feature', 'sar data', 'remote sensing', 'precision agriculture', 'pixel level', 'high resolution earth', 'GEE publication', 'climate analysis']",30,"[8, 74, 92, 96, 106, 113, 129, 144, 153, 158, 162, 193, 231, 252, 260, 282, 283, 285, 333, 393, 405, 444, 476, 478, 479, 496, 507, 531, 552, 559]"
-1,-1,1,"['machine', 'learning', 'neural']",23,"['machine learning algorithms', 'machine learning algorithm', 'generalized machine learning', 'extreme learning machine', 'support vector machine', 'supervised machine', 'neural network paradigm', 'neural network', 'backpropagation neural network', 'artificial neural network', 'USI map', 'Regional mapping', 'population mapping', 'mapping', 'integrated monitoring', 'Geographic Information system', 'fractal net evolution', 'expansion cell', 'distribution map', 'digital map', 'data fusion', 'big geo data', 'adaptive data reduction']",22,"[87, 106, 113, 153, 158, 162, 186, 212, 252, 260, 283, 285, 328, 393, 427, 443, 452, 478, 496, 507, 559, 592]"
-1,-1,2,"['feature', 'detection', 'hyperspectral']",20,"['robust feature extraction', 'robust feature', 'nonlinear feature space', 'multiscale rapid detection', 'multiple feature space', 'light detection', 'hyperspectral reflectance', 'hyperspectral image classification', 'hyperspectral data', 'hierarchic feature representation', 'feature extraction', 'edge detection', 'change detection', 'unsupervised spectral unmixing', 'shape descriptor', 'robust segmentation', 'nighttime light', 'multiscale Gabor filter', 'Hyperspectral image', 'connected component analysis']",16,"[8, 89, 106, 113, 129, 162, 186, 236, 333, 378, 427, 437, 478, 479, 531, 563]"
-1,-1,3,"['building', 'extraction', 'centerline']",17,"['Road centerline extraction', 'centerline extraction method', 'building extraction', 'Automatic building extraction', 'unreinforced masonry building', 'Multiscale road centerline', 'individual building', 'detected building', 'common building typology', 'building footprint', 'natural disaster prediction', 'LULC classification', 'learning LU classification', 'LCLU classification', 'flood loss assessment', 'disaster risk management', 'disaster risk assessment']",14,"[87, 96, 106, 137, 144, 153, 186, 236, 289, 378, 393, 443, 496, 557]"
-1,-1,4,"['cloud', 'point', 'LiDAR']",16,"['urban point cloud', 'point cloud labelling', 'point cloud classification', 'LiDAR point cloud', 'cloud omission error', 'cloud mask', 'cloud classification', 'classify LiDAR point', 'airborne lidar', 'scene Biome dataset', 'Riegl Terrestrial laser', 'LiDAR imagery', 'LiDAR data', 'LandUse data set', 'airborne LIDAR data', 'air quality data']",14,"[74, 89, 129, 231, 236, 283, 312, 327, 443, 478, 528, 557, 563, 592]"
-1,-1,5,"['deep', 'learning', 'network']",14,"['deep learning network', 'deep learning model', 'deep learning configuration', 'deep learning algorithms', 'deep learning', 'deep belief network', 'highway unit network', 'convolutional neural network', 'convolutional network', 'supervoxels', 'road infrastructure extraction', 'Road detection', 'classification road extraction', 'Accurate road extraction']",14,"[8, 87, 92, 96, 113, 137, 193, 289, 327, 378, 479, 507, 528, 559]"
-1,-1,6,"['urban', 'classification', 'tree']",8,"['urban tree classification', 'tree specie classification', 'urban vegetation mapping', 'urban greenery information', 'specie classification', 'green urban area', 'spectral information', 'optical data']",7,"[162, 252, 282, 405, 437, 452, 476]"
-1,0,0,"['classification', 'image', 'classifier']",33,"['scene image classifier', 'RS image classification', 'image classification method', 'image classification', 'unlabeled learning classifier', 'UAV image', 'PEN Net classifier', 'multilabel classification', 'Forest classifier', 'CNN classification', 'classifier', 'classification', 'zonal modeling strategy', 'UAV datasets', 'tree', 'transfer learning', 'sparse coding', 'semantic labelling', 'random forest', 'mislabeled training sample', 'meaningful semantic class', 'location contextual information', 'local contextual cue', 'large datasets', 'imbalanced data', 'forest', 'Ensemble method', 'ensemble learning', 'developed dataset', 'deciduous tree', 'Conditional random field', 'binary class', 'automatic identification']",27,"[8, 89, 92, 144, 153, 186, 193, 212, 231, 236, 252, 282, 289, 312, 327, 393, 427, 437, 443, 444, 476, 528, 531, 552, 557, 563, 592]"
-1,1,0,"['urban', 'planning', 'land']",14,"['urban planning', 'urban land use', 'urban land cover', 'sustainable urban planning', 'urban development', 'urban city modelling', 'urban area extraction', 'new urban growth', 'large urban scene', 'complex urban area', 'accurate urban mapping', 'Urban population distribution', 'touristic development', 'populated emirate']",26,"[87, 89, 106, 113, 129, 153, 158, 186, 193, 212, 236, 260, 283, 312, 327, 328, 333, 405, 443, 476, 496, 528, 531, 552, 559, 563]"
-1,1,1,"['land', 'cover', 'extraction']",13,"['land cover extraction', 'land cover classification', 'land cover', 'greenery land cover', 'land use category', 'land parcel', 'Land cover map', 'greenery auto extraction', 'cover classification', 'vegetation specie mapping', 'vegetation', 'suitability index', 'nonroad area removing']",13,"[92, 96, 193, 260, 282, 289, 328, 333, 437, 452, 476, 479, 559]"
-1,1,2,"['water', 'roof', 'urban']",7,"['urban water type', 'water body', 'roofs', 'roof superstructure classification', 'roof diaphragms', 'surface openness', 'cadastral parcel layer']",7,"[89, 137, 312, 327, 333, 552, 557]"
