1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
LUCC,0.0180077764,20,1,1,CA model,0.0115657202,12,3,1,complexity science research,0.013985906900000001,7,1,1,LUCC,0.0180077764,20,1,1
CA,0.0144062211,24,7,2,land growth,0.0086742902,9,2,1,urban land growth,0.009989933500000001,5,1,1,CA,0.0144062211,24,7,2
analog,0.009904277000000001,11,1,1,LUCC analog,0.0086742902,9,1,1,LUCC analog model,0.009989933500000001,5,1,1,complexity science research,0.013985906900000001,7,1,1
automata,0.0078033698,13,8,2,cellular automata,0.0077104801,12,7,2,urban land use,0.0084816783,9,5,3,CA model,0.0115657202,12,3,1
cellular,0.006795114400000001,16,9,3,complexity science,0.0077104801,8,1,1,residential land growth,0.0079919468,4,1,1,urban land growth,0.009989933500000001,5,1,1
simulating,0.006002592100000001,10,7,2,urbanization process,0.0072737457000000005,16,3,3,LUCC analog research,0.0079919468,4,1,1,LUCC analog model,0.009989933500000001,5,1,1
Markov,0.0054023329,9,4,2,intelligent computation,0.0067466701,7,1,1,land use change,0.0075392696000000006,8,4,3,analog,0.009904277000000001,11,1,1
LUC,0.0045019441,5,2,1,urban land,0.006104130100000001,19,7,4,land use policy,0.0066599557,5,2,2,land growth,0.0086742902,9,2,1
RBFN,0.0045019441,5,1,1,urban growth,0.0059099184,13,6,3,simulating urban expansion,0.0059939601,3,2,1,LUCC analog,0.0086742902,9,1,1
expansion,0.0038666796000000002,19,7,5,transition rule,0.0057828601,6,4,1,multiple land use,0.0059939601,3,2,1,urban land use,0.0084816783,9,5,3
growth,0.0038615163000000003,31,9,6,analog model,0.0057828601,6,1,1,spatiotemporal neighborhood feature,0.0059939601,3,1,1,residential land growth,0.0079919468,4,1,1
simulate,0.0029728625,7,6,3,LUCC research,0.0057828601,6,1,1,BP artificial neural,0.0059939601,3,1,1,LUCC analog research,0.0079919468,4,1,1
computation,0.0029728625,7,1,3,neighborhood effect,0.0048190501000000005,5,4,1,artificial immune system,0.0039959734,2,1,1,automata,0.0078033698,13,8,2
