Group,score,TopicWords,NumPhrases,Key-phrases,NumDocs,DocIds,dimension,min_samples,min_cluster_size,x,y
1,0.7701888338,"['urban', 'residential', 'brooklyn neighborhood', 'french neighbourhood', 'university campus']",13,"['barcelona', 'Brooklyn neighborhood', 'French neighbourhood', 'residential segregation', 'residential status', 'university campus', 'urban area', 'urban dweller', 'urban environment', 'urban job housing pattern', 'urban poverty', 'urban setting', 'walkability']",12,"[34, 99, 126, 164, 185, 197, 204, 219, 270, 286, 401, 577]",12,2,13,"[0.7200000286, 0.8100000024, 0.8100000024, 0.7200000286, 0.7200000286, 0.6000000238000001, 0.9900000095, 1.0199999809, 0.7300000191, 1.0599999428, 0.8100000024, 0.5699999928, 0.7400000095]","[4.4899997711, 4.5700001717, 4.4099998474, 4.6100001335, 4.5599999428, 4.7899999618999995, 4.4600000381000005, 4.4099998474, 4.4899997711, 4.25, 4.4200000763, 4.6799998283, 4.5]"
2,0.7532709765000001,"['machine', 'algorithm', 'random', 'detection problem', 'learning approach']",13,"['automatic algorithm', 'Automation tool use machine learning classification model', 'ensemble machine learning building classification model', 'extreme learning machine classification algorithm', 'machine learning', 'machine learning algorithm', 'machine learning approach', 'machine learning method Random Forests', 'machine learning model', 'machine learning technique', 'outlier detection problem', 'random forest', 'random forests classifier']",14,"[7, 99, 126, 163, 164, 180, 197, 204, 219, 262, 276, 365, 397, 513]",16,2,12,"[4.2600002289, 4.2600002289, 4.3299999237, 4.0599999428, 3.8299999237, 4.0999999046, 4.2300000191, 4.0300002098, 4.2899999618999995, 4.0100002289, 4.2699999809, 4.3899998665, 4.3000001907]","[2.3800001144, 2.75, 2.7599999905, 2.5999999045999997, 2.4900000095, 2.5, 2.3599998951, 2.5099999905, 2.7100000381, 2.5599999428, 2.3399999142, 2.6600000858, 2.3800001144]"
3,0.6747318131000001,"['data', 'bufa estimation', 'gdp contribution', 'methodological approach', 'equation modeling']",13,"['big data method', 'BUFA estimation', 'descriptive data', 'GDP contribution', 'large dataset', 'limited training data', 'methodological approach', 'mobile edge streaming medium data processing', 'stram data', 'Structural equation modeling', 'traditional survey', 'uncertainty analysis', 'various trend view']",11,"[34, 164, 197, 262, 270, 276, 286, 290, 318, 577, 591]",16,2,12,"[4.9800000191, 5.1900000572, 5.2699999809, 5.3200001717, 5.0300002098, 4.8000001907000005, 4.8400001526, 4.9499998093, 4.9099998474, 5.0599999428, 4.7399997711, 4.8600001335, 4.8699998856]","[2.4800000191000002, 2.7400000095, 2.6900000572, 2.7200000286, 2.7200000286, 2.7999999523, 2.7599999905, 2.5999999045999997, 2.7200000286, 2.6600000858, 2.8299999237, 2.7300000191000002, 2.6700000763]"
4,0.6267893828000001,"['satellite', 'image', 'belo horizonte', 'bossa representation', 'green axis']",10,"['Belo Horizonte', 'BOSSA representation', 'central green axis', 'Figure ground', 'high resolution satellite image', 'high resolution satellite imagery', 'image interpretation', 'plot shape', 'satellite image', 'such sign']",10,"[95, 99, 147, 204, 270, 290, 318, 397, 401, 577]",10,2,10,"[5.2899999618999995, 4.9499998093, 4.9499998093, 5.0999999046, 5.0500001907, 5.0900001526, 5.0399999619, 4.8899998665, 4.6399998665, 4.8600001335]","[5.9000000954, 5.9099998474, 5.9000000954, 6.1399998665, 5.8899998665, 5.9800000191, 6.0900001526, 5.7600002289, 5.8699998856, 5.8899998665]"
5,0.3288369787,"['data', 'feature', 'urban', 'traffic', 'address matching']",25,"['Address matching', 'big data technology', 'centrality measure', 'city feature extraction', 'colossal migration', 'complete and detailed property information', 'dense traffic network', 'footprint and label data', 'geographical cluster', 'historical distribution', 'marital status and income inequality', 'multiple feature', 'Natural Movement postulates', 'POI data source', 'procedural logic', 'racial data', 'rail transit accessibility', 'schema standardisation', 'socioeconomic data', 'source city data', 'taxonomy mapping', 'traffic road network', 'urban data', 'Urban morphological feature extraction', 'urban place detection']",19,"[7, 15, 34, 43, 95, 126, 147, 160, 163, 164, 180, 185, 197, 204, 241, 263, 365, 413, 513]",10,2,10,"[4.0100002289, 4.3899998665, 4.3000001907, 4.3200001717, 4.4600000381000005, 4.2600002289, 4.4099998474, 3.9700000286, 4.2300000191, 4.5500001907000005, 3.9300000668, 4.0599999428, 4.0900001526, 4.5300002098, 4.2800002098, 4.0199999809, 4.0399999619, 4.6500000954, 4.0900001526, 4.5500001907000005, 4.6199998856, 4.0100002289, 4.0799999237, 4.25, 4.0]","[5.7800002098, 6.1300001144, 5.4699997902, 6.0100002289, 6.1100001335, 5.8299999237, 6.2600002289, 6.3200001717, 5.7699999809, 6.2699999809, 5.9600000381000005, 5.7699999809, 6.1900000572, 6.3499999046, 6.2399997711, 5.8200001717, 5.9200000763, 6.0500001907, 5.8499999046, 6.1399998665, 6.0199999809, 6.0700001717, 6.0799999237, 5.8299999237, 5.6799998283]"
6,0.31980530030000004,"['urban', 'landscape', 'development', 'advertising construction', 'icon creation']",30,"['advertising construction', 'architectural color icon creation', 'Beppu census ward', 'building level', ""city's authority"", 'current digital landscape model', 'different urban structure type', 'intelligent urban planning decision making', 'landscape architecture system', 'landscape conservation', 'local urban planning department', 'mapping rooftop footprint', 'regional and urban planning', 'residential infill development', 'sustainable urban development', 'Urban Data Mining', 'urban design', 'urban design decision making', 'urban ecosystem', ""urban form's modeling"", 'urban hotel development scale', 'urban morphological research', 'urban pattern and regularity', 'urban planning', 'urban planning and management', 'urban planning and transportation management', 'urban planning machine learning model', 'urban space generation design method', 'urban sprawl', 'virtual urban planning model']",23,"[7, 15, 43, 95, 147, 160, 163, 164, 180, 204, 219, 241, 263, 270, 276, 286, 290, 318, 397, 402, 413, 535, 591]",12,2,13,"[0.6800000072, 0.7699999809, 0.5899999738, 0.6999999881, 0.5799999833, 0.5099999905, 0.8500000238000001, 0.75, 0.8199999928, 0.8100000024, 0.8700000048000001, 0.7799999714, 1.0, 0.9900000095, 0.6600000262, 0.9499999881000001, 0.6999999881, 1.0099999905, 1.0499999523, 0.5699999928, 1.1399999857, 0.6899999976, 1.0700000525, 0.5899999738, 0.7400000095, 0.9900000095, 1.1699999571, 0.7799999714, 0.9900000095, 0.6499999762]","[4.5, 4.5, 4.6900000572, 4.5500001907000005, 4.5900001526, 4.8499999046, 4.5199999809, 4.9699997902, 4.4699997902, 4.7100000381000005, 4.6799998283, 4.6900000572, 4.4000000954, 4.25, 4.9499998093, 4.5799999237, 4.6799998283, 4.6300001144, 4.1500000954, 4.7899999618999995, 4.1399998665, 4.75, 4.3600001335, 4.8600001335, 4.7100000381000005, 4.4800000191, 4.1700000763, 4.7600002289, 4.3000001907, 4.8000001907000005]"
7,0.2190082767,"['learning', 'neural', 'convolutional', 'change detection', 'cognitive perception']",16,"['change detection', 'cognitive perception', 'convolutional autoencoder model', 'convolutional neural network', 'deep learning', 'deep learning algorithm', 'deep learning approach', 'deep learning method', 'Denoising Autoencoder', 'Neighbor and Naïve Bayes', 'Neural Networks', 'scene classification', 'sufficient neighborhood information', 'Tensorflow Segmentation', 'transfer learning technique', 'unsupervised artificial neural network']",16,"[15, 95, 147, 160, 163, 185, 241, 263, 270, 290, 318, 365, 402, 413, 535, 577]",16,2,12,"[4.6399998665, 4.7899999618999995, 4.6900000572, 4.6900000572, 4.4400000572, 4.8600001335, 4.8600001335, 4.9800000191, 4.9400000572, 4.9099998474, 4.6300001144, 4.8000001907000005, 4.8499999046, 4.8800001144, 4.7399997711, 4.6300001144]","[2.7300000191000002, 2.4800000191000002, 2.3900001049, 2.6199998856, 2.6199998856, 2.7999999523, 2.2699999808999998, 2.2799999714, 2.3099999428, 2.4300000668, 2.7699999808999998, 2.4900000095, 2.3599998951, 2.4600000381, 2.25, 2.3499999046]"
8,0.1947576038,"['map', 'street', 'spatial', 'historical', 'information system']",15,"['criteria spatial evaluation', 'geographic information system', 'GIS visualisation', 'Google Map Platform', 'historical site', 'historical topographic map', 'land use type', 'location decision making', 'open urban area', 'protection and development', 'real estate search', 'spatial concept', 'street functionality classification', 'street view image', 'street view map']",12,"[185, 219, 241, 262, 286, 290, 397, 401, 402, 413, 513, 535]",12,2,13,"[1.2000000477000001, 0.5, 0.8199999928, 1.2699999809, 1.0800000429, 0.8500000238000001, 1.1200000048, 1.3300000429, 1.2799999714, 0.9700000286, 1.3200000525, 1.2999999522999999, 0.8700000048000001, 0.8899999857, 1.1799999475]","[4.5, 4.5500001907000005, 4.8899998665, 4.1500000954, 4.3299999237, 4.2199997902, 4.1599998474, 4.1700000763, 4.4600000381000005, 4.1799998283, 4.2899999618999995, 4.2199997902, 4.2399997711, 4.3800001144, 4.3400001526]"
9,0.0984662447,"['pollutant concentration', 'chinese author', 'deprivation mapping', 'environmental evaluation', 'jiangxia huangpi']",9,"['air pollutant concentration', 'Chinese author', 'deprivation mapping', 'environmental evaluation', 'Jiangxia and Huangpi', 'prenatal care', 'several domain', 'Systematic Reviews and Meta Analyses', 'usable floor area']",7,"[15, 34, 99, 160, 197, 318, 401]",10,2,10,"[4.7300000191, 4.8899998665, 4.8299999237, 4.7600002289, 4.9099998474, 4.7699999809, 4.9600000381000005, 4.4400000572, 4.7899999618999995]","[5.2899999618999995, 5.6100001335, 5.2699999809, 5.8000001907000005, 5.8400001526, 5.7899999618999995, 5.8099999428, 6.0399999619, 5.5999999046]"
10,0.08713566930000001,"['similarity', 'model', 'attribute feature', 'cooccurrence matrix', 'knowledge conversion']",11,"['appropriate attribute feature', 'dimensional similarity analysis', 'gray level cooccurrence matrix', 'knowledge conversion', 'literal similarity', 'matching accuracy', 'novel semantic model', 'SAR ground object classification', 'scheme and kernel', 'space syntax Theory', 'word2vec model']",10,"[43, 95, 99, 180, 263, 365, 513, 535, 577, 591]",16,2,12,"[5.1100001335, 5.0, 5.1999998093, 4.4899997711, 4.9000000954, 5.0199999809, 4.7699999809, 4.9099998474, 4.4499998093, 4.6799998283, 4.6900000572]","[2.4700000286, 2.4800000191000002, 2.2300000191000002, 2.2300000191000002, 2.0999999046, 2.3199999332, 2.1500000954, 2.1800000668, 2.5799999237, 2.4200000763, 2.4300000668]"
