No,DocId,key-phrases
1,23,"['Urban sustainability transition', 'transition towards urbanisation', 'Urban sustainability', 'sustainability transition unfold', 'towards urbanisation']"
2,118,"['urban blight determinant', 'urban blight expert', 'urban blight', 'Urban blight reduces', 'fuzzy cognitive mapping']"
3,196,"['microcosmic city', 'population density', 'urban development', 'land use', 'microcosmic world space']"
4,202,"['new urban design', 'urban design', 'pandemic strategy', 'flexible pandemic strategy', 'previous pandemic']"
5,227,"['smart urban development', 'fuzzy linguistic variable', 'fuzzy logic', 'aggregated fuzzy score', 'fuzzy approach']"
6,263,"['sustainable architecture', 'architecture', 'modular building', 'urban planning', 'social sustainability']"
7,266,"['decentralizing urbanization help', 'urbanization help', 'decentralizing urbanization', 'size city', 'energy intensive development']"
8,273,"['urban spatial structure', 'urban spatial configuration', 'urban spatial integration', 'urban functionality index', 'urban morphology']"
9,295,"['sustainable urban planning', 'quality urban space', 'building designer', 'sustainable development', 'urban space']"
10,308,"['sustainable urban design', 'sustainable design assessment', 'urban design factor', 'main urban design', 'urban transformation']"
11,359,"['healthy city issue', 'healthy city', 'Healthy City project', 'city urban environment', 'urban environment']"
12,376,"['traffic environmental problem', 'urban traffic environment', 'urban traffic culture', 'traffic environment improvement', 'Urban environmental management']"
