No,DocId,key-phrases
1,7,"['social creativity', 'collaborative design', 'human creativity', 'individual creative action', 'spontaneous design activity']"
2,93,"['future culture', 'urban planning', 'Human futuristics', 'future cultural alternative', 'culture change']"
3,102,"['virtual design', 'virtual design studio', 'urban design knowledge', 'digital design studio', 'design studio']"
4,115,"['public planning process', 'public planning', 'facilitate civic engagement', 'facilitate civic', 'public participation']"
5,117,"['urban planning policy', 'Chicago sociology', 'Chicago sociologist', 'urban bureaucrat', 'Sociological theory']"
6,120,"['Geogames', 'geogame environment', 'geogame', 'youth engagement', 'interactive place']"
7,138,"['democratize design', 'metadesign', 'design approach', 'HCI research', 'design']"
8,188,"['Cultural diversity', 'intercultural interaction', 'culture', 'community context', 'technology design']"
9,197,"['participatory planning', 'urban planning process', 'public consultation', 'experimental participatory planning', 'online decision support']"
10,219,"['Human sensory assessment', 'urban environment', 'sensory assessment', 'enables urban planner', 'urban planner']"
11,283,"['digital political discussion', 'communicative organizationality', 'digital social movement', 'political action online', 'political discussion']"
12,358,"['city space', 'urban reality', 'ConnectiCity initiative', 'urban life', 'pervasive system']"
