Cluster,NumDocs,Percent,DocIds,Terms
-1,67,0.11298482293423272,"[1, 12, 21, 33, 36, 40, 47, 53, 54, 56, 58, 61, 64, 67, 68, 70, 75, 76, 88, 98, 103, 108, 109, 112, 121, 132, 143, 148, 150, 151, 152, 166, 173, 174, 179, 199, 205, 207, 246, 250, 266, 275, 297, 308, 332, 354, 357, 369, 377, 381, 385, 386, 390, 399, 408, 414, 442, 487, 532, 541, 558, 564, 566, 568, 580, 581, 583]","crime, governance, urban technology, mosquito, densification, violent crime, property crime, total population, ethnic heterogeneity, spatial lag"
0,142,0.23946037099494097,"[3, 4, 13, 22, 30, 32, 38, 55, 63, 69, 83, 84, 97, 104, 110, 117, 124, 125, 127, 133, 134, 138, 139, 145, 146, 155, 156, 184, 191, 194, 200, 202, 209, 210, 211, 220, 233, 235, 240, 243, 244, 249, 257, 258, 261, 264, 272, 273, 281, 291, 295, 296, 298, 300, 304, 307, 309, 311, 319, 321, 324, 326, 334, 336, 337, 343, 345, 346, 353, 355, 356, 358, 359, 362, 363, 364, 370, 373, 375, 382, 384, 387, 388, 392, 394, 395, 407, 410, 412, 415, 417, 422, 423, 425, 428, 430, 432, 433, 434, 435, 438, 439, 450, 451, 459, 461, 466, 467, 468, 485, 486, 491, 493, 499, 502, 503, 504, 510, 511, 516, 519, 522, 526, 527, 530, 536, 537, 542, 543, 544, 545, 546, 550, 555, 560, 561, 562, 571, 573, 574, 584, 587]","traffic, travel, trajectory, traffic congestion, human mobility, traffic flow, travel behavior, mobility pattern, transportation mode, flow prediction"
1,44,0.07419898819561552,"[2, 31, 35, 48, 49, 51, 52, 77, 86, 116, 154, 157, 170, 177, 196, 206, 268, 269, 271, 277, 280, 287, 313, 325, 340, 341, 367, 376, 404, 411, 416, 429, 472, 474, 477, 488, 489, 492, 505, 523, 529, 533, 534, 595]","perception, street view, human perception, public space, view imagery, visual quality, street greenery, housing price, urban perception, street quality"
2,154,0.2596964586846543,"[6, 8, 9, 11, 16, 23, 37, 42, 46, 59, 66, 72, 73, 74, 78, 87, 89, 90, 92, 93, 96, 100, 106, 113, 114, 118, 119, 120, 128, 129, 130, 135, 137, 141, 144, 153, 158, 161, 162, 165, 167, 169, 171, 175, 182, 183, 186, 188, 190, 193, 208, 212, 213, 225, 226, 230, 231, 234, 236, 237, 245, 251, 252, 254, 256, 259, 260, 282, 283, 285, 288, 289, 293, 299, 301, 302, 303, 310, 312, 314, 316, 317, 320, 327, 328, 330, 331, 333, 344, 347, 348, 352, 361, 368, 374, 378, 389, 391, 393, 398, 405, 418, 420, 426, 427, 436, 437, 443, 444, 452, 458, 460, 462, 463, 464, 469, 473, 475, 476, 478, 479, 490, 494, 496, 497, 507, 509, 515, 524, 525, 528, 531, 547, 548, 551, 552, 553, 554, 557, 559, 563, 565, 569, 570, 572, 576, 578, 582, 588, 589, 590, 592, 593, 594]","image, cover, land cover, overall accuracy, image classification, urban land, urban growth, cover classification, point cloud, semantic segmentation"
3,59,0.09949409780775717,"[7, 15, 34, 43, 65, 91, 95, 99, 107, 122, 126, 136, 140, 147, 160, 163, 164, 180, 185, 189, 197, 204, 219, 241, 262, 263, 267, 270, 276, 286, 290, 305, 315, 318, 323, 339, 365, 383, 396, 397, 401, 402, 413, 445, 449, 455, 470, 480, 482, 483, 484, 513, 535, 538, 567, 575, 577, 579, 591]","image, address, block level, deprivation, park accessibility, urban poverty, life circle, deprivation pocket, prenatal care, infill development"
4,17,0.02866779089376054,"[10, 62, 102, 178, 201, 228, 338, 371, 379, 421, 431, 453, 454, 495, 500, 512, 520]","temperature, heat island, urban heat, surface temperature, thermal comfort, urban geometry, carbon sequestration, sequestration potential, food productivity, exposure index"
5,18,0.03035413153456998,"[5, 14, 17, 26, 41, 50, 82, 94, 105, 142, 218, 229, 238, 292, 294, 447, 498, 501]","air, concentration, pollutant concentration, air quality, health hazard, concentration prediction, mode decomposition, secondary decomposition, noise pollution, microscale variable"
6,12,0.02023608768971332,"[18, 85, 203, 242, 360, 419, 440, 457, 465, 540, 556, 586]","smart data, medium user, differential equation, objective function, intervention strategy, neurological network, query engine, design recommendation, city configuration, complex material"
7,21,0.03541315345699832,"[28, 29, 39, 44, 57, 60, 71, 79, 115, 168, 172, 198, 215, 216, 222, 247, 265, 274, 372, 456, 585]","temperature, heat, surface temperature, urban heat, heat island, land surface, air temperature, urban vegetation, urban park, urban canyon"
8,18,0.03035413153456998,"[19, 24, 45, 123, 181, 195, 214, 223, 227, 255, 335, 350, 366, 406, 508, 521, 596, 597]","carbon emission, interface network, vehicle ownership, road traffic, traffic noise, express service, physical asset, network connectivity, quantitative relationship, service network"
9,15,0.025295109612141653,"[25, 27, 81, 131, 159, 176, 217, 232, 248, 253, 329, 351, 380, 424, 514]","susceptibility, landslide, landslide susceptibility, susceptibility map, susceptibility mapping, flood, conditioning factor, rockfall hazard, shallow landslide, burnt area"
10,14,0.023608768971332208,"[20, 80, 101, 192, 224, 239, 306, 322, 349, 403, 409, 441, 481, 517]","energy, consumption, energy use, electric consumption, performance criterion, consumption data, multiple performance, heritage area, consumption forecasting, occupant behaviour"
11,12,0.02023608768971332,"[111, 149, 221, 278, 279, 284, 400, 446, 448, 471, 506, 518]","signal, localization, path loss, multipath, pseudorange, signal reception, multipath detection, direct signal, signal correlation, level observation"
