,num_records,file_size,base_dataset,reader_code,license,parameters,description,read_more,checksum,file_name,parts,preprocessing
fasttext-wiki-news-subwords-300,999999,1005007116,"Wikipedia 2017, UMBC webbase corpus and statmt.org news dataset (16B tokens)",https://github.com/RaRe-Technologies/gensim-data/releases/download/fasttext-wiki-news-subwords-300/__init__.py,https://creativecommons.org/licenses/by-sa/3.0/,{'dimension': 300},"1 million word vectors trained on Wikipedia 2017, UMBC webbase corpus and statmt.org news dataset (16B tokens).","['https://fasttext.cc/docs/en/english-vectors.html', 'https://arxiv.org/abs/1712.09405', 'https://arxiv.org/abs/1607.01759']",de2bb3a20c46ce65c9c131e1ad9a77af,fasttext-wiki-news-subwords-300.gz,1,
conceptnet-numberbatch-17-06-300,1917247,1225497562,"ConceptNet, word2vec, GloVe, and OpenSubtitles 2016",https://github.com/RaRe-Technologies/gensim-data/releases/download/conceptnet-numberbatch-17-06-300/__init__.py,https://github.com/commonsense/conceptnet-numberbatch/blob/master/LICENSE.txt,{'dimension': 300},"ConceptNet Numberbatch consists of state-of-the-art semantic vectors (also known as word embeddings) that can be used directly as a representation of word meanings or as a starting point for further machine learning. ConceptNet Numberbatch is part of the ConceptNet open data project. ConceptNet provides lots of ways to compute with word meanings, one of which is word embeddings. ConceptNet Numberbatch is a snapshot of just the word embeddings. It is built using an ensemble that combines data from ConceptNet, word2vec, GloVe, and OpenSubtitles 2016, using a variation on retrofitting.","['http://aaai.org/ocs/index.php/AAAI/AAAI17/paper/view/14972', 'https://github.com/commonsense/conceptnet-numberbatch', 'http://conceptnet.io/']",fd642d457adcd0ea94da0cd21b150847,conceptnet-numberbatch-17-06-300.gz,1,
word2vec-ruscorpora-300,184973,208427381,Russian National Corpus (about 250M words),https://github.com/RaRe-Technologies/gensim-data/releases/download/word2vec-ruscorpora-300/__init__.py,https://creativecommons.org/licenses/by/4.0/deed.en,"{'dimension': 300, 'window_size': 10}",Word2vec Continuous Skipgram vectors trained on full Russian National Corpus (about 250M words). The model contains 185K words.,"['https://www.academia.edu/24306935/WebVectors_a_Toolkit_for_Building_Web_Interfaces_for_Vector_Semantic_Models', 'http://rusvectores.org/en/', 'https://github.com/RaRe-Technologies/gensim-data/issues/3']",9bdebdc8ae6d17d20839dd9b5af10bc4,word2vec-ruscorpora-300.gz,1,The corpus was lemmatized and tagged with Universal PoS
word2vec-google-news-300,3000000,1743563840,Google News (about 100 billion words),https://github.com/RaRe-Technologies/gensim-data/releases/download/word2vec-google-news-300/__init__.py,not found,{'dimension': 300},Pre-trained vectors trained on a part of the Google News dataset (about 100 billion words). The model contains 300-dimensional vectors for 3 million words and phrases. The phrases were obtained using a simple data-driven approach described in 'Distributed Representations of Words and Phrases and their Compositionality' (https://code.google.com/archive/p/word2vec/).,"['https://code.google.com/archive/p/word2vec/', 'https://arxiv.org/abs/1301.3781', 'https://arxiv.org/abs/1310.4546', 'https://www.microsoft.com/en-us/research/publication/linguistic-regularities-in-continuous-space-word-representations/?from=http%3A%2F%2Fresearch.microsoft.com%2Fpubs%2F189726%2Frvecs.pdf']",a5e5354d40acb95f9ec66d5977d140ef,word2vec-google-news-300.gz,1,
glove-wiki-gigaword-50,400000,69182535,"Wikipedia 2014 + Gigaword 5 (6B tokens, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-wiki-gigaword-50/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 50},"Pre-trained vectors based on Wikipedia 2014 + Gigaword, 5.6B tokens, 400K vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",c289bc5d7f2f02c6dc9f2f9b67641813,glove-wiki-gigaword-50.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-wiki-gigaword-50.txt`.
glove-wiki-gigaword-100,400000,134300434,"Wikipedia 2014 + Gigaword 5 (6B tokens, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-wiki-gigaword-100/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 100},"Pre-trained vectors based on Wikipedia 2014 + Gigaword 5.6B tokens, 400K vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",40ec481866001177b8cd4cb0df92924f,glove-wiki-gigaword-100.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-wiki-gigaword-100.txt`.
glove-wiki-gigaword-200,400000,264336934,"Wikipedia 2014 + Gigaword 5 (6B tokens, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-wiki-gigaword-200/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 200},"Pre-trained vectors based on Wikipedia 2014 + Gigaword, 5.6B tokens, 400K vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",59652db361b7a87ee73834a6c391dfc1,glove-wiki-gigaword-200.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-wiki-gigaword-200.txt`.
glove-wiki-gigaword-300,400000,394362229,"Wikipedia 2014 + Gigaword 5 (6B tokens, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-wiki-gigaword-300/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 300},"Pre-trained vectors based on Wikipedia 2014 + Gigaword, 5.6B tokens, 400K vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",29e9329ac2241937d55b852e8284e89b,glove-wiki-gigaword-300.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-wiki-gigaword-300.txt`.
glove-twitter-25,1193514,109885004,"Twitter (2B tweets, 27B tokens, 1.2M vocab, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-twitter-25/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 25},"Pre-trained vectors based on 2B tweets, 27B tokens, 1.2M vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",50db0211d7e7a2dcd362c6b774762793,glove-twitter-25.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-twitter-25.txt`.
glove-twitter-50,1193514,209216938,"Twitter (2B tweets, 27B tokens, 1.2M vocab, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-twitter-50/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 50},"Pre-trained vectors based on 2B tweets, 27B tokens, 1.2M vocab, uncased (https://nlp.stanford.edu/projects/glove/)","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",c168f18641f8c8a00fe30984c4799b2b,glove-twitter-50.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-twitter-50.txt`.
glove-twitter-100,1193514,405932991,"Twitter (2B tweets, 27B tokens, 1.2M vocab, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-twitter-100/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 100},"Pre-trained vectors based on  2B tweets, 27B tokens, 1.2M vocab, uncased (https://nlp.stanford.edu/projects/glove/)","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",b04f7bed38756d64cf55b58ce7e97b15,glove-twitter-100.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-twitter-100.txt`.
glove-twitter-200,1193514,795373100,"Twitter (2B tweets, 27B tokens, 1.2M vocab, uncased)",https://github.com/RaRe-Technologies/gensim-data/releases/download/glove-twitter-200/__init__.py,http://opendatacommons.org/licenses/pddl/,{'dimension': 200},"Pre-trained vectors based on 2B tweets, 27B tokens, 1.2M vocab, uncased (https://nlp.stanford.edu/projects/glove/).","['https://nlp.stanford.edu/projects/glove/', 'https://nlp.stanford.edu/pubs/glove.pdf']",e52e8392d1860b95d5308a525817d8f9,glove-twitter-200.gz,1,Converted to w2v format with `python -m gensim.scripts.glove2word2vec -i <fname> -o glove-twitter-200.txt`.
__testing_word2vec-matrix-synopsis,,,,,,{'dimensions': 50},[THIS IS ONLY FOR TESTING] Word vecrors of the movie matrix.,[],534dcb8b56a360977a269b7bfc62d124,__testing_word2vec-matrix-synopsis.gz,1,Converted to w2v using a preprocessed corpus. Converted to w2v format with `python3.5 -m gensim.models.word2vec -train <input_filename> -iter 50 -output <output_filename>`.
