cluster,cluster_docs,keyword_group_no,keywords,score,doc_ids,num_docs,num_keywords,coverage
1,16,1,"['IVU Lab', 'smart city governance', 'literature review', 'Future Technologies', 'taking heart', 'smart community', 'translational research', 'smart city initiative', ""Artur Lugmayr's"", 'Demo Track Contributions', 'KDD process', 'navy bean', 'Transportation Research']",0.6309830670000001,"[184, 291, 309, 419, 432, 501, 532, 540, 543, 586, 587]",11,13,0.6875
1,16,2,"['Ensemble Event Driven Stock Market Forecasting', 'Microgrid and Solar Thermal Field Energy Surpluses', 'heterogeneous sensor network', 'multiple heterogeneous source', 'imbalanced datasets', 'collaborative heterogeneous information embedding', 'heterogeneous urban data', 'statewide commodity flow forecast', 'sustainable air traffic management system development methodology', 'unstructured text collection']",0.5978926056,"[184, 306, 394, 432, 501, 510, 543, 587, 596]",9,10,0.5625
1,16,3,"['Advanced Visual Big Data Analysis', 'Efficient Bayesian Expert Models', 'soft Additive Fabrication Processes', 'machine learning hyperparameter', 'criteria meta learning method', 'null space projection', 'interactive machine learning', 'visualization and hybrid biclustering', 'open source data mining library version', 'computational mathematics', 'Multidimensional Indexing', 'flexible fuzzy expert system', 'Deductive DB Aspects']",0.5793791887,"[184, 309, 403, 419, 501, 540, 543, 586, 596]",9,13,0.5625
1,16,4,"['Road Mapping Infrastructures', 'Diabetes Cases', 'opportunistic mobile sensor network', 'online gis and ann', 'police department facebook page', 'Madrid Central Case', 'Smart Cities', 'general Purpose I V Tester', 'IPN Sustainability Program', 'negative Log Likelihood Ratio Loss', 'Neutropenia and Fever', 'Ambient Intelligent Agent System Designs', 'Ambient Intelligence', 'lora and IEEE', 'multisensory immersive artistic experience', 'user location semantics', 'Computational Urban Studies', 'pneumatic Origami Joint', 'high Rise Building Group Morphology Generation Approach', 'Chicago Taxi Cab System', 'urban design teaching application', 'air decking charge', 'enterprise agent intelligence design', 'centric urban heat monitoring framework', 'spatial analysis', 'relief coordination pipeline', 'environmental signal processing', 'taxi call prediction', 'android malware evasion attack', 'unmet human mobility demand', 'Web and Web Age Information Management', 'LudoVico UX machine', 'physiological sensor data recording', ""Singaporean child's wellbeing"", 'public interactive learning space', 'white paper collection', 'smart human food interaction', 'fresh fruit and vegetable market', 'dynamic phenomenon and quality defect', 'moisture content', 'deadweight cost', 'intermodal marine container terminal', 'xml workflow schemata']",-0.4301457795,"[184, 291, 306, 309, 394, 403, 419, 432, 501, 510, 532, 540, 586, 587, 596]",15,43,0.9375
2,21,1,"['random forest regression modelling', 'machine learning algorithms', 'recursive partitioning', 'conventional statistical modeling approach', 'supervised machine learning approach', 'data envelopment analysis', 'CDI and cluster analysis', 'Random Forest', 'mathematical model and SML error evaluation function', 'machine learning', 'CV RMSE', 'Random Forest regression modeling', 'random forest regression', 'Panel regression model', 'machine learning approach', 'random forest machine learning approach']",0.9407799655,"[39, 44, 56, 60, 79, 115, 119, 201, 215, 216, 371, 372, 431, 456]",14,16,0.6666666666666666
2,21,2,"['Cairo region', 'Dengue dynamic', 'Metropolitan Manila', 'Texas Gulf Region', 'city bus', 'Szeged and Vienna', 'Greater Accra Metropolitan Area', 'Western Australia', 'Los Angeles', 'Misamis Oriental']",0.8771810999999999,"[39, 56, 119, 216, 222, 229, 372, 456, 515]",9,10,0.42857142857142855
2,21,3,"['screen level air temperature data', 'precipitation and vegetation data', 'water body coverage ratio', 'impacts stream water quality', 'microclimate simulation program', 'High quality temperature data', 'Cold air path identification', 'average LST temperature', 'season and observation scale', 'land surface temperature', 'Korea Meteorological Administration', 'complex and diverse weather phenomena', 'multispectral and spatial vector data', 'time series land surface temperature', 'crop level land cover classification']",0.756523216,"[39, 56, 79, 119, 215, 216, 228, 247, 371, 453, 454, 456, 515]",13,15,0.6190476190476191
2,21,4,"['urban planning and design', 'Urban heat island', 'urban planning and design discipline', 'urban heat island effect', 'urbanization process monitoring', ""heat island's potential formation"", 'different urban development pattern scenario', 'outside thermal comfort improvement', 'city design strategy', 'CityGML file', 'urban heat hazard mapping', 'different urban tree specie', 'city empirical study', 'local stakeholder engagement', '3D urban architecture', 'urban thermal environment mitigation planning', 'urban vegetation configuration influence', 'adverse heat impact', 'urban heat island research', 'different urban geometry', 'urban planning and management']",0.4739242745,"[39, 60, 79, 115, 119, 201, 215, 216, 222, 228, 229, 247, 371, 372, 431, 454, 456, 515]",18,21,0.8571428571428571
2,21,5,"['low cost instrumentation', 'urban land surface temperature', 'many researcher', 'Additive exPlanation', 'Shap ley', 'NDVI and BCR', 'SUHI mitigation', 'relative efficiency and park', 'model and Landsat', 'low cost tool', 'medium sized municipality', 'SHapley Additive explanation', 'Research limitations', 'negative logarithmic relationship', 'greenery increase', 'spatio temporal granularity', 'climatic thermal benefit', 'leaf area index', 'BRT modelling', 'spatial transferability', 'important mitigation aspect', 'lightweight monitoring device', 'air and noise pollution', 'Ghana Ethics Committee', 'stepwise negative correlation', 'upcoming study', 'floor area ratio', 'optimise cooling', 'land parcel', 'important variable', 'physical and socioeconomic characteristic', 'city temperature prediction model', 'Unified Model Local Data Assimilation', 'spatial decomposition capability', 'BRT analysis', 'main shortcoming', 'difference vegetation index', 'rampant and unintended spread', 'support mitigation']",-0.4913675914,"[39, 44, 60, 79, 115, 119, 201, 215, 216, 222, 228, 229, 247, 371, 372, 431, 453, 454, 456, 515]",20,39,0.9523809523809523
3,38,1,"['random forest classifier', 'novel transfer learning approach', 'computer vision', 'Amazon Mechanical Turk', 'CV and machine learning', 'discrete choice model', 'semantic segmentation and object detection', 'machine learning', 'computer vision algorithm', 'Latent Dirichlet Allocation', 'prediction model', 'Google Cloud Vision', 'computer science technique', 'image classification model', 'convolutional neural network', 'adversarial scoring framework', 'decision support tool', 'artificial neural network', 'Machine learning model', 'image processing', 'massive scale and machine learning method', 'machine learning approach', 'parallel deep convolutional neural network', 'hierarchical clustering', 'machine learning classifier', 'interactive visual analytics system', 'computer vision method', 'cold start scenario', 'computer lack life experience', 'Support Vector Regression', 'Frequency Cepstral Coefficients', 'Unity3D game engine', 'agent evolutionary system', 'procedural generation', 'decision tree machine learning algorithm rule']",0.9437579448000001,"[4, 31, 48, 52, 77, 116, 154, 170, 196, 206, 244, 269, 280, 313, 325, 340, 341, 376, 397, 416, 429, 445, 449, 455, 477, 488, 489, 492, 529, 534, 575, 595]",32,35,0.8421052631578947
3,38,2,"['overall negative psychological feeling', 'physical and psychological perception', 'subjective measure', 'safety perception', 'subjective human perception measure', 'subsequent perception and sense', 'perception survey', 'subjective human perception', 'perception test', 'holistic perception', 'Safety perception measurement', 'perceptual variable', 'different field surveyor', 'individual assessment']",0.9181848027,"[31, 77, 116, 170, 196, 206, 280, 341, 367, 376, 416, 523, 529]",13,14,0.34210526315789475
3,38,3,"['urban planning and land use management', 'urban environment influence stress', 'urban planning research', 'urban design theory', 'urban planning process', 'Urban Planning', 'historical urban landscape', 'occupancy evaluation and guide redevelopment effort', 'urban environment', 'traditional urban vitality feature', 'urban greenery and planning practice', 'human centred planning and design', 'particular urban environment', 'coherent urban visual environment', 'urban policy', 'new urban region', 'urban valuation estimation', 'urban planning and environment auditing', 'Urbanism and Architecture course', 'urban space', 'urban sociology and anthropology', 'urban design quality', 'urban map', 'large urban environment']",0.7498118031000001,"[31, 33, 49, 77, 116, 154, 170, 196, 206, 280, 325, 340, 376, 397, 401, 429, 445, 455, 477, 488, 489, 492, 523, 534, 575]",25,24,0.6578947368421053
3,38,4,"['Hong Kong', 'Las Vegas Strip', 'city image dimension', 'new city image', 'Mochou Lake', 'Chinese city', 'Yangpu District', 'Bogotá City', 'Belo Horizonte', 'city decision optimization', 'Rome and Paris', 'city and region scales', 'sized Brazilian city', 'Central Texas']",0.6974292323,"[49, 196, 244, 269, 280, 313, 367, 376, 401, 445, 455, 477, 492, 595]",14,14,0.3684210526315789
3,38,5,"['street view image', 'Google Street View', 'Baidu Street View', 'street view image extraction', 'street level imagery', 'street view pattern', 'wide coverage street view image', 'available Google Street View imagery', 'Mapping sidewalk', 'good pedestrian landscape']",0.5480250834,"[52, 325, 340, 367, 429, 477, 489, 523, 575, 595]",10,10,0.2631578947368421
