cluster,doc_id,keywords,candidates
14,13,"['urban area road monitoring application', 'data validation framework', 'mobile crowd sourcing', 'crucial need', 'smart city context']","[{'candidate': 'urban area road monitoring application', 'score': 0.7021998971815337}, {'candidate': 'mobile crowdsourcing application', 'score': 0.6804680688647351}, {'candidate': 'road monitoring application', 'score': 0.6698573095843801}, {'candidate': 'smart city context', 'score': 0.6620722735553872}, {'candidate': 'such data validation framework', 'score': 0.6523340471986421}, {'candidate': 'data validation framework', 'score': 0.649298892602297}, {'candidate': 'mobile crowd sourcing', 'score': 0.6491397313633839}, {'candidate': 'data validation', 'score': 0.6292325088546229}, {'candidate': 'machine learning technique', 'score': 0.6171065102880937}, {'candidate': 'crowd data', 'score': 0.6106396144367077}, {'candidate': 'scalable monitoring', 'score': 0.5886750377688417}, {'candidate': 'promising paradigm', 'score': 0.5831804878765006}, {'candidate': 'resource demand', 'score': 0.5669305489177238}, {'candidate': 'such crowd intelligence', 'score': 0.5642395868285985}, {'candidate': 'Internet connection', 'score': 0.5631900289997405}, {'candidate': 'crucial need', 'score': 0.5517340415736962}, {'candidate': 'main bottleneck', 'score': 0.5430527980924791}, {'candidate': 'wide availability', 'score': 0.534362482933343}]"
14,55,"['Local government use data', 'Zurich area', 'machine learning', 'spatial and temporal feature', 'citizen report']","[{'candidate': 'Local government use data', 'score': 0.6508399730229761}, {'candidate': 'Zurich area', 'score': 0.6237016083352486}, {'candidate': 'machine learning', 'score': 0.618127279542551}, {'candidate': 'UK and Switzerland', 'score': 0.6098842136198093}, {'candidate': 'citizen report', 'score': 0.6024659241341321}, {'candidate': 'urban issue', 'score': 0.592105083776119}, {'candidate': 'local public service', 'score': 0.5873651370795581}, {'candidate': 'report category', 'score': 0.5814770420278054}, {'candidate': 'promising performance', 'score': 0.5783085536167999}, {'candidate': 'user and platform operation', 'score': 0.5766096903284794}, {'candidate': 'spatial and temporal feature', 'score': 0.5679382154062174}, {'candidate': 'several country', 'score': 0.5547296573335714}, {'candidate': 'decision making', 'score': 0.5502801853784821}, {'candidate': 'common pattern', 'score': 0.5489529655864555}, {'candidate': 'ultimate goal', 'score': 0.5350537339815875}]"
14,76,"['IoT and WSNs', 'future research work', 'Smart city', 'healthcare sector', 'economic and social innovation']","[{'candidate': 'IoT and WSNs', 'score': 0.6843620511073552}, {'candidate': 'wireless sensor network', 'score': 0.6763567024211835}, {'candidate': 'Smart city', 'score': 0.6684136434198571}, {'candidate': 'healthcare sector', 'score': 0.6549166441541042}, {'candidate': 'sensor network', 'score': 0.6507292491573493}, {'candidate': 'healthcare application', 'score': 0.6435367913097481}, {'candidate': 'future research work', 'score': 0.6398281719116926}, {'candidate': 'machine learning approach', 'score': 0.6351913498237634}, {'candidate': 'economic and social innovation', 'score': 0.63150522326409}, {'candidate': 'technology and concept', 'score': 0.6314224990482791}, {'candidate': 'technical innovation', 'score': 0.6207946006013714}, {'candidate': 'baseline study', 'score': 0.6094759379594632}, {'candidate': 'urban planning', 'score': 0.6075119874973167}, {'candidate': 'digital technology', 'score': 0.6075072817167053}, {'candidate': 'urban society', 'score': 0.6056705169233693}, {'candidate': 'change and innovation', 'score': 0.6046967801250345}, {'candidate': 'urban area', 'score': 0.603181667190849}, {'candidate': 'successful implementation', 'score': 0.5946093006394992}, {'candidate': 'urban life', 'score': 0.5927457460773652}, {'candidate': 'industrial society', 'score': 0.589386131564824}, {'candidate': 'social and political challenge', 'score': 0.5872722806656383}, {'candidate': 'promising one', 'score': 0.5854124770760301}, {'candidate': 'population growth', 'score': 0.5816879523945288}, {'candidate': 'demographic change', 'score': 0.5681865539005231}, {'candidate': 'new millennium', 'score': 0.5658084641543253}, {'candidate': 'mental pollution', 'score': 0.5616746512553722}, {'candidate': 'financial crisis', 'score': 0.5606221169687308}, {'candidate': 'collective term', 'score': 0.5522724347572087}, {'candidate': 'key focus', 'score': 0.5511944203133982}, {'candidate': 'various actor', 'score': 0.5378761475827349}, {'candidate': 'same time', 'score': 0.5325268614946106}, {'candidate': 'large amount', 'score': 0.5201087089715009}]"
14,117,"['terrorism information perception system', 'exploratory study', 'intelligent city construction', 'complex event processing', 'heterogeneous information']","[{'candidate': 'terrorism information perception system', 'score': 0.6979680885510211}, {'candidate': 'terrorism intelligence', 'score': 0.6627199342376646}, {'candidate': 'terrorism information', 'score': 0.6401856556233466}, {'candidate': 'intelligent city construction', 'score': 0.6387421421134079}, {'candidate': 'terrorist activity', 'score': 0.622262197657929}, {'candidate': 'complex event processing', 'score': 0.6180684177075518}, {'candidate': 'terrorist attack', 'score': 0.6173565843919964}, {'candidate': 'urban environment', 'score': 0.6166166694311945}, {'candidate': 'machine learning technology', 'score': 0.612380016525131}, {'candidate': 'terrorist action signal', 'score': 0.6076215419478246}, {'candidate': 'intelligence identification layer', 'score': 0.605618822196397}, {'candidate': 'collection and analysis', 'score': 0.6042031295112944}, {'candidate': 'intelligence inference layer', 'score': 0.6032996743883129}, {'candidate': 'exploratory study', 'score': 0.6017126098837833}, {'candidate': 'information perception layer', 'score': 0.5978135252234147}, {'candidate': 'real time monitoring', 'score': 0.5974999316619636}, {'candidate': 'heterogeneous information', 'score': 0.5895976358648831}, {'candidate': 'real time data', 'score': 0.5882044166935719}, {'candidate': 'early warning', 'score': 0.5857621978782046}, {'candidate': 'present situation', 'score': 0.5786480829143648}, {'candidate': 'historical data', 'score': 0.5740510065289132}, {'candidate': 'suspicious information', 'score': 0.571730132668922}, {'candidate': 'mining prediction', 'score': 0.565298532921514}, {'candidate': 'mass event flow', 'score': 0.5625634641669632}, {'candidate': 'semantic database', 'score': 0.5615416543047389}, {'candidate': 'urgent need', 'score': 0.551311203077089}, {'candidate': 'focal area', 'score': 0.5319584716484929}, {'candidate': 'key problem', 'score': 0.5268035378649538}, {'candidate': 'status quo', 'score': 0.5224965518328739}]"
14,145,"['Intelligent transportation system', 'John Wiley', 'thorough survey', 'machine learning', 'cooperative driving and road hazard warning']","[{'candidate': 'Intelligent transportation system', 'score': 0.666821737611508}, {'candidate': 'cooperative driving and road hazard warning', 'score': 0.6540804226932755}, {'candidate': 'machine learning', 'score': 0.6478382091863129}, {'candidate': 'transportation and transit efficiency', 'score': 0.6383657746941378}, {'candidate': 'autonomous vehicle', 'score': 0.6369434076258977}, {'candidate': 'ML technology', 'score': 0.6307660579466465}, {'candidate': 'improved road and traffic safety', 'score': 0.6252004415598991}, {'candidate': 'Telecommunications Technologies', 'score': 0.6239489857528926}, {'candidate': 'smart city', 'score': 0.6187182059199979}, {'candidate': 'traveler information system', 'score': 0.6187070383805392}, {'candidate': 'road traffic management', 'score': 0.6171514014121399}, {'candidate': 'urban planning and future', 'score': 0.6137057608092056}, {'candidate': 'public transit system management', 'score': 0.6082106202341212}, {'candidate': 'future direction', 'score': 0.5967733060475295}, {'candidate': 'thorough survey', 'score': 0.5957191210706025}, {'candidate': 'John Wiley', 'score': 0.5941913733982285}, {'candidate': 'service and application', 'score': 0.5878893966954095}, {'candidate': 'current state', 'score': 0.5795854230053583}, {'candidate': 'significant traction', 'score': 0.576974064463366}, {'candidate': 'diverse quality', 'score': 0.5735885437184317}, {'candidate': 'service need', 'score': 0.5720271993087056}, {'candidate': 'ITS application', 'score': 0.5633244796786688}, {'candidate': 'environmental pollution', 'score': 0.563030979520396}, {'candidate': 'energy efficiency', 'score': 0.5626451523045963}, {'candidate': 'integral part', 'score': 0.5556972697835193}, {'candidate': 'broad range', 'score': 0.5508503952017878}, {'candidate': 'massive amount', 'score': 0.5344493604574312}, {'candidate': 'other hand', 'score': 0.5218549223906228}]"
14,150,"['sustainable urban development and Internet', 'Things sensor', 'ESI ThoughtLab', 'cognitive smart city', 'urban big data analytics']","[{'candidate': 'sustainable urban development and Internet', 'score': 0.7214633585666441}, {'candidate': 'sustainable city leverage datadriven planning technology', 'score': 0.7184532378700685}, {'candidate': 'integrated sustainable urban technology optimize', 'score': 0.7089190742856066}, {'candidate': 'urban big data analytics', 'score': 0.6824003217709306}, {'candidate': 'Smart sustainable city governance', 'score': 0.6764715300568387}, {'candidate': 'networked urbanism', 'score': 0.6685682017002642}, {'candidate': 'cognitive smart city', 'score': 0.6680838944725247}, {'candidate': 'sustainable urban technology', 'score': 0.6673250693931562}, {'candidate': 'digital urban governance', 'score': 0.6552123989163587}, {'candidate': 'sustainable city', 'score': 0.6516683483965413}, {'candidate': 'sensor network', 'score': 0.6475361028807056}, {'candidate': 'sustainable governance network', 'score': 0.6433661621082437}, {'candidate': 'big data application', 'score': 0.625128567810213}, {'candidate': 'Things sensor', 'score': 0.6172893011413005}, {'candidate': 'ESI ThoughtLab', 'score': 0.61196894688312}, {'candidate': 'planning technology', 'score': 0.6106679400224234}, {'candidate': 'machine learning', 'score': 0.6055378356342638}, {'candidate': 'depth survey', 'score': 0.6010590850450785}, {'candidate': 'Things system', 'score': 0.5805278954830116}, {'candidate': 'Descriptive statistic', 'score': 0.5749327760830433}, {'candidate': 'SCC and UKTI', 'score': 0.5540379388206145}, {'candidate': 'massive volume', 'score': 0.5479180465356601}]"
14,151,"['sustainable urban governance network', 'recent research', 'Volkswagen Group China', 'wireless sensor', 'smart city logistics']","[{'candidate': 'sustainable urban governance network', 'score': 0.7230466493263317}, {'candidate': 'smart city logistics', 'score': 0.7040618282275595}, {'candidate': 'sustainable urban technology', 'score': 0.6925647404100737}, {'candidate': 'wireless sensor', 'score': 0.6382406395735215}, {'candidate': 'urban Internet', 'score': 0.6376296235299829}, {'candidate': 'machine learning', 'score': 0.6237712581639963}, {'candidate': 'Volkswagen Group China', 'score': 0.6217234068410972}, {'candidate': 'recent research', 'score': 0.6160240698998207}, {'candidate': 'Things system', 'score': 0.614744043258068}, {'candidate': 'World Bank', 'score': 0.5922217038486973}, {'candidate': 'Descriptive statistic', 'score': 0.5882443813251321}, {'candidate': 'massive volume', 'score': 0.571327251153804}]"
14,177,"['participatory planning process aim', 'Sonic environment', 'mobile technology and machine learning', 'city context', 'accurate and useful data']","[{'candidate': 'participatory planning process aim', 'score': 0.7033671549723957}, {'candidate': 'city planning process', 'score': 0.6851567508588929}, {'candidate': 'city planning', 'score': 0.6728335095281704}, {'candidate': 'mobile technology and machine learning', 'score': 0.6570503753539827}, {'candidate': 'participatory method', 'score': 0.6487122304314925}, {'candidate': 'city context', 'score': 0.6477615758428017}, {'candidate': 'urban area', 'score': 0.6334651056590014}, {'candidate': 'Sonic environment', 'score': 0.6214303404007919}, {'candidate': 'sonic experience', 'score': 0.6182784726158413}, {'candidate': 'accurate and useful data', 'score': 0.6072145783487143}, {'candidate': 'everyday living', 'score': 0.5855145525545817}, {'candidate': 'integral part', 'score': 0.5840625497416666}, {'candidate': 'such experience', 'score': 0.5619666944186406}, {'candidate': 'individual nature', 'score': 0.557861955977859}]"
14,264,"['Urban planning', 'bidirectional data sharing', 'physical infrastructure momentum', 'math programming', 'occasional dynamic']","[{'candidate': 'Urban planning', 'score': 0.6470760349152818}, {'candidate': 'planning and delivery', 'score': 0.6098221664223815}, {'candidate': 'physical infrastructure momentum', 'score': 0.6094284796145062}, {'candidate': 'urban density', 'score': 0.6084626460177901}, {'candidate': 'urban scenario', 'score': 0.603194172596996}, {'candidate': 'service infrastructure', 'score': 0.6024843110627238}, {'candidate': 'math programming', 'score': 0.59229355752713}, {'candidate': 'plan management', 'score': 0.5891074803979889}, {'candidate': 'citizen support system', 'score': 0.5853205544138489}, {'candidate': 'bidirectional data sharing', 'score': 0.5848358776901318}, {'candidate': 'supply dynamic', 'score': 0.5845840161520832}, {'candidate': 'balanced supply', 'score': 0.5666535212893629}, {'candidate': 'efficient delivery system', 'score': 0.5628213527749828}, {'candidate': 'spatial status', 'score': 0.5619893713371931}, {'candidate': 'new domain', 'score': 0.5614389533738318}, {'candidate': 'social and physical matter', 'score': 0.5613559932935677}, {'candidate': 'delivery system', 'score': 0.5604370697067882}, {'candidate': 'social group', 'score': 0.5465073843040062}, {'candidate': 'various aspect', 'score': 0.5456990878429795}, {'candidate': 'pertinent issue', 'score': 0.5449802024914129}, {'candidate': 'service guarantee', 'score': 0.5403109481931312}, {'candidate': 'delivery mechanism', 'score': 0.5394277834764256}, {'candidate': 'occasional dynamic', 'score': 0.5269551612163541}]"
14,295,"['real time Twitter data', 'urban planning', 'traffic incident analysis', 'right feature extraction strategy', 'dataset eligible']","[{'candidate': 'real time Twitter data', 'score': 0.673669358726414}, {'candidate': 'traffic incident analysis', 'score': 0.666284381942067}, {'candidate': 'machine learning algorithms', 'score': 0.6469029509667856}, {'candidate': 'machine learning model', 'score': 0.6312765947062946}, {'candidate': 'Twitter interaction', 'score': 0.6297429086819444}, {'candidate': 'social medium data', 'score': 0.6226246937702271}, {'candidate': 'right feature extraction strategy', 'score': 0.6201004667885763}, {'candidate': 'word embedding', 'score': 0.6162735122907814}, {'candidate': 'real time data', 'score': 0.6062542382954619}, {'candidate': 'traffic incident', 'score': 0.603110161052203}, {'candidate': 'computational framework', 'score': 0.6018428137420511}, {'candidate': 'feature generation model', 'score': 0.5998444281694493}, {'candidate': 'urban planning', 'score': 0.5964165521839468}, {'candidate': 'different feature extraction', 'score': 0.5906977019973942}, {'candidate': 'dataset eligible', 'score': 0.588990996921011}, {'candidate': 'various application', 'score': 0.5820681172602942}, {'candidate': 'representation model', 'score': 0.5780455043906654}, {'candidate': 'first phase', 'score': 0.5671331218275347}, {'candidate': 'medium data', 'score': 0.5608189001025641}, {'candidate': 'potential knowledge', 'score': 0.5575937411914293}, {'candidate': 'unbiased actual insight', 'score': 0.5570461505434086}, {'candidate': 'third step', 'score': 0.5373520434568572}, {'candidate': 'large amount', 'score': 0.515392894059447}]"
