HDBSCAN_Cluster,DocId,Cited by,Year,Document Type,Title,Abstract,Author Keywords,Authors,DOI,x,y
-1,1,,2022,Article,Reconciling data-driven crime analysis with human-centered algorithms,"This study combines traditional statistical methods with machine learning to better understand locally relevant, contextual models for analyzing crime in two urban American cities. Using census tracts as the units of analysis and controlling for several structural characteristics associated with crime, we find that in Milwaukee, Wisconsin, violent crime is associated with concentrated disadvantage, residential stability, ethnic heterogeneity, total population, and spatial lag of violent crime. Yet, the most important variable is the spatial lag of violent crime, followed by residential stability, ethnic heterogeneity, total population, and concentrated disadvantage. In addition, we find that in Chicago, Illinois, violent crime is associated with immigration, owner-occupied housing, proportion in professional occupations, and proportion population with college degree or higher, as well as ethnic heterogeneity, total population, and the spatial lag for violent crime. Machine learning models suggest that for Chicago's violent crime, the most important variable is the spatial lag term for violent crime, followed by total population, immigration, college education or beyond, owner occupancy, ethnic heterogeneity, and employment in professional occupations. The findings for property crime are similar: in Milwaukee, we find that disadvantage, residential stability, ethnic heterogeneity, total population and spatial lag for property crime are significant predictors in the traditional regression models. However, the most important variable for property crime in Milwaukee is the spatial lag term, followed by total population, ethnic heterogeneity, residential stability and disadvantage. The statistically significant predictors of property crime in Chicago include immigration, owner-occupied housing units, living in the same house, proportion of workforce in professional occupations, college education and beyond, total population, and the spatial lag for property crime. In Chicago, the most important variable for property crime is the spatial lag term, then the total population, the proportion of individuals in professional occupations, concentrated immigration, college education and beyond, living in the same house, and the proportion of owner-occupied housing units. Urban planners must consider policies that can effectively reduce nearby crime and violence in all cities that experience high crime levels, but also design locally responsive policies that make sense within a local context: in Milwaukee, residential stability matters more for violent crime than for property crime, while in Chicago, total population is similarly important for both violent crime and property crime. In Milwaukee, ethnic heterogeneity is similarly important for violent and property crime, while in Chicago, ethnic heterogeneity is not a very important variable for violent crime and it is not a significant predictor of property crime. Therefore, urban policy must differently approach social disorganization indicators and support the nuances of the local context for urban planning and policy. © 2022 Elsevier Ltd",Crime analysis; Machine learning; Social disorganization,"Clancy K., Chudzik J., Snowden A.J., Guha S.",10.1016/j.cities.2022.103604,8.17,7.12
-1,12,,2022,Conference Paper,Investigation of Airflow around Buildings using Large-Eddy Simulations for Unmanned Aircraft Systems Applications,"The ever-increasing demand for Unmanned Aircraft Systems (UAS) has led to the desire for integrating them into spaces in close proximity of humans like dense urban spaces, a reality previously thought of as inconceivable. One of the main concerns to be addressed before its widespread adoption is safety, especially in areas of operation adjacent to structures like buildings. This work investigates the effect of building geometries on the flow field in a simplified urban setup consisting of an isolated building to predict their potential impacts on UAS operations. Unanticipated wind gusts or turbulent flow conditions prevalent around various structures constitute a significant challenge for UAS operations in urban environments. We use Large-Eddy Simulation to better understand the unsteady and highly coherent turbulent flow structures produced by buildings in neutral atmospheric boundary layer flow. Furthermore, we also demonstrate a non-intrusive machine learning methodology to predict flow fields to augment safe wind-aware navigation systems for Unmanned Aerial Vehicles as a first step towards safely integrating UAS into existing aerial infrastructure. © 2022, American Institute of Aeronautics and Astronautics Inc.. All rights reserved.",,"Landua T.R., Vuppala R.K.S.S., Kara K.",10.2514/6.2022-1688,6.31,8.65
-1,21,2.0,2022,Article,Do land policies make a difference? A data-driven approach to trace effects on urban form in France and Germany,"Against the backdrop of rapidly expanding urban structures, land policies in many countries have been adapted to contain and redirect growth to existing urban structures. However, obstacles remain to measure the effects of policies. In the meantime, geoinformation technologies have given rise to a wide range of approaches to measure and describe urban form. Nevertheless, its application for the assessment of land policy has a high, but not yet fully exploited, potential. It is thus the aim of this research to address and investigate the options of spatial analysis and machine learning in particular to analyse urban form from a land policy perspective. To do so, we develop urban metrics informed by urban planning and land readjustment policies of two countries describing urban form on different spatial levels. We therefore formulate hypotheses on causal relations between policy and form. Based on the metrics, we apply the random forest algorithm to classify the building stock of the region. We then extract the residential areas, those with single-family houses, as this is where the effects of the policy are considered most visible. In a next step, we use random forest to predict the nationality of a building. Through variable importance measures, we identify and discuss urban morphological differences between the two countries and test the hypotheses on effects of land policies. We develop and test the approach for the French-German city-region of Strasbourg using OpenStreetMap data. We identify significant differences in the building coverage ratios, which tend to be higher in Germany. This can be linked to differences in planning regulations. Furthermore, German residential areas appear to be more diverse in urban form. Differences in land readjustment policies have proven to be plausible here, as French policies favour strong actors that develop residential areas more uniformly. In Germany, policies favour fragmented ownership-oriented development of residential areas. The metrics and the applied algorithm for building classification have proven to be robust in terms of data heterogeneity and have shown high levels of accuracy. They could also be successfully used for tracing causal relations. © The Author(s) 2021.",Comparative; land policy; random forest; urban analytics; urban form,"Jehling M., Hecht R.",10.1177/2399808321995818,6.77,9.56
-1,33,1.0,2021,Article,The influence of urban visuospatial configuration on older adults’ stress: A wearable physiological-perceived stress sensing and data mining based-approach,"Population ageing raises many fundamental questions, including how the urban environment can be configured to promote active ageing. The perceived element for older adults' involvement in the environment differs from the average person. Despite this difference, there is little to no research into understanding how the perceived elements (specifically, the visuospatial configuration) of the environment influence older adults' involvement—most studies focused on younger adults. The focus here is stress, which occurs when environmental demand exceeds a person's capability. As stress impacts a person's involvement in the environment and older adults are more likely to feel stress due to their decline in functional capability, it is important to understand how the visuospatial configuration of urban environment influence stress. Older adults were recruited to participate in an urban environment walk while their physiological responses (Photoplethysmogram) were monitored using wearable sensors. Their perceived stress responses were also collected. Spatial clustering and hot spot analysis were conducted to detect locations with clusters of physiological responses caused by spatial factors. These locations were subsequently labelled as stress or non-stress based on participants' perceived stress. The perceived visual elements of the urban environment were extracted using isovist analysis. Principal component analysis, self-organising map and machine learning algorithms were used to understand the relationship. The results demonstrate that isovist minimum visibility, occlusivity, and isovist area are the most influential determinants of older adults' physiological stress. Older adults prefer urban configurations where they can be seen. This study can be used to inform urban design and planning. © 2021 Elsevier Ltd",Isovist analysis; Machine learning; Older adult; Person-environment interaction; Physiological stress; Self-organising map,"Torku A., Chan A.P.C., Yung E.H.K., Seo J.",10.1016/j.buildenv.2021.108298,6.69,7.82
-1,36,,2021,Article,Origin-Destination Matrix Estimation and Prediction from Socioeconomic Variables Using Automatic Feature Selection Procedure-Based Machine Learning Model,"The origin-destination (OD) demand matrix plays an essential role in travel modeling and transport planning. Traditional OD matrices are estimated from expensive and laborious traffic counts and surveys. Accordingly, this study proposes a new combined methodology to estimate or update OD matrices (urban mobility) directly from easy-to-obtain and free-of-charge socioeconomic variables. The Málaga region, Spain, was used as a case study. The proposed methodology involves two stages. First, an automatic feature selection procedure was developed to determine the most relevant socioeconomic variables, discarding the irrelevant ones. Several feature selection techniques were studied and combined. Second, machine learning (ML) models were used to estimate mobility between predefined zones. Artificial neural networks (ANNs) and support vector regression (SVR) were tested and compared using the most relevant variables as inputs. The experimental results show that the proposed combined model can be more accurate than traditional methods and ML models without the feature selection procedure. In particular, SVR with feature selection slightly outperformed the combined model using ANNs. The proposed methodology can be a promising and affordable alternative method for estimating OD matrices, reducing costs and lead time significantly, and assisting and improving urban transport planning. © 2021 American Society of Civil Engineers.",Artificial neural networks; Feature selection; Machine learning; Origin-destination (OD) matrix; Support vector machines; Urban transport planning,"Rodríguez-Rueda P.J., Ruiz-Aguilar J.J., González-Enrique J., Turias I.",10.1061/(ASCE)UP.1943-5444.0000763,7.66,6.42
1,40,,2021,Conference Paper,A machine-learning model for the prediction of aggregated building heating demand from pan-European land-use maps,"Aggregated building energy demand is a useful indicator for urban energy planning. It can be used by planners and decision-makers to identify clusters of high energy demand in a given urban area and efficiently plan, for example, district heating networks. Various data sources exist at the pan-European level describing land use and built areas. Combined with statistical data, such maps have been used in previous research for estimating building energy performance aggregated at the hectare level, using engineering assumptions. In this paper, we show that large-scale land-use maps alone can be used for predicting annual building energy demand with an accuracy comparable to the one of previous engineering models. We hence present a preliminary method based on Convolutional Neural Networks at different spatial resolutions. The resulting model was trained and tested in an area of about 170 km2 in Geneva (Switzerland) using a local annual heating demand dataset comprising 16239 buildings. On a 300-m aggregation tile, the obtained mean error (14.3%) is significantly reduced compared to the one of a simple linear model (37.2%). Using solely land-use data, we also achieve similar results for a 100-m tile as those of an engineering model from the literature. © Content from this work may be used under the terms of the Creative Commons Attribution 3.0 Licence.",,"Peronato G., Boghetti R., Kämpf J.H.",10.1088/1742-6596/2042/1/012019,5.01,7.54
0,47,1.0,2021,Article,Prediction of crime rate in urban neighborhoods based on machine learning,"As the impact of crime on the lives of residents has increased, there are a number of methods for predicting where crime will occur. They tend to explore only the association established between a single factor and the distribution of crime. In order to more accurately and quickly visualize and predict crime distribution in different neighborhoods, and to provide a basis for security planning and design by planning designers, this paper uses GAN neural networks to build a prediction model of city floor plans and corresponding crime distribution maps. We take Philadelphia as the research sample, use more than 2 million crime information of Philadelphia from 2006 to 2018 to draw the crime hotspot distribution map, and collect the corresponding map of Philadelphia, and train the model for predicting the crime rate of the city with more than two thousand sets of one-to-one corresponding images as the training set. When the training is complete, a floor plan can be fed directly to the model, and the model will immediately feed back a hotspot map reflecting the crime distribution. Using the untrained Philadelphia data as the test set, the model can accurately predict crime concentration areas and the predicted crime concentration areas are similar to the concentration areas considered in previous studies. With the feedback from the model, the city layout can be adjusted and the crime rate can be greatly reduced when the simulated city planner tunes into the city plan. In addition the ideas in this paper can be applied as a set of methodologies to predict other relevant urban characteristic parameters and visualize them. © 2021 Elsevier Ltd",Big data analysis; Crime rate; Machine learning; Urban design,"He J., Zheng H.",10.1016/j.engappai.2021.104460,7.64,6.92
-1,53,1.0,2021,Article,Automated classification of building structures for urban built environment identification using machine learning,"The urban environment, especially buildings with different structure types, is difficult to identify automatically due to variation in urban function and form and to buildings’ relatively tacit structural attributes. To enable automated classification of building structures in complex urban environment, this study developed a machine learning (ML)-based method. Twenty-nine ML features were defined, and twelve popular ML algorithms were tested. The method was tested by classifying over 3700 buildings in Beijing, China into five common structures. Of the 12 ML algorithms, the Gradient Boosted Decision Tree delivered the highest overall performance, and its classification was verified as effective, i.e., achieving approximately 91.7%, 90.6%, and 91.1% of average recall, precision and F1, respectively, on testing data. This study's classification method helps establish a nexus among urban form, building structures, and materials and resource requirements, thus contributing to the advance of sustainable urban studies, such as urban metabolism and ecological planning. © 2021 Elsevier Ltd",Automated classification; Building structures; Built environment; Geographic information system; Machine learning; Urban form,"Zhou P., Chang Y.",10.1016/j.jobe.2021.103008,5.5,8.97
1,54,2.0,2021,Article,A generative architectural and urban design method through artificial neural networks,"Machine learning, as a computational tool for finding mappings between the input and output data, has been widely used in engineering fields. Researchers have applied machine learning models to generate 2D drawings with pixels or 3D models with voxels, but the pixelization reduces the precision of the geometries. Therefore, in order to learn and generate 3D geometries as vectorized models with higher precision and faster computation speed, we develop a specific artificial neural network, learning and generating design features for the forms of buildings. A customized data structure with feature parameters is constructed, meeting the requirements of the neural network by rebuilding surfaces with controlling points and appending additional input neurons as quantified vectors to describe the properties of the design. The neural network is first trained with generated design data and then tested by adjusting the feature parameters. The prediction of the generated data shows the basic generative ability of the neural network. Furthermore, trained with design data collected from existing buildings, the neural network learns and infers the geometric design features of architectural design with different feature parameters, providing a data-driven method for designers to generate and analyze architectural forms. © 2021 The Authors",Architectural form finding; Artificial neural networks; Computational design; Machine learning,"Zheng H., Yuan P.F.",10.1016/j.buildenv.2021.108178,5.76,9.11
-1,56,1.0,2021,Article,Dengue disease dynamics are modulated by the combined influences of precipitation and landscape: A machine learning approach,"Background: Dengue is an endemic vector-borne disease influenced by environmental factors such as landscape and climate. Previous studies separately assessed the effects of landscape and climate factors on mosquito occurrence and dengue incidence. However, both factors concurrently coexist in time and space and can interact, affecting mosquito development and dengue disease transmission. For example, eggs laid in a suitable environment can hatch after being submerged in rain water. It has been difficult for conventional statistical modeling approaches to demonstrate these combined influences due to mathematical constraints. Objectives: To investigate the combined influences of landscape and climate factors on mosquito occurrence and dengue incidence. Methods: Entomological, epidemiological, and landscape data from the rainy season (July–December) were obtained from respective government agencies in Metropolitan Manila, Philippines, from 2012 to 2014. Temperature, precipitation and vegetation data were obtained through remote sensing. A random forest algorithm was used to select the landscape and climate variables. Afterward, using the identified key variables, a model-based (MOB) recursive partitioning was implemented to test the combined influences of landscape and climate factors on ovitrap index (vector mosquito occurrence) and dengue incidence. Results: The MOB recursive partitioning for ovitrap index indicated a high sensitivity of vector mosquito occurrence on environmental conditions generated by a combination of high residential density areas with low precipitation. Moreover, the MOB recursive partitioning indicated high sensitivity of dengue incidence to the effects of precipitation in areas with high proportions of residential density and commercial areas. Conclusions: Dengue dynamics are not solely influenced by individual effects of either climate or landscape, but rather by their synergistic or combined effects. The presented findings have the potential to target vector surveillance in areas identified as suitable for mosquito occurrence under specific climatic conditions and may be relevant as part of urban planning strategies to control dengue. © 2021 The Authors",Combined influences; Dengue; Environmental factors; Random forest; Recursive partitioning,"Francisco M.E., Carvajal T.M., Ryo M., Nukazawa K., Amalin D.M., Watanabe K.",10.1016/j.scitotenv.2021.148406,7.72,8.11
