1-gram,1-gram-score,1-gram-freq,1-gram-docs,1-gram-clusters,2-gram,2-gram-score,2-gram-freq,2-gram-docs,2-gram-clusters,3-gram,3-gram-score,3-gram-freq,3-gram-docs,3-gram-clusters,N-gram,N-gram-score,N-gram-freq,N-gram-docs,N-gram-clusters
development,0.0020017175000000003,234,109,2,green space,0.0012904211,27,8,1,urban green space,0.0014807211,9,5,1,development,0.0020017175000000003,234,109,2
interaction,0.0017383577,75,42,1,open space,0.0011470410000000001,24,8,1,public open space,0.001151672,7,3,1,interaction,0.0017383577,75,42,1
sustainability,0.0012284395,53,27,1,social interaction,0.0010514542000000001,22,14,1,urban neighborhood design,0.0009871474,6,1,1,urban green space,0.0014807211,9,5,1
community,0.0012147175,142,80,2,urban space,0.0009172338,52,26,2,neighborhood design concept,0.0009871474,6,1,1,green space,0.0012904211,27,8,1
risk,0.0009734803000000001,42,14,1,indigenous people,0.0009080741000000001,19,10,1,perceived sensory dimension,0.0008226229,5,2,1,sustainability,0.0012284395,53,27,1
type,0.0009503022,41,21,1,different culture,0.0008124874,17,13,1,cultural ecosystem service,0.0008226229,5,2,1,community,0.0012147175,142,80,2
water,0.0009271241,40,12,1,smart city,0.0008124874,17,5,1,natural property right,0.0008226229,5,1,1,public open space,0.001151672,7,3,1
housing,0.0008807679000000001,38,23,1,young people,0.000764694,16,7,1,property right value,0.0008226229,5,1,1,open space,0.0011470410000000001,24,8,1
ecotourism,0.0008807679000000001,38,2,1,public art,0.0006213139000000001,13,4,1,open public space,0.0006580983000000001,4,3,1,social interaction,0.0010514542000000001,22,14,1
literature,0.0008344117,36,23,1,social capital,0.0006213139000000001,13,2,1,road traffic noise,0.0006580983000000001,4,1,1,urban neighborhood design,0.0009871474,6,1,1
behavior,0.0007880555,34,14,1,urban ecotourism,0.0006213139000000001,13,1,1,urban regime theory,0.0006580983000000001,4,1,1,neighborhood design concept,0.0009871474,6,1,1
pattern,0.0007880555,34,20,1,social life,0.0005735205000000001,12,8,1,rural aesthetic space,0.0006580983000000001,4,1,1,risk,0.0009734803000000001,42,14,1
festival,0.0007416993000000001,32,3,1,small business,0.0005735205000000001,12,2,1,urban planning model,0.0006580983000000001,4,1,1,type,0.0009503022,41,21,1
time,0.0007271196,85,54,2,neighborhood design,0.0005735205000000001,12,1,1,ethnic minority group,0.0004935737,3,1,1,water,0.0009271241,40,12,1
student,0.0006953431,30,13,1,urban development,0.0005291734,30,23,2,sustainable food culture,0.0004935737,3,1,1,urban space,0.0009172338,52,26,2
park,0.0006953431,30,16,1,typhoid fever,0.0005257271000000001,11,1,1,relationship among people,0.0004935737,3,2,1,indigenous people,0.0009080741000000001,19,10,1
factor,0.0006929022,81,41,2,urban governance,0.0005257271000000001,11,8,1,eight sensory dimension,0.0004935737,3,1,1,housing,0.0008807679000000001,38,23,1
value,0.0006501305,76,48,2,human geography,0.0005257271000000001,11,1,1,sustainable urban development,0.0004935737,3,1,1,ecotourism,0.0008807679000000001,38,2,1
child,0.0006489869,28,10,1,city identity,0.0005257271000000001,11,1,1,changing public life,0.0004935737,3,1,1,literature,0.0008344117,36,23,1
