score,keyword
0.7492434,urban land prediction
0.7466123,predicting urban land
0.74657893,predicting urbanization city
0.69935906,urban change predicting
0.6992203,forecasting urban area
0.69029146,urban sustainability prediction
0.6894039,analysis predict urban
0.68494236,predicting urban change
0.6802658,method predicting urban
0.6766919,urban land study
0.67656255,process predicting urban
0.67488015,predict future urbanization
0.67016464,change predicting urban
0.66468996,prediction urban expansion
0.65978,urban data modeling
0.6594523,prediction land use
0.6576364,uncertainty urbanization prediction
0.6566533,statistical analysis urbanization
0.6555344,urban climate assessment
0.6543717,climate developing urban
0.65372384,predicting land use
0.65148497,urban area exerts
0.6513298,tool predicting urbanization
0.6511404,urban data mining
0.65084493,urban land predicted
0.643931,city modelling residential
0.6426258,climate urban study
0.641649,china predicting urban
0.6410214,predict urban sprawl
0.63977534,urban climate built
