Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
-1,-1,0,"['network', 'neural', 'deep']",32,"['deep neural network', 'recurrent neural network', 'neural network algorithm', 'GAN neural network', 'detection neural network', 'Artificial neural network', 'layer deep', 'deep reinforcement', 'deep learning algorithms', 'deep learning', 'convolutional network architecture', 'training spot detector', 'Spatial clustering', 'shared idea', 'saliency map', 'optimization theory', 'multiscale clustering', 'machine learning algorithms', 'machine learning', 'Machine', 'LudoVico UX machine', 'latent manifold', 'knowledge spillover', 'KNN algorithm', 'interactive machine learning', 'Intelligence augmentation', 'counting', 'conventional counting', 'collaborative chat', 'autoencoders', 'algorithm', 'agglomerative clustering']",34,"[33, 36, 47, 54, 58, 61, 67, 75, 76, 88, 98, 103, 108, 112, 121, 132, 152, 173, 174, 205, 250, 266, 297, 308, 354, 377, 385, 386, 390, 399, 408, 532, 568, 581]"
-1,-1,1,"['data', 'urban', 'big']",30,"['urban data operationalization', 'urban data management', 'new urban data', 'big data application', 'big data', 'training data', 'microblogging data', 'design data', 'dataset', 'data', 'Big data analytics', 'word tree', 'web', 'thing system', 'SVM model', 'support vector machine', 'stacking ensemble model', 'speech recognition', 'new framework', 'natural language processing', 'MapReduce framework', 'Information System mapping', 'information system', 'human natural language', 'human annotation', 'ensemble learning', 'contextual information', 'computational linguistics', 'automatic sound recognizer', 'adaptive boosting']",29,"[54, 58, 64, 70, 75, 76, 103, 108, 109, 112, 148, 150, 151, 152, 179, 205, 207, 297, 332, 369, 385, 442, 487, 558, 564, 566, 580, 581, 583]"
-1,-1,2,"['soundscape', 'urban', 'recognition']",20,"['urban soundscape evaluation', 'urban sound recognition', 'soundscape recognition', 'soundscape classification model', 'various regressors', 'synthetic minority', 'regression', 'noise annoyance assessment', 'mosquito development', 'human physiological change', 'heterogeneity', 'ethnic heterogeneity', 'effective mosquito control', 'discriminatory bias', 'Dengue disease dynamic', 'base regressors', 'audio event', 'audio data corpus', 'active ageing', 'acoustic environment']",14,"[1, 33, 56, 64, 70, 121, 173, 174, 332, 381, 442, 558, 564, 583]"
-1,-1,3,"['energy', 'consumption', 'urban']",16,"['urban energy planning', 'energy consumption prediction', 'energy consumption', 'Building energy consumption', 'sustainable urbanisation strategy', 'Sustainable urban governance', 'sustainable urban development', 'strategic sustainable energy', 'power consumption', 'electricity consumption data', 'digital urban governance', 'nexus governance debate', 'Energy Information', 'electric load forecasting', 'basin governance', 'annual heating demand']",14,"[40, 64, 68, 70, 143, 150, 151, 152, 179, 199, 207, 297, 308, 442]"
-1,-1,4,"['crime', 'prediction', 'analysis']",16,"['crime prediction', 'crime analysis', 'urban prediction', 'Spatial crime simulation', 'social network analysis', 'prediction', 'hot spot analysis', 'height prediction', 'crime forecasting', 'crime distribution map', 'crime data', 'wearable fall detection', 'offender agent', 'judicial administration', 'human fall', 'collusion occurrence probability']",11,"[1, 47, 67, 132, 174, 199, 369, 377, 442, 487, 541]"
-1,-1,5,"['model', 'spatial', 'modeling']",12,"['spatial modeling approach', 'spatial dynamic model', 'quantitative spatial model', 'modeling technique', 'reduced order modelling', 'promising model', 'predefined model', 'meta model', 'geospatial simulation framework', 'different spatial level', 'UPM theory', 'performance simulation']",12,"[21, 68, 70, 103, 109, 179, 207, 250, 308, 357, 386, 408]"
-1,-1,6,"['technique', 'feature', 'selection']",12,"['feature selection technique', 'feature selection', 'machine learning technique', 'image processing technique', 'exogenous feature', 'artificial intelligence technique', 'intelligent decision support', 'fuzzy set', 'decision making', 'constructive preference elicitation', 'bidding procedure', 'artificial intelligence approach']",10,"[36, 58, 88, 174, 250, 354, 377, 381, 399, 414]"
-1,-1,7,"['turbulent', 'air', 'model']",12,"['turbulent air', 'turbulent flow structure', 'mathematical fusion model', 'influence air', 'Gaussian plume model', 'wind gust', 'water', 'support vector regression', 'signal frequency unification', 'rainy season', 'Informatics field', 'frequency domain']",10,"[12, 36, 56, 61, 148, 199, 246, 381, 386, 558]"
-1,-1,8,"['classification', 'automated', 'classifier']",11,"['automated classification', 'naïve Bayes classifier', 'classifier', 'classification accuracy', 'automatic classification', 'automated detection student', 'reviewed ML method', 'random forest', 'novel data mining', 'image retrieval', 'descriptor']",11,"[21, 53, 56, 88, 121, 143, 558, 564, 566, 568, 580]"
-1,-1,9,"['personality', 'game', 'player']",10,"['player personality behavior', 'player act', 'personality classification task', 'personality classification method', 'online educational game', 'exercise video game', 'educational game', 'different personality', 'skateboarding', 'parkour spot exploration']",4,"[98, 566, 580, 581]"
