No,DocId,key-phrases
1,5,"['watershed soil erosion', 'soil erosion', 'land cover pattern', 'land cover', 'land cover type']"
2,6,"['Flood risk mapping', 'flood hazard determination', 'flood risk map', 'Urban flood risk', 'flood vulnerability map']"
3,10,"['urban ecological management', 'urban landscape pattern', 'urban landscape', 'urbanization index', 'Urbanization impact']"
4,12,"['OSM urban area', 'spatial data quality', 'urban area', 'spatial data', 'geographic information']"
5,13,"['urban activity inference', 'foursquare', 'specific urban activity', 'Foursquare place category', 'urban activity']"
6,20,"['building type information', 'building type', 'LiDAR data', 'urban planning', 'Environmental landscape attribute']"
7,21,"['deep belief network', 'land cover classification', 'deep learning architecture', 'Deep learning', 'sar data']"
8,22,"['urban building energy', 'building energy simulation', 'building energy model', 'urban scale energy', 'building energy consumption']"
9,23,"['AI approach urban', 'urban land dynamic', 'land dynamic modeling', 'urban land', 'land dynamic']"
10,25,"['SAR feature', 'land cover mapping', 'synthetic aperture radar', 'urban land cover', 'support vector machine']"
11,26,"['urban water type', 'water type classification', 'urban water', 'water shadow index', 'complex urban area']"
12,30,"['random forest', 'urban structure type', 'urban structure', 'urbanization process', 'urban planner']"
13,31,"['SVM modeling', 'SVM modeling framework', 'land use', 'land', 'classification']"
14,32,"['urban functional region', 'geodemographic classification', 'geographical space', 'probabilistic topic model', 'region extraction']"
15,34,"['expert system prototype', 'robotic system', 'expert system', 'Artificial intelligence technology', 'AI technology']"
16,35,"['water resource management', 'dynamic water resource', 'sustainable water development', 'Urban water resource', 'efficient environmental planning']"
17,36,"['urban form classification', 'urban form', 'urban block boundary', 'landscape ecology', 'tree classification']"
18,38,"['automobile choice', 'household automobile choice', 'vehicle choice problem', 'household vehicle choice', 'vehicle choice']"
19,41,"['scene classification algorithm', 'scene classification', 'Street View image', 'SVM classifier', 'classification algorithm']"
20,42,"['land use coverage', 'air quality', 'heterogeneous landscape', 'potential urban planning', 'centralized urbanization']"
21,43,"['urban space', 'street view', 'urban environment', 'street view pattern', 'Visual Exploration']"
22,44,"['smart city', 'collaborative urban governance', 'urban governance', 'governance intelligence', 'urban governance issue']"
23,46,"['health hazard forecasting', 'smog severity observation', 'Smog disaster', 'smog observation', 'smog severity']"
24,47,"['Semantic framework', 'model urban data', 'IoT application', 'urban data', 'pollution detection']"
25,48,"['urban information system', 'urban planning problem', 'intelligent information system', 'intelligent information', 'existing urban information']"
26,51,"['urban plan', 'public transit ridership', 'transit ridership', 'public transportation demand', 'predicted ridership']"
27,52,"['urban data science', 'urban climate solution', 'urban sustainability science', 'urban climate', 'global urban sustainability']"
28,63,"['urban area extraction', 'green urban area', 'satellite imagery', 'satellite image', 'area extraction']"
29,64,"['hyperspectral data', 'land cover estimation', 'multilabel classification', 'multispectral image', 'land cover map']"
30,66,"['common wild bee', 'urban habitat', 'habitat selection', 'solitary bee', 'bee']"
31,67,"['Landslide susceptibility mapping', 'landslide susceptibility evaluation', 'landslide risk management', 'landslide susceptibility', 'landslide risk']"
32,70,"['urban expansion trend', 'urban area expansion', 'urban expansion', 'urban development', 'boosted regression tree']"
33,73,"['sustainable travel', 'environment determinant', 'desirable environmental benefit', 'environmental benefit', 'environment factor']"
34,78,"['restaurant data', 'socioeconomic data', 'urban neighborhood', 'timely socioeconomic data', 'neighborhood level']"
35,85,"['GIS hotspot analysis', 'travel carbon emission', 'carbon emission assessment', 'hotspot analysis', 'dense road network']"
36,88,"['understanding city', 'urban analytics', 'urban system', 'deep computer vision', 'deep computer']"
37,91,"['visible street greenery', 'street greenery', 'urban greening', 'urban greening policy', 'streetscapes']"
38,92,"['social medium data', 'modern smart city', 'Twitter data', 'urban function', 'modern city']"
39,97,"['impact pedestrian activity', 'local pedestrian activity', 'influence pedestrian activity', 'pedestrian behavior modeling', 'urban walkability']"
40,100,"['Accurate road extraction', 'road centerline extraction', 'road extraction method', 'Multiscale road centerline', 'road extraction']"
41,105,"['hyperspectral image classification', 'hyperspectral datasets', 'hyperspectral image', 'standard hyperspectral datasets', 'hyperspectral pixel']"
42,106,"['deep learning car', 'learning car detection', 'Urban traffic flow', 'Urban traffic', 'CNN model']"
43,107,"['many urban planning', 'local urban context', 'urban location', 'urban context', 'neighborhood context']"
44,108,"['transportation route planning', 'big geodata analysis', 'public transportation route', 'route planning', 'big geodata']"
45,110,"['deprivation mapping', 'automated deprivation mapping', 'urban deprivation', 'deprivation area', 'heterogeneous deprivation area']"
46,112,"['urban land use', 'Regional mapping', 'essential urban land', 'land use category', 'urban parcel']"
47,117,"['urban segregation', 'residential segregation', 'Ethnoracial residential segregation', 'spatial segregation', 'segregation']"
48,120,"['Landslide susceptibility assessment', 'wildfire burnt area', 'landslide worldwide', 'burnt catchment', 'landslide']"
49,121,"['urban pluvial flood', 'pluvial flood vulnerability', 'location problem model', 'flood vulnerability', 'location allocation model']"
50,123,"['Mobile crowdsensing', 'urban data collection', 'deep reinforcement', 'spatial temporal coverage', 'vehicle selection algorithm']"
51,124,"['Extracting leisure activity', 'urban leisure', 'leisure ontology', 'leisure activity potential', 'tourism research']"
52,127,"['crime security game', 'opportunistic crime security', 'optimal police', 'police strategy', 'urban crime']"
53,128,"['basin governance', 'nexus governance debate', 'resource security governance', 'nexus governance', 'governance debate']"
54,130,"['landslide susceptibility simulation', 'landslide prevention', 'landslide inventory', 'frequent natural disaster', 'historical landslide']"
55,132,"['semantic address matching', 'address matching', 'address match', 'unstructured address data', 'unstructured address record']"
56,134,"['open urban data', 'visualization technique', 'urban data set', 'visualization', 'open data']"
57,139,"['predict urban expansion', 'future urban expansion', 'agricultural land', 'urbanization', 'Landsat satellite imagery']"
58,140,"['Urban planning student', 'big data', 'planning education', 'big data revolution', 'data rich landscape']"
59,142,"['Predictive analytics', 'proactive property vacancy', 'prevent vacant property', 'property vacancy policy', 'property vacancy']"
60,145,"['urban park access', 'park accessibility', 'geographical accessibility model', 'park accessibility change', 'declined park accessibility']"
61,146,"['urban design parameter', 'campus design parameter', 'urban design approach', 'campus design', 'urban design']"
62,149,"['urban design decision', 'urban design alternative', 'geometric urban form', 'urban geometric form', 'design decision making']"
63,150,"['vegetation specie mapping', 'tree specie classification', 'remote sensing', 'vegetation specie', 'deciduous tree specie']"
64,153,"['personality classification method', 'personality classification', 'data mining technique', 'natural language processing', 'data mining']"
65,154,"['flooding prediction', 'pluvial flooding prediction', 'Urban pluvial flooding', 'flood occurrence', 'pluvial flood event']"
66,157,"['urban agglomeration scale', 'sustainable urban development', 'total urban area', 'scattered urban form', 'ideal urban form']"
67,159,"['Inferring urban performance', 'discrete urban space', 'various urban feature', 'urban morphology', 'urban feature']"
68,162,"['subjective data', 'machine learning', 'data science technique', 'urban green space', 'data science']"
69,164,"['participatory urban planning', 'Computational social medium', 'city structure', 'data analysis', 'Social medium']"
70,165,"['Iran arid area', 'aridity index', 'compatible aridity index', 'Iq aridity index', 'aridity trend']"
71,167,"['urban pattern', 'knowledge discovery technique', 'urban research', 'urban phenomenon', 'knowledge discovery system']"
72,168,"['landslide susceptibility model', 'landslide hazard', 'shallow landslide susceptibility', 'potential landslide runout', 'potential landslide']"
73,169,"['urban behaviour', 'urban sensing', 'energy usage pattern', 'energy usage', 'occupant behaviour']"
74,170,"['Smart City dimension', 'classifier', 'city service dimension', 'social network message', 'sustainable city']"
75,172,"['smart urban planning', 'influence building height', 'building height', 'Rapid urbanization', 'spatial characteristic']"
76,173,"['green infrastructure', 'artificial neural network', 'urban planning practice', 'fuzzy inference system', 'fuzzy inference']"
77,174,"['urban functional zone', 'zone classification approach', 'functional zone classification', 'XGBoost classification', 'zone classification']"
78,177,"['different urban structure', 'land use information', 'historical land use', 'land use planning', 'national mapping']"
79,178,"['SAR image classification', 'SAR remote sensing', 'SAR image interpretation', 'SAR imagery', 'SAR image']"
80,180,"['business zone recommender', 'zone recommender system', 'zone recommender', 'zone recommendation system', 'business zone']"
81,181,"['urban sound recognition', 'sound recognition', 'audio descriptor', 'automatic sound recognizer', 'Automatic sound recognition']"
82,183,"['use expert system', 'effective urban planning', 'use expert', 'planning problem', 'expert']"
83,184,"['area intelligent classification', 'intelligent classification', 'multiple classifier', 'automatic classification', 'classification system']"
84,185,"['Building Energy Information', 'energy demand', 'energy consumption', 'urban sustainability', 'Building energy']"
85,187,"['government knowledge graph', 'Kadaster knowledge graph', 'knowledge graph', 'open government knowledge', 'government knowledge']"
86,188,"['international development', 'Positive deviance', 'data', 'positive deviance face', 'development impact']"
87,191,"['human mobility prediction', 'urban human mobility', 'mobility prediction model', 'mobility prediction', 'urban traffic gravity']"
88,195,"['gaze analysis system', 'Visual gaze analysis', 'gaze analysis', 'gaze vector', 'Visual gaze']"
89,196,"['spatial environment concern', 'spacescapes', 'spatial agent', 'spatial environment', 'outdoor townscapes']"
90,197,"['GIS approach', 'spatial analysis', 'classification technique', 'classification scheme', 'classification schema']"
91,198,"['body mass index', 'obesity', 'decision tree', 'body mass', 'city level']"
92,200,"['emotional computing technics', 'emotion information', 'emotional computing concept', 'emotional computing', 'human emotion']"
93,201,"['environmental noise pollution', 'noise pollution', 'pollution level', 'environmental noise', 'pollution']"
94,202,"['urban growth', 'urban footprint', 'binary urban footprint', 'growth prediction', 'Spatiotemporal modeling']"
95,203,"['urban functional zoning', 'land use classification', 'spatial clustering', 'smart city field', 'traffic data']"
