,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
aerial,0.11,0.16,0.22,0.11,0.18,0.2,0.14,0.08,0.1,0.23
point cloud,0.23,0.31,0.38,0.22,0.24,0.36,0.38,0.19,0.11,0.29
detection,0.08,0.37,0.33,0.33,0.02,0.39,0.21,0.18,0.21,0.14
deep,0.22,0.19,0.24,0.16,0.26,0.25,0.28,0.09,0.06,0.28
cloud,0.11,0.22,0.25,0.18,0.09,0.21,0.18,0.09,0.07,0.16
object,0.15,0.24,0.3,0.27,0.19,0.32,0.32,0.35,0.08,0.28
building detection,0.31,0.42,0.48,0.32,0.26,0.48,0.36,0.25,0.19,0.34
segmentation,-0.0,0.04,0.05,0.15,-0.12,0.06,-0.04,0.16,-0.04,0.01
semantic segmentation,0.01,0.06,0.12,0.26,-0.1,0.11,0.05,0.32,-0.05,0.08
airborne,0.07,0.22,0.2,0.07,0.04,0.21,0.08,0.06,0.13,0.07
