,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
road traffic noise,0.15,0.35,0.09,0.34,-0.04,0.19,0.24,0.29,0.31,0.3
urban form indicator,0.27,0.57,0.23,0.5,-0.13,0.21,0.34,0.4,0.44,0.44
interface network,0.01,0.34,0.25,0.49,0.01,0.17,0.35,0.32,0.34,0.48
interface network connectivity,0.02,0.3,0.19,0.44,0.01,0.13,0.32,0.26,0.28,0.43
classical urban design,0.1,0.61,0.26,0.41,-0.15,0.19,0.24,0.35,0.44,0.38
housing estate,0.04,0.52,0.05,0.33,-0.17,0.05,0.11,0.21,0.24,0.25
greenway suitability analysis,0.12,0.26,0.13,0.32,-0.07,-0.03,0.27,0.16,0.21,0.48
using network analysis,0.14,0.53,0.29,0.7,-0.08,0.19,0.45,0.52,0.51,0.8
economic assessment using,0.29,0.52,0.24,0.66,-0.11,0.2,0.42,0.53,0.49,0.66
assessment using machine,0.16,0.4,0.23,0.54,-0.04,0.26,0.42,0.47,0.46,0.61
