,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
soundscape,-0.15,-0.05,0.06,-0.07,0.02,0.03,0.02,-0.01,-0.05,0.11
perception,0.17,0.23,0.21,0.2,0.25,0.22,0.23,0.3,0.26,0.26
street,0.24,0.19,0.16,0.26,0.17,0.05,0.23,0.17,0.1,0.13
greenery,0.07,0.2,0.15,0.19,0.16,0.04,0.17,0.08,0.07,0.15
public space,0.51,0.5,0.39,0.55,0.32,0.27,0.48,0.37,0.19,0.41
street greenery,0.22,0.28,0.22,0.32,0.23,0.06,0.29,0.18,0.12,0.19
human perception,0.34,0.39,0.31,0.36,0.35,0.27,0.33,0.43,0.36,0.35
perceptual,-0.04,-0.04,0.13,-0.08,0.02,0.26,0.11,0.03,0.06,0.18
pedestrian,0.15,0.21,0.36,0.23,0.17,0.23,0.36,0.17,0.01,0.32
street view image,0.4,0.34,0.26,0.4,0.27,0.18,0.34,0.32,0.21,0.25
